Title_A,Authors_A,ISBN13_A,Pages_A,Rating_A,Ratings_Count_A,Publisher_A,Publish_Date_A,Title_B,Authors_B,ISBN13_B,Pages_B,Rating_B,Ratings_Count_B,Publisher_B,Publish_Date_B,Gold
The Autobiography Of John Shaw Neilson,John Shaw Neilson,9780642991164.0,175,3.0,1,National Library of Australia,January 1st 1978,"Genealogical Notes of the Carpenter Family: Including the Autobiography, and Personal Reminiscences of Dr. Seymour D. Carpenter; Lieutenant Colonel, in the War for the Union (Classic Reprint)",Seymour D. Carpenter,9781330527702.0,296.0,,,FB &amp;c Ltd,07/01/2015,0
Living Without Love: An Autobiography,Florence Coustier,9780595262779.0,512,0.0,0,iUniverse,December 25th 2002,Autobiography of Francis Torrey Townsend...,Townsend Francis Torrey 1829 Catalog],9781314800104.0,116.0,,,HardPress Publishing,12/14/2013,0
The History of Neuroscience in Autobiography,Larry R. Squire,9780916110512.0,2,0.0,0,Society for Neuroscience,December 31st 1996,Pardon: The Autobiography of a Gangster,Hector Rodriguez,9781452017136.0,252.0,,,AuthorHouse,05/06/2010,0
Daughter Of Destiny: An Autobiography,Benazir Bhutto,9780671696030.0,0,3.87,1129,Touchstone Books,January 1st 2004,A Daughter of Han: The Autobiography of a Chinese Working Woman,"Ida Pruitt, Lao T'Ai-T'ai Ning",9780804706063.0,264.0,,,Stanford University Press,06/01/1945,0
Time Exposure: The Autobiography of William Henry Jackson,William Henry Jackson,9781880397084.0,347,4.2,5,Patrice Press,November 28th 1994,A Short Autobiography,"F. Scott Fitzgerald, James L. W. West III",9781439199077.0,224.0,5.0,1.0,Scribner,08/02/2011,0
"The Diary of Caroline Seabury, 1854-1863 (Wisconsin Studies in American Autobiography)",Caroline Seabury,9780299128746.0,148,4.0,4,University of Wisconsin Press,April 15th 1991,"Autobiography, Letters and Literary Remains of Mrs. Piozzi (Thrale) (2nd ed.) (2 vols.)","Piozzi, Hester Lynch",2940012031525.0,,,,Quality Classics,11/30/2010,0
Master Of One: An Autobiography,Dorian Williams,9780460043236.0,235,4.0,1,J. M. Dent & Sons,September 1st 1978,My Autobiography and Reminiscences,Frith William Powell 1819-1909,9781314083736.0,544.0,,,HardPress Publishing,01/28/2013,0
Rajendra Prasad: Autobiography,Rajendra Prasad,9788123707068.0,624,3.67,6,National Book Trus,1994,The Life Of Shabkar: Autobiography Of A Tibetan Yogin / Edition 1,Matthieu Ricard,9781559391542.0,712.0,,,"Shambhala Publications, Inc.",02/28/2001,0
Autobiography,"Matthew Robinson, John E.B. Mayor, University of Cambridge",,239,0.0,0,Printed for the editor at the University press,,The Autobiography of an ExtraTerrestrial Saga: Waking Thyron,Craig Campobasso,9781496953407.0,484.0,,,AuthorHouse,12/11/2014,0
Leaping Life's Fences: An Autobiography,Pat Smythe,9780948253591.0,264,4.0,2,Trafalgar Square Publishing,,"99 Cent Best Seller Abraham Lincoln ( autobiography, diary, journal, life, life story, memoir, picture, profile, sketch, confessions, experience, letter, life history, personal account )",Resounding Wind Publishing,2940150021600.0,,5.0,2.0,Resounding Wind Publishing,12/16/2014,0
"The Harvard Classics - Autobiography of Benjamin Franklin, Journal of John Woolman, Fruits of Solitude","Charles William Eliot, Benjamin Franklin, John Woolman",9780766182080.0,424,3.73,86,Kessinger Publishing,January 1st 2004,Kate Coventry: An Autobiography,George John Whyte -Melville,2940025548942.0,,,,"Longmans, Green, and co",,0
Omnibus: The Complete Autobiography,Dirk Bogarde,9780413609908.0,736,4.12,16,Methuen Publishing Ltd,October 27th 1988,Autobiography of Friedrich Froebel,Friedrich Fröbel,2940017705285.0,,,,"Syracuse, N.Y. : C.W. Bardeen",,0
More Ronnie O'Sullivan: The Autobiography,Ronnie O'Sullivan,,288,4.8,5,Orion Publishing,December 1st 2013,Darren Lockyer - An Autobiography,Darren Lockyer,9781864712735.0,400.0,,,Random House Australia,12/01/2011,0
Hello: The Autobiography. Leslie Phillips,Leslie Phillips,9780752881782.0,417,4.67,3,Orion,August 22nd 2007,Ernest Borgnine: My Autobiography,Ernest Borgnine,9781907532542.0,256.0,,,JR Books Ltd,02/18/2013,0
Who's Crazee Now?: My Autobiography,Noddy Holder,,276,4.0,4,Ebury Digital,December 15th 2010,"The Autobiography of a Quack, and Other Stories",Mitchell S. Weir (Silas Weir 1829-1914,9781313032858.0,334.0,,,HardPress Publishing,01/28/2013,0
I Didn't Do It Alone: The Autobiography Of Art Linkletter As Told To George Bishop,Art Linkletter,9780898030402.0,208,3.17,6,,,"Me, Myself & I: - A True Autobiography",Herman Yenwo,9781300155140.0,274.0,,,Lulu.com,11/28/2014,0
The Autobiography of a Flea: Complete Edition,A. Pukka Swiver,9781451568677.0,192,0.0,0,Createspace,March 26th 2010,The Facts: A Novelist's Autobiography,Philip Roth,9781466846425.0,208.0,,,"Farrar, Straus and Giroux",07/02/2013,0
Portrait in Oil: The Autobiography of Nubar Gulbenkian,Nubar S. Gulbenkian,,0,4.6,5,Simon & Schuster,1965,A Salem Shipmaster and Merchant: The Autobiography of George Nichols (Classic Reprint),George Nichols,9781330743485.0,168.0,,,FB &amp;c Ltd,07/05/2015,0
A Kentish Lad: The Autobiography of Frank Muir,Frank  Muir,9780552141376.0,427,3.53,58,Corgi,1998,Before I Forget: The Autobiography of a Chevalier D'Industrie - Scholar's Choice Edition,Albert Chevalier,9781298235213.0,370.0,,,Scholar's Choice,02/18/2015,0
Things I Couldn't Tell My Mother: My Autobiography,Sue Johnston,9780091938895.0,352,3.73,109,Ebury Press,September 1st 2011,HOPEFUL - an autobiography,Omid Djalili,9781472218636.0,,,,"Headline Book Publishing, Limited",08/28/2014,0
Autobiography Of Swami Narayanananda,Narayanananda,9788787102148.0,2,0.0,0,N.U. Yoga Trust,,"Autobiography of Col. Aaron Ogden, of Elizabethtown",Aaron Ogden,2940017704660.0,,,,"Paterson, N.J., The Press printing and publishing co.",,0
"Autobiography, Letters, And Literary Remains Of Mrs. Piozzi (Thrale)",Hester Lynch Piozzi,9780404567767.0,0,4.0,2,AMS Press,January 1st 1975,"Complete Works of Henry James: Novels, Short Stories, Plays, Essays, Autobiography and Letters: The Portrait of a Lady, The Wings of the Dove, The American, The Bostonians, The Ambassadors, What Maisie Knew, Washington Square, Daisy Miller...",Henry James,9788026836063.0,2900.0,,,e-artnow ebooks,03/31/2015,0
Gory Tales - Autobiography of John Gorman,"John Gorman, Kevin Brennan, Glenn Hoddle",9781906229863.0,240,3.25,4,Green Umbrella Publishing,December 15th 2008,Black Hawk: Autobiography,Ma-Ka-Tai-Me-She-Kia-Kiak,9781494920623.0,174.0,,,CreateSpace Independent Publishing Platform,01/07/2014,0
Autobiography of Peter Cartwright,"Peter Cartwright, Charles L. Wallis",9780687023196.0,349,3.64,14,Abingdon Press,March 1st 1986,Ernie: The Autobiography,Ernest Borgnine,9780806531502.0,272.0,4.5,15.0,Kensington,08/01/2009,0
The Autobiography of Santa Claus (The Christmas Chronicles),Jeff Guinn,9781585424481.0,289,3.61,2301,Tarcher,October 19th 2006,Sharon Osbourne Extreme: My Autobiography,Sharon Osbourne,9780759568945.0,,4.4,26.0,"Little, Brown and Company",10/11/2006,0
The Autobiography of Saint Therese: The Story of a Soul,John Beevers,9780307778086.0,192,4.42,156,Image,January 26th 2011,The Real McRae: The Autobiography of the People's Champion,Colin Mcrae,9780091880903.0,304.0,,,Random House UK,10/01/2001,0
King Richard I: The Autobiography of America's Greatest Auto Racer,"Richard Petty, William Neely",9780770106492.0,0,4.25,12,PaperJacks,June 1st 1987,The Blue Hen's Chick: An Autobiography,A. B. Guthrie Jr.,9780803270381.0,279.0,,,University of Nebraska Press,01/01/1993,0
My Way: An Autobiography,"Paul Anka, David Dalton",,385,2.91,180,St. Martin's Press,April 9th 2013,The Autobiography of Jesus Christ,Neil Elliott,2940011411359.0,,,,Neil Elliott,07/18/2011,0
"Child Of Two Worlds: An Autobiography Of A Filipino American, Or Vice Versa",Norman Reyes,9789712705304.0,0,4.0,1,,,"James Burn, the Beggar Boy: an Autobiography, Relating the Numerous Trials, Struggles, and Vicissitudes of a Strangely Chequered Life, With Glimpses of English Social, Commercial, and Political History, During Eighty Years, 1802-1882",James Dawson Burn,9781290150651.0,672.0,,,HardPress Publishing,01/10/2012,0
Gretzky: An Autobiography,"Wayne Gretzky, Rick Reilly",9780061099304.0,288,3.84,328,HarperTorch,November 28th 1991,Kurt: Forcing the Edge - An Autobiography,"Kurt Browning, Neil Stevens",9780002158435.0,212.0,,,HarperCollins Canada,02/01/1992,0
Marcus: The Autobiography of Marcus Allen,"Marcus Allen, Carlton Stowers",9780312169244.0,352,3.42,24,"St. Martin's Press          ""]",August 15th 1997,"The life of William Cowper, with selections from his correspondence [and his autobiography. By R ...",Robert Benton Seeley,2940025757658.0,,,,,,0
Cash: The Autobiography by Johnny Cash Summary & Study Guide,BookRags,,0,4.25,8,BookRags.com,June 3rd 2011,"Intellectual Autobiography: Ideas on Literature, Philosophy and Religion",Victor Hugo,9781410204233.0,404.0,,,Press Holdings International,12/28/2002,0
William Barclay: A Spiritual Autobiography,William Barclay,9780802834645.0,122,3.22,9,Eerdmans,January 28th 1975,Art Smith's story; the autobiography of the boy aviator which appeared as a serial in the Bulletin,Art Smith,2940027311520.0,,,,"San Francisco, The Bulletin",,0
Autobiography and Reminiscences of Theophilus Noel,Theophilus Noel,9781117876689.0,374,0.0,0,BCR (Bibliographical Center for Research),March 11th 2010,London: the Autobiography,Jon E. Lewis,9781780337500.0,480.0,,,"Little, Brown Book Group",03/01/2012,0
The Autobiography of Peter Madsen,"Peter Madsen, Tom Vitelli",9781883696115.0,240,5.0,2,Everyware Books,November 1st 2012,A Slave Girl's Story: Being an Autobiography of Kate Drumgoold,Kate Drumgoold,2940148837671.0,,,,Library of Alexandria,12/14/2013,0
"Billy ""the Hill"" and the Jump Hook: The Autobiography of a Forgotten Basketball Legend","Billy McGill, Eric Brach",9780803246874.0,328,4.75,8,University of Nebraska Press,November 1st 2013,New Chapters of Bismarck's Autobiography,Bismarck Otto Fu rst von 1815-1898,9781313524995.0,362.0,,,HardPress Publishing,01/28/2013,0
The Autobiography of the Original Celebrity Chef,Harland Sanders,9780985543907.0,184,4.62,8,KFC Corporation,2012,"The Mystery of the Missing Socks...Wow, You Actually Managed to Write an Autobiography Title Entry With Bio 4 That Wasn't So Ridiculously Long...Um",Xavier Cockroachal Damon,9781329331020.0,,,,Lulu.com,07/06/2015,0
Twelve Years a Slave: The Autobiography of Solomon Northup,"Solomon Northup, Louis Gossett Jr.",9781482916171.0,0,4.13,42319,Blackstone Audiobooks,June 1st 2013,"Kaloolah, Or, Journeyings to the Djébel Kumri: An Autobiography of Jonathan Romer",William Starbuck Mayo,2940025492559.0,,,,David Bogue,,0
The Real McRae: The Autobiography of the People's Champion,Colin McRae,9780091880903.0,304,4.0,22,Random House UK,October 1st 2001,The Autobiography of St Ignatius,Ignatius of Loyola,9781511845298.0,64.0,,,CreateSpace Publishing,04/22/2015,0
Autobiography of So-And-So: Poems in Prose,Maurice Kilwein Guevara,9780932826169.0,77,4.05,19,New Issues Press,January 1st 2001,The Autobiography of a Stage-Coachman (Volume 3),Thomas Cross,9781151100979.0,118.0,,,General Books,12/28/2009,0
Autobiography,Goldsworthy Lowes Dickinson,9780715606476.0,287,0.0,0,Duckworth,June 1973,Theme And Variations An Autobiography - Scholar's Choice Edition,Bruno Walter,9781298031440.0,396.0,,,Scholar's Choice,02/15/2015,0
The Official Everton Autobiography,"Everton Football Club, James Cleary",,480,0.0,0,Trinity Mirror Sport Media,2012,My Path to Peace and Justice: An Autobiography,Richard T. McSorley,9781608990542.0,288.0,,,Wipf &amp; Stock Publishers,05/01/2010,0
Facing The Music: An Autobiography,Joseph S. Cooper,9780297777182.0,213,0.0,0,George Weidenfeld & Nicholson,December 31st 1979,Valleywood: The Autobiography of Lateysha Grace,Lateysha Grace,9781784183516.0,240.0,,,"John Blake Publishing, Limited",06/01/2015,0
No Memory For Pain: An Autobiography,"Frank Kingsley Norris, Kingsley Norris",9780855610074.0,0,0.0,0,Heinemann Educational Books,,The Last Trek--a New Begining: The Autobiography,F. W. de Clerk,9780333732649.0,412.0,,,BPR Publishers,01/01/1998,0
Midge Ure: If I Was - An Enhanced Updated Autobiography,Midge Ure,,350,4.08,12,Acorn Digital Press,September 26th 2013,A life on the ocean. Autobiography of Captain Charles Wether,Gelett ..,2940021293648.0,,,,"Honolulu, Hawaii : Hawaiian Gazette Co., ltd.",,0
"Milton Berle: An Autobiography, with a New Introduction by Sid Caesar",Milton Berle,9781557835857.0,337,3.53,15,Applause Theatre & Cinema Book Publishers,December 3rd 2005,Fidel Castro: My Life: A Spoken Autobiography,"Fidel Castro, Ignacio Ramonet",9781416562337.0,736.0,4.3,9.0,Scribner,06/09/2009,0
My England Years: The Autobiography,Bobby Charlton,9780755316212.0,384,3.71,51,Headline Book Publishing,October 18th 2008,The magic staff; an autobiography of Andrew Jackson Davis ..,Andrew Jackson Davis,2940016848693.0,,,,Boston : B. Marsh,,0
Exploring Life: The Autobiography of Thomas Watson,Thomas  A. Watson,,315,4.33,3,,,Autobiography of Charles Force Deems ..,"Charles Force Deems, Edward Mark Deems, J M. 1836-1920 Buckley",2940017704578.0,,,,"New York, Chicago [etc.] : Fleming H. Revell company",,0
A Sole Survivor: Bits of Autobiography,"Ambrose Bierce, S.T. Joshi, David E. Schultz",9781572330184.0,356,3.86,7,University of Tennessee Press,December 3rd 2005,Rudolf Steiner: An Autobiography,Rudolf Steiner,9780833435019.0,541.0,,,"SteinerBooks, Incorporated",01/28/1977,0
Autobiography of a Broomstick,H.H.R.,,0,5.0,2,Full Well Books,November 2013,"Autobiography, Letters and Literary Remains of Mrs. Piozzi (Thrale)",Hester Lynch Piozzi,2940026673575.0,,,,Ticknor &amp; Fields,,0
The Autobiography of John Brown,Rebecca Alston,9780533109814.0,70,5.0,1,Vantage Pr,March 1st 1998,A Half Century Among the Siamese and the La O: an Autobiography,McGilvary Daniel,9781313489386.0,506.0,,,HardPress Publishing,01/28/2013,0
"Under My Skin: Volume One of My Autobiography, to 1949",Doris Lessing,9780060926649.0,448,4.05,473,Harper Perennial,September 1st 1995,"Three Negro Classics: Up from Slavery, The Souls of Black Folk, The Autobiography of an Ex-Colored Man","James Weldon Johnson, W. E. B. DuBois, Booker T. Washington",9780380015818.0,512.0,,,HarperCollins Publishers,02/28/1999,0
Blues of a Lifetime: The Autobiography of Cornell Woolrich,"Cornell Woolrich, Mark T. Bassett",9780879725358.0,168,4.2,10,Popular Press 1,June 15th 1991,The Occasions of Poetry: Essays in Criticism and Autobiography,Thom Gunn,9780472085835.0,192.0,,,University of Michigan Press,05/01/1999,0
Autobiography of a Female Slave.,Martha Griffith Browne,9781275670686.0,408,0.0,0,Gale Ecc,February 1st 2012,"The Life of Catalina de Erauso, the Lieutenant Nun: An Early Modern Autobiography",Sonia Pérez-Villanueva,9781611476613.0,286.0,,,Fairleigh Dickinson University Press,01/14/2014,0
Is Love All? an autobiography,Eva Silberman,,321,5.0,1,Courtney Heldman,2012,Crusade for Justice: The Autobiography of IDA B. Wells,"Ida B. Wells, Ada B. Wells",9780226893440.0,466.0,,,University of Chicago Press,07/28/1991,0
My Life on the Road: An Autobiography,"Nan Joyce, Anna Farmar",9781899047581.0,108,4.67,3,A. & A. Farmar,April 1st 2000,"The Oldest Pioneer: Autobiography of Charles Peters (Abridged, Annotated)",Charles Peters,2940150848559.0,,,,Big Byte Books,06/26/2015,0
And One To Grow On (American Autobiography),John Gould,9780781285346.0,253,4.33,3,Reprint Services Corp,August 28th 1949,Midnight Son: An Autobiography,Jason Everett Miller,9781515347828.0,396.0,,,CreateSpace Publishing,08/03/2015,0
"Nearer, My God: An Autobiography of Faith",William F. Buckley Jr.,9780156006187.0,336,3.93,175,Mariner Books,October 15th 1998,Confessions of a Parish Priest: An Autobiography,Andrew M. Greeley,9780671610845.0,448.0,3.0,1.0,Simon &amp; Schuster Adult Publishing Group,09/01/1986,0
African Lives: An Anthology of Memoirs and Autobiographies,Geoff Wisner,9781588268877.0,0,4.33,3,Lynne Rienner Publishers,March 1st 2013,"Rose Douglas ; or, Sketches of a country parish : being the autobiography of a Scotch minister's daughter",S. R. Whitehead,2940030242767.0,,,,"London : Smith, Elder &amp; Co.",,0
Autobiography,John Cournos,,344,5.0,1,"G P PUTNAM'S SONS          ""]",1935,Prayer: My Soul's Adventure with God: A Spiritual Autobiography,Robert H. Schuller,9780849929502.0,254.0,,,"Nelson, Thomas, Inc.",09/01/2009,0
Autobiography,"Ashlee Nicole Simpson, John Shanks, Kara DioGuardi",,0,0.0,0,OnlineSheetMusic.com,,Autobiography of Benjamin Franklin: with Related Documents / Edition 2,Benjamin Franklin,9780312404154.0,208.0,,,Bedford/St. Martin's,04/02/2003,0
The Autobiography of Satan,John Relly Beard,9781445551159.0,428,0.0,0,Reitell Press,March 30th 2010,An Autobiography: Volume 1 and 2,Herbert Spencer (Illustrated),2940150659667.0,,,,AS Team,10/08/2014,0
"C. H. Spurgeon Autobiography: The Early Years, 1834-1859",Charles H. Spurgeon,9780851510767.0,562,4.49,72,Banner of Truth,December 1st 1962,"Just Who the Hell Is She, Anyway?: The Autobiography of She",Marisa Acocella Marchetto,9780517882948.0,208.0,,,Crown Publishing Group,09/27/1994,0
The Autobiography of Martin Van Buren,"Martin Van Buren, John Clement Fitzpatrick",9781176386129.0,816,2.0,1,Nabu Press,July 29th 2010,"Grown Gray in War: From Iwo Jima to the Chosin Reservoir to the Tet Offensive, the Autobiography of a True Marine Hero","Len Maffioli, Bruce H Norton",2940150473096.0,358.0,,,Quadrant Books,11/10/2014,0
My Life Behaving Badly: The Autobiography,Leslie Ash,9780752888378.0,376,3.56,16,Orion,September 6th 2007,The Last Minstrel: An Autobiography By George Callaghan,George Callaghan,9781483426853.0,,,,Lulu Publishing Services,04/16/2015,0
Bitch! The Autobiography of Lady Lawford,"Lady May Lawford, Adolph Caso, Buddy Gallon",,176,2.25,4,,,Tone on Tone/Of All That Is: The Spiritual Autobiography of Kenneth Grahame,Nathan Pollack,9781475958171.0,230.0,,,"iUniverse, Incorporated",11/11/2013,0
The Illustrated Discovery Journal: Creating a Visual Autobiography of Your Authentic Self,Sarah Ban Breathnach,9780446521444.0,176,3.85,82,Warner Books (NY),December 1st 1999,Modern Classics My Autobiography,Charles Chaplin,9780141011479.0,576.0,,,Penguin UK,02/25/2003,0
Achieving The Goal: An Autobiography,David  Platt,9781860660177.0,244,4.0,2,Richard Cohen Books Ltd,October 31st 1995,The Autobiography of a Quack and the Case of George Dedlow,M.D. Mitchell,9781458709370.0,,,,ReadHowYouWant,01/01/2006,0
Autobiography of Doyle Brunson,"Doyle Brunson, Mike Cochran",9781580421560.0,288,5.0,1,Cardoza Publishing,December 1st 2010,Real Truth for Real Choices: A Spiritual Autobiography,Liz Millican,9781499682069.0,172.0,,,CreateSpace Publishing,06/01/2014,0
Medora Leigh; A History And An Autobiography,"Elizabeth Medora Leigh, Charles Kenneth Mackay",9780404567590.0,0,3.0,1,AMS Press,,HELEN KELLER: THE TWO AUTOBIOGRAPHIES The Story of My Life,"Helen Keller the Adult, and ""My Story""",2940013559622.0,,3.4,12.0,A. J. Cornell Publications,06/11/2011,0
A Romanov Diary. The Autobiography of the Grand Duchess Marie,Grand Duchess Marie,,0,5.0,2,"Gilbert's Books          ""]",,Fernando Bujones: An Autobiography,"Fernando Bujones, Zeida Cecilia-Mendez",9780615284965.0,342.0,,,Higher Educ. &amp; Technology Consultants,05/01/2009,0
Out of Revolution: Autobiography of Western Man,Eugen Rosenstock-Huessy,9780854964000.0,0,4.47,15,Berg Publishers,December 1st 1993,"Autobiography, a Collection of the Most Instructive and Amusing Lives Ever Published Volume 21",Hardpress,9781314130348.0,266.0,,,HardPress Publishing,01/28/2013,0
Dreaming to Some Purpose: The Autobiography of Colin Wilson,Colin Wilson,9781844131884.0,416,4.18,90,Century,May 26th 2004,The Pioneer Preacher: An Autobiography - Scholar's Choice Edition,Sherlock Bristol,9781296253714.0,346.0,,,Scholar's Choice,02/18/2015,0
An Autobiography,James Galway,9780903443302.0,0,2.89,9,,,"Faith, Doubt, and Evidence: God's Vouchers for His Written Word, with Critical Illustrations from the Autobiography of Dr. Franklin...",Cheever George Barrell 1807-1890,9781314822335.0,398.0,,,HardPress Publishing,12/15/2013,0
A Dropped Glove in Regent Street: An Autobiography by Other Means,Don Coles,9781550652222.0,144,4.0,1,Véhicule Press,September 1st 2007,From Labor to Letters: A Novel Autobiography,Miguel Mendez,9780927534703.0,120.0,,,Bilingual Review/Press,06/01/1997,0
Voices In The Mirror: An Autobiography,Gordon Parks,,351,4.31,58,Doubleday & Compan,November 1990,Autobiography of a Chinese Girl,Ping-Ying,9780710310415.0,256.0,,,Taylor &amp; Francis,10/27/2010,0
Useful Toil: Autobiographies Of Working People From The 1820s To The 1920s,John Burnett,9780140219944.0,368,3.83,6,Penguin Books Ltd,May 26th 1977,Time to Say Hello: My Autobiography,Katherine Jenkins,9781409129264.0,,,,"Orion Publishing Group, Limited",11/15/2012,0
Selected Organs: Parts of an Autobiography,bpNichol,9780887531675.0,53,4.22,9,Black Moss Press,,Absolute Beginner: The Autobiography,Patsy Kensit,9780283071928.0,,,,Pan Macmillan,10/10/2013,0
Every Man a King Autobiography,H.P. Long,9780844624853.0,0,4.0,1,Peter Smith Pub,April 28th 1983,ETERNAL: Autobiography of Gladstone Matthew,Gladstone Matthew,9781426967542.0,120.0,,,Trafford Publishing,05/13/2011,0
Seve: The Autobiography,Severiano Ballesteros,9780224082570.0,304,3.78,18,Yellow Jersey,July 3rd 2008,"Goethe's Knabenjahre. (1749-1761.) Goethe's boyhood : being the first three books of his autobiography, arranged and annotated","Wilhelm Wagner, ... New edition, revised and enlarged",2940018545576.0,,,,Cambridge : University press,,0
Letters to His Family: An Autobiography,Percy M. Young,9780812861679.0,576,0.0,0,Madison Books,January 1st 1983,Autobiography of William G. Schauffler: For Forty-nine Years a Missionary in ...,William Gottlieb Schauffler,2940026728862.0,,,,A.D.F. Randolph,,0
Within the Family Circle: An Autobiography,Violet Powell,9780434599554.0,243,4.0,1,Heinemann Educational Books,,Select Poems and Autobiography (Classic Reprint),William Taylor,9781330141786.0,58.0,,,FB &amp;c Ltd,06/17/2015,0
Cheech & Chong: The Unauthorized Autobiography,Tommy Chong,,224,4.0,1,Simon Spotlight Entertainment,August 12th 2008,Man Without A Face / Edition 1,"Markus Wolf, Anne McElvoy",9781891620126.0,460.0,4.0,3.0,PublicAffairs,01/01/1997,0
How to Be Seventy: An Autobiography,George Mikes,9780233974538.0,248,0.0,0,Andrea Deutsch,January 1st 1982,Harcourt School Publishers Trophies: On-Lvl:Autobiography/Dog G6 AUTOBIOGRAPHY/DOG,Houghton Mifflin Harcourt,9780153234385.0,16.0,,,Houghton Mifflin Harcourt,01/28/2002,0
The Restless sky: the autobiography of an airman,C.E. Kay,,248,0.0,0,George G. Harrap & Co.,1964,Life of David Crockett: An Autobiography,David Crocket,9781594622502.0,428.0,,,"Standard Publications, Incorporated",07/13/2006,0
The Autobiography of a Slave/Autobiografia De UN Esclavo (Latin American Literature and Culture Series),"Juan Francisco Manzano, Iván A. Schulman",9780814325377.0,135,3.44,80,Wayne State University Press,January 1st 1996,"Autobiography of James Silk Buckingham, Vol. 2 (Classic Reprint)",James Silk Buckingham,9781330390795.0,444.0,,,FB &amp;c Ltd,06/25/2015,0
Hiroshima: The Autobiography of Barefoot Gen (Asian Voices),Keiji Nakazawa,9781442207479.0,188,4.33,49,Rowman & Littlefield Publishers,December 16th 2010,The Autobiography of Vernell Everett: The Long Road to Where I Am,Vernell Everett,9781478723615.0,192.0,,,"Outskirts Press, Inc.",02/14/2014,0
Autobiography of St. Gemma Galgani,"Gemma Galgani, William Browning",,70,4.79,14,Passionist Sisters,1955,The Autobiography of a Thief (Barnes & Noble Digital Library): and Other Histories,Charles Reade,9781411451636.0,384.0,,,Barnes &amp; Noble,04/19/2011,0
Hitchhiking to Heaven: An Autobiography. Lionel Blue,Lionel Blue,9780340786611.0,340,3.45,11,Hodder & Stoughton,May 1st 2005,Afrika My Music: An Autobiography 1957-1983,Ezekiel Mphahlele,2900869754848.0,260.0,,,Ohio University Press,12/01/1995,0
An Uncertain Voyage: An Autobiography,Antony Babington,9781902681184.0,509,4.0,1,Barry Rose Law Publishers,June 1st 2000,Elisabeth Sladen: The Autobiography,Elisabeth Sladen,9781845138264.0,320.0,5.0,8.0,"Aurum Press, Limited",10/01/2012,0
Grandma's War: An Autobiography,H. Jae Benoy,9780595674374.0,268,2.0,1,iUniverse,November 24th 2005,The Center of My World; An Autobiography,Marshall Edward Dimock,9780914378600.0,205.0,,,"Countryman Press, The",01/01/1980,0
Steps Along the Way: A Spiritual Autobiography,Diogenes Allen,9780898693522.0,144,3.6,5,Church Publishing,March 1st 2002,The Autobiography of Arthur Ransome,Arthur Ransome,9780224012454.0,368.0,,,Random House Adult Trade Publishing Group,12/27/1987,0
Madam Guyon. An Autobiography,Jeanne Marie Bouvier de la Motte Guyon,9781246748727.0,280,4.0,1,Nabu Press,September 26th 2011,"Modern Irish Autobiography: Self, Nation and Society",Liam Harte,9781403912688.0,288.0,,,Palgrave Macmillan,05/01/2007,0
The Million Dollar Mermaid: An Autobiography,"Esther  Williams, Digby Diehl",9780156011358.0,416,3.79,981,Mariner Books,September 14th 2000,The Autobiography of St. Ignatius Loyola / Edition 1,"John C. Olin, Joseph (Trans. ) O'Callaghan, John (Ed.) Olin",9780823214808.0,113.0,,,Fordham University Press,10/05/1993,0
Autobiography,Martineau Harriet Peterson Linda H,9781460403143.0,745,0.0,0,Not Avail,May 14th 2014,John Ludlow: The Autobiography of a Christian Socialist,A. D. Murray,9781135781286.0,337.0,,,Taylor &amp; Francis,06/28/2005,0
Me and Rumi: The Autobiography of Shams-i Tabrizi,"Shams-i Tabrizi, William C. Chittick, Annemarie Schimmel",9781887752527.0,530,4.32,110,Fons Vitae,September 1st 2004,Autobiography in Education,Peter Abbs,9780435800123.0,182.0,,,Heinemann,01/01/1974,0
Dalglish: My Autobiography,"Kenny Dalglish, Henry Winter",9780340660119.0,276,3.64,106,Hodder & Stoughton,December 31st 1996,Ba,"Zeke: Rescue Mission: The diary of a chicken jockey, book 3 (an unofficial Minecraft autobiography)",9781512164022.0,88.0,,,CreateSpace Publishing,05/13/2015,0
The Autobiography of Albert Schweitzer,Albert Schweitzer,,0,3.88,8,,,Bay Boy or the Autobiography of a Youth of Massachusetts Bay,Royall Tyler,9780682491808.0,,,,Exposition,01/01/1978,0
Autobiography of Peter Cartwright,"Peter Cartwright, Charles L. Wallis",9780687023196.0,349,3.64,14,Abingdon Press,March 1st 1986,"Complete Works of Henry James: Novels, Short Stories, Plays, Essays, Autobiography and Letters: The Portrait of a Lady, The Wings of the Dove, The American, The Bostonians, The Ambassadors, What Maisie Knew, Washington Square, Daisy Miller...",Henry James,9788026836063.0,2900.0,,,e-artnow ebooks,03/31/2015,0
The Autobiography of Anne Lady Halkett,Anne Halkett,9781141373215.0,158,3.33,3,Nabu Press,January 10th 2010,Chronicles of Faith: The Autobiography of Frederick D. Patterson,"Martia Graham Goodson, Frederick D. Patterson",9780817311964.0,240.0,,,University of Alabama Press,06/28/2002,0
Autobiography: A Reader For Writers,Robert Lyons,9780195021400.0,0,1.5,2,Oxford University Press,,The Autobiography of Kevin M. McCarthy,Kevin M. McCarthy,9781505954623.0,406.0,,,CreateSpace Publishing,01/20/2015,0
