Title_A,Author_A,Price_A,ISBN13_A,Publisher_A,Publication_Date_A,Pages_A,Dimensions_A,Title_B,Author_B,Price_B,ISBN13_B,Publisher_B,Publication_Date_B,Pages_B,Dimensions_B,Gold
A Little Something Different,Sandy Hall,$9.99 ,9781250061454,Feiwel & Friends,8/26/14,272.0,5.40(w) x 8.20(h) x 0.80(d),Kiss the Dust,Elizabeth Laird,$8.43,9780140368550,Puffin Books,"Apr. 1st, 1994",288,4.42 x 7.14 x 0.64 inches,0
Fury of the Seventh Son (Last Apprentice Series #13),Joseph Delaney,$9.99 ,9780062192325,HarperCollins Publishers,4/14/15,480.0,5.30(w) x 7.90(h) x 1.20(d),Forgiven(Demon Trappers),Jana Oliver,$7.13,9780312614805,St. Martin's Griffin,"Mar. 27th, 2012",368,5.50 x 8.28 x 1.00 inches,0
Shadows,Robin McKinley,$9.99 ,9780147512208,Penguin Young Readers Group,9/25/14,384.0,5.40(w) x 8.20(h) x 1.10(d),Blue,Joyce Moyer Hostetter,$9.23,9781590788356,Calkins Creek Books,"Aug. 1st, 2010",197,5.40 x 8.10 x 0.60 inches,0
Dragonsong,Anne McCaffrey,$7.99 ,9781481425803,Saga Press,2/24/15,256.0,4.20(w) x 6.90(h) x 0.80(d),Opal(Lux Novel),Jennifer L. Armentrout,$12.31,9781620610091,Entangled Select,"Dec. 11th, 2012",452,,0
The Alchemyst (The Secrets of the Immortal Nicholas Flamel #1),Michael Scott,$6.70 ,9780385736008,Random House Children's Books,6/24/08,400.0,7.98(w) x 5.12(h) x 0.87(d),James and the Giant Peach(Penguin Classics Deluxe Editions),Roald Dahl,$14.11,9780143106340,Penguin Books,"Aug. 30th, 2011",142,5.71 x 8.31 x 0.46 inches,0
Troubling a Star (Austin Family Series #5),Madeleine L'Engle,$9.99 ,9780312379346,Square Fish,9/2/08,336.0,5.20(w) x 7.50(h) x 1.00(d),Bluford #16(Bluford (Quality)),Karyn Langhorne Folan,$6.89,9780545395519,Scholastic Paperbacks,"Dec. 1st, 2012",160,,0
Endless,Jessica Shirvington,$9.99 ,9781402289453,Sourcebooks,5/6/14,480.0,8.10(w) x 5.50(h) x 1.30(d),Snakehead(Alex Rider Adventures (Paperback)),Anthony Horowitz,$10.25,9780142412121,Speak,"Sep. 4th, 2008",388,5.44 x 7.30 x 1.13 inches,0
The Hobbit,J. R. R. Tolkien,$8.46 ,9780547928227,Houghton Mifflin Harcourt,9/18/12,320.0,5.40(w) x 8.20(h) x 1.00(d),Skyship Academy(Skyship Academy),Nick James,$12.11,9780738723419,Flux,"Sep. 8th, 2011",376,5.10 x 8.00 x 0.90 inches,0
Snitch,Allison van Diepen,$8.60 ,9781442481657,Simon Pulse,9/3/13,320.0,5.78(w) x 8.12(h) x 0.86(d),Kiss My Math,Danica McKellar,$14.78,9780452295407,Plume Books,"Jun. 1st, 2009",331,6.04 x 9.01 x 0.76 inches,0
Midnight Frost (Mythos Academy Series #5),Jennifer Estep,$7.66 ,9780758281494,Kensington,7/30/13,400.0,8.10(w) x 5.50(h) x 1.70(d),Killers of the Dawn(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$9.97,9780316106542,"Little, Brown Books for Young Readers","May. 1st, 2006",208,5.50 x 8.26 x 0.69 inches,0
Hunters of the Dusk (Cirque Du Freak Series #7),Darren Shan,$7.56 ,9780316602112,"Little, Brown Books for Young Readers",5/11/05,224.0,5.12(w) x 7.62(h) x 0.75(d),The Pigman & Me,Paul Zindel,$7.94,9781935169307,Graymalkin Media,"Sep. 30th, 2010",179,4.25 x 6.79 x 0.48 inches,0
Cross My Heart and Hope to Spy (Gallagher Girls Series #2),Ally Carter,$9.99 ,9781423100065,Disney-Hyperion,12/23/08,256.0,5.50(w) x 8.20(h) x 0.70(d),Waiting for You,Susane Colasanti,$9.92,9780142415757,Speak,"Apr. 6th, 2010",336,5.54 x 8.30 x 0.83 inches,0
Tom Clancy's Op-Center #10: Sea of Fire,Tom Clancy,$9.99 ,9780425190913,Penguin Publishing Group,6/24/03,400.0,4.21(w) x 6.69(h) x 1.04(d),Stolen Nights(Vampire Queen),Rebecca Maizel,$11.29,9780312649920,St. Martin's Griffin,"Jan. 29th, 2013",320,,0
Indelible (Twixt Series #1),Dawn Metcalf,$7.73 ,9780373210732,Harlequin,7/30/13,384.0,5.60(w) x 8.08(h) x 1.02(d),Hunter Brown and the Eye of Ends(Codebearers),Miller Brothers,$11.30,9781593174002,Warner Press,"Jan. 1st, 2011",381,5.50 x 8.40 x 1.20 inches,0
Insurgente (Divergent Series #2),Veronica Roth,$17.49 ,9788427203181,"Lectorum Publications, Inc.",10/15/13,463.0,5.30(w) x 8.30(h) x 1.40(d),"Lucky Star, Volume 2(Lucky Star (Bandai))",Kagami Yoshimizu,$145.84,9781604961133,Bandai Entertainment,"Nov. 30th, 2009",151,6.54 x 8.26 x 0.42 inches,0
Control,Lydia Kang,$8.28 ,9780142423615,Penguin Young Readers Group,2/10/15,416.0,5.40(w) x 8.20(h) x 1.20(d),The Wish List,Eoin Colfer,,9780439443364,Scholastic,"Jul. 31st, 2004",252,4.18 x 6.70 x 0.71 inches,0
"When Plague Strikes: The Black Death, Smallpox, AIDS",James Cross Giblin,$8.07 ,9780064461955,HarperCollins Publishers,4/28/97,224.0,6.00(w) x 9.00(h) x 0.56(d),Hush,Eishes Chayil,$10.07,9780802723321,Walker Childrens,"Feb. 28th, 2012",368,,0
High Fidelity,Nick Hornby,$13.09 ,9781573225519,Penguin Publishing Group,8/28/96,352.0,5.20(w) x 8.00(h) x 0.90(d),Impulse,Ellen Hopkins,$12.29,9781416903574,Simon Pulse,"May. 20th, 2008",666,5.03 x 6.98 x 1.83 inches,0
The Street,Ann Petry,$13.07 ,9780395901496,Houghton Mifflin Harcourt,3/28/98,448.0,5.50(w) x 8.25(h) x 1.09(d),Home of the Brave,Katherine Applegate,$9.15,9780312535636,Square Fish,"Dec. 23rd, 2008",267,5.30 x 7.60 x 0.70 inches,0
The Teen Vogue Handbook: An Insider's Guide to Careers in Fashion,Teen Vogue,$17.63 ,9781595142610,Penguin Young Readers Group,11/28/14,288.0,6.88(w) x 9.26(h) x 0.90(d),Miss Spitfire,Sarah Miller,$9.25,9781442408517,Atheneum Books,"Aug. 31st, 2010",208,5.20 x 7.76 x 0.72 inches,0
Shadow Kiss (Vampire Academy Series #3),Richelle Mead,$9.99 ,9781595141972,Penguin Young Readers Group,11/13/08,464.0,5.50(w) x 8.12(h) x 0.93(d),Deenie,Judy Blume,$5.79,9780440932598,Laurel Leaf Library,"Sep. 30th, 1991",144,4.18 x 6.88 x 0.42 inches,0
Follow the River,JAMES ALEXANDER Thom,$7.99 ,9780345338549,Random House Publishing Group,11/28/86,416.0,4.23(w) x 6.87(h) x 1.08(d),The Final Warning(Maximum Ride (Quality)),James Patterson,$10.71,9780316002875,"Little, Brown Young Readers","Sep. 1st, 2008",256,5.28 x 7.56 x 0.81 inches,0
Slated (Slated Series #1),Teri Terry,$9.99 ,9780142425039,Penguin Young Readers Group,8/29/13,368.0,5.40(w) x 8.20(h) x 1.10(d),Soldier Boys,Dean Hughes,$8.69,9780689860218,Simon Pulse,"May. 1st, 2003",230,4.35 x 6.86 x 0.67 inches,0
Someday This Pain Will Be Useful to You,Peter Cameron,$11.63 ,9780312428167,Picador,4/28/09,240.0,8.20(w) x 5.54(h) x 0.64(d),Julius Caesar(Wicked History (Paperback)),Denise Rinaldo,$7.34,9780531228227,Franklin Watts,"Mar. 1st, 2010",128,5.10 x 6.70 x 0.20 inches,0
The Anger Workbook for Teens: Activities to Help You Deal with Anger and Frustration,Raychelle Cassada Lohmann,$11.35 ,9781572246997,New Harbinger Publications,12/2/09,144.0,7.80(w) x 9.80(h) x 0.40(d),The Adventures of Ulysses,Bernard Evslin,$128.93,9780590425995,Scholastic,"Jan. 1st, 1980",179,4.24 x 6.60 x 0.55 inches,0
Othello (Oxford School Shakespeare Series),William Shakespeare,$9.95 ,9780198328735,Oxford University Press,5/23/09,208.0,6.60(w) x 8.40(h) x 0.60(d),The Reckoning(Darkest Powers (Paperback)),Kelley Armstrong,$10.72,9780061450563,HarperCollins,"Apr. 12th, 2011",391,5.41 x 7.99 x 1.06 inches,0
Raised by Wolves (Raised by Wolves Series #1),Jennifer Lynn Barnes,$7.37 ,9781606842119,Lerner Publishing Group,5/10/11,448.0,5.10(w) x 7.90(h) x 1.30(d),Temptation(Harlequin Teen),Karen Ann Hopkins,$10.86,9780373210541,Harlequin Teen,"Jun. 26th, 2012",380,5.30 x 8.20 x 1.10 inches,0
Battle Magic,Tamora Pierce,$10.00 ,9780439842983,"Scholastic, Inc.",5/26/15,464.0,5.20(w) x 7.90(h) x 1.00(d),How I Live Now,Meg Rosoff,$9.64,9780553376050,Wendy Lamb Books,"Apr. 11th, 2006",194,5.32 x 8.04 x 0.48 inches,0
Disneylanders,Kate Abbott,$13.94 ,9780991295401,Orchard Hill Press,12/4/13,242.0,5.50(w) x 8.50(h) x 0.55(d),The Adventures of Tintin(Adventures of Tintin (Paperback)),Herge,$11.31,9780316358392,"Little, Brown Books for Young Readers","Apr. 30th, 1975",62,8.64 x 11.42 x 0.19 inches,0
Awakened (House of Night Series #8),P. C. Cast,$9.99 ,9780312387976,St. Martin's Press,6/5/12,304.0,5.50(w) x 8.20(h) x 0.80(d),Shadow Horse,Alison Hart,$9.26,9780375802638,Random House Children's Books,"Mar. 27th, 2001",272,4.20 x 6.80 x 0.80 inches,0
The Fire Wish,Amber Lough,$9.99 ,9780385369794,Random House Children's Books,7/14/15,336.0,5.40(w) x 8.10(h) x 0.90(d),King George: What Was His Problem?,Steve Sheinkin,$10.59,9781596435186,Flash Point,"Jul. 7th, 2009",195,6.28 x 8.56 x 0.56 inches,0
Eulalia! (Redwall Series #19),Brian Jacques,$7.99 ,9780441016235,Penguin Publishing Group,8/26/08,336.0,4.10(w) x 6.70(h) x 1.10(d),Rooftop,Paul Volponi,$7.99,9780142408445,Puffin Books,"May. 17th, 2007",199,6.21 x 8.24 x 0.63 inches,0
Crossed (Matched Trilogy Series #2),Ally Condie,$9.99 ,9780142421710,Penguin Young Readers Group,3/12/13,416.0,5.50(w) x 8.20(h) x 1.20(d),Holes,Louis Sachar,$7.25,9780440228592,Laurel Leaf Library,"Aug. 14th, 2001",256,4.36 x 6.93 x 1.06 inches,0
In the Time of the Butterflies,Julia Alvarez,$11.53 ,9781565129764,Algonquin Books of Chapel Hill,1/12/10,352.0,5.40(w) x 8.10(h) x 1.10(d),The Opal Deception(Artemis Fowl (Mass Market)),Eoin Colfer,,9781423103998,Miramax Books,Unknown,416,4.29 x 6.84 x 1.27 inches,0
Blackout,Robison Wells,$7.75 ,9780062026132,HarperCollins Publishers,8/26/14,448.0,5.30(w) x 7.80(h) x 1.10(d),Prom & Prejudice,Elizabeth Eulberg,$15.69,9780545240789,Point,"Jan. 1st, 2012",231,5.30 x 8.00 x 0.60 inches,0
Confessions of a Murder Suspect,James Patterson,$8.00 ,9781455547746,Grand Central Publishing,5/27/14,352.0,4.10(w) x 6.70(h) x 0.90(d),The Bridge to Never Land,Dave Barry,$10.46,9781423160298,Hyperion Books,"Jun. 5th, 2012",438,4.87 x 8.21 x 0.94 inches,0
Reached (Matched Trilogy Series #3),Ally Condie,$9.99 ,9780142425992,Penguin Young Readers Group,11/19/13,544.0,5.76(w) x 8.20(h) x 1.38(d),Incarnate,Jodi Meadows,$10.86,9780062060761,Katherine Tegen Books,"Jan. 2nd, 2013",400,,0
"Spectrum Writing, Grade 6",School Specialty Publishing,$9.95 ,9780769652863,"Carson-Dellosa Publishing Company, Incorporated",12/11/06,136.0,8.40(w) x 10.80(h) x 0.40(d),Polaris(Tales from the Wonder Zone),Julie E. Czerneda,$11.46,9780889953727,Red Deer Press,"Feb. 13th, 2007",173,6.31 x 8.97 x 0.47 inches,0
The Carrie Diaries (Carrie Diaries Series #1),Candace Bushnell,$9.99 ,9780061728921,HarperCollins Publishers,4/26/11,416.0,5.31(w) x 8.00(h) x 0.93(d),Fated(Soul Seekers (Quality)),Alyson Noel,$11.29,9780312575656,St. Martin's Griffin,"Nov. 13th, 2012",384,,0
Nantucket Blue (Nantucket Blue Series #1),Leila Howland,$8.99 ,9781423161394,Disney-Hyperion,4/15/14,320.0,5.40(w) x 8.10(h) x 0.80(d),So Much Closer,Susane Colasanti,$6.41,9780142421147,Speak,"May. 1st, 2012",241,5.40 x 8.20 x 0.90 inches,0
Antes de ser libres (Before We Were Free),Julia Alvarez,$6.99 ,9780375815454,Random House Children's Books,4/20/04,192.0,4.79(w) x 6.91(h) x 0.56(d),The Lake of Souls(Cirque Du Freak: Saga of Darren Shan (Mass Market)),Darren Shan,$134.70,9780316154376,"Little, Brown Books for Young Readers",Unknown,261,4.20 x 6.78 x 0.75 inches,0
Buddha Boy,Kathe Koja,$6.99 ,9780142402092,Penguin Young Readers Group,11/18/04,128.0,4.25(w) x 6.75(h) x 0.38(d),Lady Knight(Protector of the Small (Paperback)),Tamora Pierce,$9.37,9780375829086,Random House (NY),"Aug. 24th, 2004",429,5.54 x 8.21 x 0.98 inches,0
Envy (Luxe Series #3),Anna Godbersen,$7.67 ,9780061345746,HarperCollins Publishers,9/29/09,405.0,5.31(w) x 8.00(h) x 1.05(d),Alexander the Great(Wicked History (Paperback)),Doug Wilhelm,$129.10,9780531228210,Franklin Watts,"Mar. 1st, 2010",128,5.25 x 7.00 x 0.31 inches,0
Unhinged (Splintered Series #2),A. G. Howard,$8.95 ,9781419713736,Amulet Books,1/6/15,416.0,5.40(w) x 8.10(h) x 1.30(d),The Tale of Troy(Puffin Classics (Paperback)),Roger Lancelyn Green,$8.04,9780141341965,Puffin Books,"May. 10th, 2012",207,5.00 x 6.90 x 0.80 inches,0
"Tan Lines: Sand, Surf, and Secrets; Rays, Romance, and Rivalry; Beaches, Boys, and Betrayal",Katherine Applegate,$7.52 ,9781416961345,Simon Pulse,6/30/08,544.0,5.10(w) x 7.40(h) x 1.50(d),Bridge to Terabithia,Katherine Paterson,$7.96,9780061227288,HarperEntertainment,"Dec. 26th, 2006",163,5.10 x 7.50 x 0.50 inches,0
"The Calling / Changeling / Strife (Sweep Series #7, #8 & #9)",Cate Tiernan,$7.99 ,9780142419557,Penguin Young Readers Group,2/3/11,576.0,5.00(w) x 7.50(h) x 1.60(d),Winning Team(Go-For-Gold Gymnasts),Dominique Moceanu,$6.88,9781423136330,Hyperion Books,"Apr. 17th, 2012",233,5.10 x 7.50 x 0.60 inches,0
The Scar Boys,Len Vlahos,$9.99 ,9781606845660,Lerner Publishing Group,4/7/15,272.0,7.90(w) x 5.10(h) x 0.70(d),Nation,Terry Pratchett,$10.71,9780061433030,HarperCollins,"Sep. 22nd, 2009",367,5.30 x 8.50 x 0.80 inches,0
Sophie's World: A Novel about the History of Philosophy,Jostein Gaarder,$8.57 ,9780374530716,"Farrar, Straus and Giroux",3/6/07,544.0,5.40(w) x 8.20(h) x 1.10(d),"The Kane Chronicles, The, Book One(Kane Chronicles Kane Chronicles)",Rick Riordan,$10.97,9781423113454,Hyperion Books,"Aug. 16th, 2011",544,5.10 x 7.60 x 1.20 inches,0
Peeled,Joan Bauer,$7.99 ,9780142414309,Penguin Young Readers Group,6/25/09,256.0,5.50(w) x 8.20(h) x 0.80(d),The Hunt for the Seventh,Christine Morton-Shaw,$9.56,9780060728243,Katherine Tegen Books,"Oct. 6th, 2009",273,5.46 x 7.58 x 0.65 inches,0
Haroun and the Sea of Stories,Salman Rushdie,$12.13 ,9780140157376,Penguin Publishing Group,11/28/91,224.0,5.00(w) x 7.74(h) x 0.58(d),"I, Juan de Pareja",Elizabeth Borton de Trevino,$9.23,9780312380052,Square Fish,"Apr. 29th, 2008",180,5.42 x 7.60 x 0.55 inches,0
The Land,Mildred D. Taylor,$7.99 ,9780142501467,Penguin Young Readers Group,12/1/03,400.0,6.56(w) x 4.56(h) x 0.99(d),Messenger,Lois Lowry,$9.14,9780440239123,Laurel Leaf Library,Unknown,169,4.26 x 6.86 x 0.53 inches,0
Aquamarine,Alice Hoffman,$6.99 ,9780439098649,"Scholastic, Inc.",3/28/02,112.0,5.30(w) x 7.78(h) x 0.28(d),The Surge(Storm Runners - Trilogy (Paperback)),Roland Smith,$12.28,9780545081788,Scholastic Paperbacks,"Apr. 1st, 2012",133,5.20 x 7.30 x 0.50 inches,0
Doomed Queen Anne (Young Royals Series),Carolyn Meyer,$6.81 ,9780152050863,Houghton Mifflin Harcourt,1/1/09,240.0,4.60(w) x 7.18(h) x 0.69(d),Dragon and Soldier(Dragonback (Quality)),Timothy Zahn,$46.86,9780765350176,Starscape Books,"Jan. 31st, 2005",301,5.24 x 7.58 x 0.81 inches,0
Merriam-Webster's Student Atlas,Merriam-Webster,$9.06 ,9780877796381,"Merriam-Webster, Inc.",4/28/06,132.0,8.40(w) x 10.70(h) x 0.40(d),"The New Nation, 1789-1850(History of US (Paperback))",Joy Hakim,$15.63,9780195327182,"Oxford University Press, USA","Feb. 4th, 2007",199,7.60 x 9.04 x 0.41 inches,0
Pretties (Uglies Series #2),Scott Westerfeld,$10.42 ,9781442419803,Simon Pulse,5/3/11,368.0,5.36(w) x 8.22(h) x 1.02(d),The Trojan War,Olivia E. Coolidge,$8.48,9780618154289,Houghton Mifflin Harcourt (HMH),"Oct. 29th, 2001",256,5.51 x 8.26 x 0.69 inches,0
The Prince of Mist,Carlos Ruiz Zaf�_n,$6.89 ,9780316044806,"Little, Brown Books for Young Readers",4/12/11,256.0,5.50(w) x 8.25(h) x 0.75(d),If I Was Your Girl,Ni-Ni Simone,$10.67,9780758228413,Dafina Books,"Oct. 1st, 2008",261,6.40 x 8.60 x 0.70 inches,0
"The Morganville Vampires, Volume 4",Rachel Caine,$9.99 ,9780451234261,Penguin Publishing Group,6/7/11,464.0,5.40(w) x 8.20(h) x 1.10(d),Handbook for Boys,Walter Dean Myers,$9.94,9780064409308,Amistad Press,"Apr. 1st, 2003",224,4.38 x 6.84 x 0.61 inches,0
Truth or Dare (Truth or Dare Series #1),Jacqueline Green,$8.24 ,9780316220354,"Little, Brown Books for Young Readers",4/1/14,416.0,5.50(w) x 8.50(h) x 1.25(d),The Summer I Turned Pretty,Jenny Han,$10.60,9781416968290,Simon & Schuster Books for Young Readers,"Apr. 6th, 2010",304,5.60 x 8.20 x 0.80 inches,0
House of Stairs,William Sleator,$6.99 ,9780140345803,Penguin Young Readers Group,10/21/04,176.0,4.25(w) x 7.25(h) x 0.44(d),Nyx in the House of Night,P. C. Cast,$14.42,9781935618553,Smart Pop,"Jun. 7th, 2011",219,7.05 x 8.95 x 0.53 inches,0
"I, Robot",Isaac Asimov,$12.30 ,9780553382563,Random House Publishing Group,4/29/08,256.0,5.49(w) x 8.22(h) x 0.54(d),Messenger,Lois Lowry,$9.14,9780440239123,Laurel Leaf Library,Unknown,169,4.26 x 6.86 x 0.53 inches,0
The Mindful Teen: Powerful Skills to Help You Handle Stress One Moment at a Time,Dzung X. Vo,$12.15 ,9781626250802,New Harbinger Publications,4/1/15,248.0,5.90(w) x 7.90(h) x 0.60(d),Warriors: Omen of the Stars #5(Warriors: Omen of the Stars),Erin Hunter,$7.59,9780061555268,HarperCollins,"Dec. 26th, 2012",384,,0
The Pigman & Me,Paul Zindel,$6.30 ,9781935169307,Graymalkin Media,9/28/10,179.0,4.10(w) x 6.70(h) x 0.70(d),Living Dead Girl,Elizabeth Scott,$10.67,9781416960607,Simon Pulse,"Sep. 8th, 2009",170,5.50 x 8.10 x 0.70 inches,0
"Truly, Madly, Deadly",Hannah Jayne,$9.99 ,9781402281211,Sourcebooks,7/2/13,272.0,5.40(w) x 8.20(h) x 0.90(d),Un Lun Dun,China Mieville,$10.51,9780345458445,Del Rey Books,"Jan. 29th, 2008",474,5.56 x 8.30 x 1.05 inches,0
McGraw-Hill Math Grade 7,McGraw-Hill Education,$9.15 ,9780071748636,McGraw-Hill Professional Publishing,3/7/11,160.0,8.30(w) x 10.70(h) x 0.30(d),The Witch of Blackbird Pond,Elizabeth George Speare,,9780440995777,Laurel Leaf Library,"May. 31st, 1978",224,4.10 x 7.09 x 0.70 inches,0
Antigoddess (Goddess War Series #1),Kendare Blake,$9.99 ,9780765334466,Tom Doherty Associates,8/19/14,352.0,5.40(w) x 8.20(h) x 1.00(d),"Every You, Every Me",David Levithan,$11.00,9780375854514,Ember,"Sep. 11th, 2012",256,,0
"Mississippi Jack: Being an Account of the Further Waterborne Adventures of Jacky Faber, Midshipman, Fine Lady, and Lily of the West (Bloody Jack Adventure Series #5)",L. A. Meyer,$8.99 ,9780152066321,Houghton Mifflin Harcourt,9/13/10,624.0,5.50(w) x 8.10(h) x 1.10(d),The Raging Fires(Merlin (Puffin)),T. A. Barron,$9.17,9780142419212,Puffin Books,"May. 12th, 2011",261,6.62 x 7.78 x 0.85 inches,0
Gasp (Visions Series #3),Lisa McMann,$9.99 ,9781442466319,Simon Pulse,12/9/14,304.0,8.20(w) x 5.50(h) x 0.90(d),Shane,Jack Schaefer,$11.41,9780553271102,Starfire,"Sep. 1st, 1983",160,4.24 x 6.92 x 0.45 inches,0
Hero,Perry Moore,$9.99 ,9781423101963,Disney-Hyperion,5/5/09,432.0,5.50(w) x 8.20(h) x 0.90(d),Breaking Through,Francisco Jimenez,$9.17,9780618342488,Houghton Mifflin Harcourt (HMH),"Oct. 1st, 2002",208,5.06 x 7.04 x 0.52 inches,0
Parable of the Talents,Octavia E. Butler,$13.00 ,9780446675789,Warner Books (NY),1/28/00,464.0,5.25(w) x 8.00(h) x 1.25(d),Many Waters(Madeleine L'Engle's Time Quintet),Madeleine L'Engle,$8.56,9780312368579,Square Fish,"May. 1st, 2007",357,5.20 x 7.50 x 0.90 inches,0
Ilse Witch (Voyage of the Jerle Shannara Series #1),Terry Brooks,$7.09 ,9780345396556,Random House Publishing Group,8/28/01,464.0,4.19(w) x 6.88(h) x 1.23(d),Obernewtyn(Obernewtyn Chronicles the Obernewtyn Chronicles),Isobelle Carmody,$8.44,9780375857676,Random House Books for Young Readers,"Dec. 9th, 2008",244,4.10 x 6.70 x 0.80 inches,0
The Statistical Probability of Love at First Sight,Jennifer E. Smith,$8.78 ,9780316122399,"Little, Brown Books for Young Readers",1/1/13,272.0,5.40(w) x 8.20(h) x 0.90(d),"The White House(I, Q (Paperback))",Roland Smith,$9.88,9781585364565,Sleeping Bear Press,"Jun. 25th, 2010",256,5.84 x 8.70 x 0.64 inches,0
From Cover to Cover: Evaluating and Reviewing Children's Books,Kathleen T. Horning,$10.72 ,9780060777579,HarperCollins Publishers,4/27/10,229.0,5.90(w) x 8.90(h) x 0.80(d),33 Things Every Girl Should Know,Tonya Bolden,$11.80,9780517709368,Alfred A. Knopf,"Feb. 17th, 1998",160,7.13 x 8.89 x 0.42 inches,0
Star Wars The New Rebellion,Kristine Kathryn Rusch,$7.14 ,9780553574142,Random House Publishing Group,9/28/97,532.0,4.17(w) x 7.18(h) x 0.91(d),The Stress Reduction Workbook for Teens(Instant Help Solutions),Gina M. Biegel,$14.75,9781572246973,New Harbinger Publications,"Jan. 1st, 2010",118,8.08 x 10.00 x 0.28 inches,0
Star Wars The New Jedi Order #7: Edge of Victory I: Conquest,Greg Keyes,$7.99 ,9780345428646,Random House Publishing Group,4/3/01,304.0,4.19(w) x 6.87(h) x 0.82(d),Obernewtyn(Obernewtyn Chronicles the Obernewtyn Chronicles),Isobelle Carmody,$8.44,9780375857676,Random House Books for Young Readers,"Dec. 9th, 2008",244,4.10 x 6.70 x 0.80 inches,0
ACID,Emma Pass,$8.89 ,9780385372428,Random House Children's Books,4/14/15,384.0,5.50(w) x 8.25(h) x 0.80(d),Nail Art [With 6 Bottles of Nail Paint],Sherri Haab,$122.94,9781591746683,Klutz,"Dec. 1st, 2009",58,9.30 x 8.08 x 1.05 inches,0
Green Angel,Alice Hoffman,$5.99 ,9780545204118,"Scholastic, Inc.",2/1/10,144.0,4.10(w) x 6.70(h) x 0.50(d),Canyons,Gary Paulsen,$5.79,9780440210238,Laurel Leaf Library,"Aug. 31st, 1991",192,4.30 x 7.14 x 0.53 inches,0
Daily Reflections for Highly Effective Teens,Sean Covey,$10.97 ,9780684870601,Touchstone,11/16/99,384.0,4.00(w) x 6.00(h) x 0.90(d),Lemonade Mouth,Mark Peter Hughes,$9.26,9780385735117,Delacorte Press Books for Young Readers,"Nov. 11th, 2008",338,5.20 x 8.10 x 0.70 inches,0
Peter and the Secret of Rundoon (Starcatchers Series #3),Ridley Pearson,$8.99 ,9781423123262,Disney-Hyperion,6/9/09,496.0,5.70(w) x 7.80(h) x 1.10(d),Evil Star(Gatekeepers (Paperback)),Anthony Horowitz,$9.71,9780439680080,Scholastic,"Apr. 1st, 2009",318,5.14 x 7.78 x 0.85 inches,0
Jingo (Discworld Series #21),Terry Pratchett,$8.67 ,9780062280206,HarperCollins Publishers,4/29/14,464.0,4.10(w) x 7.30(h) x 1.30(d),Lies(Gone (Paper)),Michael Grant,$10.87,9780061449116,Katherine Tegen Books,"Apr. 5th, 2011",447,5.44 x 7.99 x 1.20 inches,0
Conversion,Katherine Howe,$10.00 ,9780147511553,Penguin Young Readers Group,6/16/15,432.0,5.40(w) x 8.20(h) x 1.40(d),Eva,Peter Dickinson,$9.14,9780440207665,Laurel Leaf Library,"Oct. 1st, 1990",224,4.28 x 6.96 x 0.62 inches,0
Nothing But the Truth: A Documentary Novel,Avi,$6.99 ,9780545174152,"Scholastic, Inc.",1/1/10,208.0,5.20(w) x 7.40(h) x 0.70(d),Kingdom Keepers(Kingdom Keepers (Paperback)),Ridley Pearson,$10.27,9781423123118,Hyperion Books,"Sep. 1st, 2009",336,5.50 x 8.10 x 0.70 inches,0
Star Wars The Han Solo Trilogy #1: The Paradise Snare,A. C. Crispin,$7.99 ,9780553574159,Random House Publishing Group,5/28/97,336.0,4.17(w) x 6.88(h) x 0.87(d),The Red Badge of Courage(Puffin Classics (Paperback)),Stephen Crane,$6.80,9780141327525,Puffin Books,"Nov. 12th, 2009",215,5.04 x 6.98 x 0.72 inches,0
Mockingjay (Hunger Games Series #3),Suzanne Collins,$8.23 ,9780545663267,"Scholastic, Inc.",2/25/14,400.0,5.30(w) x 7.90(h) x 1.00(d),"Run, Boy, Run",Uri Orlev,$12.90,9780618957064,Houghton Mifflin Harcourt (HMH),"Oct. 29th, 2007",186,5.26 x 7.64 x 0.49 inches,0
The Pioneers (Barnes & Noble Library of Essential Reading),James Fenimore Cooper,$11.39 ,9780760779019,Barnes & Noble,4/20/06,496.0,5.50(w) x 8.25(h) x (d),Weedflower,Cynthia Kadohata,$9.16,9781416975663,Aladdin Paperbacks,"Jan. 27th, 2009",260,5.16 x 7.63 x 0.72 inches,0
Face Forward,Kevyn Aucoin,$19.40 ,9780316287050,"Little, Brown and Company",10/25/01,176.0,9.12(w) x 12.12(h) x 0.50(d),Inside Out,Terry Trueman,$9.83,9780064473767,Harper Teen,"Oct. 26th, 2004",128,5.00 x 7.20 x 0.30 inches,0
The Pigman's Legacy,Paul Zindel,$8.99 ,9780060759704,HarperCollins Publishers,3/29/05,176.0,4.18(w) x 6.75(h) x 0.44(d),Banner in the Sky,James Ramsey Ullman,$9.86,9780064470483,HarperTrophy,"Apr. 15th, 1988",288,4.23 x 7.02 x 0.68 inches,0
Lords and Ladies (Discworld Series #14),Terry Pratchett,$9.46 ,9780062237392,HarperCollins Publishers,10/29/13,384.0,4.20(w) x 7.40(h) x 1.10(d),"Wolves, Boys, & Other Things That Might Kill Me",Kristen Chandler,$9.35,9780142418833,Speak,"May. 12th, 2011",371,5.40 x 8.10 x 1.10 inches,0
