ID,Title,Time,Director,Year,Cast
3178,Temple Grandin , 109 minutes ,Mick Jackson,2010,Claire Danes
3179,Citizenfour    ,"1 hour, 54 minutes",Laura Poitras,2014,"Edward Snowden, Glenn Greenwald"
3180,People Places Things    ,"1 hour, 27 minutes",Jim Strouse,2015,"Jemaine Clement,Regina Hall"
3181,Saving Mr. Banks , 125 minutes ,John Lee Hancock,2014,Emma Thompson
3182,The Social Network    ,"2 hours, 1 minute",David Fincher,2010,"Jesse Eisenberg, Rooney Mara"
3183,The Mighty    ,"1 hour, 41 minutes",Peter Chelsom,1998,"Harry Dean Stanton, Gena Rowlands"
3184,One Thing She Doesn't Have (English Subtitled)   ,"1 hour, 36 minutes",Yoo Jung-hwan,2014,"Cha Ye-ryun,Jo Hyun-jae"
3185,Silver Shoes , 73 minutes ,Jennifer Lyon Bell,2015,Liandra Dahl
3186,And the Band Played On    ,"2 hours, 21 minutes",Roger Spottiswoode,1993,"Matthew Modine, Alan Alda"
3187,Zero Dark Thirty    ,"2 hours, 37 minutes",Kathryn Bigelow,2012,"Jason Clarke, Reda Kateb"
3188,The Good Witch's Garden    ,"1 hour, 27 minutes",Craig Pryce,2009,"Catherine Bell, Chris Potter"
3189,Hard Times    ,"1 hour, 34 minutes",Walter Hill,1975,"Charles Bronson, James Coburn"
3190,Villa Des Roses    ,"1 hour, 55 minutes",Frank Van Passel,2002,"Julie Delpy, Shaun Dingwall"
3191,Mama    ,"1 hour, 41 minutes",Andrés Muschietti,2013,"Jessica Chastain, Nikolaj Coster-Waldau"
3192,Burlesque , 119 minutes ,Steve Antin,2011,Cher
3193,Under the Skin [Blu-ray] , 108 minutes ,Jonathan Glazer,2014,Scarlett Johansson
3194,The Girl With The Dragon Tattoo    ,"2 hours, 39 minutes",David Fincher,2011,"Daniel Craig, Rooney Mara"
3195,Wolf Children (Blu-ray/DVD Combo) , 117 minutes ,Mike McFarland,2013,Colleen Clinkenbeard
3196,Main Street    ,"1 hour, 35 minutes",John Doyle,2011,"Colin Firth, Ellen Burstyn"
3197,Good Kill    ,"1 hour, 43 minutes",Andrew Niccol,2015,"Fatima El Bahraquy, El Khttabi Abdelouahab"
3198,Minority Report    ,"2 hours, 26 minutes",Steven Spielberg,2002,"Tom Cruise, Max von Sydow"
3199,Veronica Mars    ,"1 hour, 48 minutes",Rob Thomas,2014,"Kristen Bell, Jason Dohring"
3200,On The Shore (English Subtitled)   ,"1 hour, 33 minutes",Julien Donada,2012,"Daniel Duval, Chiara Caselli"
3201,A Big Love Story    ,"1 hour, 32 minutes",Ryan Sage,2013,"Robbie Kaller, Jillian Leigh"
3202,People Will Talk    ,"1 hour, 51 minutes",Joseph L. Mankiewicz,1951,"Cary Grant, Jeanne Crain"
3203,Lord of the Rings: The Return of the King (Extended Edition)    ,"4 hours, 24 minutes",Peter Jackson,2004,"Noel Appleby, Ali Astin"
3204,Lone Survivor , 122 minutes ,Peter Berg,2014,Mark Wahlberg
3205,The Blind Side    ,"2 hours, 9 minutes",John Lee Hancock,2009,"Sandra Bullock, Tim McGraw"
3206,The Mark Of Zorro    ,"1 hour, 33 minutes",Rouben Mamoulian,1940,"Tyrone Power, Linda Darnell"
3207,Red Vacance Black Wedding (English Subtitled)   ,"1 hour, 21 minutes",Tai-sik Kim,2011,"Seon-mok Jo, Ji-hye Ahn"
3208,When the Game Stands Tall , 115 minutes ,Thomas Carter,2014,Clancy Brown
3209,2 to Tangle    ,"1 hour, 46 minutes",Caleb Johnson,2014,"Kassy Collins, Clay Doss"
3210,College Boys Live    ,"1 hour, 34 minutes",George O'Donnell,2009,"Zac Adams,Jonathan Greer"
3211,Oh Christmas Tree! , 89 minutes ,Craig Pryce,2014,Sarah Lancaster
3212,Hombre    ,"1 hour, 51 minutes",Martin Ritt,1967,"Paul Newman, Fredric March"
3213,La Repetition (English Subtitled)   ,"1 hour, 32 minutes",Catherine Corsini,2001,"Emmanuelle Béart, Pascale Bussières"
3214,A League of Their Own , 128 minutes ,Penny Marshall,1997,David Strathairn
3215,I'll See You in My Dreams (DVD) , 97 minutes ,Brett Haley,2015,
3216,The Monuments Men , 118 minutes ,George Clooney,2014,George Clooney
3217,New World Order    ,"1 hour, 26 minutes",Duane McCoy,2013,"Erin Runbeck, Melissa Farley"
3218,The Dark Knight Rises [Blu-ray] , 165 minutes ,Christopher Nolan,2012,Christian Bale
3219,The Notebook (2004) , 124 minutes ,Nick Cassavetes,2008,James Garner
3220,A Beautiful Mind    ,"2 hours, 16 minutes",Ron Howard,2001,"Russell Crowe, Ed Harris"
3221,Danny Collins    ,"1 hour, 48 minutes",Dan Fogelman,2015,"Al Pacino, Annette Bening"
3222,Mrs. Doubtfire    ,"2 hours, 6 minutes",Chris Columbus,1993,"Robin Williams, Sally Field"
3223,Injury Slight    ,"1 hour, 21 minutes",Josh Baxter,2007,Charles O'Sullivan
3224,Late Marriage (English Subtitled)   ,"1 hour, 26 minutes",Dover Koshashvili,2001,"Lior Ashkenazi, Ronit Elkabetz"
3225,Vacationland    ,"1 hour, 45 minutes",Todd Verow,2006,"Brad Hallowell, Gregory J. Lucas"
3226,Far From the Madding Crowd , 119 minutes ,Thomas Vinterberg,2015,Matthias Schoenaerts
3227,Lovesick    ,"1 hour, 25 minutes",Luke Matheny,2015,"Matt LeBlanc, Ali Larter"
3228,Beauty and the Least    ,"1 hour, 26 minutes",Bryce Clark,2013,"Ben Banks, Katharine Towne"
3229,Dallas Buyers Club    ,"1 hour, 58 minutes",Jean-Marc Vallée,2013,"Matthew McConaughey, Jennifer Garner"
3230,Turning Point    ,"1 hour, 43 minutes",Niyi Towolawi,2015,"Jackie Appiah, Igoni Archibong"
3231,The Shawshank Redemption    ,"2 hours, 23 minutes",Frank Darabont,1994,"Tim Robbins, Morgan Freeman"
3232,Fast & Furious 6-Movie Collection [Blu-ray] , 952 minutes ,Rob Cohen,2014,Vin Diesel
3233,The Babadook    ,"1 hour, 34 minutes",Jennifer Kent,2014,"Essie Davis, Noah Wiseman"
3234,The Wire: The Complete Series , 3645 minutes ,Various,2011,Various
3235,True Love    ,"1 hour, 13 minutes",Michael J. Saul,2005,"John Ainsworth, Charlotte Ann"
3236,The Book Thief    ,"2 hours, 10 minutes",Brian Percival,2013,"Roger Allam, Sophie Nélisse"
3237,You Don't Know Jack    ,"2 hours, 15 minutes",Barry Levinson,2010,"Al Pacino, Brenda Vaccaro"
3238,Where Hope Grows [DVD + Digital] , 98 minutes ,Chris Dowling,2015,Danica McKellar
3239,The Judge (2014)   ,"2 hours, 22 minutes",David Dobkin,2014,"Robert Downey Jr., Robert Duvall"
3240,The Bishop's Wife , 109 minutes ,Various,2013,Various
3241,Lost Christmas    ,"1 hour, 37 minutes",John Hay,2014,"Eddie Izzard, Larry Mills"
3242,Bullhead (English Subtitled)   ,"2 hours, 9 minutes",Michaël R. Roskam,2012,"Matthias Schoenaerts, Jeroen Perceval"
3243,The Hobbit: An Unexpected Journey (Extended Edition)    ,"3 hours, 3 minutes",Peter Jackson,2012,"Ian McKellen, Martin Freeman"
3244,Grease , 111 minutes ,Randal Kleiser,2006,John Travolta
3245,It Happened One Night    ,"1 hour, 46 minutes",Frank Capra,1934,"Clark Gable, Claudette Colbert"
3246,The Lucky One    ,"1 hour, 41 minutes",Scott Hicks,2012,"Zac Efron, Taylor Schilling"
3247,The Outsiders    ,"1 hour, 32 minutes",Francis Ford Coppola,1983,"C. Thomas Howell, Matt Dillon"
3248,Pride & Prejudice , 129 minutes ,Joe Wright (IV),2006,Keira Knightley
3249,Bloomington    ,"1 hour, 23 minutes",Fernanda Cardoso,2010,"Allison McAtee, Sarah Stouffer"
3250,Little Shop of Horrors , 94 minutes ,Frank Oz,2009,Rick Moranis
3251,Saving Private Ryan (Sapphire Series)  [Blu-ray] , 169 minutes ,Steven Spielberg,2010,Tom Hanks
3252,Bathory: Countess of Blood    ,"2 hours, 21 minutes",Juraj Jakubisko,2008,"Anna Friel, Karel Roden"
3253,Eat Pray Love    ,"2 hours, 21 minutes",Ryan Murphy,2010,"Julia Roberts, I. Gusti Ayu Puspawati"
3254,Rocky: Heavyweight Collection (Rocky / Rocky II / Rocky III / Rocky IV / Rocky V / Rocky Balboa) [Blu-ray] , 635 minutes ,Sylvester Stallone,2014,Sylvester Stallone
3255,St. Vincent , 102 minutes ,Theodore Melfi,2015,Bill Murray
3256,Saving Private Ryan    ,"2 hours, 50 minutes",Steven Spielberg,1998,"Tom Hanks, Tom Sizemore"
3257,Apollo 13    ,"2 hours, 21 minutes",Ron Howard,1995,"Tom Hanks, Bill Paxton"
3258,Now You See Me    ,"1 hour, 56 minutes",Louis Leterrier,2013,"Jesse Eisenberg, Mark Ruffalo"
3259,Jupiter Ascending , 127 minutes ,Lana Wachowski,2015,Channing Tatum
3260,Expecting    ,"1 hour, 28 minutes",Jessie McCormack,2013,"Michelle Monaghan, Radha Mitchell"
3261,Diary of a Tired Black Man    ,"1 hour, 48 minutes",Tim Alexander,2009,"Jimmy Jean-Louis, Paula Lema"
3262,Take This Waltz    ,"1 hour, 56 minutes",Sarah Polley,2012,"Michelle Williams, Seth Rogen"
3263,Whiplash [Blu-ray] , 107 minutes ,Damien Chazelle,2015,J.K. Simmons
3264,The Girlfriend Experience    ,"1 hour, 18 minutes",Steven Soderbergh,2009,"Sasha Grey, Chris Santos"
3265,Still Alice    ,"1 hour, 42 minutes",Richard Glatzer,2015,"Julianne Moore, Kate Bosworth"
3266,Insidious , 103 minutes ,James Wan,2011,Patrick Wilson
3267,The Congress    ,"2 hours, 3 minutes",Ari Folman,2013,"Robin Wright, Harvey Keitel"
3268,Remember The Titans    ,"1 hour, 54 minutes",Boaz Yakin,2000,"Denzel Washington, Will Patton"
3269,The Garden Of Earthly Delights    ,"1 hour, 44 minutes",Lech Majewski,2004,"Claudine Spiteri, Chris Nightingale"
3270,The Twilight Saga:  New Moon    ,"2 hours, 11 minutes",Chris Weitz,2009,"Kristen Stewart, Christina Jastrzembska"
3271,Low Down    ,"1 hour, 55 minutes",Jeff Preiss,2014,"John Hawkes, Elle Fanning"
3272,Dracula Untold (Blu-ray + DVD + DIGITAL HD with UltraViolet) , 93 minutes ,Gary Shore,2015,Luke Evans
3273,Bad News Bears Go To Japan    ,"1 hour, 33 minutes",John Berry,1978,"Tony Curtis, Jackie Earle Haley"
3274,Gloria,"2 hours, 8 minutes",Christian Keller,2015,"Sofia Espinosa,Marco Perez"
3275,KGB Connections    ,"2 hours, 11 minutes",Martyn Burke,2011,"Harold Brown, Nikita Khrushchev"
3276,The Theory of Everything , 124 minutes ,James Marsh,2015,Eddie Redmayne
3277,Asylum    ,"1 hour, 40 minutes",David Mackenzie,2005,"Natasha Richardson, Hugh Bonneville"
3278,From the Head    ,"1 hour, 33 minutes",George Griffith,2012,"George Griffith, Matthew Lillard"
3279,The End of the Tour [DVD + Digital] , 106 minutes ,James Ponsoldt,2015,Jesse Eisenberg
3280,Camembert Rose (English Subtitled)   ,"1 hour, 31 minutes",Barnabás Tóth,2009,"Barnabás Tóth, Zoltán Bezerédy"
3281,The Wedding Ringer    ,"1 hour, 42 minutes",Jeremy Garelick,2015,"Kevin Hart, Josh Gad"
3282,The Last Dragon [Blu-ray] , 108 minutes ,Michael Schultz,2015,Faith Prince
3283,Melo (English Subtitled)   ,"2 hours, 1 minute",Roy Lee,2012,"Kim Hye-na,Lee Sun-ho"
3284,Gradiva (English Subtitled)   ,"1 hour, 54 minutes",Alain Robbe-Grillet,2007,"James Wilby, Arielle Dombasle"
3285,Slaughterhouse    ,"1 hour, 26 minutes",Rick Roessler,1987,"Joe Barton,Sherry Bendorff"
3286,A View from a Hill    ,40 minutes,Luke Watson,2005,"Mark Letheren, Pip Torrens"
3287,Thor [DVD] , 114 minutes ,Kenneth Branagh,2013,
3288,The Kitchen    ,"1 hour, 20 minutes",Ishai Setton,2012,"Laura Prepon, Bryan Greenberg"
3289,Semper Fight    ,"1 hour, 17 minutes",Antone Anania,2014,"Michael Anderson, Shanna Beauchamp"
3290,The Departed    ,"2 hours, 32 minutes",Martin Scorsese,2006,"Leonardo DiCaprio, Matt Damon"
3291,Apollo 13 [Blu-ray] , 140 minutes ,Ron Howard,2015,Tom Hanks
3292,Somewhere in Time (Collector's Edition) , 104 minutes ,Jeannot Szwarc,2000,Christopher Reeve
3293,Apocalypse Now Redux    ,"3 hours, 16 minutes",Francis Ford Coppola,1979,"Marlon Brando, Martin Sheen"
3294,Burlesque    ,"2 hours, 0 minutes",Steve Antin,2010,"Cher, Christina Aguilera"
3295,Do You Believe?    ,"2 hours, 0 minutes",Jon Gunn,2015,"Senyo Amoaku, Sean Astin"
3296,Remember the Titans (Widescreen Edition) , 113 minutes ,Boaz Yakin,2001,Denzel Washington
3297,Into The Woods (Theatrical)    ,"2 hours, 5 minutes",Rob Marshall,2014,"Anna Kendrick, Daniel Huttlestone"
3298,Straightman    ,"1 hour, 41 minutes",Ben Berkowitz,1999,"Ben Redgrave, Ben Berkowitz"
3299,Lost Paradise (English Subtitled)   ,"1 hour, 28 minutes",Ève Deboise,2012,"Pauline Etienne, Olivier Rabourdin"
3300,Kiki's Delivery Service [Blu-ray] , 105 minutes ,Hayao Miyazaki,2014,Kirsten Dunst
3301,The Hustler    ,"2 hours, 15 minutes",Robert Rossen,1961,"Paul Newman, Jackie Gleason"
3302,You Cast A Spell On Me    ,"1 hour, 27 minutes",Tosca Musk,2015,"Nikki Deloach,Ryan McPartlin"
3303,St. Vincent    ,"1 hour, 42 minutes",Theodore Melfi,2014,"Bill Murray, Melissa McCarthy"
3304,Relations (English Subtitled)   ,"1 hour, 20 minutes",Dunya Smirnova,2006,"Mikhail Porechenkov,Anna Mikhalkova"
3305,Convict    ,"1 hour, 42 minutes",David Field,2015,"David Field,George Basha"
3306,Army of Darkness    ,"1 hour, 22 minutes",Sam Raimi,1993,"Bruce Campbell, Embeth Davidtz"
3307,Elizabeth's Gift    ,"1 hour, 26 minutes",Rob Diamond,2015,"Kari Hawker,Paul Hunt"
3308,A Little Chaos (DVD) , 113 minutes ,Alan Rickman,2015,Kate Winslet
3309,The Zulu War    ,43 minutes,Bob Carruthers,2014,"Kingsley Glover,Amy - Louise James"
3310,Raising Jeffrey Dahmer    ,"1 hour, 26 minutes",Rich Ambler,2006,"Bo Svenson, Scott Cordes"
3311,The Red Baron    ,"1 hour, 46 minutes",Nikolai Müllerschön,2008,"Tomás Koutník, Tomás Ibl"
3312,American Hustle    ,"2 hours, 19 minutes",David O. Russell,2013,"Christian Bale, Bradley Cooper"
3313,A Perfect Day    ,"1 hour, 31 minutes",Peter Levin,2006,"Rob Lowe, Frances Conroy"
3314,Gandhi    ,"3 hours, 12 minutes",Richard Attenborough,1982,"Ben Kingsley, Candice Bergen"
3315,A Beautiful Mistake (English Subtitled)   ,"1 hour, 26 minutes",Marc Evans,2010,"James Dean Bradfield, Huw Bunford"
3316,Meek's Cutoff    ,"1 hour, 43 minutes",Kelly Reichardt,2011,"Michelle Williams, Bruce Greenwood"
3317,The Help , 146 minutes ,Tate Taylor,2011,Emma Stone
3318,Do Me Love (English Subtitled)   ,"1 hour, 22 minutes",Lou Viger,2011,"Christine Armanger,Lizzie Brocheré"
3319,Sherlock Holmes & The Woman In Green    ,"1 hour, 9 minutes",Roy William Neill,1945,"Basil Rathbone, Nigel Bruce"
3320,Secondhand Lions (2003)    ,"1 hour, 50 minutes",Tim McCanlies,2003,"Michael Caine, Robert Duvall"
3321,The Grand Budapest Hotel [Blu-ray] , 120 minutes ,Wes Anderson,2014,Ralph Fiennes
3322,"McFarland, USA (Theatrical)    ","2 hours, 9 minutes",Niki Caro,2015,"Kevin Costner, Ramiro Rodriguez"
3323,Titanic , 194 minutes ,James Cameron,2012,Leonardo DiCaprio
3324,Days of Heaven    ,"1 hour, 34 minutes",Terrence Malick,1978,"Richard Gere, Brooke Adams"
3325,The Gunman    ,"1 hour, 56 minutes",Pierre Morel,2015,"Sean Penn, Jasmine Trinca"
3326,The Dark Knight Trilogy (Batman Begins / The Dark Knight / The Dark Knight Rises) [Blu-ray] , 456 minutes ,Christopher Nolan,2012,Christian Bale
3327,Seal Team VI: Journey Into Darkness    ,"1 hour, 35 minutes",Mark C. Andrews,2010,"Jeremy Davis, Ken Gamble"
3328,Les Misérables , 158 minutes ,Tom Hooper,2013,Hugh Jackman
3329,The Best Exotic Marigold Hotel , 124 minutes ,John Madden,2012,Maggie Smith
3330,Kinky Boots    ,"1 hour, 47 minutes",Julian Jarrold,2006,"Joel Edgerton, Chiwetel Ejiofor"
3331,What Just Happened    ,"1 hour, 44 minutes",Barry Levinson,2008,"Robert De Niro, Sean Penn"
3332,2012,"2 hours, 39 minutes",Roland Emmerich,2009,"John Cusack, Amanda Peet"
3333,Just Go With It    ,"1 hour, 57 minutes",Dennis Dugan,2011,"Adam Sandler, Jennifer Aniston"
3334,Wreckers    ,"1 hour, 25 minutes",Dictynna Hood,2013,"Claire Foy, Benedict Cumberbatch"
3335,TCM Greatest Classic Films Collection: John Wayne Westerns (The Cowboys / Fort Apache / Rio Bravo / The Searchers) , 519 minutes ,John Ford,2009,John Wayne
3336,5 Flights Up , 93 minutes ,Richard Loncraine,2015,Morgan Freeman
3337,A Very Natural Thing    ,"1 hour, 26 minutes",Christopher Larkin,1974,"Robert McLane, Curt Gareth"
3338,Ravenous    ,"1 hour, 41 minutes",Antonia Bird,1999,"Guy Pearce, Robert Carlyle"
3339,If I Stay , 107 minutes ,R.J. Cutler,2014,Chloe Grace Moretz
3340,Persuasion    ,"1 hour, 48 minutes",Roger Michell,1995,"Amanda Root, Ciarán Hinds"
3341,Julie & Julia    ,"2 hours, 4 minutes",Nora Ephron,2009,"Meryl Streep, Amy Adams"
3342,The Stanford Prison Experiment , 122 minutes ,Kyle Patrick Alvarez,2015,Billy Crudup
3343,And Then There Were None - 1945    ,"2 hours, 0 minutes",René Clair,2011,"Barry Fitzgerald, Walter Huston"
3344,I Witness    ,"1 hour, 39 minutes",Rowdy Herrington,2003,"Jeff Daniels, James Spader"
3345,5 Flights Up    ,"1 hour, 30 minutes",Richard Loncraine,2015,"Morgan Freeman, Diane Keaton"
3346,Cast Away    ,"2 hours, 24 minutes",Robert Zemeckis,2000,"Paul Sanchez, Lari White"
3347,Into It    ,"1 hour, 24 minutes",Jeffrey Maccubbin,2006,"Bradley Baloff, Richard Jones"
3348,The Broken Circle Breakdown (English Subtitled)    ,"1 hour, 52 minutes",Felix van Groeningen,2014,"Johan Heldenbergh, Veerle Baetens"
3349,The Devil's Backbone (Criterion Collection) [Blu-ray] , 108 minutes ,Guillermo del Toro,2013,Marisa Paredes
3350,Gangs Of New York    ,"2 hours, 47 minutes",Martin Scorsese,2003,"Leonardo DiCaprio, Daniel Day-Lewis"
3351,The Newsroom: Cast and Creators Live at PALEYFEST    ,"1 hour, 27 minutes",The Paley Center for Media,2013,"Jeff Daniels,Emily Mortimer"
3352,I'm Losing You    ,"1 hour, 43 minutes",Bruce Wagner,1999,"Frank Langella, Daniel von Bargen"
3353,Paranormal Activity 2    ,"1 hour, 32 minutes",Tod Williams,2010,"David Bierend, Brian Boland"
3354,The Ghost and Mrs. Muir , 104 minutes ,Joseph L. Mankiewicz,2003,Gene Tierney
3355,The Raid 2 [Blu-ray] , 150 minutes ,Gareth Evans,2014,Iko Uwais
3356,Pearl Harbor , 183 minutes ,Michael Bay,2001,Ben Affleck
3357,Camp Belvidere    ,39 minutes,Astrid Ovalles,2014,"Molly Way, Astrid Ovalles"
3358,The Truman Show    ,"1 hour, 43 minutes",Peter Weir,1998,"Jim Carrey, Laura Linney"
3359,Silver Linings Playbook , 122 minutes ,David O. Russell,2013,Bradley Cooper
3360,Renoir (English Subtitled)   ,"1 hour, 52 minutes",Gilles Bourdos,2013,"Michel Bouquet, Christa Théret"
3361,Return to Snowy River , 99 minutes ,Geoff Burrowes,2003,Tom Burlinson
3362,Full Metal Jacket    ,"1 hour, 57 minutes",Stanley Kubrick,1987,"Matthew Modine, Adam Baldwin"
3363,Sense & Sensibility (Special Edition) , 136 minutes ,Ang Lee,1999,James Fleet
3364,Juno    ,"1 hour, 37 minutes",Jason Reitman,2007,"Ellen Page, Michael Cera"
3365,The Things Between Us [English Subtitled]    ,"1 hour, 32 minutes",Iris Janssen,2008,"Daniela Wutte, Christoph Jacobi"
3366,Eden Log    ,"1 hour, 43 minutes",Franck Vestiel,2007,"Clovis Cornillac, Vimala Pons"
3367,The Living    ,"1 hour, 32 minutes",Jack Bryan,2015,"Fran Kranz, Jocelin Donahue"
3368,A Few Good Men    ,"2 hours, 18 minutes",Rob Reiner,1992,"Tom Cruise, Jack Nicholson"
3369,Shining Through    ,"2 hours, 13 minutes",David Seltzer,1992,"Michael Douglas, Melanie Griffith"
3370,Campfire (English Subtitled)   ,"1 hour, 33 minutes",Joseph Cedar,2004,"Michaela Eshet, Hani Furstenberg"
3371,Bayou Blue    ,"1 hour, 18 minutes",Alix Lambert,2014,"Ricky Wallace,Octavia Jones"
3372,Love Me Not (English Subtitled)   ,"2 hours, 0 minutes",Lee Cheol-ha,2006,"Moon Geun-young,Kim Ju-hyeok"
3373,The French Connection    ,"1 hour, 44 minutes",William Friedkin,1971,"Gene Hackman, Fernando Rey"
3374,The Boy Next Door    ,"1 hour, 31 minutes",Rob Cohen,2015,"Jennifer Lopez, Ryan Guzman"
3375,The Book Thief , 131 minutes ,Brian Percival,2014,Sophie Nélisse
3376,The Lord of the Rings: The Return of the King    ,"3 hours, 21 minutes",Peter Jackson,2003,"Noel Appleby, Ali Astin"
3377,"No Country for Old Men [Blu-ray, Digital HD, Ultraviolet] ", 122 minutes ,Ethan Coen,2011,Tommy Lee Jones
3378,Transe (English Subtitled)   ,"2 hours, 0 minutes",Teresa Villaverde,2006,"Ana Moreira, Viktor Rakov"
3379,Rocky (Five-Disc Boxed Set) , 538 minutes ,Sylvester Stallone,2001,Sylvester Stallone
3380,Bravetown    ,"1 hour, 54 minutes",Daniel Duran,2015,"Josh Duhamel, Maria Bello"
3381,Mad Max 2: The Road Warrior [Blu-ray] , 95 minutes ,George Miller,2013,Mel Gibson
3382,The Amazing Adventure   ,"1 hour, 2 minutes",Alfred Zeisler,1937,"Cary Grant, Mary Brian"
3383,Secretary    ,"1 hour, 52 minutes",Steven Shainberg,2000,"James Spader, Maggie Gyllenhaal"
3384,Boulevard    ,"1 hour, 29 minutes",Dito Montiel,2015,"Robin Williams, Bob Odenkirk"
3385,Augustus Part II    ,"1 hour, 28 minutes",Roger Young,2003,"Peter O'Toole,Charlotte Rampling"
3386,Can't Buy Me Love , 94 minutes ,Steve Rash,2002,Patrick Dempsey
3387,Panic    ,"1 hour, 28 minutes",Henry Bromell,2000,"William H. Macy, John Ritter"
3388,Black or White    ,"2 hours, 2 minutes",Mike Binder,2015,"Kevin Costner, Octavia Spencer"
3389,Rudy (Special Edition) , 114 minutes ,David Anspaugh,2000,Jon Favreau
3390,Julie & Julia , 123 minutes ,Nora Ephron,2009,Meryl Streep
3391,Mad Max    ,"1 hour, 34 minutes",George Miller,1979,"Mel Gibson, Joanne Samuel"
3392,Inside Llewyn Davis [Blu-ray] , 104 minutes ,Ethan Coen,1916,Oscar Isaac
3393,Austenland    ,"1 hour, 37 minutes",Jerusha Hess,2013,"Keri Russell, JJ Feild"
3394,Drums In The Deep South    ,"1 hour, 27 minutes",William Cameron Menzies,1951,"James Craig, Barbara Payton"
3395,Light It Up    ,"1 hour, 40 minutes",Craig Bolotin,1999,"Usher Raymond, Forest Whitaker"
3396,Don't Look Now [Blu-ray] , 110 minutes ,Nicolas Roeg,2015,Julie Christie
3397,The Monuments Men    ,"1 hour, 59 minutes",George Clooney,2014,"George Clooney, Matt Damon"
3398,The School of Flesh   ,"1 hour, 40 minutes",Benoît Jacquot,1998,"Isabelle Huppert, Vincent Martinez"
3399,Hannibal    ,"2 hours, 12 minutes",Ridley Scott,2001,"Anthony Hopkins, Julianne Moore"
3400,Big Jake , 110 minutes ,John Wayne,2003,John Wayne
3401,Matchstick Men [Blu-ray] , 116 minutes ,Ridley Scott,2015,Nicolas Cage
3402,The Karate Kid    ,"2 hours, 7 minutes",John G. Avildsen,1984,"Ralph Macchio, Pat Morita"
3403,Da Vinci's Darkest Secret    ,"1 hour, 5 minutes",Philip Gardiner,2015,"Paul Hughes,Simon Oliver"
3404,V for Vendetta    ,"2 hours, 13 minutes",James McTeigue,2006,"Natalie Portman, Hugo Weaving"
3405,Meadowland    ,"1 hour, 35 minutes",Reed Morano,2015,"Kevin Corrigan,John Leguizamo"
3406,Requiem for a Dream    ,"1 hour, 42 minutes",Darren Aronofsky,2000,"Ellen Burstyn, Jared Leto"
3407,Film Noir 10-Movie Spotlight Collection (Double Indemnity / Touch of Evil / This Gun for Hire / The Glass Key / Phantom Lady / The Blue Dahlia / Black Angel / The Killers / The Big Clock / Criss Cross) , 941 minutes ,Orson Welles,2014,Brian Donlevy
3408,Dressed to Kill (Criterion Collection) [Blu-ray] , 105 minutes ,Brian De Palma,2015,Michael Caine
3409,Nausicaä of the Valley of the Wind , 117 minutes ,Hayao Miyazaki,2005,Alison Lohman
3410,"4 Film Favorites: Ice Cube (All About the Benjamins, Friday, Next Friday, Friday After Next) ", 375 minutes ,Various,2008,Various
3411,Jamaica Inn - Alfred Hitchcock - Digitally Remastered    ,"1 hour, 30 minutes",Alfred Hitchcock,2009,"Charles Laughton, Horace Hodges"
3412,Sherlock Holmes: A Game Of Shadows    ,"2 hours, 9 minutes",Guy Ritchie,2011,"Robert Downey Jr., Jude Law"
3413,The Vow    ,"1 hour, 44 minutes",Michael Sucsy,2012,"Rachel McAdams, Channing Tatum"
3414,The Ten Commandments    ,"3 hours, 41 minutes",Cecil B. DeMille,1956,"Charlton Heston, Yul Brynner"
3415,The Ugly Truth    ,"1 hour, 36 minutes",Robert Luketic,2009,"Katherine Heigl, Gerard Butler"
3416,The Book of Eli    ,"1 hour, 58 minutes",Albert Hughes,2010,"Denzel Washington, Gary Oldman"
3417,Captain Phillips (DVD + UltraViolet Digital Copy) , 134 minutes ,Paul Greengrass,2014,Tom Hanks
3418,The Paper Chase    ,"1 hour, 52 minutes",James Bridges,1973,"Timothy Bottoms, Lindsay Wagner"
3419,"Classic Monsters Spotlight Collection [Dracula, Frankenstein, The Bride of Frankenstein, Creature from Black Lagoon] (Universal's 100th Anniversary) ", 301 minutes ,Tod Browning,2012,Bela Lugosi
3420,Passage to Marseille [Blu-ray] , 109 minutes ,Michael Curtiz,2015,Humphrey Bogart
3421,The Secrets (English Subtitled)   ,"2 hours, 8 minutes",Avi Nesher,2008,"Fanny Ardant, Ania Bukstein"
3422,The Incredible Hulk [Blu-ray] , 113 minutes ,Louis Leterrier,2012,Edward Norton
3423,The Mortal Instruments: City of Bones  (+UltraViolet Digital Copy) , 130 minutes ,Harald Zwart,2013,Lily Collins
3424,Burning Plain    ,"1 hour, 47 minutes",Guillermo Arriaga,2009,"Charlize Theron, John Corbett"
3425,The Others , 104 minutes ,Alejandro Amenábar,2011,Nicole Kidman
3426,Ardor (English Subtitled)   ,"1 hour, 41 minutes",Pablo Fendrik,2015,"Alice Braga, Gael García Bernal"
3427,Suicide Kings    ,"1 hour, 47 minutes",Peter O'Fallon,1998,"Mark Watson, Christopher Walken"
3428,The First Time    ,"1 hour, 36 minutes",Jon Kasdan,2012,"Britt Robertson, Dylan O'Brien"
3429,B-Girl    ,"1 hour, 28 minutes",Emily Dell,2009,"Julie 'Jules' Urich, Missy Yager"
3430,A Field In England    ,"1 hour, 31 minutes",Ben Wheatley,2013,"Julian Barratt, Peter Ferdinando"
3431,Last Knights    ,"1 hour, 54 minutes",Kazuaki Kiriya,2015,"Clive Owen, Morgan Freeman"
