Title_A,Time_A,Director_A,Year_A,Cast_A,Title_B,Time_B,Director_B,Year_B,Cast_B,Gold
Beowulf    ,"1 hour, 55 minutes",Robert Zemeckis,2007,"Robin Wright, Anthony Hopkins",Beowulf,1 hr. 54 min.,Robert Zemeckis,2007,"Ray Winstone, Anthony Hopkins, John Malkovich, Robin Wright, Angelina Jolie, Brendan Gleeson",1
Electra Glide in Blue [Blu-ray] , 114 minutes ,James William Guercio,2013,Robert Blake,Electra Glide in Blue,1 hr. 46 min.,James William Guercio,1973,"Robert Blake, Billy Green Bush, Mitchell Ryan, Jeannine Riley, Royal Dano, Peter Cetera",1
Pompeii    ,"1 hour, 45 minutes",Paul W.S. Anderson,2014,"Kit Harington, Carrie-Anne Moss",Pompeii,1 hr. 45 min.,Paul W.S. Anderson,2014,"Emily Browning, Kit Harington, Carrie-Anne Moss, Adewale Akinnuoye-Ag..., Jessica Lucas, Jared Harris",1
Main Street    ,"1 hour, 35 minutes",John Doyle,2011,"Colin Firth, Ellen Burstyn",Main Street,1 hr. 33 min.,John Doyle,2011,"Ellen Burstyn, Colin Firth, Patricia Clarkson, Megan Ellison, Orlando Bloom, Amber Tamblyn",1
Blissful Lies    ,"2 hours, 21 minutes",Jennifer Brown-Thomas,2012,"Leann Hunley, Zach Rose",Blissful Lies,1 hr. 35 min.,Jennifer Brown-Thomas,2012,"Leann Hunley, Zach Rose, Teri Galvan, Tiffany Lonsdale",1
Indiana Jones and the Kingdom of the Crystal Skull    ,"2 hours, 3 minutes",Steven Spielberg,2008,"Harrison Ford, Cate Blanchett",Indiana Jones and the Kingdom of the Crystal Skull,2 hr. 2 min.,Steven Spielberg,2008,"Harrison Ford, Shia LaBeouf, Cate Blanchett, Karen Allen, John Hurt, Ray Winstone",1
Rush    ,"2 hours, 4 minutes",Ron Howard,2013,"Chris Hemsworth, Daniel Brühl",Rush,2 hr. 3 min.,Ron Howard,2013,"Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, Stephen Mangan, Christian McKay",1
Spring Breakers (DVD + UltraViolet Digital Copy) , 94 minutes ,Harmony Korine,2013,James Franco,Spring Breakers,1 hr. 33 min.,Harmony Korine,2013,"Selena Gomez, James Franco, Ashley Benson, Rachel Korine, Vanessa Hudgens, Cliff Martinez",1
Kill Bill: Volume 1 , 111 minutes ,Quentin Tarantino,2011,Uma Thurman,Kill Bill: Volume 1,1 hr. 51 min.,Quentin Tarantino,2003,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine, Daryl Hannah, Michael Madsen",1
The Punisher , 124 minutes ,Jonathan Hensleigh,2004,Thomas Jane,The Punisher,2 hr. 3 min.,Jonathan Hensleigh,2004,"Thomas Jane, John Travolta, James Carpinello, Will Patton, Laura Harring, Ben Foster",1
Boulevard , 88 minutes ,Dito Montiel,2015,Robin Williams,Boulevard,1 hr. 28 min.,Dito Montiel,2015,"Robin Williams, Kathy Baker, Roberto Aguire, Bob Odenkirk, Giles Matthey, Eleonore Hendricks",1
Ida (English Subtitled)   ,"1 hour, 22 minutes",Pawel Pawlikowski,2014,"Agata Trzebuchowska,Agata Kulesza",Ida,1 hr. 20 min.,Pawel Pawlikowski,2014,"Agata Kulesza, Agata Trzebuchowska, Joanna Kulig, Dawid Ogrodnik, Jerzy Trela, Adam Szyszkowski",1
Snow White and the Huntsman (Extended Edition) , 132 minutes ,Rupert Sanders,2012,Kristen Stewart,Snow White and the Huntsman,2 hr. 8 min.,Rupert Sanders,2012,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin, Sam Spruell, Ian McShane",1
The Forbidden Kingdom [Blu-ray] , 104 minutes ,Rob Minkoff,2008,Jackie Chan,The Forbidden Kingdom,1 hr. 44 min.,Rob Minkoff,2008,"Jackie Chan, Jet Li, Michael Angarano, Collin Chou, Yifei Liu, Bingbing Li",1
300: Rise of an Empire (2014)    ,"1 hour, 43 minutes",Noam Murro,2014,"Sullivan Stapleton, Eva Green",300: Rise of an Empire,1 hr. 43 min.,Noam Murro,2014,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro, David Wenham",1
G.I. Joe: The Rise of Cobra    ,"1 hour, 58 minutes",Stephen Sommers,2009,"Adewale Akinnuoye-Agbaje, Christopher Eccleston",G.I. Joe: The Rise of Cobra,1 hr. 58 min.,Stephen Sommers,2009,"Adewale Akinnuoye-Ag..., Christopher Ecclesto..., Joseph Gordon-Levitt, Dennis Quaid, Channing Tatum, Marlon Wayans",1
300: Rise of an Empire,"2 hours, 6 minutes",Noam Murro,2014,"Sullivan Stapleton, Eva Green",300: Rise of an Empire,1 hr. 43 min.,Noam Murro,2014,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro, David Wenham",1
Spring Breakers    ,"1 hour, 34 minutes",Harmony Korine,2013,"James Franco, Selena Gomez",Spring Breakers,1 hr. 33 min.,Harmony Korine,2013,"Selena Gomez, James Franco, Ashley Benson, Rachel Korine, Vanessa Hudgens, Cliff Martinez",1
Moneyball , 133 minutes ,Bennett Miller,2012,Brad Pitt,Moneyball,2 hr. 13 min.,Bennett Miller,2011,"Brad Pitt, Jonah Hill, Philip Seymour Hoffm..., Robin Wright, Chris Pratt, Stephen Bishop",1
Kruel    ,"1 hour, 44 minutes",Robert Henderson,2015,"Kierney Nelson,Adam Vernier",Give 'em Hell Malone,1 hr. 30 min.,Russell Mulcahy,2010,"Thomas Jane, Ving Rhames, Elsa Pataky, Doug Hutchison, Chris Yen, French Stewart",0
Watership Down [Blu-ray] , 92 minutes ,Martin Rosen,2015,John Hurt,Four Brothers,1 hr. 48 min.,John Singleton,2005,"Mark Wahlberg, Tyrese Gibson, AndrÌ© Benjamin, Garrett Hedlund, Terrence Howard, Josh Charles",0
Vanishing Point , 91 minutes ,Charles Robert Carner,2012,Viggo Mortensen,Champion (My Dog the Champion),1 hr. 27 min.,Kevin Nations,2013,"Lance Henriksen, Dora Madison Burge, Cody Linley, Jon Michael Davis, Karlie Dahle, Shea Delaney",0
And the Band Played On    ,"2 hours, 21 minutes",Roger Spottiswoode,1993,"Matthew Modine, Alan Alda",American Muscle,1 hr. 18 min.,Ravi Dhar,2014,"Nick Principe, Robin Sydney, Todd Farmer, Steve Belschaner, Trent Haaga, James Duval",0
The Expendables 2 [DVD + Digital Copy + UltraViolet] , 103 minutes ,Simon West,2012,Sylvester Stallone,The Bodyguard (Kaavalan),2 hr. 35 min.,Siddique,2011,"Salman Khan, Kareena Kapoor, Raj Babbar, Hazel Keech, Reema Debnath, Asrani",0
North to Alaska , 122 minutes ,Henry Hathaway,2003,John Wayne,Flareup,1 hr. 40 min.,James Neilson,1969,"Raquel Welch, James Stacy, Luke Askew, Don Chastain, Ron Rifkin, Jean Byron",0
Doubt    ,"1 hour, 45 minutes",John Patrick Shanley,2008,"Meryl Streep, Philip Seymour Hoffman",Birth Of Separation,1 hr. 45 min.,Louis Mansfield,2011,"Ashley Rebekah Faulk..., Steve Saturn, Tony Slade",0
The Girl Who Kicked the Hornet's Nest: Extended Edition (English Subtitled)    ,"3 hours, 6 minutes",Daniel Alfredson,2011,"Noomi Rapace, Michael Nyqvist",The Amazing Bulk,1 hr. 16 min.,Lewis Schoenbrun,2010,"Jordan Lawson, Shevaun Kastle, Terence Lording, Juliette Angeli, Randal Malone, Jed Rowen",0
High Noon , 85 minutes ,Fred Zinnemann,2012,Gary Cooper,KumarÌ©,1 hr. 24 min.,Vikram Gandhi,2012,"Vikram Gandhi, Purva Bedi, Kristen Calgaro, Kristin Calgaro",0
Rush Hour    ,"1 hour, 38 minutes",Brett Ratner,1998,"Ken Leung, Jackie Chan",The Gunman,1 hr. 55 min.,Pierre Morel,2015,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem, Ray Winstone, Mark Rylance",0
Moneyball , 133 minutes ,Bennett Miller,2012,Brad Pitt,Mee-Shee: The Water Giant,1 hr. 39 min.,John Henderson,2005,"Bruce Greenwood, Daniel Magder, Joel Tobeck, Phyllida Law, Rena Owen, Luanne Gordon",0
La Repetition (English Subtitled)   ,"1 hour, 32 minutes",Catherine Corsini,2001,"Emmanuelle Béart, Pascale Bussières",And Now A Word From Our Sponsor,1 hr. 23 min.,Zack Bernbaum,2013,"Bruce Greenwood, Parker Posey, Callum Blue, Allie MacDonald",0
Dante's Peak - Collector's Edition , 109 minutes ,Roger Donaldson,1998,Pierce Brosnan,Camelot,2 hr. 59 min.,Marty Callner,1967,"Richard Harris, Vanessa Redgrave, Franco Nero, David Hemmings, Lionel Jeffries, Pierre Olaf",0
What Dreams May Come    ,"1 hour, 54 minutes",Vincent Ward,1998,"Robin Williams, Cuba Gooding Jr.",[REC] 4: Apocalypse,1 hr. 36 min.,Jaume BalaguerÌ_,2015,"Manuela Velasco, HÌ©ctor ColomÌ©, MarÌ_a Alfonsa Rosso, CrÌ_spulo Cabezas, Emilio Buale, Mariano Venancio",0
Cinderella Man    ,"2 hours, 25 minutes",Ron Howard,2005,"Russell Crowe, Renée Zellweger",Orca - The Killer Whale,1 hr. 32 min.,Michael Anderson,1977,"Richard Harris, Charlotte Rampling, Keenan Wynn, Will Sampson, Bo Derek, Robert Carradine",0
Battle For Haditha    ,"1 hour, 33 minutes",Nick Broomfield,2013,"Matthew Knoll, Elliot Ruiz",Savages Crossing,1 hr. 24 min.,Kevin James Dobson,2009,"John Jarratt, Craig McLachlan, Sacha Horler, Jessica Napier, Rebecca Smart, Chris Haywood",0
The Amazing Spider-Man 2 (3D/Blu-Ray/DVD/UltraViolet Combo Pack) , 141 minutes ,Marc Webb,2014,Andrew Garfield,Shuffleton's Barbershop,1 hr. 27 min.,Mark Jean,2013,"Austin Stowell, Danny Glover, Kayla Ewell, Brett Rice, Dash Pledger-Levine",0
Set It Off    ,"2 hours, 3 minutes",F. Gary Gray,1996,"Jada Pinkett Smith, Queen Latifah",Bombay Beach,1 hr. 16 min.,Alma Har'el,2011,"Benny Parrish, Pamela Parrish, Mike Parrish, Doran ""Red"" Furgie, Cedric Thompson",0
Argo , 120 minutes ,Ben Affleck,2013,Ben Affleck,God's Not Dead,1 hr. 53 min.,Harold Cronk,2014,"Shane Harper, Kevin Sorbo, David A.R. White, Dean Cain, Willie Robertson, Korie Robertson",0
300: Rise of an Empire (Blu-ray+DVD+UltraViolet Combo Pack) , 102 minutes ,Noam Murro,2014,Eva Green,The Color Wheel,1 hr. 23 min.,Alex Ross Perry,2012,"Anna Bak-Kvapil, Bob Byington, Carlen Altman, Kate Lyn Sheil, Alex Ross Perry, Ry Russo-Young",0
Big Fish , 125 minutes ,Tim Burton,2004,Danny DeVito,Cleveland Abduction,2 hr.,Alex Kalymnios,2015,"Taryn Manning, Raymond Cruz, Samantha Droke, Katie Sarife, Pam Grier, Joe Morton",0
Joe Dirt [Blu-ray] , 91 minutes ,Dennie Gordon,2015,David Spade,Second in Command,1 hr. 31 min.,Simon Fellows,2006,"Jean-Claude Van Damm..., Julie Cox, William Tapley, Alan Mckenna, Razaaq Adoti, Warren Derosa",0
Contagion (2011)    ,"1 hour, 47 minutes",Steven Soderbergh,2011,"Gwyneth Paltrow, Tien You Chui",Doom,1 hr. 44 min.,Andrzej Bartkowiak,2005,"Dwayne The Rock Jo..., Karl Urban, Rosamund Pike, Razaaq Adoti, Deobia Oparei, Ben Daniels",0
Batman Forever    ,"2 hours, 2 minutes",Joel Schumacher,1995,"Val Kilmer, Tommy Lee Jones",We Own the Night,1 hr. 57 min.,James Gray,2007,"Joaquin Phoenix, Mark Wahlberg, Eva Mendes, Robert Duvall, Antoni Corone, Moni Moshonov",0
The Speed of Orange    ,"1 hour, 30 minutes",Justin Hunt,2014,"Kelly Ganzerla, Garrett Gomez",Topkapi,2 hr. 2 min.,Jules Dassin,1964,"Melina Mercouri, Peter Ustinov, Maximilian Schell, Robert Morley, Akim Tamiroff, Gilles SÌ©gal",0
Life as We Know It , 115 minutes ,Greg Berlanti,2011,Katherine Heigl,Moon Zero Two,1 hr. 40 min.,Roy Ward Baker,1969,"James Olson, Catherine Schell, Warren Mitchell, Adrienne Corri, Ori Levy, Dudley Foster",0
The Wild Bunch [Blu-ray] , 145 minutes ,Sam Peckinpah,2007,William Holden,The Iron Lady,1 hr. 44 min.,Phyllida Lloyd,2012,"Meryl Streep, Jim Broadbent, Harry Lloyd, Anthony Head, Alexandra Roach, Roger Allam",0
Return of 5 Deadly Venoms , 100 minutes ,Chang Cheh,2010,Kuan Tai Chen,The Legend of Simon Conjurer,2 hr. 17 min.,Stuart Paul,2006,"Jon Voight, Marcus Shirock, Skyler Shaye, Danielle Kremeniuk, Germaine De Leon, Kennen Sisco",0
Martin Scorsese Triple Feature (Goodfellas / The Aviator / The Departed) [Blu-ray] , 466 minutes ,Martin Scorsese,2012,Ray Liotta,Il Grande racket (The Big Racket),1 hr. 46 min.,Enzo G. Castellari,1977,"Fabio Testi, Vincent Gardenia, Renzo Palmer, Orso Maria Guerrini, Romano Puppo, Glauco Onorati",0
Resident Evil: Afterlife , 97 minutes ,Paul W.S. Anderson,2010,Milla Jovovich,The Scorpion King 4: Quest for Power,1 hr. 5 min.,Mike Elliott,2015,"Victor Webster, Ellen Hollman, Will Kemp, Royce Gracie, EsmÌ© Bianco, Michael Biehn",0
The Usual Suspects (Special Edition) , 106 minutes ,Bryan Singer,2002,Kevin Spacey,Museum Hours,1 hr. 46 min.,Jem Cohen,2013,"Bobby Sommer, Mary Margaret O'Hara, Ela Piplits",0
Night Moves    ,"1 hour, 40 minutes",Arthur Penn,1972,"Gene Hackman, Jennifer Warren",The Adored,1 hr. 37 min.,Carl Medland,2012,"Laura Martin-Simpson, Ione Butler, Jake Maskall, Caroline Burns Cooke",0
Osmosis Jones , 95 minutes ,Bobby Farrelly,2001,Laurence Fishburne,Highlander: The Source,1 hr. 26 min.,Brett Leonard,2007,"Adrian Paul, Peter Wingfield, Thekla Reuten, Jim Byrnes, Stephen Rahman Hughe..., Stephen Wight",0
Crush    ,"1 hour, 15 minutes",Michael J. Saul,2010,"Randy Bautista, Kirsten C. Brown",Jamie Marks Is Dead,1 hr. 40 min.,Carter Smith,2014,"Cameron Monaghan, Noah Silver, Morgan Saylor, Madisen Beaty, Judy Greer, Liv Tyler",0
"Hobbit, The: Battle of Five Armies Extended Edition with Figurine [Bluray + Ultra-Violet ] (Amazon Exclusive) [Blu-ray] ",,Peter Jackson,2015,Ian McKellen,Voyage to the Planet of Prehistoric Women,1 hr. 18 min.,Peter Bogdanovich,1968,"Mamie Van Doren, Yuri Sarantsev, Georgi Tejkh, Gennadi Vernov, Aldo Roman, Margot Hartman",0
Obvious Child    ,"1 hour, 25 minutes",Gillian Robespierre,2014,"Jenny Slate, Paul Briganti",Battle Royale 3D,1 hr. 54 min.,Kinji Fukasaku,2000,"Aki Maeda, Taro Yamamoto, Ai Iwamura, Chiaki Kuriyama, Tatsuya Fujiwara, Yamamoto Taru",0
Hick , 99 minutes ,Derick Martini,2012,Chloë Grace Moretz,Black Dawn,1 hr. 36 min.,Alexander Gruszynski,2005,"Steven Seagal, Tamara Davies, Timothy Carhart, Eddie Velez, Matt Salinger, Mike Baldridge",0
Casablanca , 103 minutes ,Michael Curtiz,2010,Humphrey Bogart,BloodMonkey (Blood Monkey),1 hr. 28 min.,Robert Young,2008,"F Murray Abraham, Matt Reeves, Sebastian Armesto, Matthew Ryan, Amy Hanson, Freishia Bombanbehra...",0
Amira & Sam    ,"1 hour, 28 minutes",Sean Mullin,2014,"Martin Starr, Dina Shihabi",Sapoot,2 hr. 40 min.,Jagdish Sharma,1996,"Akshay Kumar, Suneil Shetty, Karisma Kapoor, Sonali Bendre, Kader Khan",0
Sabotage (Blu-ray + DVD + DIGITAL HD with UltraViolet) , 109 minutes ,David Ayer,2014,Arnold Schwarzenegger,Afro Ninja,1 hr. 28 min.,Mark Hicks,2009,"Marla Gibbs, Mark Hicks, Natasha Hopkins, Jim Kelly, James Black, Windell Middlebrooks",0
Alaska The Last Frontier   ,43 minutes,Atz Kilcher,2013,"Atz Kilcher, Bonnie Kilcher",Machete,1 hr. 45 min.,Ethan Maniquis,2010,"Danny Trejo, Robert De Niro, Jessica Alba, Cheech Marin, Michelle Rodriguez, Steven Seagal",0
A Conspiracy of Lies: Flight 370 to 911    ,59 minutes,J. Michael Long,2015,"Paul Hughes,Robert Pitt",Five Star Day,1 hr. 34 min.,Danny Buday,2011,"Cam Gigandet, Jena Malone, Max Hartman, Brooklyn Sudano, Julianna Guill, Will Yun Lee",0
Mission: Impossible - Ghost Protocol (Two-Disc Blu-ray/DVD Combo + Digital Copy) , 133 minutes ,Brad Bird,2012,Tom Cruise,The Great Melee,1 hr. 58 min.,Eiichi Kudo,1964,"Kohtaro Satomi, Mikijiro Hira, Toru Abe, Nami Munakata, Ryutaro Ohtomo",0
Hudson Hawk , 100 minutes ,Michael Lehmann,1999,Sandra Bernhard,Backtrack,1 hr. 42 min.,Alan Smithee,1990,"Dennis Hopper, Jodie Foster, Dean Stockwell, Vincent Price, John Turturro, Joe Pesci",0
Revenge (Unrated Director's Edition) [Blu-ray] , 100 minutes ,Tony Scott,2007,Anthony Quinn,Sherlock Holmes: A Game of Shadows,2 hr. 8 min.,Guy Ritchie,2011,"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams, Jared Harris, Stephen Fry",0
Hamlet (1996)    ,"4 hours, 3 minutes",Kenneth Branagh,1996,"Riz Abbasi, Richard Attenborough",The Dark Knight Rises,2 hr. 45 min.,Christopher Nolan,2012,"Christian Bale, Anne Hathaway, Tom Hardy, Marion Cotillard, Joseph Gordon-Levitt, Michael Caine",0
Coach Carter , 137 minutes ,Various,2005,Various,Om Shanti Om,2 hr. 42 min.,Farah Khan,2007,"Shahrukh Khan, Arjun Rampal, Kiron Kher, Shreyas Talpade, Bindu, Deepika Padukone",0
22 Jump Street    ,"1 hour, 52 minutes",Phil Lord,2014,"Jonah Hill, Channing Tatum",CBGB,1 hr. 41 min.,Randall Miller,2013,"Alan Rickman, Rupert Grint, Ashley Greene, Joel David Moore, Malin Akerman, Stana Katic",0
Yojimbo & Sanjuro (The Criterion Collection) [Blu-ray] , 206 minutes ,Akira Kurosawa,2010,Toshirô Mifune,Colosio: El Asesinato,1 hr. 40 min.,Carlos Bolado,2012,"Daniel GimÌ©nez Cacho, Jose MarÌ_a Yazpik, Daniel JimÌ©nez Cacho, Kate del Castillo, Enoc Leano, Harold Torres",0
A.I. Artificial Intelligence    ,"2 hours, 26 minutes",Steven Spielberg,2001,"Haley Joel Osment, Frances O'Connor",The Cow and I,1 hr. 38 min.,Henri Verneuil,1959,"Fernandel, Albert Remy, Bernard Musson, Rene Havard, Maurice Nasil, Pierre Louis",0
The Lost World: Jurassic Park    ,"2 hours, 10 minutes",Steven Spielberg,1997,"Jeff Goldblum, Julianne Moore",Vice,1 hr. 36 min.,Brian A. Miller,2015,"Thomas Jane, Bruce Willis, Ambyr Childers, Brett Granstaff, Charlotte Kirk, Ryan O'Nan",0
Mortal Kombat    ,"1 hour, 42 minutes",Paul W.S. Anderson,1995,"Christopher Lambert, Robin Shou",[REC] 4: Apocalypse,1 hr. 36 min.,Jaume BalaguerÌ_,2015,"Manuela Velasco, HÌ©ctor ColomÌ©, MarÌ_a Alfonsa Rosso, CrÌ_spulo Cabezas, Emilio Buale, Mariano Venancio",0
King Kong '33/ King Kong '76 (DVD) (DBFE) , 234 minutes ,Various,2013,Various,Whiteout,1 hr. 46 min.,Dominic Sena,2009,"Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short, Alex O'Loughlin, Alexander Bisping",0
Titanic , 194 minutes ,James Cameron,2012,Leonardo DiCaprio,The Gospel of John,2 hr. 40 min.,David Batty,2014,"David Harewood, Selva Rasalingham, Mourad Zaoui, Brian Cox, El Mahmoudi M'Barek, Abdelilah Wahbi",0
The Butterfly Effect    ,"2 hours, 0 minutes",Eric Bress,2004,"Ashton Kutcher, Melora Walters",Home Invasion,1 hr. 30 min.,Rick Jenkins,2005,"The Roez Boyz, L-Boy & Boo Loc, Haylie Duff, Lisa Sheridan, Jason Brooks, Barbara Niven",0
Children Of The Grave    ,"1 hour, 33 minutes",Christopher Saint Booth,2013,"Keith Age, John Zaffis",The Last Run,1 hr. 32 min.,Richard Fleischer,1971,"George C. Scott, Aldo Sambrell, Tony Musante, Trish VanDevere, Trish Van Devere, Colleen Dewhurst",0
The Lord of the Rings: The Return of the King    ,"3 hours, 21 minutes",Peter Jackson,2003,"Noel Appleby, Ali Astin",Robocroc,1 hr. 17 min.,Arthur Sinclair,2013,"Corin Nemec, Dee Wallace Stone, Lisa McAllister, Steven Hartley, Keith Duffy, Keith Duffy",0
8 Diagram Pole Fighter , 98 minutes ,Chia-Liang Liu,2010,Chia Hui Liu,Do You Believe?,1 hr. 55 min.,Jonathan M. Gunn,2015,"Mira Sorvino, Sean Astin, Alexa Vega, Delroy Lindo, Andrea Logan White, Cybill Shepherd",0
The Ron Howard Action Pack (Eat My Dust! / Grand Theft Auto) [Roger Corman's Cult Classics] , 180 minutes ,Ron Howard,2011,Ron Howard,Heart of the Country,1 hr. 27 min.,John Ward,2013,"Jana Kramer, Randy Wayne, Shaun Sipos, Gerald McRaney, Anne Hawthorne",0
Fast & Frantic    ,"1 hour, 24 minutes",Andrew Wilmot,2010,"Craig Palm,Jonathan Pienaar",Bush Pilot,1 hr.,Sterling Campbell,1947,"Rochelle Hudson, Jack LaRue, Frank Perry, Austin Willis, Florynce Kennedy, Charles Emerson",0
Stargate Universe   ,44 minutes,Andy Mikita,2010,"Robert Carlyle, Louis Ferreira",Department,2 hr. 21 min.,Ram Gopal Varma,2012,"Amitabh Bachchan, Sanjay Dutt, Deepak Tijori, Rana Daggubati, Anjana Sukhani",0
Daft Punk - Interstella 5555 , 68 minutes ,Kazuhisa Takenôchi,2003,Romanthony,The Detonator,1 hr. 36 min.,Po Chih Leong,2006,"Wesley Snipes, Silvia Colloca, Tim Dutton, William Hope, Warren Derosa, Matthew Letch",0
Meek's Cutoff    ,"1 hour, 43 minutes",Kelly Reichardt,2011,"Michelle Williams, Bruce Greenwood",Crank 2: High Voltage,1 hr. 25 min.,Mark Neveldine,2009,"Jason Statham, Amy Smart, Efren Ramirez, Clifton Collins Jr., Ling Bai, David Carradine",0
All Good Things    ,"1 hour, 41 minutes",Andrew Jarecki,2010,"Ryan Gosling, Kirsten Dunst",Mad Max: Fury Road,2 hr.,George Miller,2015,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whi..., ZoÌÇ Kravitz, Riley Keough",0
Kill Bill: Volume 2 , 137 minutes ,Quentin Tarantino,2011,Uma Thurman,Starship Rising,1 hr. 31 min.,Neil Johnson (VI),2014,"Darren Jacobs, Emily Rose Morrison, Emii, Brooke Lewis, Claudia Wells, E.J. De La Pena",0
Billy Elliot , 111 minutes ,Stephen Daldry,2001,Julie Walters,Driving By Braille,1 hr. 45 min.,Kristina Lloyd,2011,"Tammin Sursok, Ryan Eggold, Finola Hughes, Steven Bauer, Manu Intiraymi, Andrea Marcovicci",0
The Boy    ,"1 hour, 52 minutes",Craig Macneill,2015,"David Morse,Rainn Wilson",Sinbad: The Fifth Voyage,1 hr. 20 min.,Shahin Sean Solimon,2014,"Shahin Sean Solimon, Isaac C. Singleton J..., Lorna Raver, Marco Khan, Said Faraj, Patrick Stewart",0
47 Ronin    ,"1 hour, 59 minutes",Carl Rinsch,2013,"Keanu Reeves, Hiroyuki Sanada",Chilly Christmas,1 hr. 25 min.,Gregory Poppen,2012,"C. Thomas Howell, Tom Arnold, Brooke Langton, Bryson Sams, Karan Brar, Cassidy Mack",0
The Bounty Hunter , 111 minutes ,Andy Tennant,2010,Jennifer Aniston,Homecoming,1 hr. 33 min.,Todd Kniss,2014,"Jordan Belfi, Jeridan Frye, Femi Emiola, Bo Foxworth, Gerald Hopkins, Amy Christine",0
Anaconda , 89 minutes ,Luis Llosa,1998,Ice Cube,Silver Tongues,1 hr. 27 min.,Simon Arthur,2011,"Emily Meade, Enid Graham, Harvey Evans, Lee Tergesen, Tate Ellington, Adam LeFevre",0
The Sea Wolves (Keep Case Packaging) , 120 minutes ,Andrew V. McLaglen,2006,Gregory Peck,Puss in Boots,1 hr. 30 min.,Chris Miller,2011,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie",0
Into Thin Air: Death on Everest , 90 minutes ,Robert Markowitz,2001,Pamela Gien,The Great Melee,1 hr. 58 min.,Eiichi Kudo,1964,"Kohtaro Satomi, Mikijiro Hira, Toru Abe, Nami Munakata, Ryutaro Ohtomo",0
The Bodyguard (1992)    ,"2 hours, 10 minutes",Mick Jackson,1992,"Kevin Costner, Whitney Houston",Voyage to the Planet of Prehistoric Women,1 hr. 18 min.,Peter Bogdanovich,1968,"Mamie Van Doren, Yuri Sarantsev, Georgi Tejkh, Gennadi Vernov, Aldo Roman, Margot Hartman",0
Bandolero! , 106 minutes ,Andrew V. McLaglen,2004,James Stewart,Age of Ice,1 hr. 30 min.,Emile Edwin Smith,2014,"Barton Bund, Jules Hartley, Bailey Spry, Owais Ahmed, Joe Cipriano",0
Sullivan's Travels , 91 minutes ,Preston Sturges,2012,Joel McCrea,Minotaur,1 hr. 42 min.,Jonathan English,2006,"Tom Hardy, Tony Todd, Rutger Hauer, Michelle Van Der Wat..., Lex Shrapnel, Jonathan Readwin",0
Lara Croft: Tomb Raider / Lara Croft: Tomb Raider - The Cradle of Life (Double Feature) [Blu-ray] , 217 minutes ,Various,2014,Various,The Forger,1 hr. 32 min.,Philip Martin,2015,"John Travolta, Christopher Plummer, Jennifer Ehle, Abigail Spencer, Tye Sheridan, Anson Mount",0
"The Way, Way Back    ","1 hour, 44 minutes",Nat Faxon,2013,"Steve Carell, Toni Collette",Jump In,1 hr. 22 min.,Kimberly D. Conner,2013,"Sheree Bynum, Dingani Beza, Michael Higgenbottom, Mel Roberson, Danielle Ward, Karen Malina White",0
Fail-Safe , 112 minutes ,Sidney Lumet,2000,Henry Fonda,Loose Cannons (Mine Vaganti),1 hr. 50 min.,Ferzan zpetek,2010,"Riccardo Scamarcio, Nicole Grimaudo, Alessandro Preziosi, Ennio Fantastichini, Lunetta Savino, Ilaria Occhini",0
The Karate Kid    ,"2 hours, 7 minutes",John G. Avildsen,1984,"Ralph Macchio, Pat Morita",Ambushed (Rush),1 hr. 37 min.,Giorgio Serafini,2013,"Dolph Lundgren, Randy Couture, Vinnie Jones, Carly Pope, Daniel Bonjour, Gianni Capaldi",0
Batman Returns (BD) [Blu-ray] , 126 minutes ,Tim Burton,2010,Michael Keaton,Mother Of George,1 hr. 47 min.,Andrew Dosunmu,2013,"Danai Gurira, Isaach De BankolÌ©, Yaya Alafia, Anthony Okungbowa, Bukky Ajayi, AngÌ©lique Kidjo",0
Solomon Kane , 103 minutes ,Michael Bassett,2013,James Purefoy,Half of a Yellow Sun,1 hr. 53 min.,Biyi Bandele,2014,"Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose, John Boyega, Joseph Mawle, Onyeka Onwenu",0
Red Scorpion (Blu-ray/DVD Combo) , 106 minutes ,Joseph Zito,2012,Dolph Lundgren,More Dead Than Alive,1 hr. 41 min.,Robert Sparr,1969,"Clint Walker, Vincent Price, Anne Francis, Paul Hampton, Mike Henry (I), Craig Littler",0
Rambo (Extended Cut) [Blu-ray] , 99 minutes ,Sylvester Stallone,2010,Sylvester Stallone,Attack the Block,1 hr. 28 min.,Joe Cornish,2011,"John Boyega, Jodie Whittaker, Alex Esmail, Franz Drameh, Leeon Jones, Howard Simon",0
