Title_A,Year_A,Directors_A,Actors_A,Content_Rating_A,Genre_A,Duration_A,Title_B,Year_B,Directors_B,Actors_B,Content_Rating_B,Genre_B,Duration_B,Gold
Roman de Gare,2008.0,,"Fanny Ardant,Audrey Dana,Dominique Pinon",2.5,"Foreign, Thriller",103 minutes,Wagons West,1952,Ford Beebe,"Rod Cameron, Noah Beery Jr., Peggie Castle",5.9,"Action, Adventure, Romance",70 min ,0
Babies,2010.0,Thomas Balmes,,3.0,"Documentary, Foreign",79 minutes,Bulgasari,1985,Sang-ok Shin,"Chang Son Hui, Ham Gi Sop, Jong-uk Ri",5.1,"Action, Drama, Fantasy",95 min ,0
Big Significant Things,2015.0,Bryan Reisberg,"Krista Kosonen,Harry Lloyd",2.0,"Comedy, Drama",85 minutes,The Lost Legion,2014,David Kocar,"Tom McKay, Michelle Lukes, Brian Caspe",2.9,"Action, Adventure, History",107 min ,0
Yankee Doodle Dandy,1942.0,Michael Curtis,"James Cagney,Joan Leslie,Walter Huston,Richard Whorf,Irene Manning,George Tobias,Rosemary De Camp,Jeanne Cagney,Eddie Foy Jr.",4.0,"Documentary, Drama, Music",126 minutes,Perawan rimba,1988,Danu Umbara,"Lydia Kandou, Harry Capri, Enny Beatrice",4.1,Action,93 min ,0
Alien Abduction,2014.0,Matty Beckerman,"Katherine Sigimund,Corey Eid,Riley Polanski,Jillian Clare,Jeff Bowser,Peter Holden",3.0,"Science Fiction, Thriller",85 minutes,Premium Rush,2012,David Koepp,"Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez",6.5,"Action, Crime, Thriller",91 min ,0
Looking for Eric,2009.0,Ken Loach,"Steve Evets,Eric Cantona,John Henshaw,Stephanie Bishop,Gerard Kearns,Lucy-Jo Hudson,Stefan Gumbs",2.0,"Comedy, Drama, Foreign, Indie",119 minutes,The Iceman Cometh,1989,Clarence Yiu-leung Fok,"Maggie Cheung, Biao Yuen, Wah Yuen",6.7,"Action, Romance, Sci-Fi",114 min ,0
Pineapple Express,2008.0,David Gordon Green,"Seth Rogen,James Franco,Gary Cole,Amber Heard,Bill Hader,James Remar,Rosie Perez,Ed Begley Jr.,Nora Dunn",3.5,"Action, Comedy",111 minutes,Assassins,2014,Michael Bonomo,"Bill Oberst Jr., Stephen Katz, Dove Meir",6.5,"Action, Drama, Thriller",84 min ,0
Trespass,2011.0,Joel Schumacher,"Nicolas Cage,Nicole Kidman,Ben Mendelsohn,Liana Liberato,Cam Gigandet",2.0,"Crime, Drama, Thriller",91 minutes,J.C.,1972,William F. McGaha,"William F. McGaha, Hannibal Penney, Joanna Moore",5.0,"Action, Adventure, Drama",99 min ,0
Teeth,2008.0,,"Jess Weixler,John Hensley,Hale Appleman,Lenny von Dohlen,Vivienne Benesch",3.0,"Comedy, Horror",94 minutes,Mortdecai,2015,David Koepp,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor",5.5,"Action, Comedy, Mystery",107 min ,0
Body of War,2008.0,,,3.0,"Documentary, War",87 minutes,A Small Town in Texas,1976,Jack Starrett,"Timothy Bottoms, Susan George, Bo Hopkins",5.5,"Action, Adventure, Crime",96 min ,0
A Year of the Quiet Sun,1984.0,,,4.0,"Drama, Foreign, Romance",106 minutes,Not My Day,2014,Peter Thorwarth,"Moritz Bleibtreu, Axel Stein, Jasmin Gerat",6.7,"Action, Adventure, Comedy",110 min ,0
Metropolis,1927.0,Fritz Lang,"Brigitte Helm,Alfred Abel,Gustav Froehlich,Rudolf Klein-Rogge,Heinrich George",4.0,"Drama, Foreign, Science Fiction",153 minutes,Solomon Kane,2009,Michael J. Bassett,"James Purefoy, Max von Sydow, Rachel Hurd-Wood",6.1,"Action, Adventure, Fantasy",104 min ,0
Good People,2014.0,Henrik Ruben Genz,"James Franco,Kate Hudson,Anna Friel,Tom Wilkinson,Omar Sy,Sam Spruell,Michael Jibson",2.5,"Action, Crime, Thriller",,Remains,2011,Colin Theys,"Grant Bowler, Evalena Marie, Tawny Cypress",4.2,"Action, Drama, Horror",88 min ,0
Hotel Transylvania 2,2015.0,Genndy Tartakovsky,"Adam Sandler,Kevin James,Steve Buscemi,Selena Gomez,Keegan Michael Key,Andy Samberg,Mel Brooks,Fran Drescher,David Spade",1.5,"Animation, Comedy",89 minutes,The Sum of All Fears,2002,Phil Alden Robinson,"Ben Affleck, Morgan Freeman, Ian Mongrain",6.4,"Action, Drama, Thriller",124 min ,0
Unknown,2011.0,Jaume Collet-Serra,"Liam Neeson,Diane Kruger,January Jones,Aidan Quinn,Bruno Ganz,Frank Langella",2.0,"Action, Drama, Indie, Mystery, Thriller",113 minutes,Deadlands: The Rising,2006,Gary Ugarek,"Dave Cooperman, Gary Ugarek, Michelle Wright",2.2,"Action, Horror, Thriller",72 min ,0
The Promotion,2008.0,,"Seann William Scott,John C. Reilly,Jenna Fischer,Lili Taylor,Fred Armisen",2.0,"Comedy, Indie",86 minutes,Australiens,2014,Joe Bauer,"Rita Artmann, Tamara McLaughlin, Lawrence Silver",7.4,"Action, Comedy, Sci-Fi",112 min ,0
The Shaggy Dog,2006.0,Brian Robbins,"Tim Allen,Robert Downey Jr.,Zena Grey,Shawn Pyfrom,Danny Glover,Jane Curtin",2.0,"Comedy, Family, Fantasy",95 minutes,Germ,2013,J.T. Boone,"Marguerite Sundberg, Michael Flores, Mark Chiappone",3.6,"Action, Drama, Horror",80 min ,0
The Iran Job,2013.0,,"Himself,Herself",2.5,Documentary,90 minutes,Snow White and the Huntsman,2012,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron",6.1,"Action, Adventure, Drama",127 min ,0
Little Miss Sunshine,2006.0,"Jonathan Dayton,Valerie Farris","Greg Kinnear,Steve Carell,Toni Collette,Alan Arkin,Abigail Breslin,Paul Dano",3.5,"Comedy, Drama, Indie",102 minutes,Sky Riders,1976,Douglas Hickox,"James Coburn, Susannah York, Robert Culp",6.0,"Action, Adventure",91 min ,0
Draft Day,2014.0,Ivan Reitman,"Kevin Costner,Jennifer Garner,Chadwick Boseman,Tom Welling,Terry Crews,Ellen Burstyn,Frank Langella,Rosanna Arquette,Chi McBride,Denis Leary,Wade Williams,W. Earl Brown,Kevin Dunn",2.0,Drama,109 minutes,Cornered,2011,Taylor Chien,"Hunter G. Williams, Heather McComb, Scott Michael Campbell",7.2,"Action, Crime, Mystery",96 min ,0
The Eagle,2011.0,Kevin MacDonald,"Channing Tatum,Jamie Bell,Donald Sutherland,Mark Strong,Tahar Rahim,Denis O'Hare",3.0,"Action, Adventure, Drama, Thriller",114 minutes,Quiet Cool,1986,Clay Borris,"James Remar, Daphne Ashbrook, Adam Coleman Howard",5.5,Action,80 min ,0
Monsters University,2013.0,Dan Scanlon,"Steve Buscemi,Jennifer Tilly,John Goodman,Billy Crystal,Helen Mirren,Charlie Day,Alfred Molina,Frank Oz",4.0,"Adventure, Animation, Comedy, Family, Fantasy",110 minutes,The Human Race,2013,Paul Hough,"Paul McCarthy-Boyington, Eddie McGee, Trista Robinson",5.4,"Action, Horror, Sci-Fi",87 min ,0
Australia,2008.0,Baz Luhrmann,"Nicole Kidman,Hugh Jackman,Brandon Walters,David Wenham,Bryan Brown",3.0,"Action, Adventure, Drama, Romance",165 minutes,Executive Decision,1996,Stuart Baird,"Kurt Russell, Halle Berry, Steven Seagal",6.4,"Action, Adventure, Thriller",133 min ,0
Sunshine Superman,2015.0,Marah Strauch,,2.5,Documentary,100 minutes,Ironclad,2011,Jonathan English,"Paul Giamatti, Jason Flemyng, Brian Cox",6.2,"Action, Adventure, History",121 min ,0
The Judge,2014.0,David Dobkin,"Robert Downey Jr.,Robert Duvall,Vera Farmiga,Vincent D'Onofrio,Jeremy Strong,Billy Bob Thornton,David Krumholtz,Emma Tremblay,Dax Shepard,Ken Howard,Leighton Meester,Balthazar Getty,Grace Zabriskie",2.5,Drama,141 minutes,Suburban Commando,1991,Burt Kennedy,"Hulk Hogan, Christopher Lloyd, Shelley Duvall",4.3,"Action, Comedy, Sci-Fi",90 min ,0
White Bird in a Blizzard,2014.0,Gregg Araki,"Shailene Woodley,Eva Green,Christopher Meloni,Shiloh Fernandez,Gabourey Sidibe,Thomas Jane,Angela Bassett,Dale Dickey,Sheryl Lee",2.0,"Drama, Thriller",91 minutes,Captive,2008,Aleksey Uchitel,"Vyacheslav Krikunov, Pyotr Logachev, Irakli Mskhalaia",6.2,"Action, Drama",80 min ,0
Inception,2010.0,,"Leonardo DiCaprio,Ken Watanabe,Joseph Gordon-Levitt,Marion Cotillard,Ellen Page,Tom Hardy,Cillian Murphy,Tom Berenger,Michael Caine,Dileep Rao,Pete Postlethwaite",4.0,"Action, Science Fiction, Thriller",148 minutes,Tough as Iron,2013,Kwon-tae Ahn,"Ah In Yoo, Seong-oh Kim, Yu-mi Jeong",6.3,"Action, Drama, Family",108 min ,0
Little Children,2006.0,Todd Field,"Kate Winslet,Jennifer Connelly,Patrick Wilson,Jackie Earle Haley,Noah Emmerich,Gregg Edelman",2.5,"Comedy, Drama, Indie, Romance",136 minutes,Race to Witch Mountain,2009,Andy Fickman,"Dwayne Johnson, Carla Gugino, AnnaSophia Robb",5.7,"Action, Adventure, Family",98 min ,0
Moonstruck,1988.0,Norman Jewison,"Cher,Nicolas Cage,Vincent Gardenia,Olympia Dukakis,Danny Aiello,Julie Bovasso,John Mahoney,Louis Guss,Feodor Chaliapin",4.0,"Comedy, Drama, Romance",100 minutes,The Pink Jungle,1968,Delbert Mann,"James Garner, Eva Renzi, George Kennedy",5.9,"Action, Adventure, Comedy",104 min ,0
The Fault in Our Stars,2014.0,Josh Boone,"Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,Sam Trammell,Willem Dafoe",2.0,Drama,125 minutes,Journal of a Contract Killer,2008,Tony Maylam,"Justine Powell, Adam Leese, Jake Canuso",4.9,"Action, Crime, Drama",90 min ,0
The Ghost Writer,2010.0,Roman Polanski,"Ewan McGregor,Pierce Brosnan,Kim Cattrall,Olivia Williams,Tom Wilkinson,Timothy Hutton,James Belushi,Eli Wallach",4.0,"Drama, Foreign, Mystery, Thriller",128 minutes,Disciples of Shaolin,1975,Cheh Chang,"Sheng Fu, Kuan-Chun Chi, Ming Li Chen",7.0,"Action, Drama",106 min ,0
A Year in Champagne,2015.0,David Kennard,,2.5,Documentary,82 minutes,Shout at the Devil,1976,Peter R. Hunt,"Lee Marvin, Roger Moore, Barbara Parkins",6.3,"Action, Adventure, Drama",150 min ,0
A Million Ways to Die in the West,2014.0,Seth MacFarlane,"Seth MacFarlane,Charlize Theron,Amanda Seyfried,Liam Neeson,Giovanni Ribisi,Neil Patrick Harris,Sarah Silverman,Wes Studi,Evan Jones",1.0,"Comedy, Western",116 minutes,Lumpia,2003,Patricio Ginelsa Jr.,"Carlos Baon, Francis Custodio, Edward Baon",5.9,"Action, Comedy",80 min ,0
Dolphin Tale,2011.0,Charles Martin Smith,"Nathan Gamble,Ashley Judd,Kris Kristofferson,Cozi Zuehlsdorff,Morgan Freeman,Austin Stowell",3.0,"Drama, Family",113 minutes,Thunderbolt,1995,Gordon Chan,"Jackie Chan, Anita Yuen, Michael Wong",6.3,"Action, Comedy, Drama",110 min ,0
Rear Window,1954.0,,"James Stewart,Grace Kelly,Raymond Burr,Wendell Corey,Thelma Ritter",4.0,"Suspense, Thriller",114 minutes,One in the Chamber,2012,William Kaufman,"Cuba Gooding Jr., Dolph Lundgren, Claudia Bassols",5.2,"Action, Crime, Thriller",91 min ,0
The Terrorist,2000.0,Santosh Sivan,"Ayesha Dharkar,Parmeshwaran,Vishnu Vardhan,Bhanu Prakash,Vishwas,K. Krishna",4.0,"Comedy, Drama, Romance",95 minutes,The Wrestler,1974,James A. Westman,"Edward Asner, Elaine Giftos, Verne Gagne",5.9,"Action, Crime, Drama",95 min ,0
Bad Hair,2014.0,Mariana Rondón,"Beto Benites,Samantha Castillo,Samuel Lange Zambrano,Nelly Ramos",3.0,Drama,93 minutes,Black Ice,2013,Johnny Gogan,"Jane McGrath, Killian Scott, Dermot Murphy",5.8,"Action, Crime, Sport",100 min ,0
Monsieur Hire,1989.0,Patrice Leconte,"Sandrine Bonnaire,Luc Thuillier,Andre Wilms",4.0,"Crime, Drama, Foreign, Thriller",88 minutes,Showdown at Area 51,2007,C. Roma,"Jason London, Gigi Edgley, Christa Campbell",3.4,"Action, Sci-Fi, Thriller",96 min ,0
Goodbye to All That,2014.0,Angus MacLachlan,"Paul Schneider,Melanie Lynskey,Audrey P. Scott,Anna Camp,Heather Graham",3.0,Comedy,87 minutes,Brutal Boxer,1972,Shan Kwan,"Sing Chen, Raymond Lui, Ni Tien",6.1,"Action, Drama",87 min ,0
Gerontophilia,2015.0,Bruce LaBruce,"Pier-Gabriel Lajoie,Walter Borden,Katie Boland,Marie-Hélène Thibault,Nastassia Markiewicz,Yardly Kavanagh,Jean-Alexandre Létourneau,Brian D. Wright",3.0,"Comedy, Romance",90 minutes,High Velocity,1976,Remi Kramer,"Ben Gazzara, Britt Ekland, Paul Winfield",5.4,"Action, Drama",105 min ,0
Cool Hand Luke,1967.0,,,4.0,"Crime, Drama",126 minutes,Dragon Warriors,2015,Maclain Nelson,"James Marsters, Kaitlin Doubleday, Luke Perry",8.4,"Action, Comedy, Fantasy",122 min ,0
The Possession of Michael King,2014.0,David Jung,"Shane Johnson,Cara Pifko",1.0,Thriller,,Tarzan's Greatest Adventure,1959,John Guillermin,"Gordon Scott, Anthony Quayle, Sara Shane",6.6,"Action, Adventure",88 min ,0
Alexandra,2008.0,,"Galina Vishnevskaya,Vasily Shevtsov,Raisa Gichaeva",3.5,"Drama, Foreign",95 minutes,Golden Swallow,1968,Cheh Chang,"Pei-Pei Cheng, Yu Wang, Lieh Lo",7.1,"Action, Adventure, Romance",89 min ,0
Phil Spector,2013.0,,"Al Pacino,Helen Mirren,Jeffrey Tambor,Matt Malloy",2.5,,92 minutes,Ang Panday 2,2011,Mac Alejandre,"Ramon 'Bong' Revilla Jr., Marian Rivera, Phillip Salvador",5.2,"Action, Adventure, Drama",110 min ,0
A Life in Dirty Movies,2014.0,Wiktor Ericsson,,3.0,Documentary,80 minutes,The Time Machine,2002,Simon Wells,"Guy Pearce, Yancey Arias, Mark Addy",5.9,"Sci-Fi, Adventure, Action",96 min ,0
The Film Critic,2015.0,Hernán Guerschuny,"Rafael Spregelburd,Dolores Fonzi,Blanca Lewin,Ignacio Rogers",2.5,"Comedy, Drama, Foreign",90 minutes,A Man Apart,2003,F. Gary Gray,"Vin Diesel, Timothy Olyphant, Larenz Tate",6.1,"Action, Crime, Drama",109 min ,0
Jonestown: The Life and Death of Peoples Temple,2006.0,Stanley Nelson,,3.0,"Documentary, History",86 minutes,Wonder Women,1973,Robert Vincent O'Neill,"Nancy Kwan, Ross Hagen, Maria De Aragon",5.3,"Action, Horror, Sci-Fi",82 min ,0
The Pledge,2001.0,Sean Penn,"Jack Nicholson,Robin Wright Penn,Aaron Eckhart,Sam Shepard,Mickey Rourke,Benicio Del Toro,Helen Mirren",4.0,"Crime, Drama, Mystery, Thriller",124 minutes,Stand by for Action,1942,Robert Z. Leonard,"Robert Taylor, Brian Donlevy, Charles Laughton",6.6,"Action, Drama, War",109 min ,0
Sophie Scholl: The Final Days,2006.0,Marc Rothemund,"Julia Jentsch,Alexander Held,Fabian Hinrichs,Johanna Gastdorf,Andre Hennicke,Florian Stetter,Johannes Suhm,Maximilian Bruckner",3.0,"Drama, Foreign",117 minutes,Fei Lung gwoh gong,1978,Sammo Kam-Bo Hung,"Sammo Kam-Bo Hung, Kwan Yeung, Roy Chiao",7.0,"Action, Comedy",100 min ,0
Dinner for Schmucks,2010.0,Jay Roach,"Steve Carell,Paul Rudd,Zach Galifianakis,Jemaine Clement,Stephanie Szostak,Lucy Punch,Bruce Greenwood,Ron Livingston",3.0,Comedy,114 minutes,Emmanuelle 5,1987,Walerian Borowczyk,"Monique Gabrielle, Crofton Hardester, Dana Burns Westburg",2.8,"Action, Drama",85 min ,0
The Expendables 3,2014.0,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3.0,"Action, Adventure, Thriller",126 minutes,Torque,2004,Joseph Kahn,"Martin Henderson, Ice Cube, Monet Mazur",4.0,"Action, Comedy, Crime",84 min ,0
The Perfect Guy,2015.0,David M. Rosenthal,"Michael Ealy,Sanaa Lathan,Morris Chestnut,Kathryn Morris,Rutina Wesley",2.0,Thriller,100 minutes,Dahleez,1986,Ravi Chopra,"Jackie Shroff, Raj Babbar, Meenakshi Sheshadri",5.0,"Drama, Family, Action",161 min ,0
Ace in the Hole,1951.0,Billy Wilder,"Kirk Douglas,Richard Benedict,Jan Sterling",4.0,"Drama, Film Noir",111 minutes,From Dusk Till Dawn,1996,Robert Rodriguez,"Harvey Keitel, George Clooney, Juliette Lewis",7.3,"Action, Crime, Horror",108 min ,0
The Sacrament,2014.0,Ti West,"AJ Bowen,Amy Seimetz,Joe Swanberg,Kate Lyn Sheil,Gene Jones",2.5,"Horror, Thriller",95 minutes,Persecuted,2014,Daniel Lusko,"James Remar, Dean Stockwell, Bruce Davison",3.6,"Action, Drama, Mystery",91 min ,0
The Loneliest Planet,2012.0,,"Gael Garcia Bernal,Hani Furstenberg,Bidzina Gujabidze",2.0,Drama,113 minutes,Death Machine,1994,Stephen Norrington,"Brad Dourif, Ely Pouget, William Hootkins",5.7,"Action, Horror, Sci-Fi",120 min ,0
Answers to Nothing,2011.0,,"Dane Cook,Elizabeth Mitchell,Julie Benz,Barbara Hershey,Zach Gilford,Erik Palladino,Kali Hawk,Aja Volkman,Miranda Bailey,Mark Kelly",2.5,"Drama, Mystery, Thriller",,Free Fall,1999,Mario Azzopardi,"Hannes Jaenicke, Jaclyn Smith, Bruce Boxleitner",4.2,"Action, Drama",89 min ,0
Hard to Be a God,2015.0,Aleksey German,"Leonid Yarmolnik,Yuriy Tsurilo,Natalya Moteva,Aleksandr Chutko,Aleksandr Ilin,Evgeniy Gerchakov,Pyotr Merkuryev,Juris Laucinsh",4.0,Science Fiction,170 minutes,Wedlock,1991,Lewis Teague,"Rutger Hauer, Mimi Rogers, Joan Chen",5.8,"Action, Crime, Drama",101 min ,0
Earth to Echo,2014.0,Dave Green,"Teo Halm,Astro,Resse Hartwig,Ella Wahlestedt,Jason Gray-Stanford,Cassius Willis,Drake Kemper",2.0,"Action, Adventure, Science Fiction",,Kingdom of Heaven,2005,Ridley Scott,"Orlando Bloom, Eva Green, Liam Neeson",7.2,"Action, Adventure, Drama",144 min ,0
Grandma,2015.0,Paul Weitz,"Lily Tomlin,Julia Garner,Marcia Gay Harden,Judy Greer,Laverne Cox,Elizabeth Peña,Nat Wolff,John Cho,Sam Elliott",3.5,Comedy,79 minutes,Spygirl,2004,Han-jun Park,"Jeong-hwa Kim, Yoo Gong, Sang-mi Nam",6.1,"Action, Comedy, Romance",102 min ,0
Great Expectations,2013.0,Mike Newell,"Ralph Fiennes,Helena Bonham-Carter,Jason Flemyng,Robbie Coltrane,Holliday Grainger,Jeremy Irvine,Ewen Bremner,Sally Hawkins",2.0,Drama,128 minutes,Under the Hula Moon,1995,Jeff Celentano,"Stephen Baldwin, Emily Lloyd, Chris Penn",4.2,"Action, Comedy",94 min ,0
Behind the Burly-Q,2010.0,,,2.0,Documentary,,Next Day Air,2009,Benny Boom,"Yasiin Bey, Mike Epps, Donald Faison",5.9,"Action, Comedy, Crime",84 min ,0
Mr. Peabody & Sherman,2014.0,Rob Minkoff,"Ty Burrell,Max Charles,Ariel Winter,Allison Janney,Ellie Kemper,Stephen Colbert,Stephen Tobolowsky,Stanley Tucci,Laurie Fraser,Leslie Mann",2.5,"Adventure, Animation, Family",92 minutes,Electric Man,2012,David Barras,"Toby Manley, Mark McKirdy, Fish",7.4,"Action, Comedy, Drama",100 min ,0
Revenge of the Green Dragons,2014.0,"Andrew Lau Wai-Keung,Andrew Loo","Justin Chon,Kevin Wu,Harry Shum Jr.,Ray Liotta",1.5,"Action, Crime, Drama",94 minutes,Welcome 2 Ibiza,2003,David Winters,"Athena Cansino, Mariano Alameda, Megan Gray",4.2,"Action, Comedy, Romance",95 min ,0
Private Violence,2014.0,Cynthia Hill,,3.0,Documentary,81 minutes,Queen of the Seas,1961,Umberto Lenzi,"Lisa Gastoni, Jerome Courtland, Walter Barnes",5.5,"Action, Adventure, Drama",87 min ,0
The Immigrant,2014.0,James Gray,"Marion Cotillard,Joaquin Phoenix,Jeremy Renner,Dagmara Domińczyk",3.0,"Drama, Mystery, Romance, Thriller",120 minutes,Gangster's Paradise: Jerusalema,2008,Ralph Ziman,"Rapulana Seiphemo, Jeffrey Zekele, Ronnie Nyakale",7.8,"Action, Crime, Drama",119 min ,0
My Blueberry Nights,2008.0,Wong Kar-Wai,"Norah Jones,Jude Law,Natalie Portman,David Strathairn,Rachel Weisz,Chan Marshall",2.5,"Drama, Foreign, Romance",111 minutes,Deadlands: The Rising,2006,Gary Ugarek,"Dave Cooperman, Gary Ugarek, Michelle Wright",2.2,"Action, Horror, Thriller",72 min ,0
Harmontown,2014.0,Neil Berkeley,,2.5,Documentary,101 minutes,Speed Racer,2008,Andy Wachowski,"Emile Hirsch, Matthew Fox, Christina Ricci",6.1,"Action, Family, Sport",135 min ,0
The Invisible Woman,2013.0,Ralph Fiennes,"Ralph Fiennes,Felicity Jones,Kristin Scott Thomas,Tom Hollander,John Kavanagh,James Michael Rankin,Charlotte Hope,Michael Marcus,Laurence Spellman,Michelle Fairley,Jonathan Harden,Christos Lawton,Claire Daly",3.5,"Drama, Romance",111 minutes,De force,2011,Frank Henry,"Isabelle Adjani, Eric Cantona, Simon Abkarian",4.0,Action,96 min ,0
Escape Plan,2013.0,Mikael Håfström,"Sylvester Stallone,Arnold Schwarzenegger,Vinnie Jones,50 Cent,Matt Gerald,Christian Stokes,Jim Caviezel,Vincent D'Onofrio,Sam Neill",1.5,"Action, Mystery, Thriller",,Dusting Cliff 7,1997,William H. Molina,"Nancy Allen, Lance Henriksen, Scott Lincoln",4.3,"Action, Crime, Drama",93 min ,0
Poltergeist,2015.0,Gil Kenan,"Sam Rockwell,Jared Harris,Rosemarie DeWitt,Nicholas Braun,Saxon Sharbino,Kennedi Clements,Jane Adams",1.5,"Horror, Thriller",93 minutes,Don't Turn the Other Cheek,1971,Duccio Tessari,"Franco Nero, Eli Wallach, Lynn Redgrave",5.8,"Action, Adventure, Comedy",103 min ,0
The Transporter Refueled,2015.0,Camille Delamarre,"Ed Skrein,Loan Chabanol,Lenn Kudrjawizki,Radivoje Bukvić,Gabriella Wright,Ray Stevenson",1.5,"Action, Crime, Thriller",96 minutes,City Under Siege,2010,Benny Chan,"Mo-Chan Chik, Collin Chou, Chrissie Chow",4.8,"Action, Sci-Fi, Thriller",110 min ,0
The Lucky Ones,2008.0,Neil Burger,"Rachel McAdams,Tim Robbins,Michael Pena,John Heard",3.0,"Comedy, Drama, History, Indie",113 minutes,Full Clip,2006,mink,"Shaun Baker, Busta Rhymes, Bubba Smith",3.1,"Action, Thriller",95 min ,0
Jersey Boys,2014.0,Clint Eastwood,"John Lloyd Young,Vincent Piazza,Erich Bergen,Michael Lomenda,Christopher Walken,Mike Doyle,Freya Tingley,Renee Marino",2.0,"Drama, Music",134 minutes,Buck Privates Come Home,1947,Charles Barton,"Bud Abbott, Lou Costello, Tom Brown",7.5,"Action, Comedy, Family",77 min ,0
Clouds of Sils Maria,2015.0,Olivier Assayas,"Juliette Binoche,Kristen Stewart,Chloë Grace Moretz,Brady Corbet,Johnny Flynn",3.5,Drama,124 minutes,A View to a Kill,1985,John Glen,"Roger Moore, Christopher Walken, Tanya Roberts",6.3,"Action, Adventure, Thriller",131 min ,0
Outcast,2015.0,Nick Powell,"Nicolas Cage,Hayden Christensen,Liu Yifei,Andy On,Fernando Chien",1.0,"Action, Adventure",98 minutes,Vikingdom,2013,Yusry Abd Halim,"Dominic Purcell, Natassia Malthe, Craig Fairbrass",3.4,"Action, Adventure, Fantasy",114 min ,0
Life of Pi,2012.0,Ang Lee,"Suraj Sharma,Tabu,Gerard Depardieu,Rafe Spall",4.0,"Action, Adventure, Drama",127 minutes,Vice Girls,1997,Richard Gabai,"Lana Clarkson, Liat Goodson, Kimberley Roberts",3.4,"Action, Crime, Drama",83 min ,0
Mean Streets,1973.0,Martin Scorsese,"Robert De Niro,Harvey Keitel,David Proval,Amy Robinson,Richard Romanus",4.0,"Action, Crime, Drama",110 minutes,The League of Extraordinary Gentlemen,2003,Stephen Norrington,"Sean Connery, Stuart Townsend, Peta Wilson",5.8,"Action, Adventure, Fantasy",110 min ,0
A Woman's Tale,1992.0,,"Sheila Florance,Gosia Dobrowolska,Norman Kaye",4.0,,94 minutes,Foxfire,1955,Joseph Pevney,"Jane Russell, Jeff Chandler, Dan Duryea",6.0,"Action, Comedy, Drama",87 min ,0
Prince,2015.0,Sam de Jong,"Ayoub Elasri,Oussama Addi,Achraf Meziani,Elsie de Brauw,Sigrid ten Napel,Jorik Scholten",3.0,"Comedy, Drama",78 minutes,Balls Deep,2004,John Ta,"Willie Chico McGuire, Marta Michalowska, Darren Pitts",7.3,"Action, Crime",89 min ,0
Adventureland,2009.0,,"Jesse Eisenberg,Kristen Stewart,Ryan Reynolds,Matt Bush,Margarita Levieva,Bill Hader,Kristen Wiig,Martin Starr",3.0,"Comedy, Romance",107 minutes,Cop Target,1991,Umberto Lenzi,"Robert Ginty, Barbara Bingham, Charles Napier",4.2,"Action, Crime, Thriller",89 min ,0
The New Year Parade,2009.0,,"Greg Lyons,Jennifer-Lynn Welsh,Andrew Conway,Ann McDonald,Tobias Segal",3.0,Drama,85 minutes,SEAL Patrol,2014,Nicolas Aaron Mezzanatto,"Kristina Anapau, James C. Burns, Tina Casciani",3.6,"Action, Sci-Fi, Thriller",80 min ,0
Unfriended,2015.0,Leo Gabriadze,"Heather Sossaman,Matthew Bohrer,Courtney Halverson,Shelley Hennig,Renee Olstead,Cal Barnes,William Peltz,Mickey River,Moses Jacob Storm,Jacob Wysocki",1.0,"Horror, Thriller",82 minutes,Tuff Turf,1985,Fritz Kiersch,"James Spader, Kim Richards, Paul Mones",6.2,"Action, Drama",112 min ,0
Hannah Arendt,2012.0,Margarethe von Trotta,"Barbara Sukowa,Axel Milberg,Janet McTeer,Julia Jentsch,Michael Degen,Nicholas Woodeson,Ulrich Noethen",3.0,Drama,113 minutes,F/X,1986,Robert Mandel,"Bryan Brown, Brian Dennehy, Diane Venora",6.6,"Action, Thriller",109 min ,0
Pandora's Box,1928.0,,,4.0,,,The Three Fantastic Supermen,1967,Gianfranco Parolini,"Tony Kendall, Brad Harris, Aldo Canti",5.9,"Action, Adventure, Fantasy",94 min ,0
Pitch Perfect,2012.0,Jason Moore,"Anna Kendrick,Skylar Astin,Ben Platt,Brittany Snow,Rebel Wilson,Anna Camp,Alexis Knapp",2.0,"Comedy, Music",112 minutes,SEAL Patrol,2014,Nicolas Aaron Mezzanatto,"Kristina Anapau, James C. Burns, Tina Casciani",3.6,"Action, Sci-Fi, Thriller",80 min ,0
Bajatey Raho,2013.0,"Shashant Shah,Zafar Khan","Tusshar Kapoor,Vinay Pathak,Ranvir Shorey,Vishakha Singh,Ravi Kishan,Dolly Ahluwalia,Kamiesh Gill,Maryam Zakaria",2.5,,,Chingari,2012,Harsha,"Darshan Thoogudeep, Deepika Kamaiah, Bhavana",5.7,"Action, Thriller",148 min ,0
