Title_A,Authors_A,Venue_A,Year_A,Title_B,Authors_B,Venue_B,Year_B,Gold
Temporal Aggregation in Active Database Rules,", C Zaniolo",,,Temporal Aggregation in Active Database Rules,"I Motakis, C Zaniolo",SIGMOD Conference,1997,1
CheeTah: a Lightweight Transaction Server for Plug-and-Play Internet Data Management,"G Pardon, G Alonso","VLDB,",2000.0,CheeTah: a Lightweight Transaction Server for Plug-and-Play Internet Data Management,"G Pardon, G Alonso",VLDB,2000,1
Path Queries on Compressed XML,"P Buneman, M Grohe, C Koch","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Path Queries on Compressed XML,"P Buneman, M Grohe, C Koch",VLDB,2003,1
A kinetic study of CVD-WSix processes.* the comparison of WF /SiH  and WF /Si  H  processes,"T Saito, K Oshima, Y Shimogaki, Y Egashira, H  ","Proceedings 12th International Conference on C&lt; D,",,The TreeScape System: Reuse of Pre-Computed Aggregates over Irregular OLAP Hierarchies,"T Pedersen, C Jensen, C Dyreson",VLDB,2000,0
Grassroots,"K Kamiya, M RÃ¶scheisen, T Winograd","Technical Report, Stanford University, Cf. URL http://diglib. ",,UniSQL's Next-Generation Object-Relational Database Management System,"A D'Andrea, P Janus",SIGMOD Record,1996,0
Multidatabase Interdependencies in Industry,"AP Sheth, G Karabatis",,,"Using Taxonomy, Discriminants, and Signatures for Navigating in Text Databases","S Chakrabarti, B Dom, R Agrawal, P Raghavan",VLDB,1997,0
The effects of uterine ligaments on fetal injury risk in frontal automobile crashes,"D Moorcroft, J Stitzel, S Duma, G Duma","Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",2003.0,The Database Research Group at ETH Zurich,"M Norrie, S Blott, H Schek, G Weikum",SIGMOD Record,1994,0
Facilitating Cultural Diversity in Adult Literacy Programs.,LG Martin,"New Directions for Adult and Continuing Education,",1990.0,A case for dynamic view management,"Y Kotidis, N Roussopoulos",ACM Trans. Database Syst.,2001,0
Conservation biology: lessons for conserving natural enemies,DK Letourneau,"See Ref,",,Hash Joins and Hash Teams in Microsoft SQL Server,"G Graefe, R Bunker, S Cooper",VLDB,1998,0
Recent developments in 2D positive systems theory,"E Fornasini, ME Valcher","APPLIED MATHEMATICS AND COMPUTER SCIENCE,",1997.0,QC-Trees: An Efficient Summary Structure for Semantic OLAP,"L Lakshmanan, J Pei, Y Zhao",SIGMOD Conference,2003,0
"23rd, US Pharmacopeial Convention, Rockville",US Pharmacopeia,"MD,",,Filter Trees for Managing Spatial Data over a Range of Size Granularities,"K Sevcik, N Koudas",VLDB,1996,0
Strength Reduction of Integer Division and Modulo Operations,"S Amarasinghe, W Lee, B Greenwald",,,ODMG-93: A Standard for Object-Oriented DBMSs,R Cattell,SIGMOD Conference,1994,0
DBRS: A Density-Based Spatial Clustering Method with Random Sampling,"X Wang, HJ Hamilton","LECTURE NOTES IN COMPUTER SCIENCE,",2003.0,Applying database Visualization to the World Wide Web,"M Hasan, A Mendelzon, D Vista",SIGMOD Record,1996,0
The savanna vegetation of Wisconsin and an application of the concepts order and complexity to the  ,JR Bray,,1955.0,Paradise: A Database System for GIS Applications,P Team,SIGMOD Conference,1995,0
The highly conserved DAD1 protein involved in apoptosis is required for N-linked glycosylation,"T Makishima, T Nakashima, K Nagata-Kuno, K  ","Genes to Cells,",1997.0,"NexusScout: An Advanced Location-Based Application on a Distributed, Open Mediation Platform","D Nicklas, M Groпmann, T Schwarz",VLDB,2003,0
Stuttering Treatment Rating Recorder (STRR) Version 2.0 (computer program),"S Fowler, R Ingham","University of California, Santa Barbara,",,Quality-driven Integration of Heterogenous Information Systems,"F Naumann, U Leser, J Freytag",VLDB,1999,0
"0. E., and HEIKE, V., 1965",A ANIMALU,Phil.,,STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper),"L Gravano, K Chang, H Garcia-Molina, A Paepcke",SIGMOD Conference,1997,0
A Protocol for Packet-Switching Voice Communication,D Cohen,"Computer Networks,",,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,"S Chakrabarti, S Roy, M Soundalgekar",VLDB,2002,0
Agency Theory: An Assessment and Review,KM Eisenhardt,"The Academy of Management Review,",1989.0,Multidimensional Access Methods: Trees Have Grown Everywhere,"T Sellis, N Roussopoulos, C Faloutsos",VLDB,1997,0
"Whatâ??s Doing? A Tribute to Professor Murray Goodman, 2005, 165-172 165",TT Romoff,"Acc. Chem. Res,",1993.0,PIX: Exact and Approximate Phrase Matching in XML,"S Amer-Yahia, M Fernandez, D Srivastava, Y Xu",SIGMOD Conference,2003,0
Saturnâ??s rings: pre-Cassini status and mission goals 2002 Sp. Sci. Rev,"JN Cuzzi, JE Colwell, LW Esposito, CC Porco, CE  ",,2001.0,Databases and Workflow Management: What is it All About? (Panel),"A Reuter, S Ceri, J Gray, B Salzberg, G Weikum",VLDB,1995,0
Program Evaluation,JE Sieber,"New Directions for Program Evaluation,",1980.0,The TreeScape System: Reuse of Pre-Computed Aggregates over Irregular OLAP Hierarchies,"T Pedersen, C Jensen, C Dyreson",VLDB,2000,0
Web services: The next big thing?,JK Waters,,,"Declarative Data Cleaning: Language, Model, and Algorithms","H Galhardas, D Florescu, D Shasha, E Simon, C Saita",VLDB,2001,0
"Communism, Conformity, and Civil Liberties",S Stouffer,"New York,",,Selectivity Estimation in Spatial Databases,"S Acharya, V Poosala, S Ramaswamy",SIGMOD Conference,1999,0
Asynchronous Software Thread Integration for Efficient Software Implementations of Embedded  ,"NJ Kumar, S Shivshankar, AG Dean",,,XMark: A Benchmark for XML Data Management,"A Schmidt, F Waas, M Kersten, M Carey, I Manolescu, R Busse",VLDB,2002,0
Distance Learning Through Distributed Collaborative Video Viewing,"A Balachandran, JJ Cadiz",,,Practical Issues with Commercial Use of Federated Databases,J Kleewein,VLDB,1996,0
Q: A Scenario Description Language for Interactive Agents,T Ishida,,,Graphical Interaction with Heterogeneous Databases,"T Catarci, G Santucci, J Cardiff",VLDB J.,1997,0
Design ing inductors for thin-film application.,HG Dill,,1964.0,"World Wide Database - Integrating the Web, CORBA, and Databases","A Bouguettaya, B Benatallah, L Hendra, J Beard, K Smith, M Ouzzani",SIGMOD Conference,1999,0
Storage Replication and Layout in Video-on-Demand Servers,"SD Stoller, J DeTreville","LECTURE NOTES IN COMPUTER SCIENCE,",1995.0,Optimization of Constrained Frequent Set Queries with 2-variable Constraints,"L Lakshmanan, R Ng, J Han, A Pang",SIGMOD Conference,1999,0
Contextual Insight in Search: Enabling Technologies and Applications,A Ã?hrn,"Proceedings of the 31st international conference on Very  &hellip;,",2005.0,A Research Status Report on Adaptation for Mobile Data Access,"B Noble, M Satyanarayanan",SIGMOD Record,1995,0
Australia in transition: cultural diversification and geopolitical reorientation,"B Chalkley, H Winchester","Geography,",,Selectivity Estimation in Spatial Databases,"S Acharya, V Poosala, S Ramaswamy",SIGMOD Conference,1999,0
Scanning electrochemical microscopy,"AJ Bard, PR Unwin, DO Wipf, F Zhou","AIP Conf. Proceedings,",1992.0,Transparent Mid-Tier Database Caching in SQL Server,"P Larson, J Goldstein, J Zhou",SIGMOD Conference,2003,0
"McAuliffe, M., J. Naughton, D. Schuh, M. Solomon, C. Tan, 0. Tsatalos. J. White, and M. Zwilling.  ","M Carey, D DeWitt, M Franklin, N Hall","Proc. of the ACM SIGMOD, May,",,Maintaining Data Privacy in Association Rule Mining,"S Rizvi, J Haritsa",VLDB,2002,0
"Protection Organization, Greek Aseismic Code EAK 2000",E Planning,"Athens, Greece,",,Partition Based Spatial-Merge Join,"J Patel, D DeWitt",SIGMOD Conference,1996,0
STRAUSS: A SPECIFICATION MINER,G Ammons,,2003.0,DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),"M Livny, R Ramakrishnan, K Beyer, G Chen, D Donjerkovic, S Lawande, J Myllymaki, R Wenger",SIGMOD Conference,1997,0
Long pulse operation of a 0.5 MW-118 GHz gyrotron with cryogenic window,"S Alberti, O Braz, P Garin, E Giguet, M Pain, PH  ","Proc. 21st Int. Conf. on Infrared and Millimeter Waves,  &hellip;,",,Integrating Reliable Memory in Databases,"W Ng, P Chen",VLDB J.,1998,0
Impact Testing and Simulation of a Crashworthy Composite Fuselage Section with Energy-Absorbing  ,"EL Fasanella, KE Jackson","Montreal, Canada, June,",,DBCache: Middle-tier Database Caching for Highly Scalable e-Business Architectures,"C Bornhіvd, M Altinel, S Krishnamurthy, C Mohan, H Pirahesh, B Reinwald",SIGMOD Conference,2003,0
VIPAS: Virtual Link Powered Authority Search in the Web,"CC Lin, MS Chen","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Sideway Value Algebra for Object-Relational Databases,"G жzsoyoglu, A Al-Hamdani, I Altingіvde, S жzel, ж Ulusoy, Z жzsoyoglu",VLDB,2002,0
Roussoploulos. Adaptiveselectivity estimation using query feedback,CM ChenandN,"Proc. of the ACM SIGMOD Conference,",,Extending an ORDBMS: The StateMachine Module,"W Mahnke, C Mathis, H Steiert",VLDB,2002,0
"BanuOzden, and Avi Silberschatz.â??ResourceSchedulingin EnhancedPay-Per-View ContinuousMedia  ",MN Garofalakis,Proceedings of the 23rd International Conferenceon Very ,,Eddies: Continuously Adaptive Query Processing,"R Avnur, J Hellerstein",SIGMOD Conference,2000,0
Designing an ultra highly available DBMS,"O Torbjornsen, S Bratsberg","Proceedings of ACMSIGMOD Conference, Dallas, TX, May,",,A Critique of ANSI SQL Isolation Levels,"H Berenson, P Bernstein, J Gray, J Melton, E O'Neil, P O'Neil",SIGMOD Conference,1995,0
â??A Multidatabase Transaction Model for Interbase â??in: Proc. of the 16th Int,"A Elmagarmid, Y Leu, W Litwin, M Rusinkiewicz","Conference on Very Large Data Bases, August,",,"TCP-D - The Challenges, Issues and Results",R Bhashyam,SIGMOD Record,1996,0
ApJS,V Slyshâ?¦,,1999.0,Partition Based Spatial-Merge Join,"J Patel, D DeWitt",SIGMOD Conference,1996,0
Reliable and Precise WCET Determination for a Real-Life Processor,"C Ferdinand, R Heckmann, M Langenbach, F Martin, M ","LECTURE NOTES IN COMPUTER SCIENCE,",2001.0,Indexing Large Metric Spaces for Similarity Search Queries,"T Bozkaya, Z жzsoyoglu",ACM Trans. Database Syst.,1999,0
"Deviance or Uniqueness, Harmony or Conformity? A Cultural Analysis","H Kim, HR Markus","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1999.0,An Asymptotically Optimal Multiversion B-Tree,"B Becker, S Gschwind, T Ohler, B Seeger, P Widmayer",VLDB J.,1996,0
Configuring Distributed Systems,"J Kramer, J Magee, M Sloman",,,Describing Semistructured Data,L Cardelli,SIGMOD Record,2001,0
A 1.8 V 94 dB dynamic range 16 modulator for voice applications,"J Grilo, E MacRobbie, R Halim, GC Temes","Proc. Int. Solid-State Circuits Conf,",,Metadata Standards for Data Warehousing: Open Information Model vs. Common Warehouse Metamodel,"T Vetterli, A Vaduva, M Staudt",SIGMOD Record,2000,0
Energy transfer and excimer formation in rare gas solids,WF Scott,"Ph. D. Thesis California Univ., Santa Barbara.,",1984.0,"\A Consumer Viewpoint on \""\""Mediator Languages - a Proposal for a Standard\""\""\""""","A Rosenthal, E Hughes, S Renner, L Seligman",SIGMOD Record,1997,0
Ogneupory,"LB Khoroshavin, VA Perepelitsyn, TI Boriskova","No. i,",,Incremental Maintenance for Materialized Views over Semistructured Data,"S Abiteboul, J McHugh, M Rys, V Vassalos, J Wiener",VLDB,1998,0
Online Student Ratings: Will Students Respond?,TD Johnson,"NEW DIRECTIONS FOR TEACHING AND LEARNING,",2003.0,Incremental Distance Join Algorithms for Spatial Databases,"G Hjaltason, H Samet",SIGMOD Conference,1998,0
Temporal Pattern Mining Scheme for Data Streams,"WG Teng, MS Chen, PSYA Regression-Based",,2003.0,"The gRNA: A Highly Programmable Infrastructure for Prototyping, Developing and Deploying Genomics-Centric Applications","A Laud, S Bhowmick, P Cruz, D Singh, G Rajesh",VLDB,2002,0
Recent advances in wireless networking,U Varshney,,,"Review of Data on the Web: from relational to semistructured data and XML by Serge Abiteboul, Peter Buneman, and Dan Suciu. Morgan Kaufmann 1999",,,2003,0
On the singular cardinals problem,J Silver,"Proc. Int. Congr. Math. Vancouver,",,Integrating Contents and Structure in Text Retrieval,"R Baeza-Yates, G Navarro",SIGMOD Record,1996,0
Seismic tomographyâ??Determination of high and low velocity zones beneath Greece and surrounding  ,G Drakatos,,1989.0,Mariposa: A Wide-Area Distributed Database System,"M Stonebraker, P Aoki, W Litwin, A Pfeffer, A Sah, J Sidell, C Staelin, A Yu",VLDB J.,1996,0
Implementing Abstract Objects with Inheritance in Datalogneg,HM Jamil,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997.0,What Will Be - Book Review,,,2002,0
Establishing relationships between specification size and software process effort in CASE  ,SG MacDonell,"Information and Software Technology,",1997.0,Fault Tolerant Design of Multimedia Servers,"S Berson, L Golubchik, R Muntz",SIGMOD Conference,1995,0
An Insiderâ??s Look at Homeland Security and Technology,L Ulanoff,"PC Magazine. Retrieved July,",,Dalэ: A High Performance Main Memory Storage Manager,"H Jagadish, D Lieuwen, R Rastogi, A Silberschatz, S Sudarshan",VLDB,1994,0
"Ergonomics, policy, and the ED nurse",RE Malone,"JOURNAL OF EMERGENCY NURSING,",2000.0,Supporting Procedural Constructs in SQL Compilers,N Mattos,VLDB,1996,0
Semantic integration of environmental models for application to global information and decision- ,DS Mackay,"ACM SIGMOD Record,",,Static Detection of Security Flaws in Object-Oriented Databases,K Tajima,SIGMOD Conference,1996,0
Talking to Strangers: An Evaluation of the Factors Affecting Electronic Collaboration Groupware  ,S Whittaker,Proc. ACM CSCW,,The TPR*-Tree: An Optimized Spatio-Temporal Access Method for Predictive Queries,"Y Tao, D Papadias, J Sun",VLDB,2003,0
"Terminal-terminal handler commands, European Informatics Network",P SCHICKER,"EIN/ZHR/75/18, Zurich,",,Adaptive Index Structures,"Y Tao, D Papadias",VLDB,2002,0
Traffic scenarios for the 21st century,"MH Lyons, KO Jensen, I Hakwer","BT TECHNOLOGY JOURNAL,",1993.0,Monotonic complements for independent data warehouses,"D Laurent, J Lechtenbіrger, N Spyratos, G Vossen",VLDB J.,2001,0
andE. Gafni. Applying StaticNetworkProtocolstoDynamic Networks,"Y Afek, B Awerbuch","Proc. of the 28th IEEE Ann. Symp. on Foundation of Computer  &hellip;,",,WARLOCK: A Data Allocation Tool for Parallel Warehouses,"T Stіhr, E Rahm",VLDB,2001,0
Mutual Interference Models for CDMA Mobile Communication Networks,"V Wieser, K Hrudkay",,,Efficient Geometry-based Similarity Search of 3D Spatial Databases,D Keim,SIGMOD Conference,1999,0
No Silver Bullet: Essence and Accident in Software Engineering,F Brooks,"IEEE Computer,",1987.0,A Probabilistic Relational Model and Algebra,"D Dey, S Sarkar",ACM Trans. Database Syst.,1996,0
"Boron distribution in hot springs, volcanic emanations, marine evaporites and in volcanic and  ",MG Stamatakis,,1986.0,Constant Time Permutation: An Efficient Block Allocation Strategy for Variable-Bit-Rate Continuous Media Data,"Y Huang, J Ding, S Tsao",VLDB J.,1999,0
"D. Sha sha: Database Tuning: Principles, Experiments, and Troubleshooting Techniques",P Bonnet,,2002.0,Cluster Validity Methods: Part I,"M Halkidi, Y Batistakis, M Vazirgiannis",SIGMOD Record,2002,0
COGNITIVE ECONOMY AND THE ROLE OF REPRESENTATION IN ON-LINE LEARNING,DJ Finton,,2002.0,A template model for multidimensional inter-transactional association rules,"L Feng, J Yu, H Lu, J Han",VLDB J.,2002,0
Evaluation dimensions for program development and improvement,EL Baker,"New Directions for Program Evaluation,",1978.0,Building Scalable Internet Applications with Oracle8i Server,"J Basu, J Fernсndez, O Peschansky",VLDB,2000,0
AutoDep-Facilitating Deposition to the Protein Data Bank through the New Web-Based Submission Form,"DR Stampf, EE Abola, NO Manning, D Xue, JL Sussman","17th IUCR Congress and General Assembly, Seattle, Washington &hellip;,",,Change-Centric Management of Versions in an XML Warehouse,"A Marian, S Abiteboul, G Cobena, L Mignet",VLDB,2001,0
Dynamic versus static menus: an exploratory comparison,"J Mitchell, B Shneiderman","ACM SIGCHI Bulletin,",1989.0,Pixel-oriented Database Visualizations,D Keim,SIGMOD Record,1996,0
Naturalistic study of evaluation utilization,MC Alkin,"New Directions for Program Evaluation,",1980.0,Building Database-driven Electronic Catalogs,S Danish,SIGMOD Record,1998,0
Write-only disk caches,"JA Solworth, CU Orji","Proceedings of the 1990 ACM SIGMOD International Conference  &hellip;,",1990.0,Storage and Querying of E-Commerce Data,"R Agrawal, A Somani, Y Xu",VLDB,2001,0
Laparoscopic surgery for subfertility associated with endometriosis,"TZ Jacobson, DH Barlow, PR Koninckx, D Olive, C  ","Cochrane Database Syst Rev,",2002.0,Computing Geographical Scopes of Web Resources,"J Ding, L Gravano, N Shivakumar",VLDB,2000,0
Cranberries for treating urinary tract infections,"RG Jepson, L Mihaljevic, J Craig","Cochrane Database Syst Rev,",2000.0,The Complexity of Transformation-Based Join Enumeration,"A Pellenkoft, C Galindo-Legaria, M Kersten",VLDB,1997,0
Infrared antennas coupled to lithographic Fresnel zone plate lenses,"FJ GonzÃ¡lez, J Alda, B Ilic, GD Boreman",,,Guest Editorial: Databases and the Web,,,2000,0
Splitting the Conceptual Schema,W Kent,"VLDB,",,Metadata for Digital Media: Introduction to the Special Issue,"W Klas, A Sheth",SIGMOD Record,1994,0
Increased expression of highly branchedN-linked oligosaccharides terminating inN-acetylglucosamine  ,"BE Chechik, B Fernandes","The Histochemical Journal,",1992.0,An Efficient Method for Performing Record Deletions and Updates Using Index Scans,C Mohan,VLDB,2002,0
Affective intelligenceâ??the missing link?,"RW Picard, G Cosier","BT Technology Journal,",1997.0,Career-Enhancing Services at SIGMOD Online,"A Labrinidis, A Mendelzon",SIGMOD Record,2001,0
An Image Retrieval System Depending On Object Layout,"KAHNY Matsumoto, T Yokoyama, Y Matsushita","3rd International Conference on Management of Data, pp199- &hellip;,",,The Evolution of the Web and Implications for an Incremental Crawler,"J Cho, H Garcia-Molina",VLDB,2000,0
Symbolic math on a programmable hand-held calculator,DR Stoutemyer,,1979.0,Foundations of Preferences in Database Systems,W Kieпling,VLDB,2002,0
Design for testability-A survey,"TW Williams, KP Parker","IEEE, Proceedings,",1983.0,Clustering Categorical Data: An Approach Based on Dynamical Systems,"D Gibson, J Kleinberg, P Raghavan",VLDB,1998,0
MODEL OF THREE-DIMENSIONAL STRUCTURE OF VDR BOUND WITH VITAMIN D 3 ANALOGS SUBSTITUTED AT CARBON-2,"W Sicinska, P Rotkiewicz, HF DeLuca",,,Fast and accurate text classification via multiple linear discriminant projections pp,"S Chakrabarti, S Roy, M Soundalgekar",VLDB J.,2003,0
Procrastination Scheduling in Fixed Priority Real-Time Systems,"R Jejurikar, R Gupta",,,Reusing Invariants: A New Strategy for Correlated Queries,"J Rao, K Ross",SIGMOD Conference,1998,0
Design of Movable Bridges,GM Stepanov,"&hellip;  Engineering International, IABSE, Zurich, Switzerland,",,Work and Information Practices in the Sciences of Biodiversity,G Bowker,VLDB,2000,0
Mean reversion of S&amp;P 500 volatility,"JP Fouque, G Papanicolaou, KR Sircar, K Solna","submitted for publication,",,Environment Information Systems - Guest Editor's Foreword,,,1997,0
"An Assessment of Preferential Attachment as a Mechanism for Human Sexual Network Formation, preprint","JH Jones, MS Handcock","University of Washington, Seattle,",,"A Distributed Scientific Data Archive Using the Web, XML and SQL/MED","M Papiani, J Wason, A Dunlop, D Nicole",SIGMOD Record,1999,0
The expanding brown bear population of Slovenia: a chance for bear recovery in the southeastern Alps,M Adamic,"International Conference on Bear Research and Management,",,Report on the Web Dynamics Workshop at WWW 2002,,,2002,0
Toward a General Modular Systems Theory and Its Application to Interfirm Product Modularity,MA Schilling,"ACADEMY OF MANAGEMENT REVIEW,",2000.0,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,"L Wu, C Faloutsos, K Sycara, T Payne",VLDB,2000,0
On the impact of soft handoff in cellular systems q,"N Hegde, K Sohraby","Computer Networks,",2002.0,Xquec: Pushing Queries to Compressed XML Data,"A Arion, A Bonifati, G Costa, S D'Aguanno, I Manolescu, A Pugliese",VLDB,2003,0
Roughâ??andâ??ready assessment of the degree and importance of smoothing in bootstrapping,MC Jones,"Submitted for publication,",,Experiences in Mining Aviation Safety Data,"Z Nazeri, E Bloedorn, P Ostwald",SIGMOD Conference,2001,0
Utlb: A mechanism for translations on network interface,"Y Chen, C Dubnicki, S Damianakis, A Bilas, K Li",Proceedings of ACM Architectural Support for Programming ,,"Improving Business Process Quality through Exception Understanding, Prediction, and Prevention","D Grigori, F Casati, U Dayal, M Shan",VLDB,2001,0
On the heating of electron microscope objects with small beam cross section(Temperature measurement  ,S LEISEGANG,"Transl. into ENGLISH from Proceedings of 3 d Intern.  &hellip;,",1971.0,A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective,"R Erdur, O Dikenelli",SIGMOD Record,2002,0
Social context research project: Methods for facilitating the inclusion of students with  ,"CG Breen, CH Kennedy, TG Haring",,1991.0,Eliminating Costly Redundant Computations from SQL Trigger Executions,"F Llirbat, F Fabret, E Simon",SIGMOD Conference,1997,0
Efficient support for interactive service in multi-resolution VOD systems,"KKW Law, JCS Lui, L Golubchik","The VLDB Journal The International Journal on Very Large  &hellip;,",1999.0,The BeSS Object Storage Manager: Architecture Overview,"A Biliris, E Panagos",SIGMOD Record,1996,0
Mobility intention and subsequent relocation,E Moore,"Urban Geography,",,Editor's Notes,M Franklin,SIGMOD Record,1999,0
Quantum cryptography and secure optical communications.,"SJ Phoenix, PD Townsend","BT TECHNOLOGY JOURNAL,",1993.0,"Message from Editor-in-Chief, ACM Transactions on Database Systems",W Kim,,1999,0
Technology's Impact on Faculty Life and Work,RG Baldwin,"New Directions for Teaching and Learning,",1998.0,The Effectiveness of GlOSS for the Text Database Discovery Problem,"L Gravano, H Garcia-Molina, A Tomasic",SIGMOD Conference,1994,0
Vascular endothelial growth factor and interleukin-6 in paracrine tumor-stromal cell interactions in ,"B Dankbar, T Padro, R Leo, B Feldmann, M Kropff,  ","BLOOD-NEW YORK-,",2000.0,DataBlitz Storage Manager: Main Memory Database Performance for Critical Applications,"J Baulier, P Bohannon, S Gogate, C Gupta, S Haldar, S Joshi, A Khivesera, H Korth, P McIlroy, J Miller, P Narayan, M Nemeth, R Rastogi, S Seshadri, A Silberschatz, S Sudarshan, M Wilder, C Wei",SIGMOD Conference,1999,0
Multidimensional Analyses and Cost-Revenue Relationships.,WE Vandament,"New Directions for Higher Education,",1993.0,Chip-Secured Data Access: Confidential Data on Untrusted Servers,"L Bouganim, P Pucheral",VLDB,2002,0
talk at the ITP Conference on Particle Beam Stability and Nonlinear Dynamics,M Berz,"Santa Barbara, California, December,",,Quorum Consensus in Nested Transaction Systems,"K Goldman, N Lynch",ACM Trans. Database Syst.,1994,0
"MySQL, NewRiders",P DuBois,,1999.0,TODS Perceptions and Misconceptions,R Snodgrass,SIGMOD Record,2002,0
Teaching and Learning in the Wireless Classroom,"PG Shotsberger, R Vetter",,,Approximating Multi-Dimensional Aggregate Range Queries over Real Attributes,"D Gunopulos, G Kollios, V Tsotras, C Domeniconi",SIGMOD Conference,2000,0
Architecture designforregulatingandschedulinguser'stracinATMnetworks,H Chao,Proceedings of ACM,,Guest Editor's Introduction,,,2002,0
"Prentice Hall, 1989","B Noble, JW Daniel",,,BigSur: A System For the Management of Earth Science Data,"P Brown, M Stonebraker",VLDB,1995,0
Explaining the evidence: Tests of the story model for juror decision making,"N Pennington, R Hastie","Journal of Personality and Social Psychology,",,ALIAS: An Active Learning led Interactive Deduplication System,"S Sarawagi, A Bhamidipaty, A Kirpal, C Mouli",VLDB,2002,0
Continuous Nearest Neighbor Search,"Y Tao, D Papadias, Q Shen","VLDB,",2002.0,Mobile Computing and Databases: Anything New?,"M Dunham, A Helal",SIGMOD Record,1995,0
Black is beautiful: A reexamination of racial preference and identification,"J Hraba, G Grant","Journal of Personality and Social Psychology,",1970.0,Toward Autonomic Computing with DB2 Universal Database,"S Lightstone, G Lohman, D Zilio",SIGMOD Record,2002,0
Trainees'Attributes and Attitudes: Neglected Influences on Training Effectiveness,RA Noe,"The Academy of Management Review,",1986.0,An Overview and Classification of Mediated Query Systems,"R Domenig, K Dittrich",SIGMOD Record,1999,0
TR-94-09,MSR Report,Microsoft,,Wavelet synopses with error guarantees,"M Garofalakis, P Gibbons",SIGMOD Conference,2002,0
Specifying connections for a universal relation scheme database,"D Maier, DS Warren","Proceedings of the 1982 ACM SIGMOD international conference  &hellip;,",1982.0,The Multidimensional Database System RasDaMan,"P Baumann, A Dehmel, P Furtado, R Ritsch, N Widmann",SIGMOD Conference,1998,0
Kernbohrungen in kalten Gletschern,B Zweifel,"Diplomarbeit, ETH-ZÃ¼rich, Zurich, Switzerland,",,Database Design for Incomplete Relations,"M Levene, G Loizou",ACM Trans. Database Syst.,1999,0
Aspects of a high-performance parallel-architecture simulator,EA Brewer,"master&#39;s thesis, MIT Laboratory for Computer Science,",,Illustra's Web DataBlade Module,J Gaffney,SIGMOD Record,1996,0
Antiplatelet therapy for preventing stroke in patients with nonvalvular atrial fibrillation and no  ,"O Benavente, R Hart, P Koudstaalâ?¦",,2000.0,Improving Performance in Replicated Databases through Relaxed Coherency,"R Gallersdіrfer, M Nicola",VLDB,1995,0
"The Schizosaccharomyces pombe mra 1 gene, which is required for cell growth and mating, can suppress ","F Hakuno, DA Hughes, M Yamamoto","Genes to Cells,",1996.0,Sideway Value Algebra for Object-Relational Databases,"G жzsoyoglu, A Al-Hamdani, I Altingіvde, S жzel, ж Ulusoy, Z жzsoyoglu",VLDB,2002,0
Introduction: Technology as Catalyst,MM Watts,"NEW DIRECTIONS FOR TEACHING AND LEARNING,",2003.0,Versions and Workspaces in Microsoft Repository,"T Bergstraesser, P Bernstein, S Pal, D Shutt",SIGMOD Conference,1999,0
CHIMP: A Framework for Supporting Distributed Multimedia Document Authoring and Presentation,"KS Candan, B Prabhakaran, VS Subrahmanian",,,Transparent Mid-Tier Database Caching in SQL Server,"P Larson, J Goldstein, J Zhou",SIGMOD Conference,2003,0
A survey of schema versioning issues for database systems,JF Roddick,,,Modeling Design Versions,"R Ramakrishnan, D Ram",VLDB,1996,0
Protozoan diseases of the gypsy moth,J Weiser,"Proc. Int. Congr. Protozool,",,"\Mining database structure; or, how to build a data quality browser\""""","T Dasu, T Johnson, S Muthukrishnan, V Shkapenyuk",SIGMOD Conference,2002,0
A functional form of Chungâ??s law of the iterated logarithm for maximum absolute partial sums,M Wichura,"Unpublished manuscript,",,V-Trees - A Storage Method for Long Vector Data,"M Mediano, M Casanova, M Dreux",VLDB,1994,0
Multiple-Instance Learning of Real-Valued Data,"RA Amar, DR Dooly, SA Goldman, Q Zhang",,,Locally adaptive dimensionality reduction for indexing large time series databases,"K Chakrabarti, E Keogh, S Mehrotra, M Pazzani",ACM Trans. Database Syst.,2002,0
Report of the Committee on Plant Diseases,P Neergard,"Proc. int. Seed Test. Ass,",,3D Geographic Network Displays,"K Cox, S Eick, T He",SIGMOD Record,1996,0
CCured in the real world,"J Condit, M Harren, S McPeak, GC Necula, W Weimer",,,Implementing Crash Recovery in QuickStore: A Performance Study,"S White, D DeWitt",SIGMOD Conference,1995,0
On the flux distribution in a onedimensional disordered system,"C Monthus, A Comtet","J. Phys. I France,",1994.0,Efficient Concurrency Control in Multidimensional Access Methods,"K Chakrabarti, S Mehrotra",SIGMOD Conference,1999,0
A Search Strategy for Large Document Bases,D Lucarella,,,Complex relationships and knowledge discovery support in the InfoQuilt system,"A Sheth, S Thacker, S Patel",VLDB J.,2003,0
