Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
client2vec: Towards Systematic Baselines for Banking Applications,"Leonardo Baldassini, Jose Antonio Rodrguez Serrano","12 February, 2018",,The Large Margin Mechanism for Differentially Private Maximization,"Kamalika Chaudhuri, Daniel J. Hsu, Shuang Song",December 2014,Neurips 2014,0
Particle Gibbs for Bayesian Additive Regression Trees,"Balaji Lakshminarayanan, Daniel M. Roy, Yee Whye Teh","16 February, 2015","Proceedings of the 18th International Conference on Artificial Intelligence and Statistics (AISTATS) 2015, San Diego, CA, USA. JMLR: W&CP volume 38",Towards Understanding Acceleration Tradeoff between Momentum and Asynchrony in Nonconvex Stochastic Optimization,"Tianyi Liu, Shiyang Li, Jianping Shi, Enlu Zhou, Tuo Zhao",December 2018,Neurips 2018,0
Provably Minimally-Distorted Adversarial Examples,"Nicholas Carlini, Guy Katz, Clark Barrett, David L. Dill","20 February, 2018",,Counterfactual Fairness,"Matt J. Kusner, Joshua Loftus, Chris Russell, Ricardo Silva",December 2017,Neurips 2017,0
Semi-supervised Learning for Discrete Choice Models,"Jie Yang, Sergey Shebalov, Diego Klabjan","16 February, 2017",,Parallel Successive Convex Approximation for Nonsmooth Nonconvex Optimization,"Meisam Razaviyayn, Mingyi Hong, Zhi-Quan Luo, Jong-Shi Pang",December 2014,Neurips 2014,0
Authorship Analysis based on Data Compression,"Daniele Cerra, Mihai Datcu, Peter Reinartz","14 February, 2014",,Flexible and accurate inference and learning for deep generative models,"Eszter Vrtes, Maneesh Sahani",December 2018,Neurips 2018,0
Semi-automated Annotation of Signal Events in Clinical EEG Data,"Scott Yang, Silvia Lopez, Meysam Golmohammadi, Iyad Obeid, Joseph Picone","2 January, 2018","S. Yang, S. Lopez, M. Golmohammadi, I. Obeid and J. Picone, ""Semi-automated annotation of signal events in clinical EEG data,"" 2016 IEEE Signal Processing in Medicine and Biology Symposium (SPMB), Philadelphia, PA, 2016, pp. 1-5",On the Completeness of First-Order Knowledge Compilation for Lifted Probabilistic Inference,Guy Broeck,December 2011,Neurips 2011,0
Data complexity measured by principal graphs,"Andrei Zinovyev, Evgeny Mirkes","1 January, 2013",,Making Pairwise Binary Graphical Models Attractive,"Nicholas Ruozzi, Tony Jebara",December 2014,Neurips 2014,0
Freeze-Thaw Bayesian Optimization,"Kevin Swersky, Jasper Snoek, Ryan Prescott Adams","15 June, 2014",,GradiVeQ: Vector Quantization for Bandwidth-Efficient Gradient Aggregation in Distributed CNN Training,"Mingchao Yu, Zhifeng Lin, Krishna Narra, Songze Li, Youjie Li, Nam Sung Kim, Alexander Schwing, Murali Annavaram, Salman Avestimehr",December 2018,Neurips 2018,0
Disentangling by Factorising,"Hyunjik Kim, Andriy Mnih","6 June, 2018",,Sufficient Conditions for Generating Group Level Sparsity in a Robust Minimax Framework,"Hongbo Zhou, Qiang Cheng",December 2010,Neurips 2010,0
Learning Discrete Structures for Graph Neural Networks,"Luca Franceschi, Mathias Niepert, Massimiliano Pontil, Xiao He","28 March, 2019",,Learning SMaLL Predictors,"Vikas Garg, Ofer Dekel, Lin Xiao",December 2018,Neurips 2018,0
"How an Electrical Engineer Became an Artificial Intelligence Researcher, a Multiphase Active Contours Analysis",Kush R. Varshney,"29 March, 2018",,Zap Q-Learning,"Adithya M Devraj, Sean Meyn",December 2017,Neurips 2017,0
Neural Task Graphs: Generalizing to Unseen Tasks from a Single Video Demonstration,"De-An Huang, Suraj Nair, Danfei Xu, Yuke Zhu, Animesh Garg, Li Fei-Fei, Silvio Savarese, Juan Carlos Niebles","6 March, 2019",,Direct Estimation of Differences in Causal Graphs,"Yuhao Wang, Chandler Squires, Anastasiya Belyaeva, Caroline Uhler",December 2018,Neurips 2018,0
Hospital Readmission Prediction - Applying Hierarchical Sparsity Norms for Interpretable Models,"Jialiang Jiang, Sharon Hewner, Varun Chandola","3 April, 2018",,Empirical Localization of Homogeneous Divergences on Discrete Sample Spaces,"Takashi Takenouchi, Takafumi Kanamori",December 2015,Neurips 2015,0
Stable specification search in structural equation model with latent variables,"Ridho Rahmadi, Perry Groot, Tom Heskes","24 May, 2018",,Optimization over Continuous and Multi-dimensional Decisions with Observational Data,"Dimitris Bertsimas, Christopher McCord",December 2018,Neurips 2018,0
Convolutional Neural Network Architectures for Matching Natural Language Sentences,"Baotian Hu, Zhengdong Lu, Hang Li, Qingcai Chen","11 March, 2015",,PAC-Bayes-Empirical-Bernstein Inequality,"Ilya O. Tolstikhin, Yevgeny Seldin",December 2013,Neurips 2013,0
Improving Regret Bounds for Combinatorial Semi-Bandits with Probabilistically Triggered Arms and Its Applications,"Qinshi Wang, Wei Chen","21 February, 2018",,Bayesian Pedigree Analysis using Measure Factorization,"Bonnie Kirkpatrick, Alexandre Bouchard-ct",December 2012,Neurips 2012,0
RAVEN: A Dataset for Relational and Analogical Visual rEasoNing,"Chi Zhang, Feng Gao, Baoxiong Jia, Yixin Zhu, Song-Chun Zhu","7 March, 2019",,Sparse Features for PCA-Like Linear Regression,"Christos Boutsidis, Petros Drineas, Malik Magdon-Ismail",December 2011,Neurips 2011,0
Stability of decision trees and logistic regression,"Nino Arsov, Martin Pavlovski, Ljupco Kocarev","2 March, 2019",,Union of Intersections (UoI) for Interpretable Data Driven Discovery and Prediction,"Kristofer Bouchard, Alejandro Bujan, Farbod Roosta-Khorasani, Shashanka Ubaru, Mr. Prabhat, Antoine Snijders, Jian-Hua Mao, Edward Chang, Michael W. Mahoney, Sharmodeep Bhattacharya",December 2017,Neurips 2017,0
kd-switch: A Universal Online Predictor with an application to Sequential Two-Sample Testing,"Alix Lhritier, Frdric Cazals","22 January, 2019",,Hierarchical spike coding of sound,"Yan Karklin, Chaitanya Ekanadham, Eero P. Simoncelli",December 2012,Neurips 2012,0
A Fast Iterative Bayesian Inference Algorithm for Sparse Channel Estimation,"Niels Lovmand Pedersen, Carles Navarro Manchn Bernard Henri Fleury","6 March, 2013",,Exploiting Numerical Sparsity for Efficient Learning : Faster Eigenvector Computation and Regression,"Neha Gupta, Aaron Sidford",December 2018,Neurips 2018,0
A Short Note on Concentration Inequalities for Random Vectors with SubGaussian Norm,"Chi Jin, Praneeth Netrapalli, Rong Ge, Sham M. Kakade, Michael I. Jordan","11 February, 2019",,Improved Expressivity Through Dendritic Neural Networks,"Xundong Wu, Xiangwen Liu, Wei Li, Qing Wu",December 2018,Neurips 2018,0
ClickBAIT-v2: Training an Object Detector in Real-Time,"Ervin Teng, Rui Huang, Bob Iannucci","27 March, 2018",,Heavy-tailed Distances for Gradient Based Image Descriptors,"Yangqing Jia, Trevor Darrell",December 2011,Neurips 2011,0
Adversarially Trained Model Compression: When Robustness Meets Efficiency,"Shupeng Gui, Haotao Wang, Chen Yu, Haichuan Yang, Zhangyang Wang, Ji Liu","9 February, 2019",,How Prior Probability Influences Decision Making: A Unifying Probabilistic Model,"Yanping Huang, Timothy Hanks, Mike Shadlen, Abram L. Friesen, Rajesh P. Rao",December 2012,Neurips 2012,0
Composite Marginal Likelihood Methods for Random Utility Models,"Zhibing Zhao, Lirong Xia","4 June, 2018",,Learning the Learning Rate for Prediction with Expert Advice,"Wouter M. Koolen, Tim van Erven, Peter Grnwald",December 2014,Neurips 2014,0
WiseMove: A Framework for Safe Deep Reinforcement Learning for Autonomous Driving,"Jaeyoung Lee, Aravind Balakrishnan, Ashish Gaurav, Krzysztof Czarnecki, Sean Sedwards","11 February, 2019",,Towards Conceptual Compression,"Karol Gregor, Frederic Besse, Danilo Jimenez Rezende, Ivo Danihelka, Daan Wierstra",December 2016,Neurips 2016,0
Estimating the Circuit Deobfuscating Runtime based on Graph Deep Learning,"Zhiqian Chen, Gaurav Kolhe, Setareh Rafatirad, Sai Manoj P. D., Houman Homayoun, Liang Zhao, Chang-Tien Lu","14 February, 2019",,Active Regression by Stratification,"Sivan Sabato, Remi Munos",December 2014,Neurips 2014,0
FearNet: Brain-Inspired Model for Incremental Learning,"Ronald Kemker, Christopher Kanan","23 February, 2018",,Optimal Linear Estimation under Unknown Nonlinear Transform,"Xinyang Yi, Zhaoran Wang, Constantine Caramanis, Han Liu",December 2015,Neurips 2015,0
A Comparative Study of Reservoir Computing for Temporal Signal Processing,"Alireza Goudarzi, Peter Banda, Matthew R. Lakin, Christof Teuscher, Darko Stefanovic","9 January, 2014",,Generalized Dantzig Selector: Application to the k-support norm,"Soumyadeep Chatterjee, Sheng Chen, Arindam Banerjee",December 2014,Neurips 2014,0
WeNet: Weighted Networks for Recurrent Network Architecture Search,"Zhiheng Huang, Bing Xiang","7 April, 2019",,Probabilistic Belief Revision with Structural Constraints,"Peter Jones, Venkatesh Saligrama, Sanjoy Mitter",December 2010,Neurips 2010,0
Chester: A Web Delivered Locally Computed Chest X-Ray Disease Prediction System,"Joseph Paul Cohen, Paul Bertin, Vincent Frappier","30 January, 2019",,Fast Large-scale Mixture Modeling with Component-specific Data Partitions,"Bo Thiesson, Chong Wang",December 2010,Neurips 2010,0
Deep Learning on Key Performance Indicators for Predictive Maintenance in SAP HANA,"Jaekoo Lee, Byunghan Lee, Jongyoon Song, Jaesik Yoon, Yongsik Lee, Donghun Lee, Sungroh Yoon","15 April, 2018",,Predictive Entropy Search for Efficient Global Optimization of Black-box Functions,"Jos Miguel Hernndez-Lobato, Matthew W. Hoffman, Zoubin Ghahramani",December 2014,Neurips 2014,0
Effective Use of Word Order for Text Categorization with Convolutional Neural Networks,"Rie Johnson, Tong Zhang","26 March, 2015",,Dirty Statistical Models,"Eunho Yang, Pradeep K. Ravikumar",December 2013,Neurips 2013,0
Recovering communities in the general stochastic block model without knowing the parameters,"Emmanuel Abbe, Colin Sandon","11 June, 2015",,Occlusion Detection and Motion Estimation with Convex Optimization,"Alper Ayvaci, Michalis Raptis, Stefano Soatto",December 2010,Neurips 2010,0
A Tight Convergence Analysis for Stochastic Gradient Descent with Delayed Updates,"Yossi Arjevani, Ohad Shamir, Nathan Srebro","26 June, 2018",,Lifelong Learning with Weighted Majority Votes,"Anastasia Pentina, Ruth Urner",December 2016,Neurips 2016,0
Grounded Language Learning in a Simulated 3D World,"Karl Moritz Hermann, Felix Hill, Simon Green, Fumin Wang, Ryan Faulkner, Hubert Soyer, David Szepesvari, Wojciech Marian Czarnecki, Max Jaderberg, Denis Teplyashin, Marcus Wainwright, Chris Apps, Demis Hassabis, Phil Blunsom","26 June, 2017",,Stein Variational Gradient Descent as Moment Matching,"Qiang Liu, Dilin Wang",December 2018,Neurips 2018,0
PixelSteganalysis: Destroying Hidden Information with a Low Degree of Visual Degradation,"Dahuin Jung, Ho Bae, Hyun-Soo Choi, Sungroh Yoon","1 March, 2019",,Adaptive Multi-Column Deep Neural Networks with Application to Robust Image Denoising,"Forest Agostinelli, Michael R. Anderson, Honglak Lee",December 2013,Neurips 2013,0
Speaker-independent raw waveform model for glottal excitation,"Lauri Juvela, Vassilis Tsiaras, Bajibabu Bollepalli, Manu Airaksinen, Junichi Yamagishi, Paavo Alku","25 April, 2018",,Gather-Excite: Exploiting Feature Context in Convolutional Neural Networks,"Jie Hu, Li Shen, Samuel Albanie, Gang Sun, Andrea Vedaldi",December 2018,Neurips 2018,0
General Fair Empirical Risk Minimization,"Luca Oneto, Michele Donini, Massimiliano Pontil","28 January, 2019",,Optimizing Instructional Policies,"Robert V. Lindsey, Michael C. Mozer, William J. Huggins, Harold Pashler",December 2013,Neurips 2013,0
Informed Machine Learning - Towards a Taxonomy of Explicit Integration of Knowledge into Machine Learning,"Laura von Rueden, Sebastian Mayer, Jochen Garcke, Christian Bauckhage, Jannis Schuecker","29 March, 2019",,Boosting with Maximum Adaptive Sampling,"Charles Dubout, Francois Fleuret",December 2011,Neurips 2011,0
Robust Adversarial Learning via Sparsifying Front Ends,"Soorya Gopalakrishnan, Zhinus Marzi, Upamanyu Madhow, Ramtin Pedarsani","22 March, 2019",,Label Distribution Learning Forests,"Wei Shen, KAI ZHAO, Yilu Guo, Alan L. Yuille",December 2017,Neurips 2017,0
Path Consistency Learning in Tsallis Entropy Regularized MDPs,"Ofir Nachum, Yinlam Chow, Mohammad Ghavamzadeh","9 February, 2018",,Constrained Graph Variational Autoencoders for Molecule Design,"Qi Liu, Miltiadis Allamanis, Marc Brockschmidt, Alexander Gaunt",December 2018,Neurips 2018,0
Segmental Recurrent Neural Networks,"Lingpeng Kong, Chris Dyer, Noah A. Smith","1 March, 2016",,Stacked Semantics-Guided Attention Model for Fine-Grained Zero-Shot Learning,"yunlong yu, Zhong Ji, Yanwei Fu, Jichang Guo, Yanwei Pang, Zhongfei (Mark) Zhang",December 2018,Neurips 2018,0
Deep Spatio-Temporal Residual Networks for Citywide Crowd Flows Prediction,"Junbo Zhang, Yu Zheng, Dekang Qi","10 January, 2017",,Bandit Smooth Convex Optimization: Improving the Bias-Variance Tradeoff,"Ofer Dekel, Ronen Eldan, Tomer Koren",December 2015,Neurips 2015,0
Self-Paced Multi-Task Learning,"Changsheng Li, Junchi Yan, Fan Wei, Weishan Dong, Qingshan Liu, Hongyuan Zha","2 April, 2017",,Cooperative Inverse Reinforcement Learning,"Dylan Hadfield-Menell, Stuart J. Russell, Pieter Abbeel, Anca Dragan",December 2016,Neurips 2016,0
Stacked Convolutional and Recurrent Neural Networks for Bird Audio Detection,"Sharath Adavanne, Konstantinos Drossos, Emre ak?r, Tuomas Virtanen","7 June, 2017",,Dimension-Free Iteration Complexity of Finite Sum Optimization Problems,"Yossi Arjevani, Ohad Shamir",December 2016,Neurips 2016,0
"Unifying Data, Model and Hybrid Parallelism in Deep Learning via Tensor Tiling","Minjie Wang, Chien-chin Huang, Jinyang Li","10 May, 2018",,Top-Down Regularization of Deep Belief Networks,"Hanlin Goh, Nicolas Thome, Matthieu Cord, Joo-Hwee Lim",December 2013,Neurips 2013,0
Scaling of Model Approximation Errors and Expected Entropy Distances,"Guido F. Montufar, Johannes Rauh","25 February, 2013","Kybernetika 50 (2014) 2, p. 234-245",Understanding the Role of Adaptivity in Machine Teaching: The Case of Version Space Learners,"Yuxin Chen, Adish Singla, Oisin Mac Aodha, Pietro Perona, Yisong Yue",December 2018,Neurips 2018,0
PReP: Path-Based Relevance from a Probabilistic Perspective in Heterogeneous Information Networks,"Yu Shi, Po-Wei Chan, Honglei Zhuang, Huan Gui, Jiawei Han","20 February, 2019",,GP CaKe: Effective brain connectivity with causal kernels,"Luca Ambrogioni, Max Hinne, Marcel Van Gerven, Eric Maris",December 2017,Neurips 2017,0
Deep Generative Networks For Sequence Prediction,Markus Beissinger,"18 April, 2018",,Learning Affinity via Spatial Propagation Networks,"Sifei Liu, Shalini De Mello, Jinwei Gu, Guangyu Zhong, Ming-Hsuan Yang, Jan Kautz",December 2017,Neurips 2017,0
Deep Learning on Key Performance Indicators for Predictive Maintenance in SAP HANA,"Jaekoo Lee, Byunghan Lee, Jongyoon Song, Jaesik Yoon, Yongsik Lee, Donghun Lee, Sungroh Yoon","15 April, 2018",,Learning convex polytopes with margin,"Lee-Ad Gottlieb, Eran Kaufman, Aryeh Kontorovich, Gabriel Nivasch",December 2018,Neurips 2018,0
Penalizing side effects using stepwise relative reachability,"Victoria Krakovna, Laurent Orseau, Ramana Kumar, Miljan Martic, Shane Legg","8 March, 2019",,Efficient Optimization for Discriminative Latent Class Models,"Armand Joulin, Jean Ponce, Francis R. Bach",December 2010,Neurips 2010,0
Online Learning with Continuous Ranked Probability Score,"Vladimir V'yugin, Vladimir Trunov","26 February, 2019",,Testing a Bayesian Measure of Representativeness Using a Large Image Database,"Joshua T. Abbott, Katherine A. Heller, Zoubin Ghahramani, Thomas L. Griffiths",December 2011,Neurips 2011,0
Efficient Search for Diverse Coherent Explanations,Chris Russell,"2 January, 2019",,Learning from Limited Demonstrations,"Beomjoon Kim, Amir-massoud Farahmand, Joelle Pineau, Doina Precup",December 2013,Neurips 2013,0
Random Euler Complex-Valued Nonlinear Filters,"Jiashu Zhang, Sheng Zhang, Defang Li","2 January, 2018",,The Population Posterior and Bayesian Modeling on Streams,"James McInerney, Rajesh Ranganath, David Blei",December 2015,Neurips 2015,0
Nonparametric Density Estimation for High-Dimensional Data - Algorithms and Applications,"Zhipeng Wang, David W. Scott","30 March, 2019","Wiley Interdisciplinary Reviews: Computational Statistics, 2019",Neuronal Adaptation for Sampling-Based Probabilistic Inference in Perceptual Bistability,"David P. Reichert, Peggy Series, Amos J. Storkey",December 2011,Neurips 2011,0
Linear Thompson Sampling Revisited,"Marc Abeille, Alessandro Lazaric","27 March, 2017",,Fast Classification Rates for High-dimensional Gaussian Generative Models,"Tianyang Li, Adarsh Prasad, Pradeep K. Ravikumar",December 2015,Neurips 2015,0
Evasion and Hardening of Tree Ensemble Classifiers,"Alex Kantchelian, J. D. Tygar, Anthony D. Joseph","26 May, 2016",,Variational Policy Search via Trajectory Optimization,"Sergey Levine, Vladlen Koltun",December 2013,Neurips 2013,0
Spatial Broadcast Decoder: A Simple Architecture for Learning Disentangled Representations in VAEs,"Nicholas Watters, Loic Matthey, Christopher P. Burgess, Alexander Lerchner","21 January, 2019",,Learning to learn by gradient descent by gradient descent,"Marcin Andrychowicz, Misha Denil, Sergio Gmez, Matthew W. Hoffman, David Pfau, Tom Schaul, Brendan Shillingford, Nando de Freitas",December 2016,Neurips 2016,0
Topology Adaptive Graph Convolutional Networks,"Jian Du, Shanghang Zhang, Guanhang Wu, Jose M. F. Moura, Soummya Kar","11 February, 2018",,Assessing Generative Models via Precision and Recall,"Mehdi S. M. Sajjadi, Olivier Bachem, Mario Lucic, Olivier Bousquet, Sylvain Gelly",December 2018,Neurips 2018,0
Multiple Kernel Learning and Automatic Subspace Relevance Determination for High-dimensional Neuroimaging Data,"Murat Seckin Ayhan, Vijay Raghavan, Alzheimer's disease Neuroimaging Initiative","2 June, 2017",,Adaptive optimal training of animal behavior,"Ji Hyun Bak, Jung Yoon Choi, Athena Akrami, Ilana Witten, Jonathan W. Pillow",December 2016,Neurips 2016,0
Spectral Image Visualization Using Generative Adversarial Networks,"Siyu Chen, Danping Liao, Yuntao Qian","6 February, 2018",,Spatial Transformer Networks,"Max Jaderberg, Karen Simonyan, Andrew Zisserman, koray kavukcuoglu",December 2015,Neurips 2015,0
Smoothed Online Optimization for Regression and Control,"Gautam Goel, Adam Wierman","4 April, 2019",,Practical Hash Functions for Similarity Estimation and Dimensionality Reduction,"Sren Dahlgaard, Mathias Knudsen, Mikkel Thorup",December 2017,Neurips 2017,0
Bayesian Random Fields: The Bethe-Laplace Approximation,"Max Welling, Sridevi Parise","27 June, 2012",,Accounting for network effects in neuronal responses using L1 regularized point process models,"Ryan Kelly, Matthew Smith, Robert Kass, Tai S. Lee",December 2010,Neurips 2010,0
Multilevel Artificial Neural Network Training for Spatially Correlated Learning,"C. B. Scott, Eric Mjolsness","4 February, 2019",,When are Overcomplete Topic Models Identifiable? Uniqueness of Tensor Tucker Decompositions with Structured Sparsity,"Anima Anandkumar, Daniel J. Hsu, Majid Janzamin, Sham M. Kakade",December 2013,Neurips 2013,0
EILearn: Learning Incrementally Using Previous Knowledge Obtained From an Ensemble of Classifiers,"Shivang Agarwal, C. Ravindranath Chowdary, Shripriya Maheshwari","8 February, 2019",,A Convergent Gradient Descent Algorithm for Rank Minimization and Semidefinite Programming from Random Linear Measurements,"Qinqing Zheng, John Lafferty",December 2015,Neurips 2015,0
Logarithmic Regret for parameter-free Online Logistic Regression,"Joseph De Vilmarest, Olivier Wintenberger","26 February, 2019",,Fast Rates for Bandit Optimization with Upper-Confidence Frank-Wolfe,"Quentin Berthet, Vianney Perchet",December 2017,Neurips 2017,0
Reinforcement Learning with Dynamic Boltzmann Softmax Updates,"Ling Pan, Qingpeng Cai, Qi Meng, Wei Chen, Longbo Huang, Tie-Yan Liu","14 March, 2019",,Matrix Norm Estimation from a Few Entries,"Ashish Khetan, Sewoong Oh",December 2017,Neurips 2017,0
Cost-Optimal Learning of Causal Graphs,"Murat Kocaoglu, Alexandros G. Dimakis, Sriram Vishwanath","7 March, 2017",,Learning Manifolds with K-Means and K-Flats,"Guillermo Canas, Tomaso Poggio, Lorenzo Rosasco",December 2012,Neurips 2012,0
Isolating Sources of Disentanglement in Variational Autoencoders,"Ricky T. Q. Chen, Xuechen Li, Roger Grosse, David Duvenaud","22 January, 2019",,Delay-Tolerant Algorithms for Asynchronous Distributed Online Learning,"Brendan McMahan, Matthew Streeter",December 2014,Neurips 2014,0
"Analysis of DAWNBench, a Time-to-Accuracy Machine Learning Performance Benchmark","Cody Coleman, Daniel Kang, Deepak Narayanan, Luigi Nardi, Tian Zhao, Jian Zhang, Peter Bailis, Kunle Olukotun, Chris Re, Matei Zaharia","4 June, 2018",,DeepProbLog: Neural Probabilistic Logic Programming,"Robin Manhaeve, Sebastijan Dumancic, Angelika Kimmig, Thomas Demeester, Luc De Raedt",December 2018,Neurips 2018,0
Cross-modal Deep Metric Learning with Multi-task Regularization,"Xin Huang, Yuxin Peng","5 April, 2017",,Learning latent variable structured prediction models with Gaussian perturbations,"Kevin Bello, Jean Honorio",December 2018,Neurips 2018,0
RPA: Probabilistic analysis of probe performance and robust summarization,"Leo Lahti, Laura L. Elo, Tero Aittokallio, Samuel Kaski","6 April, 2013",,Batched Gaussian Process Bandit Optimization via Determinantal Point Processes,"Tarun Kathuria, Amit Deshpande, Pushmeet Kohli",December 2016,Neurips 2016,0
On the Generalization Ability of Online Learning Algorithms for Pairwise Loss Functions,"Purushottam Kar, Bharath K Sriperumbudur, Prateek Jain, Harish C Karnick","11 May, 2013","Journal of Machine Learning Research, W&CP 28(3) (2013)",Crowdsourced Clustering: Querying Edges vs Triangles,"Ramya Korlakai Vinayak, Babak Hassibi",December 2016,Neurips 2016,0
Multi-Kernel Prediction Networks for Denoising of Burst Images,"Talmaj Marin?, Vignesh Srinivasan, Serhan Gl, Cornelius Hellge, Wojciech Samek","5 February, 2019",,Learned Prioritization for Trading Off Accuracy and Speed,"Jiarong Jiang, Adam Teichert, Jason Eisner, Hal Daume",December 2012,Neurips 2012,0
Value Iteration Networks,"Aviv Tamar, Yi Wu, Garrett Thomas, Sergey Levine, Pieter Abbeel","20 March, 2017","Advances in Neural Information Processing Systems 29 pages 2154--2162, 2016",A Unified Feature Disentangler for Multi-Domain Image Translation and Manipulation,"Alexander H. Liu, Yen-Cheng Liu, Yu-Ying Yeh, Yu-Chiang Frank Wang",December 2018,Neurips 2018,0
Learning Counterfactual Representations for Estimating Individual Dose-Response Curves,"Patrick Schwab, Lorenz Linhardt, Stefan Bauer, Joachim M. Buhmann, Walter Karlen","3 February, 2019",,Deep Learning for Real-Time Atari Game Play Using Offline Monte-Carlo Tree Search Planning,"Xiaoxiao Guo, Satinder Singh, Honglak Lee, Richard L. Lewis, Xiaoshi Wang",December 2014,Neurips 2014,0
"Nonlocal Neural Networks, Nonlocal Diffusion and Nonlocal Modeling","Yunzhe Tao, Qi Sun, Qiang Du, Wei Liu","24 January, 2019",,Automatic Discovery of Cognitive Skills to Improve the Prediction of Student Learning,"Robert V. Lindsey, Mohammad Khajah, Michael C. Mozer",December 2014,Neurips 2014,0
Deep Portfolio Theory,"J. B. Heaton, N. G. Polson, J. H. Witte","14 January, 2018",,Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis,"Jian Zhao, Lin Xiong, Panasonic Karlekar Jayashree, Jianshu Li, Fang Zhao, Zhecan Wang, Panasonic Sugiri Pranata, Panasonic Shengmei Shen, Shuicheng Yan, Jiashi Feng",December 2017,Neurips 2017,0
Learning Recommendations While Influencing Interests,"Rahul Meshram, D. Manjunath, Nikhil Karamchandani","23 March, 2018",,Dual Swap Disentangling,"Zunlei Feng, Xinchao Wang, Chenglong Ke, An-Xiang Zeng, Dacheng Tao, Mingli Song",December 2018,Neurips 2018,0
Fusion of ANN and SVM Classifiers for Network Attack Detection,"Takwa Omrani, Adel Dallali, Bilgacem Chibani Rhaimi, Jaouhar Fattahi","9 January, 2018",,High resolution neural connectivity from incomplete tracing data using nonnegative spline regression,"Kameron D. Harris, Stefan Mihalas, Eric Shea-Brown",December 2016,Neurips 2016,0
Unsupervised Semantic Action Discovery from Video Collections,"Ozan Sener, Amir Roshan Zamir, Chenxia Wu, Silvio Savarese, Ashutosh Saxena","11 May, 2016",,Gaussian Process Conditional Copulas with Applications to Financial Time Series,"Jos Miguel Hernndez-Lobato, James R. Lloyd, Daniel Hernndez-Lobato",December 2013,Neurips 2013,0
Approximate Matrix Multiplication with Application to Linear Embeddings,"Anastasios Kyrillidis, Michail Vlachos, Anastasios Zouzias","29 March, 2014",,A novel family of non-parametric cumulative based divergences for point processes,"Sohan Seth, Park Il, Austin Brockmeier, Mulugeta Semework, John Choi, Joseph Francis, Jose Principe",December 2010,Neurips 2010,0
Learning From Less Data: Diversified Subset Selection and Active Learning in Image Classification Tasks,"Vishal Kaushal, Anurag Sahoo, Khoshrav Doctor, Narasimha Raju, Suyash Shetty, Pankaj Singh, Rishabh Iyer, Ganesh Ramakrishnan","28 May, 2018",,Deep Convolutional Neural Network for Image Deconvolution,"Li Xu, Jimmy SJ Ren, Ce Liu, Jiaya Jia",December 2014,Neurips 2014,0
An MDP-based Recommender System,"Guy Shani, Ronen I. Brafman, David Heckerman","16 May, 2015",,Multiple Kernel Learning and the SMO Algorithm,"Zhaonan Sun, Nawanol Ampornpunt, Manik Varma, S.v.n. Vishwanathan",December 2010,Neurips 2010,0
Fake News Detection via NLP is Vulnerable to Adversarial Attacks,"Zhixuan Zhou, Huankang Guan, Meghana Moorthy Bhat, Justin Hsu","5 January, 2019",,Fader Networks:Manipulating Images by Sliding Attributes,"Guillaume Lample, Neil Zeghidour, Nicolas Usunier, Antoine Bordes, Ludovic DENOYER, Marc'Aurelio Ranzato",December 2017,Neurips 2017,0
Metric Gaussian Variational Inference,"Jakob Knollmller, Torsten A. Enlin","30 January, 2019",,On-line Reinforcement Learning Using Incremental Kernel-Based Stochastic Factorization,"Doina Precup, Joelle Pineau, Andre S. Barreto",December 2012,Neurips 2012,0
Robust And Scalable Learning Of Complex Dataset Topologies Via Elpigraph,"Luca Albergante, Evgeny M. Mirkes, Huidong Chen, Alexis Martin, Louis Faure, Emmanuel Barillot, Luca Pinello, Alexander N. Gorban, Andrei Zinovyev","20 June, 2018",,CPRL -- An Extension of Compressive Sensing to the Phase Retrieval Problem,"Henrik Ohlsson, Allen Yang, Roy Dong, Shankar Sastry",December 2012,Neurips 2012,0
Machine Learning Across Cultures: Modeling the Adoption of Financial Services for the Poor,"Muhammad Raza Khan, Joshua E. Blumenstock","16 June, 2016",,Generative Image Modeling Using Spatial LSTMs,"Lucas Theis, Matthias Bethge",December 2015,Neurips 2015,0
A Noise-Sensitivity-Analysis-Based Test Prioritization Technique for Deep Neural Networks,"Long Zhang, Xuechao Sun, Yong Li, Zhenyu Zhang","19 January, 2019",,Learning with Group Invariant Features: A Kernel Perspective.,"Youssef Mroueh, Stephen Voinea, Tomaso A. Poggio",December 2015,Neurips 2015,0
Semiparametric correction for endogenous truncation bias with Vox Populi based participation decision,"Nir Billfeld, Moshe Kim","17 February, 2019","IEEE Access, 7, 12114-12132",Inductive Representation Learning on Large Graphs,"Will Hamilton, Zhitao Ying, Jure Leskovec",December 2017,Neurips 2017,0
EE-Grad: Exploration and Exploitation for Cost-Efficient Mini-Batch SGD,"Mehmet A. Donmez, Maxim Raginsky, Andrew C. Singer","19 May, 2017",,Throttling Poisson Processes,"Uwe Dick, Peter Haider, Thomas Vanck, Michael Brckner, Tobias Scheffer",December 2010,Neurips 2010,0
