ID_A,ID_B,Title_A,Title_B,Model_Number_A,Model_Number_B,Brand_A,Brand_B,Price_A,Price_B
2323,3538,Gear Head Wireless Optical Tilt-Wheel Mouse Red,Simplism Japan Leather Flip Note Case for iPad 2 - Navy TR-LFNCIPD2-NV EN,MPT3200RED,TR-LFNCIPD2-NV/EN,Gear Head,Simplism Japan,19.88,59.99
423,19952,Sabrent 3.5  USB 3.0 SATA HDD Enclosure,Quartet MPPC - Magnetic Push Pins for Magnetic Planning Boards Assorted Colors 20 Pack,EC-35UK,,Sabrent,Quartet,26.88,22.0
2223,10210,Da-Lite Video Spectra 1.5 Model C Manual Screen - 69 x 92 Video Format,NEC MultiSync EA221WM-BK 22 inch 1680X1050 DVI 5MS SPK USB Wide LCD Black Monitor,82969,EA221WM-BK,Da-Lite,NEC,472.99,250.38
1500,18893,Officemate Plastic Coated Paper Clips Assorted Colors 800pk,Roxio Easy CD DVD Burning,97228,,Officemate,Roxio,8.88,18.99
2528,6415,Verbatim 100-Pack 16X DataLifePlus Shiny Silver DVD-R Spindle,New Digital Camera Hard Carry Case Blue for SONY CANON CASIO JVC Cameras 1 Super Fine Microfiber Cleaning Cloth Goja Logo,97017,,Verbatim,Goja,29.98,9.99
741,16407,Avery Allstate-Style Legal Side Tab Divider Title A Letter White 25 Pack,New-Universal 10311 - Pressboard Classification Folders Legal Six-Section Cobalt Blue 10 Box - UNV10311,82163,,Avery,Universal,5.69,86.92
748,12314,Encore Hoyle Card Games 2011 Casual Gaming,Avery Disk Organizer Pages Acid Free Pack of 10 75222,21331,75222,Encore,Avery,19.99,8.34
2535,8314,Rubbermaid Extra Deep Desk Drawer Director Tray Plastic Black,Microsoft Visio Standard 2010,,D86-04533,Rubbermaid,Microsoft,7.94,210.44
565,12081,BIC Brite Liner Highlighter Chisel Tip Pink 1-Dozen,Peak PKC0BO 400 Watt Tailgate Power Inverter,BL11-PNK,PKC0BO,BIC,Peak,5.88,39.97
334,18785,Pilot BeGreen B2P Roller Ball Retractable Gel Ink Pen Red 5 count,56K Serial Controller Faxmodem,,USR5686G,,USRobotics,7.5,88.23
1137,13614,Elite Screens CineGray Prime Vision Series Fixed Frame Screen - 135 Diagonal,RAM Mounting Systems RAM-B-149Z-MA10U Handlebar Mount for Magellan MobileMapper 6 Triton 1500 2000,PVR135H1,RAM-B-149Z-MA10U,Elite Screens,RAM,1069.0,31.4
1093,1149,OCZ Technology Vertex 2 60GB 2.5  SATA II Solid State Drive,Fantom GreenDrive 2 TB USB 2.0 eSATA External Hard Drive GD2000EU32,OCZSSD22VTXE60G,Fantom Green Drive,OCZ Technologies,Fantom,119.98,116.14
1186,1713,Griffin iPad Airstrap,Pyle PLPADFM2B Bluetooth iPod iPad iPhone Car Player and Gooseneck Mount with Wireless FM Transmitter,GB01759,PLPADFM2B,Griffin Technology,Pyle,39.99,43.19
1359,9017,Safco Onyx Mesh Desk Organizer 8 Sections 11 3 8w x 9 1 2d x 13h Black,HP 56 Black Ink Cartridge in Retail Packaging C6656AN 140,3266BL,HEWC6656AN,,HP,47.94,21.5
454,2135,Incipio AK-334 Kaddy Nylon Folio For Amazon Kindle 3 Black,Sony DCR-HC21 MiniDV Handycam Camcorder w 20x Optical Zoom,AK-334,DCRHC21,INCIPIO,Sony,28.5,
2521,15410,Peerless SmartMount Universal Flat Mount 32 - 50 Screens,StarTech.com Professional USB VGA External Dual or Multi Monitor Video Adapter USB2VGAPRO,SF650,USB2VGAPRO,Peerless,StarTech,64.99,87.87
1582,17047,StarTech.com SAT3510BU2V USB to SATA External Hard Drive Enclosure,New-Brother DK1219 - Die-Cut Round Paper Labels 1 2 dia 1200 Roll White - BRTDK1219,SAT3510BU2V,,StarTech,Brother,28.88,30.0
483,5204,EDGE 8GB 4X2GB PC38500 ECC UNBUFFERED 240 PIN DDR3 KIT APPLE,Wintec Filemate 32 GB Swivel USB Drive - Blue,PE22177504,3FMUSB32GWN-R,EDGE,Wintec,139.82,44.94
2393,22053,Case Logic 13.3  Black Neoprene Notebook Sleeve,Dell Primary Battery - Notebook battery - 1 x lithium ion 9-cell 85 Wh,PLS-13 BLACK,Primary Battery,Case Logic,Dell,20.0,61.55
2263,5987,SIIG 3.5  SATA SuperSpeed USB 3.0 Hard Drive Enclosure,Altego 15.6-Inch Clear Laptop Sleeve - Pink,JU-SA0A12-S1,36023,SIIG,Samsill,31.5,18.16
1153,21352,Magnavox DVD Recorder and 4-Head Hi-Fi Stereo VCR ZV457MG9,Verbatim Store n Go 2 GB U3 Smart Flash Drive 95326 Silver,ZV457MG9,95326,Magnavox,Verbatim,171.54,22.04
912,6554,Jaton GeForce 6200 256MB Video Card,Canon PGI-225 BK CLI-226 C M Y 4 Pack Value Pack 4530B008 in Retail Packaging,VIDEO-338PCI-LP,4530B008,Jaton,Canon,97.82,44.95
801,16950,Diamond Multimedia Stealth ATI Radeon 9250 256MB PCI Video Card,Smead 74795 - Tuff Pocket Seven Inch Expansion File Pockets Straight Legal Redrope 5 Box,S9250PCI256SB,,Diamond Multimedia,Smead,59.0,
1194,19622,Ape Case AC165 Digital Camera Case,XEROX 113R00656 Print cartridge for xerox phaser 4500 black,AC165,113R00656,Ape Case,Xerox,12.85,134.11
121,2043,JVC KD-R320 CD Receiver,42PT350 42 Class Plasma HDTV With TruSlim Frame Smart Energy Saving 600Hz Sub Field Driving,KDR320,,JVC,LG,70.0,
1416,5718,Adobe Software Production Premium CS5.5 PC,Patriot Signature Dash 32 GB Capless USB 2.0 Flash Drive PSF32GDUSB,ADBCD21340WIAE,PSF32GDUSB,Adobe,Patriot,449.0,38.99
2492,11223,Tripp Lite SmartPro 1500VA UPS,ASUS WL330GE Wireless pocket access point,SMART1500RM2U,WL-330gE,Tripp Lite,Asus,499.0,43.99
2023,9713,PC Tools Spyware Doctor 2011 1year User 3 PCs for Pc,PowerGain CineTension2 Series Tension Electric Motorized Screen - 84 Diagonal Size 92 Diagonal,21072828,,Symantec,Elite,17.82,835.0
1981,6719,Sony MDRAS30G Sport Headphones - Behind The Neck,SprayGround SprayLoud Baseline Headphones Yellow Purple,MDRAS30G,SL1020,Sony,Sakar,19.88,56.95
681,17714,CP Technologies LevelOne OAN-0501 Omni-Directional Antenna,AT T 945 4-Line Corded Telephone with Speakerphone,OAN-0501,945,CP TECH,AT T,15.71,
60,7044,Samsung TL205 Refurbished 12.2MP Black Digital Camera 6.3-18.9mm f 3.2 3x Zoom Lens 2.7  Dual LCD VGA Movie Recording w 50 Bonus Prints,GTMax Camera Carrying Pouch Case with Strap- Black Blue for Canon PowerShot G12 SX30 IS SX130 SX230 IS SX20 IS HF M32 HF21 HF S21 FujiFilm S2800HD Panasonic Lumix FZ40 FZ45 FZ100 G1 G2 G3 GF1 GF2 GF3,RBTL205,,Samsung,GTMax,79.0,15.99
168,12957,Sony Premium EX Earbuds MDREX57LP BLK,Imation Defender H200 Biometrics 2.5INCH External Hard Drive 500GB Fips 140-2,MDREX57LP/BLK,27820,Sony,Imation,39.99,377.7
267,3765,Iomega eGo 500GB Helium Portable Hard Drive,ORANGE BLACKBERRY CURVE 8330 PHONE FOR SPRINT - NO CONTRACT REQUIRED - 5.0 OPERATING SYSTEM,34945,BLACKBERRY CURVE 8330,Iomega,BlackBerry,78.98,
16,2880,Avery Self-Adhesive Filing Labels 1 3 Cut 3-7 16 x 2 3 Clear 450 Pack,Belkin iPod Touch Grip Ergo w Strap-Black,5029,F8Z653ttC00,Avery,Belkin,21.47,12.49
2174,13448,Draper Glass Beaded Access Series E Electric Screen  - NTSC 15 diagonal,Sony Reader Touch Edition PRSA-CP65 P - Case for eBook reader - pink,104047,PRSA-CP65/P,Draper,Sony,1615.0,13.73
640,16883,Audiosource BI5 5  In-Wall Construction Bracket Mount,New-Bankers Box 1231101 - Super Stor Drawer Steel Plus Storage Box Letter Kraft Green 6 Carton - FEL1231101,BI5,,AudioSource,Bankers Box,25.88,
738,680,Lexmark T650A11A Black Toner Print Cartridge,Buffalo Technology Drivestation Quattro 2.0TB 4X500GB Desktop External Hard Drive FireWire Combo with TurboUSB2.0 HD-QS2.0TSU2 R5 Black,T650A11A,HD-RQS2TSU2/R5,Lexmark,Buffalo Technology,202.87,499.68
281,6508,Da-Lite Da-Tex Rear Tensioned Advantage Electrol - HDTV Format 184 diagonal,ARKON CMP128 ADHESIVE CAMERA VIDEO RECORDER DASHBOARD MOUNT,35199,,Da-Lite,Arkon,4612.99,17.95
740,3767,Read Right PathKleen Printer Roller Cleaner Sheets 8 1 2 10pk,OPTI-UPS SS1200 Stabilizer Series 6-Outlet Automatic Voltage Regulator 600W 1200VA,RR1237,SS1200,READ RIGHT,Opti UPS,9.84,22.99
525,4469,Disney Fairies Notebook,Clickfree Automatic Wireless Backup C3 1 TB USB 2.0 Portable External Hard Drive 1028Wi Piano Black,,1028Wi,Disney,Clickfree,0.0,182.26
1824,8055,Dart Plastic Vented Lids 1000ct,10 LED Wireless IP Camera with 10 Meter Night Vision and 3.6mm Lens 270 Viewing Angle with Two Way Audio Monitoring AGC - Color Black,12JL,,,db,21.97,63.88
1944,20430,Kenwood 6  5-Way Performance Series Flush Mount Speakers 500 Watts,Da-Lite 27660 Da-Glas Deluxe Rear Projection Screen - 72 x 96 Video Format,KFC-6993PS,,Kenwood,Da-Lite,84.99,
1833,15193,Arkon SGT-7SS Sun Shade for Samsung Galaxy Tab,X21 DLP Proj XGA 500 1 4 3 2700 Lumens VGA Svid Rca 4.85LBS,SGT-7SS,X21,Arkon,3M,16.88,695.99
1633,5676,Case Logic High Zoom Camera Case,PNY OPTIMA 512MB DDR 400 MHz PC3200 Desktop DIMM Memory Module MD0512SD1-400,152256,MD0512SD1-400,Case Logic,PNY,17.59,16.92
2177,15327,Draper M1300 Clarion Fixed Frame Screen - 124 x 124 diagonal AV Format,TRENDnet 16-Port Gigabit Web Smart Switch 16x 10 100 1000Mbps Auto-Negotiation and Auto-MDIX ports 2x Mini-GBIC TEG-160WS Black,252007,TEG-160WS,Draper,TRENDnet,1724.99,152.99
1606,7649,Da-Lite Da-Plex Deluxe Rear Projection Screen - 36 x 48 Video Format,GEAR HEAD LLC 58-In-1 Card Reader with 3-Port USB 2.0 Hub Computer Memory CR7500H Black,27559,CR7500H,Da-Lite,Gear Head,1630.99,11.92
34,6588,Sunpak 72-In-One Card Reader with SIM Slot,Cables Unlimited PCM-2200-06B HDB15 Male to Female SVGA Cable 6 feet,72-IN-1-CR,PCM-2200-06B,Sunpak,Cables Unlimited,0.0,17.69
821,2605,Asus ENGT430 DC GeForce GT430 1GB DDR3 Graphics Card,Toshiba 46SL417U 46-Inch 1080p 120 Hz LED-LCD HDTV with Net TV Black,ENGT430 DC S/DI/1GD3,46SL417U,Asus,Toshiba,84.88,
688,19595,StarTech.com PEX1P 1 Port PCIe DP Parallel Adapter Card,HP 94 Black Ink Cartridge in Retail Packaging C8765WN 140,PEX1P,C8765WN#140,StarTech,HP,32.88,22.59
2447,11828,Avery Matte White CD Labels for Color Laser Printers and Copiers 30 Disc Labels and 60 Spine Labels,Nexaira Business Class II 3G 4G High Availability Router,6692,R-SI-NEX-BC-B209,Avery,Nexaira,14.88,179.29
465,1342,Viore 24  Class 1080p LCD HDTV 60Hz - Choose Your Color,V7 CAT5e Network Patch Cable RJ45 Male to Male Green 1-Foot  V7N3C5E-01F-GRN,LC24VF56WT,V7N3C5E-01F-GRN,Viore,V7,179.0,2.6
2040,10369,StarTech.com PM1115U Fast Ethernet Print Server,Adobe Acrobat Standard 8.0,PM1115U,12020350,StarTech,Adobe,40.84,
2537,6487,Gator Cases ATA Molded Utility Case 11.7 x 16.7 x 5.9,Comprehensive IEEE-1394 Firewire- 6 Pin Jack to 4 Pin Plug Adapter,GXDF-1116-5-TSA,,Gator Cases,Comprehensive,139.99,14.95
712,2430,Premiertek PowerLink Wireless 802.11b g n High Power USB 2.0 Adapter,Adesso Carrying Case for iPad Black,PT-H9DN,ACS-100FB,PREMIERTEK,Adesso,31.88,15.96
336,16709,Midland 40-Channel Mobile CB Radio with Weather Scan Technology,New-Seiko SLP2RLE - Self-Adhesive Address Labels 1-1 2 x 3-1 2 White 520 Box - SKPSLP2RLE,1001LWX,,Midland,Seiko,69.99,
138,2104,Night Owl Optics APOLLO-45 4-Channel H.264 500GB DVR Kit,Sylvania DVD8728 7-Inch LCD Dual Screen Portable DVD Player Black,APOLLO-45,DVD8728-Black,Night Owl,Curtis,338.0,
805,21785,Belkin Grip Ergo for iPod,Case for Apple Imac 20 with Keyboard and Accessory Storage Compartment,F8Z524TT064,,Belkin,Road Ready,10.54,249.99
1613,484,3M Porcelain Marker Board Steel Backed 4 x3 Aluminum,GE 45606 Z-Wave Technology 2-Way Dimmer Switch,,45606,3M,General Electric,246.59,43.29
2331,16598,Advantus Badge Straps w Clip Vinyl 3 8 w 100 Box,Da-Lite 97989 Da-Tex Rear Tensioned Cosmopolitan Electrol - AV Format 10 6 x 14 diagonal,75410,,,Da-Lite,18.94,
2468,5836,US Brown Bear Full Motion Series Medium Dual Arm Mount for 23 - 37 Displays in Silver,Intermatic EJ351C 120 Volt 24-Hour Programmable Mechanical Security Timer,,EJ351C,US Brown Bear,Intermatic,59.99,19.07
375,16172,Avery Mailing Seals 200ct White,Dry-All DRY-ALLWSPEK-90 Wet Smartphone Emergency Kit Accs Dry Out Multiple Wet Smartphones,06740,,Avery,HPL LLC,0.0,46.76
1111,10296,Pyle iPod 3.5mm Stereo To RCA Adapter,Bazooka BT1224DVC BT Series 12-Inch 4-Ohm Dual Passive Tube,PLIPG1,BT1224DVC,Pyle,Bazooka,6.54,149.99
2509,19638,Sanus Powerbridge in Wall Power and Cable Management,S-Video 4 pin female to RCA Male bi-directional adapter,,,Sanus,Comprehensive,84.99,18.29
914,15638,Kensington 15.4  Classic Nylon Laptop Sleeve Black,Polaroid PUMP PEP37BLU Stereo In-Ear Headphones Blue,K62562US,PEP37BLU,Kensington,Polaroid,20.88,3.98
1690,18922,Smead Acid-Free Poly Folder 2 Fasteners 1 3 Cut Top Tab Letter Manila 24 Box,Avery 16282 - Printable Repositionable Plastic Tabs 1 3 4 Inch White 80 Pack,10545,,,Avery,42.94,
1923,19908,Avery Postage Meter Labels for Personal Post Office E700 1-3 16 x 6 White 60 Pack,VIZIO Remote Control VR1,5289,0980-0304-9160,Avery,Vizio,9.54,24.47
412,10777,Hitachi 500GB Touro Mobile USB 2.0 Hard Drive,LaCie d2 Quadra v3 Hard Disk 2 TB eSATA FireWire800 USB 3.0 Desktop External Hard Drive 301543U Aluminum,0S03121,301543U,Hitachi,LaCie,64.98,225.0
919,7542,Coby 7  LCD Dual Screen Tablet Portable DVD Player,Sennheiser HDR 160 - Supplemental RS160 Wireless Headphones Charger Transmitter not included,TFDVD7752,HDR 160,Coby,Sennheiser,139.29,99.95
1231,16013,Maxell MyGen USB 4GB Auto Photo Backup,Toshiba Satellite L775D-S7220 17.3-Inch LED Laptop Grey,665107,PSK40U-00R003,Maxell,Toshiba,26.88,549.99
1756,17214,Crucial Technology 64GB m4 2.5  SATA Solid State Drive Kit,ZAX 85910 SELECT SERIES RF COAXIAL F-PIN CABLE 10 M,CT064M4SSD2CCA,,Crucial Technology,ZAX,159.15,
892,12767,Sabrent SATA to IDE Ultra ATA Mini Converter Board,Logitech Wireless Mouse M305 Forest Green,SBT-SCIDE,910-001896,Sabrent,Logitech,10.88,22.49
101,5684,Bling Software 123 Copy DVD 2010 Windows,Sunpak Platinum Plus 48-Inch Compact Travel Tripod with 3-way Panhead for Digital Cameras and Camcorders,80244,SUN50TRI,Bling Software,SunPak,32.98,8.95
573,10904,Microsoft Wireless Laser Desktop 3000 Keyboard and Mouse Combo,Imagelab FS5CO5 5 Megapixel Slide and Negative Scanner,NUD-00001,FS5C05,Microsoft,Image Lab,29.82,88.0
993,6771,HP 61 Black   Tri-color Combo Inkjet Cartridge,Lexar LJDFF16GASBNA JumpDrive FireFly 16 GB USB 2.0 FlashDrive Red,HP 61,LJDFF16GASBNA,HP,Lexar,30.5,21.95
1989,17393,Stanley Bostitch 00540 AntiJam Extra Heavy-Duty Stapler 215-Sheet Capacity Black,New-Quality Park 67539 - Reveal-N-Seal Double Window Check Envelope Self-Adhesive White 500 Box - QUA67539,540,,Stanley Bostitch,Quality Park,65.0,98.26
1205,21357,Draper Matte White Paragon Electric Screen - AV Format 19 6 x 26,TRENDnet 300 Mbps Wireless Easy-N-Upgrader TEW-637AP,114099,TEW-637AP,Draper,TRENDnet,10682.45,39.99
106,20197,Koss Stereophones With Flexible Headband Design,Wow Pen Joy Vertical Ergonomic Optical Mouse Silver By Ergoguys,SPORTA-PRO,WP-012-S-E,Koss,ACP,29.88,30.34
685,11819,Weyerhaeuser Company MultiUse Premium Paper 98 Brightness 24lb 8-1 2 x 14 White 500 Sheets Ream,Nokia Travel Charger N91 N90 N80 7370 6282 6265i 6165i 6155i 6126 6103 6102i 6102 6101 3155i Travel Charger Compare to Nokia AC-3U,85781,,,Nokia,12.47,2.98
385,14689,ASUS ET1611PUT-B001E 15.6  Windows 7 Home Premium,Da-Lite Perm-Wall - Projection screen - 100 in 254 cm - 4 3 - High Contrast Da-Mat,ET1611PUT-B001E,,Asus,Da-Lite,468.0,
1151,10092,Webster s Spelling Corrector Plus NCS101,Toshiba NB505-N508BN 10.1-Inch Netbook Brown,NCS101,PLL50U-01900C,Franklin,Toshiba,16.82,264.76
2518,1848,Logitech Wireless Mouse M315 Victorian,StarTech.com 1-Port RS232 Serial over IP Ethernet Device Server NETRS232 1,910002534,NETRS232_1,Logitech,StarTech,19.88,117.99
501,20369,Cobra HighGear Noise-Canceling External Speaker,ClearOne Chat 160 - USB VoIP desktop hands-free,HG-S300,910-156-251-00,COBRA,ClearOne,17.03,326.49
1789,8297,Plantronics VistaPlus Audio Processor,Belkin FastCAT Premium Snagless - Patch cable - RJ-45 M - RJ-45 M - 25 ft - UTP - CAT 5e - snagless - blue,AP15,Premium Snagless,Plantronics,Belkin,141.31,
1580,3251,Sony SS-CR3000 Home Theater Speaker Completer Package,XANTECH CPL10 RF IR Coupler,SS-CR3000,CPL10,Sony,Xantech,99.99,12.0
517,18461,RCA 32  Class LCD 720p 60Hz HDTV 32LA30RQ RCA Home Theater System with 6ft HDMI Cable Bundle,Horizontal Cable Distribution for Open Wall Mount Racks,,,,Middle Atlantic,379.0,435.99
1402,1208,Xerox Card Scanner 200 Scanner,EDGE - Memory - 1 GB - DIMM 184-pin - DDR - 333 MHz PC2700 - CL2.5 - unbuffered - ECC,Xerox Card Scanner 200,PEIBM06P4055-PE,XEROX,Edge,168.98,58.18
2395,2013,Western Digital 750GB My Passport Essential SE USB 3.0 Silver Portable Hard Drive,Samsung 12.2MP Dig Camera 4.6X Wide Ang Opt Zm Purple,WDBACX7500ASL-NESN,EC-TL225ZBPLUS,Western Digital,Samsung,96.98,
404,13452,Draper DiamondScreen Rear Projection Screen with No Frame - 96 diagonal NTSC Format,Reader Pocket-silver,127105,PRS-300SC,Draper,Sony,6797.5,105.99
980,12155,Simplism Protector Film for iPad,Q-See QSSIGD2 Decoy Cameras and Warning Sign 2 Pack,TRPFSIPADAGEN,QSSIGD2,Simplism,Q-See,23.41,29.99
344,16613,Everstart 14-Gauge 20 Red Primary Wire,Translucent Multicolor Write-On Dividers Eight,51653-76-04,,Generic,Avery,0.0,
1269,9439,Disney Toy Story CD Boom Box,Targus 13.3-Inch Notebook Privacy Filter ASF133WUSZ,TS500B,ASF133WUSZ,Disney,Targus,39.54,36.99
2244,4810,Brother TX2411 P-Touch TX Laminated Tape,Kingston Datatraveler 160 - 32 GB USB 2.0 Flash Drive DT160 32GB,TX2411,DT160/32GB,Brother,Kingston,34.88,52.9
2181,13604,Rayovac 6V Rechargeable Battery,Rebit 500 GB USB 2.0 External Hard Drive with Backup Software RSA525500,RVLA,RSA525500,Rayovac,Rebit,0.0,64.99
1915,5601,Draper AT Grey Targa Acoustically Transparent Screen - 108 diagonal Widescreen Format,rooCASE Multi-Angle Black Leather Folio Case Cover for Samsung GALAXY Tab 10.1 Wi-Fi NOT Compatible with Verizon 4G LTE,116236,,Draper,rooCASE,2965.95,25.0
2307,4588,Crown Super-Soaker Polypropylene Wiper Mat With Gripper Bottom 45 X 67 Dark Brown,NETGEAR FS108 ProSafe 8-Port 10 100 Desktop Switch,SSR046DB,FS108NA,Crown,Netgear,139.97,40.99
1295,5493,Avery Shipping Labels with TrueBlock Technology 8-1 2 x 11 White 25 Pack,SONIX TravelBook for iPad 2 Grey Felt 203-0402-001,8165,203-0402-001,Avery,Sonix,11.94,35.67
595,4953,Uniden D2998 DECT 6.0 Loud and Clear Digital Answering System with Cordless Handset,2 HP Remanufactured Black 21 Ink Cartridges,D2998,,Uniden,Unknown,79.93,10.99
536,15663,USB Night Vision Webcam 640 x 480,Pilot 35113 - VBall Roller Ball Stick Liquid Pen Blue Ink Fine Dozen,U05502,,,Pilot,24.98,
763,20406,Draper Glass Beaded Access Series M Manual Screen - 8 x 10 AV Format,New-Cord Organizer Multi Pack White Case Pack 2 - 511471,203037,,Draper,3M,956.5,44.0
1792,20554,Crown Tire-Track Scraper Needlepunch Polypropylene Vinyl Mat 48 X 72 Gray,Okidata Ribbon for Pacemark 4410 Printer Black,TE0046GY,40629302,Crown,Oki Data,124.97,32.04
1690,18250,Smead Acid-Free Poly Folder 2 Fasteners 1 3 Cut Top Tab Letter Manila 24 Box,Belkin A3L791B10 CAT5E Patch Cable 10 feet,10545,A3L791B10,,Belkin,42.94,3.95
896,11939,Diaper Dude Black Coated Grey Digi Laptop Sleeve 13,Clarion NX501 6.2 Double-DIN Navigation Multimedia Control Station,207492,NX501,Diaper Dude,Clarion Mobile Electronics,32.0,
150,18141,Imation 43347 DDS-2 Data Cartridge,New-2.4GHz Wireless Laser Mouse With Storable Nano Receiver - BH1631,43347,,Imation,V7,10.88,26.49
1047,11862,Instant Play Piano Deluxe V3.0,iHome iHM60LT Rechargeable Mini Speaker Blue Translucent,81050,iHM60LT,Topics Ent,iHome,34.98,17.99
2045,4350,jWIN Bluetooth Keyboard for iPad iPhone,750GB Diskgo Backup Portable USB 2.0 3.5IN,IBTKB20BLK,EDGDG-214616-PE,JWin,Edge,63.88,90.75
185,9070,Los Angeles Dodgers Pink iPhone 4 Hard Case,University Of Iowa Iphone 3G Case,FVA4450,811398017361,Tribeca,Pangea Brands,29.99,19.99
1779,12150,Walmart Family Mobile 3-line Package,RAB STL110HW Stealth Motion Sensor with 110 Degree View and Par-38 Bell Flood Lighting Kit White,,RAB STL110HW,,RAB Lighting,179.88,86.99
696,19883,Clarion Sirius Satellite Radio Receiver Adapter,Epson 78 Light Cyan Ink Cartridge T078520,CLASC1,T078520,Clarion,Epson,49.99,11.67
1768,19749,Oki 433244 Toner 5000 Page-Yield,Belkin A3L791-14-BLU-S RJ45M RJ45M 14-Feet 10 100BT CAT5E Snagless Patch Cable Blue,4.332442E7,A3L791-14-BLU-S,OKI,Belkin,100.0,5.11
2254,17677,VisonTek Wireless CandyBoard Mini Keyboard with Touchpad,Ampad 25159 - Multi-Subject Notebook College Medium Rule Ltr White 240 Sheets,900319,,Visiontek,Ampad,59.82,
1501,6003,REDIFORM OFFICE PRODUCTS                           Brownline Weekly Appointment Book w 30-Minute Schedule 7-5 8 x 10-1 4 Black 2012,Zeikos ZE-CA38B Deluxe Soft Small Camera and Video Bag,,ZE-CA38B,REDIFORM OFFICE PRODUCTS,Zeikos,22.29,4.87
1862,11910,Innovera D2130B Black Compatible High-Yield Toner Print Cartridge,Denon DP-200USB Fully Automatic Turntable with MP3 Encoder,D2130B,DP-200USB,INNOVERA,Denon,58.9,
2198,20749,Peerless SmartMount Universal Tilt Mount 23 - 46 Screens,Hewlett Packard 1-pack DDS-4 40GB 150m Data Cartridge C5718A,ST640,C5718A,Peerless,HP,86.99,10.04
1659,4298,Cables To Go 12 CMG-Rated HD15 SXGA M M Monitor Projector Cable with Rounded Low Profile Connectors,Sony ALCSH109 Alpha Lens Hood for the SAL2875 Lens,40143,ALCSH109,Cables To Go,Sony,19.0,33.49
997,17359,Maxell Timbers Wood Earbuds Oak,Blow Molded Case in Black 10 x 13.5 x 3.25,190243 TEB-O,,Maxell,Platt,29.88,28.99
261,11721,Oki 52102001 Ribbon Black,Stanley Bostitch 02210 - Electric Stapler with Anti-Jam Mechanism 20-Sheet Capacity Black,5.2102001E7,,OKI,Stanley,14.0,50.27
1778,15999,Panasonic KXFA132 Film Cartridge and Film Roll,Tamper-Resistant Outlet Nightlight-White,KXFA132,,Panasonic,Use Manufacturer Vendor,49.84,16.32
519,1309,Seal Shield SSK107 Medical Grade Keyboard - Dishwasher Safe Black USB,Verbatim SuperSpeed 2 TB USB 3.0 Desktop External Hard Drive 97415 Black,SSK107,97415,Seal Shield,Verbatim,30.84,122.31
1864,16830,Lexar Media LJDFF2GBASBNA 2GB JumpDrive FireFly USB 2.0 Flash Drive,New-Oxford 73153 - Card Guides Alpha 1 5 Tab Polypropylene 3 x 5 25 Set - ESS73153,LJDFF2GBASBNA,,Lexar Media,Oxford,13.88,18.0
848,2096,SKB Cases LS Series Luggage Style Transport Case 7 11 16 H x 21 1 8 W x 15 3 4 D outside,TDK LTO Ultrium Universal Cleaning Cartridge,9P2014-01BE,D2404-CCAX,SKB Cases,TDK,114.99,48.25
983,19928,Startech 10 ft. HD 15mm VGA Monitor Cable,STEELMASTER by MMF Industries 221612003 - Heavy-Duty Steel Cash Box w 7 Compartments Latch Lock Sand,MXT101MM10,,StarTech,STEELMASTER by MMF Industries,10.98,
2232,21208,jWIN Caf Nites In-Ear Earphones Pink,New-C9202MH Toner 14000 Page Yield Magenta Case Pack 1 - 516737,IEP222PNK,,iLuv,Lexmark,9.88,970.4
284,5205,Tribeca Varsity Jacket Silicone Case for iPod Touch University of Florida,Wintec Filemate 32 GB Professioal CompactFlash Card,FVA3615,3FMCF32GBP-R,Tribeca,Wintec,18.9,92.99
2033,19885,CyberPower 2800 Joules 8 Oulet Surge Protector,ENDUST for Electronics 100 Non-Flammable 10 oz Duster with Bitterant 255050,880,255050,CyberPower,Norazza,23.88,11.39
727,15807,Cobra 14-Band Digital Radar Laser Detector,Icon Black Nylon Laptop Case 17IN,XRS 9545,CB117-BLK,COBRA,Motion Systems,122.84,11.99
311,12751,Logitech USB Webcam C270H,LOWRANCE 000-0140-05 HDS7 BASE US 83 200 KHZ FISHFINDER,C270H,,Logitech,Lowrance,29.0,1150.0
999,1733,Western Digital AV-GP 320GB SATA Desktop Internal Hard Drive,Plantronics Voyager PRO Bluetooth Headset,WD3200AVVS,Voyager PRO,Western Digital,Plantronics,51.7,69.99
1613,21075,3M Porcelain Marker Board Steel Backed 4 x3 Aluminum,Tektronix Waste Cartridge for Phaser 7400,,106R01081,3M,Tektronix,246.59,29.99
1944,2904,Kenwood 6  5-Way Performance Series Flush Mount Speakers 500 Watts,Kensington 72121 Mouse-in-a-Box Optical Elite USB Mouse PC Mac,KFC-6993PS,72121,Kenwood,Kensington,84.99,18.0
24,20813,Avery Shipping Labels for Color Laser   Copier 3-3 4 x 4-3 4 Matte White 100 Pack,Santa Cruz 16GB Dead Pool SkateDrive USB Flash Drive,,,Avery,Action,16.67,
1927,20622,Inland ProHT Film Screen Protector for iPad,Antec TriCool 92mm DBB Case Fan with 3-Spd Switch 3 4-Pin 3-Pin Monitoring,08562,TriCool 92mm DBB,Inland,Antec,14.99,8.25
506,4286,Kodak Essentials Large Hard Camera Case,Audiovox Sirius SUPH1 Dock Play Home Kit Black,1753284,SUPH1,Kodak,Sirius Satellite Radio,13.88,37.24
