ID,Brand,Title,Price,Description,Model_Number,Ship_Weight,Dimensions
1229,Sony,Sony Cyber-shot DSC-T110 16MP Digital Camera Violet w 4x Optical Zoom HD Movie Capture 3.0  Touchscreen LCD w 50 Bonus Prints,219.99,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value You don t just take a picture with the Sony Cyber-shot DSC-T110 camera. Capture wider scenes with the 25mm wide angle lens take the guesswork out with features like iAuto and Optical SteadyShot image stabilization and with a 3  touch screen Sweep Panorama mode and HD movie with DSC-T110 the best shot is just a click away. Note Memory card not included. Purchase of a memory card is highly recommended.,DSC-T110/V,2.0,8.0 x 6.0 x 3.0 inches
1230,Tribeca,Michigan Wolverines iPhone 4 Case Silicone Cover,24.99,,FVA3437,,
1231,Maxell,Maxell MyGen USB 4GB Auto Photo Backup,26.88,The Maxell MyGen USB 4GB Auto Photo Backup is designed to automatically recognize and copy files for photos. Captures all music formats for consolidation even from multiple computers. It features a slider design for extra protection and a securely attached ring helps prevent loss.,665107,9.5,7.9 x 6.7 x 2.9 inches
1232,Vizio,Vizio 42  Class LCD 1080p 120Hz HDTV E421VL,548.0,The Vizio 42  1080p LCD HDTV. Contact your local cable or satellite TV service provider for details on how to upgrade.,E421VL,32.85,45.1 x 32.2 x 7.36 inches
1233,Case Logic,Case Logic IFOL-202BLACK Thin Folio Case with Form Fit Mount Black,49.88,The Case Logic Thin Folio Case with Form Fit Mount provides multiple viewing angles without removing from protective frame mount.,IFOL-202BLACK,1.0,9.8 x 8.0 x 0.3 inches
1234,ACD Systems,ACD Systems ACDSee Pro 4-Box Full Version,239.99,Take your digital photos to the highest standard. ACDSee Pro 4 will help get you there fast with all the tools you need for everything you shoot. Manage view process and publish your images in one full-featured application.,ACDCD70845WI,0.05,7.4 x 5.4 x 1.3 inches
1235,GE,GE Door Stop Alarm,9.24,Alarm sounds when pressure is applied.,50246,0.39,5.916 x 1.898 x 1.81 inches
1236,Mobile Edge,Mobile Edge Eco-Friendly Canvas Messenger Bag Navy,39.0,Made of all-natural cotton canvas this case packs plenty of style function and features into a minimal carbon footprint. A dedicated padded computer compartment keeps your laptop protected while separate sections for files folders magazines and accessories keep your gear organized and at your fingertips. Multiple anchor locations for the removable ID Holder provide quick access to your ID cards. Rugged molded clips hold the front flap in place keeping your gear safe and secure.,MECME3,2.1,17.5 x 13.0 x 4.25 inches
1237,Royal Consumer,Royal PX70MX Paper Shredder,69.99,The Royal PX70MX Paper Shredder is a convenient office tool that helps you protect your identity from theft and abuse. Keep your information private with this cross-cutting shredder.,29160J,8.75,14.3 x 14.1 x 9.5 inches
1238,HP,HP Q2429A Maintenance Kit,234.54,HP 29A Black Maintenance Kit Model Q2429A. HP LaserJet printing supplies are always the right choice. They deliver exceptional print quality and hassle-free operation page after page because they re specifically designed to work with HP printers.,Q2429A,5.1,17.75 x 10.5 x 9.5 inches
1239,Microsoft,Microsoft EGC-00001 Flight Simulator X Gold Edition,28.54,The Microsoft Flight Simulator X Deluxe Gold Edition features stunningly realistic graphics for optimum gaming experience. Fly 71 different structured missions.,EGC-00001,0.48,6.75 x 4.73 x 1.04 inches
1240,AMD,AMD 100-505533 FireMV 2260 Graphics Card,129.82,AMD 100-505533 FireMV 2260 Graphics Card,100-505533,1.4,6.61 x 2.592 x 2.28 inches
1241,Visioneer,Visioneer PRW120-WU RoadWarrior Patriot Sheetfed Scanner,249.98,Visioneer PRW120-WU RoadWarrior Patriot Sheetfed Scanner,PRW120-WU,1.82,11.4 x 2.0 x 1.5 inches
1242,Sharpie,Sharpie Retractable Permanent Markers Fine Point Set of 12 Black,13.64,Sharpie Retractable Permanent Markers Fine Point Set of 12 Black feature a seal valve design that prevents dry out with no cap to remove or lose. Leaves a permanent mark on most surfaces and also features a retractable point.,32701,0.35,6.37 x 3.37 x 1.25 inches
1243,Gear Head,Gear Head 2.4GHz Wireless Optical Nano Mouse Black,15.82,Our Wireless Optical Nano Mouse with Adjustable height is the perfect mobile companion complete with stowable nano Receiver 2.4 GHz Wireless Connectivity operates up to 30 feet from the computer media center and a built-in scroll wheel.,MP2800BLK,7.0,3.9 x 2.3 x 1.5 inches
1244,Draper,Draper DiamondScreen Rear Projection Screen with System 200 Black Frame - 133 diagonal HDTV Format,28172.7,,127164,462.0,
1245,Belkin,Belkin AC Charger with Swivel Plug   USB Sync Cable for iPhone,21.78,The Belkin F8Z414 iPhone AC Charger with Swivel Plug and USB Sync Cable streamlines and optimizes your iPhone experience. With a swivel plug that allows you to easily navigate crowded outlets this accessory will fit where others won t.,F8Z414,0.35,6.4 x 5.1 x 1.7 inches
1246,Simplism,Protector Film for iPad 2 Anti-glare,14.99,Simplism Protector Film for iPad 2 Anti-glare protects your iPad 2 from dust and scratches.,TR-PFIPD2-AG/EN,0.2,9.3 x 7.1 x 0.1 inches
1247,I-Tec Electronics,I-Tec iPad Anti-Glare Screen Protector,17.88,Get full use out of your iPad with the I-Tec iPad Anti-Glare Screen Protector. Makes your iPad screen easy to view under any lighting.,T6020,0.3,11.25 x 8.0 x 0.13 inches
1248,Targus,Targus Universal USB Car Charger,31.88,The Targus Universal USB Car Charger allows you to maximize your time on the road by keeping your USB devices powered in the car. Charge tablets including Galaxy Tab Playbook iPad smartphones and more. You can charge using the cable that came with your device. Small and compact this charger takes up very little space and comes in handy when you have forgotten to charge your devices at home.,APD0401US,0.17,6.0 x 4.0 x 1.04 inches
1249,,Advantus Premier Heavy-Duty Retractable ID Card Reel 24  Extension Black Chrome 12 Box,60.94,Keep badges protected and visible with the Advantus Premier Heavy-Duty Retractable ID Card Reel. This clip connects easily to any ID card or name badge. The Retractable cord allows for convenient scanning and swiping of cards. The Advantus Premier Heavy-Duty Retractable ID Card Reel cord extends 24 inches for badge to reach eye level or card sensor. This retractable reel features a heavy-duty steel cord with a plastic coating for added strength.,75406,0.615,
1250,JWin,jWIN Port Amplified Stereo Speaker Case for iPad Blue,62.88,The jWIN Port Amplified Stereo Speaker Case for iPad is both a carrying case and speaker all in one. The zipper case is an ideal fit for tablet devices. The built-in speaker lets you pump up the volume wherever you are while providing portability and stylish protection.,ISP210BLU,21.0,10.9 x 9.01 x 1.7 inches
1251,rooCASE,rooCASE 3-in-1 Kit - Smart Case Leather Cover for iPad 2,59.99,,219534,1.0,8.8 x 7.7 x 0.7 inches
1252,Diamond,Diamond Radeon HD 5450 PCI-E 512MB DDR3 Graphics Card,46.88,ATI Radeon HD 5400 Series graphics processors offer the most features and functionality in its class. With ATI Radeon HD 5400 Series graphics processors you get a multi-purpose graphics solution for maximum versatility. The Diamond ATI Radeon HD 5450 includes our most comprehensive feature set to date. Along with DirectX 11 including Shader Model 5.0 and OpenGL 3.21 capabilities the Diamond ATI Radeon HD 5450 also supports integrated HDMI 1.3 integrated HDCP and native support for Blu-ray and HD DVD decode. Diamond ATI Radeon HD 5450 with support for Windows XP Windows Vista and fully compliant support for Windows 7 makes this a great value for your PC.,5450PE3512SB,0.75,9.7 x 6.1 x 1.6 inches
1253,Samsung,Samsung 60-2707-05 Samsung Galaxy Tab Multimedia Dock,37.88,The Samsung 60-2707-05 Samsung Galaxy Tab Multimedia Dock allows you to charge and sync your tablet PC.,60-2707-05,0.4,6.4 x 4.3 x 1.5 inches
1254,Scotch,Scotch Weighted Desktop Tape Dispenser,7.9,The Scotch Weighted Desktop Tape Dispenser is a great accessory for the home or office. It features a 1  core and will dispense a variety of office tapes. The Scotch Weighted Desktop Tape Dispenser in a putty color allows for quick and easy one-handed dispensing.,C38BK,1.055,
1255,,Quality Park Double Window Security Tinted Invoice   Check Envelope White,72.94,Quality Park Double Window Security Tinted Invoice   Check Envelopes add a professional touch to your mailing. Recipients won t even need to open the letter to know that you mean business.,24532B,12.0,
1256,Case Logic,Case Logic 10.2,18.39,,154701,0.71,11.0 x 8.0 x 2.5 inches
1257,NETGEAR,Netgear Wireless-N 150 Access Point WN604,55.88,The Netgear Wireless-N 150 Access Point has fast 802.11n draft wireless technology. Get fast data transfer speeds up to 150Mbps. Four Fast Ethernet access points allow for you to connect multiple devices to the access point.,WN604-100NAS,1.4,9.3 x 9.1 x 2.5 inches
1258,Da-Lite,Da-Lite Da-Plex Unframed Rear Projection Screen - 84 x 84 AV Format,3561.99,,27503,342.0,
1259,Da-Lite,Da-Lite Video Spectra 1.5 Model C Manual Screen - 78 x 139 HDTV Format,787.99,,82973,69.0,
1260,Everki,Everki Commute 18.4  Laptop Sleeve with Memory Foam EKF808S18,39.0,Protect your laptop with the Everki Commute Laptop Sleeve with Memory Foam. This laptop sleeve provides extra protection for laptops up to 18.4 inches. The Everki Commute Laptop Sleeve with Memory Foam can be carried inside another bag or independently with its clever stow-away handles.,Everki EKF808S18,1.45,18.7 x 13.58 x 1.97 inches
1261,NETGEAR,Netgear ProSafe Plus 8-Port Gigabit Ethernet Switch with PoE,247.5,The Netgear ProSafe Plus 8-Port Gigabit Ethernet Switch with PoE offers traffic monitoring for users to observe traffic behavior. Additionally if there are connectivity issues these switches offer a cable diagnostic test capability that can identify and even locate problems in the cables. To optimize traffic through the switches ProSafe Plus Switches offer both port and tag-based prioritization to keep latency-sensitive traffic moving ahead of less critical packets.,GS108PE100NAS,3.24,23.25 x 12.77 x 10.4 inches
1262,Bracketron,Bracketron NAV Mat II Universal GPS Friction Mount,16.15,The NavMat II combines ultra-sleek design with dash mount convenience making interaction with your GPS easier than ever. The flexible rubberized coating provides a stable skid-free option that contours seamlessly to your dashboard. It uses Bracketron TemporBond Technology and leaves no residue. It also uses the windshield mount sold with popular GPS models.,UFM-210-BL,0.55,11.5 x 9.0 x 1.5 inches
1263,Manfrotto,Manfrotto Unica V DSLR Messenger Bag,89.99,The Manfrotto Unica V DSLR Messenger Bag comfortably fits your daily essentials alongside a DSLR with lens attached tripod inside and up to a 15.4  laptop. Store your DSLR with lens attached as well as additional lens or flash in the dedicated camera area. There is also space for personal accessories such as book sunglasses etc. It features a special pocket for Manfrotto Pocket tripods. Organizer pockets provide space for cell phone MP3 player and pens as well as cables batteries and other accessories. Easily access your DSLR when shooting by opening the top flap or through the top zipper. Get your laptop out quickly without having to open the bag during security checks. Support your camera by storing a compact tripod in the lower compartment. A shoulder pad for long duration comfortable carrying makes this bag great for travelers.,MB-SM390-5BC,3.2,42.0 x 30.0 x 19.0 inches
1264,DigiPower,DigiPower 4-Section Tripod Dark Blue,29.99,The DigiPower 4-Section Tripod holds up to 4.5 lbs of weight and has a tilting head for angled shots and macro photography. Adjustable rubberized feet for a secure grip on any surface.,TPTR47DBL,1.77,15.7 x 3.7 x 3.5 inches
1265,Just Wireless,Just Wireless Multi Tip Car AC Phone Charger,0.0,The Just Wireless Multi Tip Car Phone Charger is universal and works with several different types of cell phones. This car charger is key to keep yours and your passengers cell phones charged throughout the day.,04222,,8.0 x 5.0 x 2.5 inches
1266,Digital Innovations,Digital Innovations Clean Dr. DVD Laser Lens Cleaner,9.88,Clean Dr. for DVD Laser Lens Cleaner is specifically designed to safely clean DVD player laser lenses. The patented 10-brush Cyclone Clean process removes dirt and dust build-up on the lens of a DVD player that causes audio and video dropout and distortion.,4190200,0.2,7.0 x 4.5 x 0.6 inches
1267,Bower,Bower SS26 Digital Neck Strap Green,12.98,The Bower SS26 Digital Wrist Strap is a 1 W x L neoprene strap designed to fit a digital point and shoot camera that attaches to the strap connector. Strap also includes a quick release for easy detachment.,RELAUNCH SS26GR,0.1,32.0 x 1.0 x 0.125 inches
1268,US Brown Bear,US Brown Bear Fixed Series Medium Slim Fixed Mount for 23 - 37 Displays,19.99,,,3.3,19.38 x 3.25 x 2.0 inches
1269,Disney,Disney Toy Story CD Boom Box,39.54,Disney Toy Story CD Boom Box,TS500B,5.55,13.94 x 10.71 x 4.92 inches
1270,Comprehensive,Comprehensive 1 4 Standard Stereo Phone Jack Cable End Set of 25,35.75,,SPJ-S,0.1,
1271,Verbatim,Verbatim 8.5GB 2.4X - 6X DVD R DL 10 Packs Double Layer Disc,17.32,Verbatim 8.5GB 2.4X - 6X DVD R DL 10 Packs Double Layer Disc,95166,0.52,5.7 x 5.6 x 1.0 inches
1272,Verbatim,Verbatim 4.7GB 16X DVD-R LightScribe 1.2 30 Packs Cake Box Disc,19.72,Verbatim 4.7GB 16X DVD-R LightScribe 1.2 30 Packs Cake Box Disc,95339,1.3,5.3 x 5.1 x 3.4 inches
1273,JVC,JVC HAW600RF 900MHz Wireless Stereo Headphones with Location Feature,47.54,JVC 900MHz Wireless Stereo Headphones with Location Feature has a reception range of 164 feet. A call button on the base unit activates audible locater on the headset. An auto-power on off function keeps these headphones from wasting valuable battery life.,HAW600RF,1.45,12.0 x 9.75 x 5.75 inches
1274,Draper,Draper M1300 Premier Electric Screen  - HDTV 161 diagonal,2049.0,,101186,105.0,
1275,Draper,Draper M2500 Premier Series C Manual Screen - 120 diagonal Widescreen Format,1551.95,,200129,69.0,
1276,Draper,Draper Flexible Matte White Ultimate Folding Portable Screen with Heavy-Duty Legs - 15 diagonal NTSC Format,1075.0,,241032,88.0,
1277,ViewSonic,ViewSonic Value 19  LCD Monitor  VA1932WM,149.0,ENERGY STAR     Products that are ENERGY STAR-qualified prevent greenhouse gas emissions by meeting strict energy efficiency guidelines set by the U.S. Environmental Protection Agency and the U.S. Department of Energy. The ENERGY STAR name and marks are registered marks owned by the U.S. government as part of their energy efficiency and environmental activities.,VA1932WM,11.0,20.5 x 17.5 x 5.88 inches
1278,JOBY,Joby Heavyweight Ballhead Combo,148.0,With a quick release and almost universal adaptability the Joby Heavyweight Ballhead Combo makes any photo session more manageable. With a slim inline quick release plate and a SLR-Zoom tripod to match the Joby Heavyweight Ballhead Combo is built to be used.,GP8BHEN,1.65,14.3 x 3.4 x 3.0 inches
1279,BIC,BIC Print and Peel Mailing Labels 1 White 30 labels per Sheet 12-Sheets,6.39,Use the BIC Print and Peel Mailing Labels to create and print your own labels. The labels are easy to print easy to peel and easy to stick. The BIC Print and Peel Mailing Labels are ideal for school home or office use.,BWL3012-WHI,0.37,12.6 x 9.3 x 0.3 inches
1280,,Five Star 1-Subject Wirebound Wide Rule Trend Notebook Teal 5 pack,9.5,,,1.042,
1281,ROLODEX,Rolodex Wood Tone Desk Pad Mahogany 24 x 19,37.94,The Rolodex Wood Tone Desk Pad is designed with soft curves to create a sleek European look of elegance on any desktop. The nonskid pads both protect furniture and retain a sturdy grip to the desk. It provides a smooth writing surface helping to maintain a clean and professional look on your documents. It also protects against daily wear and tear so your desk continues to look great. Comes with a solid wood pencil ledge and felt backing.,23390,3.25,
1282,Generic,Micro Plastics 8  Black Cable Ties 100pk,0.0,Keep your wires tidy secure and out of sight with Micro Plastics 8  Black Cable Ties.,43225001094,,12.187 x 5.5 x 0.875 inches
1283,D-Link,D-Link Systems PowerLine AV 4-Port Switch Starter Kit DHP-347AV,112.0,The PowerLine AV 4-Port Switch Starter Kit uses electrical wiring already in your house to provide fast reliable speed up to 200Mbps to any room in the house. Simply connect the PowerLine AV Adapter into an existing outlet and your network router then plug the PowerLine AV 4-Port Switch into any other room in your house to get instant shared network connections. Press the security button on each device to sync up with the other to establish a safe secure connection. With 4 Ports you can connect more devices per room and get blazing speeds for HD movies and more.,DHP-347AV,1.95,10.9 x 8.2 x 3.9 inches
1284,Sakar,iConcepts Flat Panel Speaker System,14.14,The iConcepts Flat Panel Speaker System is perfect for computers digital audio devices and much more.,79733NS,2.0,9.25 x 8.75 x 3.6 inches
1285,V7,V7 25 CAT6 Snagless Molded Network Patch Cable Red,9.76,V7 s CAT6 Snagless Molded Network Patch Cable features more stringent specifications for reducing cross talk and system noise. It maximizes your Local Area Network LAN speed and is perfect for higher bandwidth applications such as VoIP or video applications.,V7N2C6-25F-REDS,0.3,10.0 x 8.0 x 1.0 inches
1286,,PaperPro Compact Stapler 15 Sheet Capacity Black Gray,11.47,Staple with less effort Patented one finger spring-powered stapling in a compact design. Ergonomic styling with non-slip rubberized handle and base. Stands vertically and horizontally. Drop in loading with half strip capacity 105 staples .,1510,0.462,
1287,Mayline,Mayline Brighton Series Suspended Box File Pedestal Cherry,229.0,The Mayline Brighton Series Suspended Box File Pedestal gives you understated elegance classic lines and functional beauty. Low-pressure laminate surfaces are exceptionally durable and scratch-resistant. PVC edge banding protects against bumps and collisions. Locking drawers operate on full-extension ball bearing suspensions and the file drawer accommodates both letter and legal size hanging files.,BTBF20LCR,59.0,20.0 x 19.5 x 15.75 inches
1288,Quartet,Quartet Tack   Write Monthly Calendar Board Black,31.5,Convenient and affordable the Quartet Tack   Write Monthly Calendar Board is ideal for personal environments. Display important deadlines in the generous date entry area and note section. Use the tackable areas for pinning notes and reminders. The dry-erase writing surface has modern graphics and resists stains and ghosting. With the flexible mounting system you can attach it to regular or fabric-covered walls.,CT1711,1.0,
1289,Avery,Avery 1  Heavy Duty Binder with EZD Ring Maroon,5.37,The Avery 1  Heavy Duty Binder hold up to 50 percent more than other same size round rings.,79369,0.884,11.75 x 10.25 x 1.751 inches
1290,TOPS BUSINESS FORMS,TOPS Perforated Pads 50 Sheet Pads Dozen,16.94,Take note with TOPS The Legal Pad Ruled Perforated Pads. These economical pads provide an excellent place to record anything you find noteworthy. Letr-Trim perforations make it easy to tear off individual sheets. Sturdy chipboard backing gives you a good writing surface.,7572,6.756,
1291,Link Depot,Link Depot 14 Ethernet Enhanced CAT6 Networking Cable Yellow,3.98,The Link Depot 14 Ethernet Enhanced CAT6 Networking Cable is a fast and dependable Ethernet connection solution.,C6M-14-YLB,1.55,12.0 x 7.5 x 1.0 inches
1292,Peerless,Peerless Slimline Universal Ultra Slim Tilt Mount for 22 to 40 Ultra Thin Screens Weighing Up to 60 lb,143.99,,,4.0,9.35 x 8.75 x 0.68 inches
1293,National Products Ltd.,National Brand Heavyweight Reinforced 11  Filler Paper 100 Sheets,7.47,Stay organized with National Brand Heavyweight Reinforced College Rule 11  Filler Paper. this 20-lb paper features pre-punched holes for use in standard ring binders.,20122,1.041,
1294,Avery,Avery Dot Matrix Printer Address Labels 1 Across 3-1 2 x 1-7 16 White 5000 Box,31.69,Keep mailings neat and professional with Avery Dot Matrix Printer Address Labels. These bright white labels allow for sharper print quality. Each label features a rough texture backing for minimal slippage while printing. Avery Dot Matrix Printer Address Labels are perfect for professional mailings shipping bar-coding and organizing.,4020,4.1,
1295,Avery,Avery Shipping Labels with TrueBlock Technology 8-1 2 x 11 White 25 Pack,11.94,These shipping labels are the ultimate in label convenience. The TrueBlock technology allows you to reuse envelopes and boxes. They are quick drying and smudge resistant.,8165,0.732,
1296,D-Link,D-Link DIR-412 Mobile Broadband Wireless Router,119.99,The D-Link DIR-412 Mobile Broadband Wireless Router can be installed quickly and easily almost anywhere. Simply insert a compatible mobile broadband USB adapter into the unit and you can share your Internet connection through a secure high-speed wireless network. Great for situations where an impromptu wireless network must be set up the DIR-412 Mobile Broadband Wireless Router is your portable Wi-Fi solution.,DIR412,1.04,8.86 x 5.91 x 2.95 inches
1297,Da-Lite,Da-Lite Da-Glas Unframed Rear Projection Screen - 57 3 4 x 77 Video Format,1609.99,,27604,366.0,
1298,V7,V7 4GB SD Card Class 6 High Capacity SDHC 4 GB,7.98,With the V7 SDHC Memory Card Class 6 you can capture every valuable photo moment without jerkiness or dropped frames enjoying a smooth shooting experience.,VASDH4GCL6R-1N,0.05,4.25 x 4.0 x 0.01 inches
1299,Lenovo,Lenovo ThinkPad X60 Tablet Digitizer Pen Tether 3pk,13.67,Keep up with your digitizer pen with the Lenovo ThinkPad X60 Tablet Digitizer Pen Tether. This tablet tether keeps your digitizer pen connected to your X200 or X60 series tablet laptop. The Lenovo ThinkPad X60 Tablet Digitizer Pen Tether comes in a handy three-pack.,41U4820,0.2,9.6 x 5.8 x 2.2 inches
1300,Sony,Sony H Series NP-FH50 Actiforce InfoLithium Battery Hybrid,38.0,Stretch your Handycam camcorder recording times with the Sony H Series NP-FH50 Actiforce InfoLithium Battery Hybrid. Increase recording time and enjoy exceptional battery performance with minimal charging. The Sony H Series NP-FH50 Actiforce InfoLithium Battery Hybrid is compatible with most Handycam camcorders.,NPFH50,0.9,8.75 x 4.0 x 0.5 inches
1301,,Advantus Grip-A-Strip Display Rail 96  High Aluminum Finish,41.99,Display papers and more with the Advantus Grip-A-Strip Display Rail. This display rail holds up to 24 sheets of paper with a patented roller system. The Advantus Grip-A-Strip Display Rail is a streamlined alternative to bulletin boards. Just push papers into the Grip-A-Strip and they stay put. Lift up and out to remove. This display rail will not damage artwork.,2015,2.5,
1302,Vivitar,Vivitar 50-in-1 Card Reader Writer,11.98,Eliminate the clutter of multiple card readers with the Vivitar 50-in-1 Memory Card Reader Writer. With five slots that support 50 memory cards you can access your data from multiple devices that use different cards. Its compact size makes it perfect for people on the go.,VIV-RW-50,0.84,5.25 x 4.5 x 1.5 inches
1303,iHome,iHOME Rechargeable Collapsible Portable Mini Multimedia Speakers Silver,47.55,Listen to your music with the iHOME Rechargeable Collapsible Portable Mini Multimedia Speakers. These speakers let you play music from your MP3 player without headphones or boost the sound from your laptop or netbook.,IHM79SC,3.7,6.5 x 5.25 x 3.0 inches
1304,Tribeca,Tribeca Chicago Bears 13  Sleeve for MacBooks,29.98,Tribeca s Chicago Bears Sleeve fits MacBooks and other 13  laptops. Protect your laptop and show your team spirit with this neoprene sleeve.,FVA2777,0.7,14.0 x 12.4 x 1.13 inches
1305,Tribeca,Tribeca Varsity Jacket Hard Shell Case for iPod Touch Dallas Cowboys,18.54,Protect your iPod Touch and show your team spirit with the Varsity Jacket Hard Shell Case from Tribeca. Designed to fit your 4th Generation iPod Touch this rugged hard shell case protects your device while still allowing easy access to its ports and controls. Enhance your favorite media player with a case that features your favorite team. Garb your iPod Touch with the Tribeca Varsity Jacket Hard Shell Case.,FVA3767,0.9,7.75 x 4.0 x 0.75 inches
1306,Allsop,Allsop Clingo Universal Hands Free Mount,34.99,The safest place for your phone when you re in the car is in the glove box turned off. But since we all know that s probably not what you re going to do with it it makes sense to put it someplace where it s securely held and in plain sight. That s where the Universal Hands Free Mount by Clingo comes in.,30272,0.45,8.2 x 4.9 x 3.3 inches
1307,,Mead Spiral Bound Wide Rule Notebook - 100 sheets 4 pack,7.0,Stay organized with with this Spiral Bound Notebook from Mead. This notebook is perfect for keeping notes for class work or personal projects.,,0.74,
1308,General Electric,GE Receptacle with Safety Shutters White,0.0,With electrical work safety is always rule number one. This GE Receptacle features Safety Shutters to help keep your home safe.,54263,,4.2 x 1.8 x 1.09 inches
1309,General Electric,GE 100pk Neon Cable Ties Assorted Colors,0.0,These GE Neon Cable Ties are great assets to have around the home or work site. The neon colors make them easy to color-code.,18171,,4.48 x 2.55 x 1.03 inches
1310,EDGE,EDGE 256MB 1X256MB PC2100 NONECC UNBUFFERED 184 PIN DDR DIMM,11.88,All RAM modules from EDGE are backed by a Lifetime Warranty and each is individually tested to ensure highest product quality and reliability. If your memory module ever fails to work perfectly due to defects in materials or workmanship EDGE will repair or replace it at no charge.,PE158842,0.25,9.0 x 6.0 x 3.0 inches
1311,Kensington,KENSINGTON                                         Contour Roller Notebook Case Nylon 17-1 2 x 9-1 2 x 13 Black,122.29,,KMW62348,10.95,17.5 x 13.0 x 9.5 inches
1312,Kingston,Kingston 1GB DDR PC-3200 400MHz DDR 184 Pin Desktop Memory Module,50.92,Add more PC-3200 SDRAM to your desktop PC with the Kingston 1GB DDR PC-3200 400MHz DDR 184-Pin Desktop Memory Module. This unbuffered DIMM that features a non-error correction code design. Plus the Kingston 1GB DDR PC-3200 400MHz DDR 184-Pin Desktop Memory Module is 100-percent tested and feature gold-plated contact fingers.,KVR400X64C3A1G,0.1,6.75 x 2.25 x 0.5 inches
1313,Philips,Philips USA 2 Silicone Cases for iPhone 4 Black White,16.88,The Philips USA 2 Silicone Cases for iPhone lets you keep it fresh with a choice of different color silicone cases.,DLM4313/17,1.0,2.5 x 1.5 x 0.5 inches
1314,Koss,Koss Earbud Stereophone,30.29,,ISPARK,0.15,6.5 x 5.0 x 1.75 inches
1315,SAMSILL CORPORATION,SAMSILL CORPORATION                                Microsoft Ladies Laptop Tote 15-1 2 x 6-1 4 x 13-1 4 Black Tan,80.29,,SAM39403,3.6667,15.5 x 13.25 x 6.25 inches
1316,Optoma,Optoma BL-FP230C Replacement Projector Lamp for Optoma EP749 Projector,294.84,Lamp Life 2000 Hour                             Fits EP749 TX800 DX205,BL-FP230C,0.56,6.25 x 6.25 x 5.0 inches
1317,Case Logic,Case Logic 208 Capacity Nylon CD DVD Wallet,19.99,,87974,2.04,13.25 x 12.0 x 2.75 inches
1318,Tenba,Tenba Mixx Shoulder Bag  Large,85.99,,136902,1.8,10.5 x 9.5 x 8.5 inches
1319,Middle Atlantic,Middle Atlantic Long 20 Outlet Single 20 Amp Circuit Thin Power Strip with Cord,188.99,,PDT-2020C-NS,7.0,
1320,Belkin,Belkin F8E262-BLK WaveRest Series Gel Mouse Pad,14.88,Belkin s F8E262-BLK WaveRest Series Gel Mouse Pad offers ergo support for your wrists with its patented Wave design. The gel cushion creates a GelFlex Comfort Zone that contours to your wrist s natural curves and movements and helps reduce hand and wrist stress that can lead to Repetitive Motion Disorders.,F8E262-BLK,0.44,10.8 x 8.1 x 2.25 inches
1321,Kingston,Kingston M25664F50 2GB DDR2-667 200-pin SO DIMM SDRAM Laptop Memory Module,38.92,All Kingston memory modules must perform properly to ensure maximum performance. Therefore Kingston has developed an industry leading quality process to ensure that Kingston memory delivers superior quality performance and 100 compatibility with the computing system.,M25664F50,0.1,5.76 x 3.06 x 0.45 inches
1322,Fellowes,Fellowes 91441 Gel Crystal Mouse Pad with Wrist Rest,14.88,Ergonomic pad conforms to the wrist for all-day comfort and provides soothing support while redistributing pressure points. Stain resistant wipes clean with a damp cloth. Non-skid rubber backing keeps pad in place.,91441,0.8,8.91 x 4.77 x 0.27 inches
1323,Mutant,Mutant MIG-PS1-4 Media Yo Yo Amplified Speaker Green,14.88,The Mutant MIG-PS1-4 Media Yo Yo Amplified Speaker is the perfect portable companion for any portable audio player. It even makes a great speaker for your laptop. It s so easy to keep at your side you ll be playing your music everywhere you go.,MIG-PS1-4,1.0,5.0 x 4.0 x 2.0 inches
1324,Verbatim,Verbatim 500GB CLLN USB Portable Hard Drive 97060,77.84,The ultimate in ease style and portability   Verbatim CLN hard drive is mega capacity and speed and is about as big as a smartphone. The black scuff resistant surface travels well and slips easily into your pocket or briefcase. Available in 250GB 320GB and 500GB CLN stores everything from vital business data to tunes to photos. CLN is powered by a USB cable and features a data transfer rate of 480Mb s. For extra security Nero BackItUp software can be scheduled to perform automatic backups and for maximum security password protection is available.,97060,0.7,7.0 x 5.6 x 1.9 inches
1325,Kensington,Kensington ProFit Wired Full Size Mouse,19.88,Comfort and reliability are critical in any office environment and the Kensington Pro Fit USB PS2 Wired Full-Size Mouse delivers both. The full-sized right-handed design feels great in your hand while the wired plug-and-play connectivity delivers high reliability and zero setup.,K72343US,0.9,11.0 x 10.0 x 1.5 inches
1326,COBRA,Cobra 15-Band Digital Radar Laser Detector,135.25,The XRS 9645 provides total protection and peace of mind with Xtreme Range Superheterodyne Technology detecting all 15 radar laser bands with its super-fast lock-on detection circuitry. The unit provides extra detection range and the best possible advance warning to even the fastest of POP mode radar guns. Other features include DigiView Text Display an 8-point electronic compass and much more.,XRS-9645,1.1,4.9 x 3.2 x 1.5 inches
1327,Skooba Design,Skooba Design 12 Wrap in Black,18.99,,890-312,1.0,12.0 x 12.0 x 0.125 inches
1328,Draper,Draper Matte White Baronet Electric Screen - AV Format 60 x 60,423.8,,129002,24.0,
1329,Draper,Draper M1300 Premier Electric Screen  - AV Format 12 x 12,2436.45,,101180,111.0,
1330,Draper,Draper High Contrast Grey Signature Series E Electric Screen  - AV Format 7 x 9,2332.95,,111534,165.0,
