id,title,time,director,year,star,cost
2968,"Hobbit, The: Battle of Five Armies Extended Edition with Figurine [Bluray + Ultra-Violet ] (Amazon Exclusive) [Blu-ray] ",,Peter Jackson,2015,Ian McKellen,$54.89 
2969,How to Marry a Millionaire    ,"1 hour, 36 minutes",Jean Negulesco,1953,"Betty Grable, Marilyn Monroe","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2970,No Boundaries    ,"1 hour, 41 minutes",Violet Mendoza,2009,"Mark McGraw, Dani Garza","Buy SD $9.99,"
2971,The Sign of the Beaver    ,"1 hour, 32 minutes",Sheldon Larry,2006,"Keith Carradine, Annette O'Toole","Buy SD $4.99,"
2972,Blade Runner (30th Anniversary Collector's Edition) [Blu-ray] , 117 minutes ,Ridley Scott,2012,Harrison Ford,$13.89 
2973,Leather    ,"1 hour, 37 minutes",Patrick McGuinn,2013,"Chris Graham,Andrew Glaszek","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
2974,Captain Phillips    ,"2 hours, 15 minutes",Paul Greengrass,2013,"Tom Hanks, Catherine Keener","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
2975,Antares (English Subtitled)   ,"1 hour, 55 minutes",Götz Spielmann,2004,"Petra Morzé, Andreas Patton","Buy SD $9.99,"
2976,The Quiet Man    ,"2 hours, 10 minutes",John Ford,1952,"John Wayne, Maureen O'Hara","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2977,Misogynist    ,"1 hour, 16 minutes",Michael Matteo Rossi,2015,"Jonathan Bennett, Eve Mauro","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $5.99,"
2978,The D Train    ,"1 hour, 42 minutes",Andrew Mogel,2015,"Jack Black, James Marsden","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
2979,One Night (English Subtitled)   ,23 minutes,Josephine Adams,2012,"Line Billa Ljøstad, Julie Marie Lindvik","Buy SD $1.99,"
2980,The Courage to Love    ,"1 hour, 28 minutes",Kari Skogland,2000,"Vanessa Williams, Gil Bellows","Buy SD $4.99,"
2981,Star Trek (2009)    ,"2 hours, 7 minutes",J.J. Abrams,2009,"Chris Pine, Zachary Quinto","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
2982,"The Life (aka ""Whore"")    ","1 hour, 17 minutes",María Lidón,2004,"Daryl Hannah, Denise Richards","Buy SD $9.99,"
2983,Kid Cannabis (Watch Now While it's in Theaters)    ,"1 hour, 50 minutes",John Stockwell,2014,"Jonathan Daniel Brown, Kenny Wormald","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
2984,The Godfather    ,"2 hours, 58 minutes",Francis Ford Coppola,1972,"Marlon Brando, Al Pacino","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
2985,The Orphanage   ,"1 hour, 46 minutes",J.A. Bayona,2007,"Belén Rueda, Fernando Cayo","Rent SD $2.99,Buy SD $9.99,"
2986,The Maid    ,"1 hour, 40 minutes",Paul Emmanuel,2014,"Claire Kahane, Ryan Cerenko","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $6.99,"
2987,Sherlock Holmes and the Shadow Watchers    ,"1 hour, 1 minute",Anthony D.P. Mann,2014,"Ian Brannan, Richard Cairns","Rent SD $3.99,Buy SD $9.99,"
2988,Clement (English Subtitled)   ,"2 hours, 1 minute",Emmanuelle Bercot,2003,"Olivier Guéritée, Emmanuelle Bercot","Buy SD $9.99,"
2989,Hyena    ,"1 hour, 53 minutes",Gerard Johnson,2015,"Peter Ferdinando, Stephen Graham","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
2990,Paul The Apostle    ,"2 hours, 25 minutes",Roger Young,2013,"Johannes Brandrup, Thomas Lockyer","Rent SD $2.99,Buy SD $7.99,"
2991,A Sister's Kiss (English Subtitled)   ,49 minutes,Dmitry Gribanoff,2007,"Nadya Emelina,Sergey Fedorov","Rent SD $1.99,Buy HD $12.99,Buy SD $9.99,"
2992,Shelter    ,"1 hour, 32 minutes",Adam Caudill,2015,"Joyce Hshieh,Michael Lane","Rent HD $2.99,Rent SD $1.99,Buy HD $5.99,Buy SD $4.99,"
2993,Secret Confessions (English Subtitled)   ,"1 hour, 56 minutes",Park Chang-jin,2013,"Jang Sung-won,Oh In-hye","Rent SD $2.99,Buy HD $12.99,Buy SD $11.99,"
2994,Elena Undone    ,"1 hour, 51 minutes",Nicole Conn,2013,"Necar Zadegan, Traci Dinwiddie","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
2995,Singin' in the Rain , 103 minutes ,Gene Kelly,2012,Gene Kelly,$7.20 
2996,The Cabin In The Woods    ,"1 hour, 36 minutes",Drew Goddard,2012,"Kristen Connolly, Chris Hemsworth","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
2997,Cowboy Bebop: The Complete Series [Blu-ray] , 650 minutes ,Shinchiro Watanabe,2014,Wendee Lee,$47.10 
2998,Temptress   ,"1 hour, 55 minutes",Yevgeni Pashkevich,2012,"Olga Shepitskaya, Rezija Kalnina","Buy SD $9.99,"
2999,McLintock!    ,"2 hours, 5 minutes",Andrew V. McLaglen,1963,"John Wayne, Maureen O'Hara",
3000,Proud    ,"1 hour, 27 minutes",Mary Pat Kelly,2006,"Reggie Austin, Vernel Bagneris","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3001,Captain America: The First Avenger (Two-Disc Blu-ray/DVD Combo + Digital Copy) , 123 minutes ,Joe Johnston,2013,Chris Evans,$19.99 
3002,Tombstone , 130 minutes ,George P. Cosmatos,1997,Kurt Russell,$6.76 
3003,Nebraska    ,"1 hour, 55 minutes",Alexander Payne,2013,"Bruce Dern, Will Forte","Buy HD $14.99,Buy SD $12.99,"
3004,Table 47    ,"1 hour, 40 minutes",Jeff Kingery,2015,"Michael Haskins,Danielle Prall","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
3005,The Gathering Storm    ,"1 hour, 36 minutes",Richard Loncraine,2002,"Albert Finney, Vanessa Redgrave","Buy HD $9.99,Buy SD $7.99,"
3006,The Purge    ,"1 hour, 26 minutes",James DeMonaco,2013,"Ethan Hawke, Lena Headey","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $8.99,"
3007,Fury [Blu-ray] , 134 minutes ,David Ayer,2015,Brad Pitt,$14.99 
3008,9 Full Moons    ,"1 hour, 43 minutes",Tomer Almagor,2014,"Amy Seimetz, Bret Roberts","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $4.99,"
3009,Dark Passage    ,"1 hour, 47 minutes",Delmer Daves,1947,"Humphrey Bogart, Lauren Bacall","Rent HD $2.99,Rent SD $2.00,Buy HD $17.99,Buy SD $9.99,"
3010,Under the Mistletoe    ,"1 hour, 32 minutes",George Mendeluk,2009,"Jaime Ray Newman, Michael Shanks","Buy SD $9.99,"
3011,Veronica (English Subtitled)   ,"1 hour, 32 minutes",Marcelo Gomes,2012,"Maeve Jinkings, Hermila Guedes","Rent SD $3.99,Buy HD $10.99,Buy SD $9.99,"
3012,Hiding Victoria    ,"1 hour, 38 minutes",Dan Chinander,2007,"Anita Gillette, Margo Harshman","Buy SD $9.99,"
3013,R100    ,"1 hour, 40 minutes",Hitoshi Matsumoto,2013,"Mao Daichi, Lindsay Kay Hayward","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3014,12 Angry Men (1997)    ,"1 hour, 58 minutes",William Friedkin,1997,"Courtney B. Vance, Ossie Davis","Rent SD $2.99,Buy SD $9.99,"
3015,World's Greatest Dad    ,"1 hour, 40 minutes",Bobcat Goldthwait,2009,"Robin Williams, Daryl Sabara","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3016,Man of Steel,"2 hours, 23 minutes",Zack Snyder,2013,"Henry Cavill, Amy Adams","Buy HD $12.99,Buy SD $9.99,"
3017,Starred Up    ,"1 hour, 46 minutes",David Mackenzie,2014,"Jack O'Connell, Gilly Gilchrist","Rent HD $3.99,Rent SD $2.99,"
3018,Ek Bindaas Aunty (English Subtitled)   ,"1 hour, 33 minutes",Swati Verma,2015,"Swati Verma,Tilak","Rent SD $2.00,Buy HD $4.00,Buy SD $3.00,"
3019,Sherrybaby    ,"1 hour, 36 minutes",Laurie Collyer,2006,"Maggie Gyllenhaal, Michelle Hurst","Rent SD $1.99,Buy HD $10.99,Buy SD $3.99,"
3020,Mrs. Palfrey at the Claremont    ,"1 hour, 48 minutes",Dan Ireland,2011,"Joan Plowright, Rupert Friend","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3021,Sweeney Todd: The Demon Barber Of Fleet Street (2007) (BD) [Blu-ray] , 117 minutes ,Tim Burton,2008,Johnny Depp,$4.99 
3022,Civil Love    ,"1 hour, 31 minutes",Bryan Carzan,2012,"Matthew Bellows, Bryce Bishop","Rent HD $4.99,Rent SD $3.99,Buy HD $7.99,Buy SD $4.99,"
3023,Whisky- The Islay Edition    ,"1 hour, 0 minutes",Juan Pablo Rebella,2010,"Andrés Pazos, Mirella Pascual","Buy SD $9.99,"
3024,7 Ans (English Subtitled)   ,"1 hour, 18 minutes",Jean-Pascal Hattu,2007,"Valérie Donzelli, Cyril Troley","Buy SD $9.99,"
3025,Jersey Girl    ,"1 hour, 43 minutes",Kevin Smith,2004,"Betty Aberlin, Matt McFarland","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
3026,B.E.D (English Subtitled) (English Subtitled)   ,"1 hour, 30 minutes",Oskar Reif,2013,"Antonie Fischerova, Jana Hruskova","Buy SD $7.99,"
3027,Lawrence Of Arabia    ,"3 hours, 48 minutes",David Lean,1989,"Peter O'Toole, Alec Guinness","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3028,The Notebook (2004)    ,"2 hours, 4 minutes",Nick Cassavetes,2004,"Tim Ivey, Gena Rowlands","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3029,Amorous   ,"1 hour, 24 minutes",Joanna Coates,2015,"Josh O'Connor,Hannah Arterton","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3030,The Best Exotic Marigold Hotel    ,"2 hours, 4 minutes",John Madden,2012,"Judi Dench, Tom Wilkinson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3031,After Sex (English Subtitled)   ,"1 hour, 33 minutes",Brigitte Roüan,1998,"Brigitte Roüan, Patrick Chesnais","Buy SD $9.99,"
3032,Trainspotting - Collector's Edition    ,"1 hour, 34 minutes",Danny Boyle,1996,"Ewan McGregor, Ewen Bremner","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
3033,Small Town Murder Songs    ,"1 hour, 16 minutes",Ed Gass-Donnelly,2010,"Jill Hennessy, Amy Rutherford","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3034,The Extraordinary Tale of William Buckley    ,53 minutes,Malcolm Mcdonald,2015,"Michael Cathcart, Jean-Marc Russ","Rent SD $1.99,Buy HD $7.99,Buy SD $6.99,"
3035,Love & Mercy - DVD + Digital , 103 minutes ,Bill Pohlad,2015,Elizabeth Banks,$11.79 
3036,The Bourne Legacy    ,"2 hours, 16 minutes",Tony Gilroy,2012,"Jeremy Renner, Scott Glenn","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3037,Confessions of a Dangerous Mind    ,"1 hour, 54 minutes",George Clooney,2003,"Dick Clark, Sam Rockwell",
3038,Experimenter    ,"1 hour, 39 minutes",Michael Almereyda,2015,"Peter Sarsgaard,Winona Ryder","Rent HD $6.99,Rent SD $6.99,"
3039,Augustus Part I    ,"1 hour, 30 minutes",Roger Young,2003,"Peter O'Toole,Charlotte Rampling","Buy SD $9.99,"
3040,Testament of Youth , 130 minutes ,James Kent,2015,Miranda Richardson,$22.83 
3041,24: Redemption    ,"1 hour, 43 minutes",Jon Cassar,2008,"Kiefer Sutherland, Cherry Jones","Buy HD $14.99,Buy SD $9.99,"
3042,Warm Water Under a Red Bridge (English Subtitled)   ,"1 hour, 51 minutes",Shôhei Imamura,2001,"Kôji Yakusho, Misa Shimizu","Buy SD $9.99,"
3043,Practical Magic (1998)    ,"1 hour, 45 minutes",Griffin Dunne,1998,"Sandra Bullock, Nicole Kidman","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $6.99,"
3044,Saving Mr. Banks    ,"2 hours, 6 minutes",John Lee Hancock,2013,"Emma Thompson, Tom Hanks","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
3045,The Secret Life of Walter Mitty    ,"1 hour, 55 minutes",Ben Stiller,2013,"Ben Stiller, Kristen Wiig","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $14.99,"
3046,Cantinflas (English Subtitled)   ,"1 hour, 43 minutes",Sebastian del Amo,2014,"Adal Ramones, Adrian Herrera","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $12.99,"
3047,Gone with the Wind (Two Disc 70th Anniversary Edition) , 233 minutes ,Victor Fleming,2009,Clark Gable,$14.25 
3048,Oranges and Sunshine    ,"1 hour, 47 minutes",Jim Loach,2011,"Emily Watson, Aisling Loftus","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3049,Stuck!    ,"1 hour, 34 minutes",Steve Balderson,2011,"Karen Black, Jane Wiedlin","Buy SD $14.99,"
3050,Basil    ,"1 hour, 39 minutes",Radha Bharadwaj,1998,"Christian Slater, Jared Leto","Buy SD $9.99,"
3051,Summer in February    ,"1 hour, 41 minutes",Christopher Menaul,2014,"Dominic Cooper, Dan Stevens","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3052,Trick 'r Treat [Blu-ray] , 82 minutes ,Michael Dougherty,2009,Quinn Lord,$9.69 
3053,The Hunger Games (2-Disc DVD + Digital Copy) , 142 minutes ,Gary Ross,2012,Jennifer Lawrence,$6.75 
3054,Nick of Time    ,"1 hour, 29 minutes",John Badham,1995,"Johnny Depp, Courtney Chase","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3055,Electra Love 2000    ,"1 hour, 36 minutes",Jay Raskin,1991,"Robin O'Dell,Gregory Pitts","Buy SD $9.99,"
3056,Soaked In Bleach    ,"1 hour, 30 minutes",Benjamin Statler,2015,"Daniel Roebuck,Sarah Scott","Rent HD $3.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3057,Scary Movie 3.5    ,"1 hour, 26 minutes",David Zucker,2005,"Pamela Anderson, Jenny McCarthy","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $6.99,"
3058,Lone Survivor    ,"2 hours, 2 minutes",Peter Berg,2013,"Mark Wahlberg, Taylor Kitsch","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3059,Pay the Ghost    ,"1 hour, 35 minutes",Uli Edel,2015,"Nicolas Cage,Sarah Wayne Callies","Rent HD $4.99,Rent SD $3.99,Buy HD $13.99,Buy SD $13.99,"
3060,The Help    ,"2 hours, 27 minutes",Tate Taylor,2011,"Emma Stone, Viola Davis","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $12.99,"
3061,Still Mine    ,"1 hour, 44 minutes",Michael McGowan,2013,"James Cromwell, Chuck Shamata","Buy HD $12.99,Buy SD $14.99,"
3062,90 Minutes in Heaven (DVD) , 122 minutes ,Michael Polish,2015,,$15.43 
3063,The Professional Cinema Series (Blu-ray + UltraViolet + Limited Edition Clear Case Packaging) , 242 minutes ,Luc Besson,2015,Danny Aiello,$31.30 
3064,Coin (English Subtitled)   ,35 minutes,Jay Song,2009,"Choi Kyu-hwan,Lee Min-a","Buy SD $6.99,"
3065,Susie's Hope    ,"1 hour, 45 minutes",Jerry Rees,2014,"Emmanuelle Vaugier, Burgess Jenkins","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3066,Chocolat    ,"2 hours, 2 minutes",Lasse Hallström,2001,"Alfred Molina, Carrie-Anne Moss","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
3067,The Girl Who Played With Fire: Extended Edition (English Subtitled)    ,"3 hours, 7 minutes",Daniel Alfredson,2011,"Noomi Rapace, Michael Nyqvist","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3068,Monsters    ,"1 hour, 34 minutes",Gareth Edwards,2010,"Scoot McNairy, Whitney Able","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
3069,The Cake Eaters    ,"1 hour, 26 minutes",Mary Stuart Masterson,2007,"Elizabeth Ashley, Jayce Bartok","Rent SD $2.00,Buy HD $14.99,Buy SD $4.99,"
3070,Runoff    ,"1 hour, 30 minutes",Kimberly Levin,2015,"Joanne Kelly,Neal Huff","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3071,The Case of Unfaithful Klara    ,"1 hour, 29 minutes",Roberto Faenza,2009,"Claudio Santamaria, Iain Glen","Buy SD $9.99,"
3072,House on Haunted Hill    ,"1 hour, 15 minutes",William Castle,1959,"Vincent Price, Carol Ohmart","Buy SD $9.99,"
3073,Fetish    ,"1 hour, 28 minutes",Soopum Sohn,2010,"Hye-kyo Song, Arno Frisch","Buy SD $6.99,"
3074,Fifty Shades of Grey , 126 minutes ,Sam Taylor-Johnson,2015,Dakota Johnson,$11.00 
3075,True Story    ,"1 hour, 40 minutes",Rupert Goold,2015,"Jonah Hill, James Franco","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $14.99,"
3076,Walk in the Woods , 105 minutes ,Ken Kwapis,2015,Robert Redford,$12.96 
3077,Hundred-Foot Journey , 122 minutes ,Lasse Hallström,2014,Helen Mirren,$11.99 
3078,Insidious: Chapter 3 (Blu-ray + Ultraviolet) , 97 minutes ,Leigh Whannell,2015,Stefanie Scott,$19.90 
3079,Texas Chain Saw Massacre: 40th Anniversary Black Maria [Blu-ray] , 83 minutes ,Tobe Hooper,2014,William Vail,$39.99 
3080,Wild    ,"1 hour, 56 minutes",Jean-Marc Vallée,2014,"Reese Witherspoon, Laura Dern","Buy HD $12.99,Buy SD $14.99,"
3081,Beside Still Waters    ,"1 hour, 18 minutes",Chris Lowell,2014,"Beck Bennett, Will Brill","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
3082,The Way We Were    ,"1 hour, 59 minutes",Sydney Pollack,1973,"Barbra Streisand, Robert Redford","Rent HD $3.99,Rent SD $2.99,Buy HD $7.88,Buy SD $5.00,"
3083,A New York Love Story    ,"1 hour, 16 minutes",Apolla Echino,2015,"Richard Short, Apolla Echino","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
3084,Captain Phillips    ,"2 hours, 15 minutes",Paul Greengrass,2013,"Tom Hanks, Catherine Keener","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3085,The Cokeville Miracle , 94 minutes ,T.C. Christensen,2015,Jasen Wade,$14.99 
3086,The Sound of Music    ,"3 hours, 45 minutes",Robert Wise,1965,"Julie Andrews, Christopher Plummer","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
3087,Amelie (English Subtitled)    ,"2 hours, 2 minutes",Jean-Pierre Jeunet,2001,"Audrey Tautou, Mathieu Kassovitz","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $10.99,"
3088,Sling Blade    ,"2 hours, 14 minutes",Billy Bob Thornton,1996,"Billy Bob Thornton, Dwight Yoakam","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $13.99,"
3089,American Psycho    ,"1 hour, 43 minutes",Mary Harron,2000,"Christian Bale, Justin Theroux","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
3090,The Cider House Rules    ,"2 hours, 6 minutes",Lasse Hallström,2000,"Tobey Maguire, Charlize Theron","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
3091,Jerry Maguire    ,"2 hours, 19 minutes",Cameron Crowe,1996,"Tom Cruise, Cuba Gooding Jr.","Buy HD $12.99,Buy SD $9.99,"
3092,The Water Diviner    ,"1 hour, 52 minutes",Russell Crowe,2015,"Russell Crowe, Olga Kurylenko","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
3093,Fireproof , 118 minutes ,Alex Kendrick,2009,Kirk Cameron,$4.99 
3094,Man in the Moon    ,"1 hour, 40 minutes",Robert Mulligan,1991,"Sam Waterston, Tess Harper","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3095,Lies (English Subtitled)   ,53 minutes,Jonathon Reid,2000,"Sang Hyun Lee,Tae Yeon Kim","Buy SD $9.99,"
3096,The Shining , 142 minutes ,Stanley Kubrick,2010,Jack Nicholson,$3.99 
3097,Shall We Dance?    ,"1 hour, 47 minutes",Peter Chelsom,2004,"Richard Gere, Jennifer Lopez","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
3098,Fury    ,"2 hours, 15 minutes",David Ayer,2014,"Brad Pitt, Shia LaBeouf","Buy HD $17.99,Buy SD $13.99,"
3099,The Worst Year of My Life    ,"1 hour, 22 minutes",Jonathan Smith,2015,"Trevor St. John David, Amy Vorpahl","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3100,In The Bedroom    ,"2 hours, 12 minutes",Todd Field,2002,"Tom Wilkinson, Sissy Spacek","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
3101,Primal Fear    ,"2 hours, 11 minutes",Gregory Hoblit,1996,"Richard Gere, Laura Linney","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3102,The Twilight Saga: Breaking Dawn Part 2    ,"1 hour, 56 minutes",Bill Condon,2013,"Kristen Stewart, Robert Pattinson","Buy HD $14.99,Buy SD $13.99,"
3103,Uncommon Valor    ,"1 hour, 45 minutes",Ted Kotcheff,1983,"Gene Hackman, Robert Stack","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3104,To Kill a Mockingbird 50th Anniversary Edition , 130 minutes ,Robert Mulligan,2012,Gregory Peck,$7.50 
3105,True Detective , 480 minutes ,Various,2014,Various,$24.99 
3106,Whiplash    ,"1 hour, 47 minutes",Damien Chazelle,2014,"Miles Teller, J.K. Simmons","Buy HD $14.99,Buy SD $12.99,"
3107,Chloe Likes Olivia (English Subtitled)    ,20 minutes,Mette Kjærgaard,2011,"Mathilde Norholt, Rikke Lylloff","Rent SD $0.99,Buy HD $3.99,Buy SD $2.99,"
3108,The Mummy (1999)    ,"2 hours, 6 minutes",Stephen Sommers,1999,"Brendan Fraser, Rachel Weisz","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
3109,Sweet Home Alabama    ,"1 hour, 49 minutes",Andy Tennant,2002,"Reese Witherspoon, Josh Lucas","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
3110,71,"1 hour, 40 minutes",Yann Demange,2015,"Jack O'Connell, Jack Lowden","Rent HD $5.99,Rent SD $4.99,Buy HD $14.99,Buy SD $12.99,"
3111,Lincoln    ,"2 hours, 30 minutes",Steven Spielberg,2012,"Daniel Day-Lewis, Sally Field","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
3112,Third Star    ,"1 hour, 33 minutes",Hattie Dalton,2012,"Tom Burke, Benedict Cumberbatch","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $4.99,"
3113,Breaking the Taboo: The Truth About the War on Drugs    ,52 minutes,Cosmo Feilding Mellen,2015,Morgan Freeman,"Rent SD $1.49,Buy HD $3.99,Buy SD $2.99,"
3114,Friends With Benefits    ,"1 hour, 50 minutes",Will Gluck,2011,"Justin Timberlake, Mila Kunis","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3115,Into the Wild    ,"2 hours, 29 minutes",Sean Penn,2007,"Emile Hirsch, Marcia Gay Harden","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
3116,Scourge    ,"1 hour, 30 minutes",Jonas Quastel,2008,"Russell Ferrier, Robyn Ledoux","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $6.99,"
3117,Les Miserables (2012)    ,"2 hours, 39 minutes",Tom Hooper,2012,"Hugh Jackman, Russell Crowe","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3118,Sugar    ,"1 hour, 34 minutes",Rotimi Rainwater,2013,"Shenae Grimes-Beech, Marshall Allman","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
3119,Jaws , 124 minutes ,Steven Spielberg,2012,Roy Scheider,$6.94 
3120,The Best of Me    ,"1 hour, 58 minutes",Michael Hoffman,2014,"Michelle Monaghan, James Marsden","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $14.99,"
3121,The Apu Trilogy [Blu-ray] , 341 minutes ,Satyajit Ray,2015,Soumitra Chatterjee,$58.99 
3122,The Phantom of the Opera (Widescreen Edition) , 141 minutes ,Joel Schumacher,2006,Gerard Butler,$5.00 
3123,The Good Student    ,"1 hour, 21 minutes",David Ostry,2006,"Tim Daly, Hayden Panettiere","Rent SD $2.00,Buy HD $14.99,Buy SD $4.99,"
3124,The Room , 99 minutes ,Tommy Wiseau,2005,Tommy Wiseau,$8.99 
3125,How to Be a Serial Killer    ,"1 hour, 32 minutes",Luke Ricci,2009,"Dameon Clarke, Matthew Gray Gubler","Rent SD $2.99,Buy HD $14.99,Buy SD $7.99,"
3126,Midnight Clear    ,"1 hour, 43 minutes",Dallas Jenkins,2007,"Stephen Baldwin, K Callan","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
3127,Argo    ,"2 hours, 1 minute",Ben Affleck,2012,"Ben Affleck, Bryan Cranston","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $6.99,"
3128,The Initiation of Sarah    ,"1 hour, 31 minutes",Stuart Gillard,2006,"Mika Boorem, Summer Glau","Rent SD $2.99,Buy SD $9.99,"
3129,Capturing Mary    ,"1 hour, 45 minutes",Stephen Poliakoff,2009,"Maggie Smith, Ruth Wilson","Buy HD $9.99,Buy SD $7.99,"
3130,Red Cliff (English Subtitled)    ,"2 hours, 28 minutes",John Woo,2008,"Tony Chiu Wai Leung, Takeshi Kaneshiro","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3131,The Town (2010)    ,"2 hours, 5 minutes",Ben Affleck,2010,"Ben Affleck, Rebecca Hall","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3132,Next Door (English Subtitled)   ,22 minutes,Matthew Bradley,2010,"Matthew Bradley, Paul Guilfoyle","Rent SD $0.99,Buy HD $3.99,Buy SD $2.99,"
3133,Hypnotized    ,"1 hour, 42 minutes",In-shik Kim,2001,"Hye-su Kim, Tae-woo Kim",
