Title_A,Authors_A,ISBN_A,Publisher_A,Pages_A,Price_A,Title_B,Authors_B,ISBN_B,Publisher_B,Pages_B,Price_B,Gold
Create Dynamic Web Pages Using PHP and MySQL with Cdrom,David V. Tansley,9780201734027,Pearson Education,9780201734027.0,,Create Dynamic Webpages Using PHP & MySQL (Practical solutions series),David Tansley,9780201734027.0," Addison-Wesley Professional; 1st edition (November 28, 2001)",512.0,,1
Microsoft SQL Server 2012 Reporting Services,Stacia Misner,9780735658202,Microsoft Press,1030.0,$42.77,Microsoft SQL Server 2012 Reporting Services (Developer Reference),Stacia Misner,9780735658202.0," Microsoft Press; 1 edition (April 25, 2013)",1030.0,$41.95,1
Sams Teach Yourself Access 97 in 24 Hours,"Timothy Buchanan,  Craig Eddy,  Rob Newman",9780672310270,Sams,384.0,,Sams Teach Yourself Access 97 in 24 Hours,Timothy Buchanan,9780672310270.0, Sams; 1st edition (April 1997),384.0,,1
Oracle SQL Recipes: A Problem-Solution Approach / Edition 1,"Grant Allen,  Bob Bryla,  Chris Allen,  Darl Kuhn",9781430225096,Apress,576.0,$32.13,Oracle SQL Recipes: A Problem-Solution Approach (Expert's Voice in Oracle),"Grant Allen, Bob Bryla",9781430225096.0," Apress; 2009 edition (November 20, 2009)",300.0,$32.13,1
Informix On-Line Performance Tuning,Liz Suto,9780131243224,Prentice Hall Professional Technical Reference,176.0,,Informix On-Line Performance Tuning (Informix Series),Elizabeth Suto,9780131243224.0, Prentice Hall (November 1994),176.0,,1
Big Data Glossary,Pete Warden,9781449314590,"O'Reilly Media, Incorporated",62.0,$17.15,Big Data Glossary,Pete Warden,9781449314590.0," O'Reilly Media; 1 edition (September 25, 2011)",62.0,$17.33,1
"MySQL, Third Edition / Edition 3",Paul DuBois,9780672326738,Sams,1320.0,$1.99,MySQL (3rd Edition),,9780672326738.0," Sams Publishing; 3 edition (March 8, 2005)",1320.0,$8.95,1
Expert Oracle GoldenGate / Edition 1,"Ben Prusinski,  Steve Phillips,  Shing Chung",9781430235668,Apress,352.0,$64.99,Expert Oracle GoldenGate (Expert's Voice in Oracle),"Ben Prusinski, Steve Phillips",9781430235668.0," Apress; 1 edition (July 13, 2011)",352.0,$64.99,1
Pro SQL Server 2012 Reporting Services,"Brian McDonald,  Shawn McGehee,  Rodney Landrum",9781430238102,Apress,516.0,$40.12,Pro SQL Server 2012 Reporting Services (Expert's Voice in SQL Server),"Brian McDonald, Shawn McGehee, Rodney Landrum",9781430238102.0," Apress; 3 edition (July 31, 2012)",516.0,$39.52,1
High-Performance Oracle: Proven Methods for Achieving Optimum Performance and Availability / Edition 1,"Geoff Ingram,  Ingram",9780471224365,Wiley,720.0,$1.99,High-Performance Oracle: Proven Methods for Achieving Optimum Performance and Availability,Geoff Ingram,9780471224365.0," Wiley; 1 edition (August 30, 2002)",656.0,$1.67,1
DB2 11: The Database for Big Data & Analytics,"Cristian Molaro,  Surekha Parekh,  Terry Purcell,  Julian Stuhler",9781583473856,Mc Press,128.0,$17.95,DB2 11: The Database for Big Data & Analytics,,9781583473856.0," Mc Press (November 22, 2013)",128.0,,1
Professional Microsoft SQL Server 2008 Programming,Robert Vieira,9780470257029,Wiley,936.0,$30.56,Professional Microsoft SQL Server 2008 Programming,Robert Vieira,9780470257029.0," Wrox; 1 edition (April 27, 2009)",936.0,$27.46,1
Beyond Big Data: Using Social MDM to Drive Deep Customer Insight,"Martin Oberhofer,  Eberhard Hechler,  Ivan Milman,  Scott Schumacher",9780133509809,IBM Press,272.0,$30.39,Beyond Big Data: Using Social MDM to Drive Deep Customer Insight (IBM Press),,9780133509809.0," IBM Press; 1 edition (October 27, 2014)",272.0,$30.70,1
Harness the Power of Big Data The IBM Big Data Platform,"Paul Zikopoulos,  Dirk deRoos,  Krishnan Parasuraman,  Thomas Deutsch",9780071808170,McGraw-Hill Professional Publishing,280.0,$13.85,Harness the Power of Big Data The IBM Big Data Platform,Krishnan Parasuraman,9780071808170.0," McGraw-Hill Education; 1 edition (November 8, 2012)",280.0,$13.85,1
MySQL and JSP Web Applications: Data-Driven Programming Using Tomcat and MySQL,James Turner,9780672323096,Sams,9780672323096.0,$44.99,MySQL and JSP Web Applications: Data-Driven Programming Using Tomcat and MySQL,James Turner,9780672323096.0," Sams Publishing; 1 edition (April 6, 2002)",576.0,$44.99,1
Sams Teach Yourself Oracle 8 in 21 Days,"Edward Whalen,  Steve Adrien Deluca,  Ed Whalen",9780672311598,Sams,604.0,,Teach Yourself Oracle8 in 21 Days (Sams Teach Yourself...),Edward Whalen,9780672311598.0, Sams; 1st edition (November 1997),800.0,,1
Hands-On Microsoft SQL Server 2005 Integration Services / Edition 1,Ashwani Nanda,9780072263190,McGraw-Hill Professional Publishing,570.0,$50.35,Hands-On Microsoft SQL Server(TM) 2005 Integration Services,Ashwani Nanda,9780072263190.0," McGraw-Hill Education; 1 edition (September 18, 2006)",570.0,$53.00,1
"Beginning Power BI with Excel 2013: Self-Service Business Intelligence Using Power Pivot, Power View, Power Query, and Power Map",Dan Clark,9781430264453,Apress,324.0,$31.98,"Beginning Power BI with Excel 2013: Self-Service Business Intelligence Using Power Pivot, Power View, Power Query, and Power Map",Dan Clark,9781430264453.0," Apress; 1 edition (September 24, 2014)",324.0,$31.50,1
Access Hacks,"Ken Bluttman,  Bluttman Ken",9780596009243,"O'Reilly Media, Incorporated",352.0,$34.99,Access Hacks: Tips & Tools for Wrangling Your Data,Ken Bluttman,9780596009243.0," O'Reilly Media; 1 edition (April 27, 2005)",352.0,$28.87,1
Paradox Programming,"Patricia A. Hartman,  Cary N. Prague,  James E. Hammitt",9780830635412,McGraw-Hill Professional Publishing,547.0,,Using Oracle,Ted Crooks,9780880225069.0, Que Pub (April 1991),650.0,,0
Multimodal Video Characterization and Summarization / Edition 1,"Michael A. Smith,  Takeo Kanade",9781402074264,Springer US,204.0,$119.33,Practical Data Migration,,9781906124847.0," BCS; 2 edition (September 1, 2012)",268.0,$49.99,0
Building the Customer-Centric Enterprise: Data Warehousing Techniques for Supporting Customer Relationship Management,"Claudia Imhoff,  Lisa Loftis,  Jonathan G. Geiger",9780471319818,Wiley,512.0,,Microsoft Access 2013 Inside Out,Jeff Conrad,9780735671232.0," Microsoft Press; 1 edition (July 25, 2013)",848.0,$35.70,0
Oracle8 Developer's Guide,"Carol McCullough-Dieter,  Carol McCullough Dieter",9780764531972,Wiley,559.0,,"Data Warehousing 2000: Methoden, Anwendungen, Strategien (German Edition)",Reinhard Jung,9783642633263.0," Physica; Softcover reprint of the original 1st ed. 2000 edition (June 23, 2012)",393.0,$69.99,0
OS/2 Database Manager: A Developer's Guide,Howard Fosdick,9780471508038,Wiley,384.0,,"PhoneGap 3, Beginner's Guide, 2nd Edition",,9781782160984.0," Packt Publishing; 2nd New edition edition (September 24, 2013)",308.0,,0
DBMS Lab Manual,Jitendra Patel,2940016135922,eBookIt.com,,$5.99,C Programming Success in a Day & MYSQL Programming Professional Made Easy (Volume 10),Sam Key,9781511589628.0," CreateSpace Independent Publishing Platform (April 3, 2015)",52.0,,0
ASP .NET Programming with C# &amp; SQL Server / Edition 1,"Don Gosselin,  Gosselin",9781423903246,Cengage Learning,672.0,$25.46,Exam 98-369 Cloud Fundamentals,,9781119062868.0," Wiley; 1 edition (November 2, 2015)",192.0,$76.18,0
Up and Running with dBASE III Plus,Robert Cowart,9780895888860,"Wiley, John & Sons, Incorporated",156.0,,Integrating Geographic Information Systems and Agent-Based Modeling Techniques for Simulating Social and Ecological Processes (Santa Fe Institute Studies on the Sciences of Complexity),H. Randy Gimblett,9780195143379.0," Oxford University Press; 1 edition (January 17, 2002)",344.0,$95.00,0
"Information Hiding: Second International Workshop, IH'98, Portland, Oregon, USA, April 14-17, 1998, Proceedings","David Aucsmith,  D. Aucsmith",9783540653868,Springer Berlin Heidelberg,369.0,$99.00,MySQL / PHP Database Applications,"Brad Bulger, Jay Greenspan",9780764549632.0," Wiley; 2 edition (October 31, 2003)",816.0,$18.79,0
Delphi Database Development,"Greg Lief,  John Kastner,  Ted Blue,  Loren Scott",9781558514690,"Holt, Henry & Company, Inc.",984.0,,Powerbuilder: Building Client Server Applications/Book and Disk,Paul Mahler,9780131793002.0, Prentice Hall Ptr; Pap/Dis edition (January 1995),448.0,,0
Oracle Enterprise Manager Cloud Control 12c: Managing Data Center Chaos,Porus Homi Havewala,9781849684781,Packt Publishing,394.0,$64.99,Oracle Financials 101 (Osborne ORACLE Press Series),,9780072126075.0," Mcgraw-Hill Osborne Media; 1st edition (December 6, 2001)",544.0,,0
Multimedia Database Management Systems,Guojun Lu,9780890063422,"Artech House, Incorporated",400.0,$132.00,Everyday Oracle DBA (Osborne ORACLE Press Series),,9780072262087.0," McGraw-Hill Osborne Media; 1 edition (December 23, 2005)",368.0,$23.49,0
Expert Database Systems: A Gentle Introduction,Paul Beynon Davies,9780077072407,"McGraw-Hill Companies, The",186.0,,Business Data Networks and Security (10th Edition),,9780133544015.0," Prentice Hall; 10 edition (September 20, 2014)",480.0,$192.63,0
Sams Teach Yourself Microsoft Access 2000 Programming in 24 Hours,Paul Kimmel,9780672316616,Sams,472.0,,A Guide to Claims-Based Identity and Access Control: Authentication and Authorization for Services and the Web (Microsoft patterns & practices),,9781621140023.0," Microsoft patterns & practices; 2 edition (March 16, 2013)",410.0,,0
SIGIR 93: 16th Annual International ACM-SIGIR Conference on Research and Development in Information Retrieval,Association for Computing Machinery,9780897916059,Association for Computing Machinery,372.0,,JDBC(TM) API Tutorial and Reference: Universal Data Access for the Java(TM) 2 Platform (2nd Edition),,9780201433289.0," Pearson Education; 2 edition (June 11, 1999)",1059.0,$6.94,0
Access 2000 for Windows: Visual QuickStart Guide,"Deborah S. Ray,  Eric J. Ray",9780201354348,Peachpit Press,272.0,,Getting Started with Flurry Analytics,Bhanu Birani,9781782177128.0," Packt Publishing (December 23, 2013)",88.0,,0
Aster Data Database Administration,"Tom Coffing,  Todd Wilson",9781940540221,Coffing Publishing,759.0,$106.99,"Computational Science and Its Applications -- ICCSA 2012: 12th International Conference, Salvador de Bahia, Brazil,  June 18-21, 2012, Proceedings, Part II (Lecture Notes in Computer Science)",,9783642310744.0," Springer; 2012 edition (May 31, 2012)",759.0,$131.00,0
Access 2000 Developer's Black Book,"Lars Klander,  Dave Mercer",9781576103494,Coriolis Group,9781576103494.0,,Hands On Access 97,,9780761513391.0, Prima Publishing; Pap/Cdr edition (February 1998),500.0,,0
Oracle And Open Source,"Andy Duncan,  Sean Hull",9780596000189,"O'Reilly Media, Incorporated",426.0,$54.99,IBM Replication Solutions for Pervasive Computing With DB2 Everyplace and DB2 Satellite Edition,,9780738419640.0, Ibm (April 2001),390.0,,0
"Engineering Global E-Commerce Sites: A Guide to Data Capture, Content, and Transactions",James Bean,9781558608924,Elsevier Science,248.0,$67.95,SQL Server 2000 Xml Distilled,Bryant Likes,9781590591918.0," Apress (July 11, 2003)",600.0,,0
Btrieve Complete: A Guide for Developers and System Administrators / Edition 1,"Jim Kyle,  James Kyle",9780201483260,Addison-Wesley,528.0,$37.95,Data Mining: Building Competitive Advantage,Robert Groth,9780130862716.0," Prentice Hall; 2nd edition (November 7, 1999)",325.0,$50.00,0
Visual FoxPro 3.0 for Windows: Development of Full-Scale Applications,Nelson King,9781558514157,"Wiley, John & Sons, Incorporated",896.0,,Oracle Discoverer Handbook,Michael Armstrong-Smith,9780072126358.0," McGraw-Hill/Osborne Media (September 26, 2000)",569.0,,0
Inside Microsoft SQL Server 6.5,Ron Soukup,9781572313316,Microsoft Press,400.0,,Getting Started with Impala: Interactive SQL for Apache Hadoop,John Russell,9781491905777.0," O'Reilly Media; 1 edition (October 5, 2014)",110.0,$25.85,0
C++ Database Development,Stevens,9780805282153,"Holt, Henry & Company, Inc.",,,HTML5 and JavaScript Projects (Expert's Voice in Web Development),Jeanine Meyer,9781430240327.0," Apress; 1 edition (October 16, 2011)",448.0,$31.32,0
Oracle9i RMAN Backup &amp; Recovery / Edition 1,"Robert Freeman,  Matthew Hart",9780072226621,McGraw-Hill Professional Publishing,608.0,$55.00,Oracle Database Ajax & PHP Web Application Development (Oracle Press),"Lee Barney, Michael McLaughlin",9780071502771.0," McGraw-Hill Education; 1 edition (March 13, 2008)",458.0,$52.00,0
Rapid Graphs with Tableau 8: The Original Guide for the Accidental Analyst,"Stephen McDaniel,  Eileen McDaniel",9781430267379,Apress,252.0,$44.50,Responsive & Fast: Implementing High-Performance Responsive Design,Guy Podjarny,9781491911617.0," O'Reilly Media; 1 edition (August 24, 2014)",58.0,$14.99,0
Pro MSMQ: Microsoft Message Queue Programming / Edition 1,"Arohi Redkar,  Ken Rabold,  Richard Costall,  Scot Boyd",9781590593462,Apress,448.0,$35.56,Joe Celko's SQL for Smarties: Advanced SQL Programming (The Morgan Kaufmann series in data management systems),Joe Celko,9781558603233.0, Morgan Kaufmann Pub (June 1995),467.0,$8.08,0
Visual Database Systems 3: Visual information management / Edition 1,Stefano Spaccapietra,9780412721700,Springer US,428.0,$299.00,Mining the Web: Transforming Customer Data into Customer Value,Michael J. A. Berry,9780471416098.0," Wiley; 1st edition (February 15, 2002)",352.0,,0
Building Distributed Applications with ADO,"William Martiner,  David Herion,  James Falino",9780471317012,Wiley,464.0,,Locking in DB2 for Mvs/Esa Environment,,9780738401799.0, Ibm (August 1996),196.0,,0
Designing Effective Database Systems,Rebecca M. Riordan,9780321290939,Addison-Wesley,353.0,$52.79,Contemporary Issues in Exploratory Data Mining in the Behavioral Sciences (Quantitative Methodology Series),,9780415817097.0," Routledge (August 29, 2013)",496.0,$55.20,0
Access 2000 for Busy People,"Alan R. Neibauer,  Neibauer",9780072119831,"McGraw-Hill Companies, The",311.0,,Discover Access 97 (6-Point Discover Advantage),Ricardo Birmele,9780764580260.0, John Wiley & Sons Inc (Computers) (March 1997),363.0,,0
"Mambo: Installation, Administration, Anwendung und Entwicklung / Edition 1",Robert Deutz,9783540221586,Springer Berlin Heidelberg,331.0,$79.99,"Autonomous and Intelligent Systems: Third International Conference, AIS 2012, Aviero, Portugal, June 25-27, 2012, Proceedings (Lecture Notes in Computer Science)",,9783642313677.0," Springer; 2012 edition (May 30, 2012)",270.0,,0
Knowledge Discovery with Support Vector Machines / Edition 1,Lutz H. Hamel,9780470371923,Wiley,262.0,$97.60,Mastering SQL Server 2000 Security (Gearhead Press--In the Trenches),Mike Young,9780471219705.0," Wiley; 1 edition (August 30, 2002)",500.0,$1.73,0
Data Mining and Business Intelligence: A Guide to Productivity,Kudyba,9781930708037,IGI Global,180.0,$74.95,Microsoft® SQL Server 2000 Programming Step by Step (Step by Step Developer),"Rebecca M. Riordan, Rebecca Riordan",9780735611429.0," Microsoft Press (December 29, 2000)",720.0,$5.56,0
Microsoft SQL Server 2005 New Features (Database Series),Michael Otey,9780072227765,McGraw-Hill Osborne,275.0,$39.99,Index Data Structures in Object-Oriented Databases (Advances in Database Systems),,9781461378495.0," Springer; Softcover reprint of the original 1st ed. 1997 edition (October 8, 2012)",177.0,$269.00,0
Data Visualization with JavaScript,Stephen A. Thomas,9781593276058,"No Starch Press San Francisco, CA",384.0,$28.99,Sams Teach Yourself DB2 Universal Database in 21 Days (2nd Edition),,9780672325823.0," Sams; 2 edition (August 30, 2003)",624.0,$0.77,0
Informix Universal Data Option,"Paul R. Allen,  Joseph J. Bambara",9780079136978,McGraw-Hill Osborne,853.0,,Microsoft® Access Version 2002 Step by Step,,9780735612990.0," Microsoft Press (July 7, 2001)",352.0,$3.99,0
Programming in SQL with Oracle,Carter,9780632031368,"Wiley, John & Sons, Incorporated",320.0,,Data Structures with C++ Using STL (2nd Edition),,9780130858504.0," Pearson; 2 edition (July 27, 2001)",1039.0,$145.21,0
"Microsoft Access for Windows 95, with CD-ROM (Mastering)","Alan Simpson,  Elizabeth Olson",9780782117646,"Wiley, John & Sons, Incorporated",1119.0,,Database Modeling from 0 to 60 in 4 seconds,,9781478279990.0," CreateSpace Independent Publishing Platform (October 25, 2012)",412.0,,0
Oracle Data Dictionary Pocket Reference,David C. Kreines,9780596005177,"O'Reilly Media, Incorporated",146.0,$9.95,Business Intelligence in Microsoft SharePoint 2013,"Norm Warren, Stacia Misner",9780735675438.0," Microsoft Press; 1 edition (May 25, 2013)",406.0,$25.36,0
dBASE IV Programming Language,"Jeb J. Long,  Alastair W. Dallas",9780672228407,Sams,745.0,,Oracle Grid and Real Application Clusters: Oracle Grid Computing with RAC (Oracle in-Focus Series) (Volume 32),,9780991638628.0," Rampant TechPress; first edition (March 8, 2014)",214.0,,0
FileMaker Pro 2.0 for the Mac in a Nutshell,Maria L. Langer,9780782112146,"Wiley, John & Sons, Incorporated",270.0,,Professional SQL Server 2005 Performance Tuning,"Steven Wort, Christian Bolton, Justin Langford",9780470176399.0," Wrox; 1 edition (January 29, 2008)",551.0,$46.11,0
Data Dictionaries for Database Administrators,Robin J. Vinden,9780830635153,McGraw-Hill Professional Publishing,250.0,,"Data Warehouse 100 Success Secrets - 100 most Asked questions on Data Warehouse Design, Projects, Business Intelligence, Architecture, Software and Models",,9781921523267.0," Emereo Publishing (July 29, 2009)",164.0,,0
Pro SQL Server 2008 Analytics: Delivering Sales and Marketing Dashboards,"Brian Paulen,  Jeff Finken",9781430219286,Apress,300.0,$49.99,"Hands-On Microsoft SQL Server 2008 Integration Services, Second Edition",Ashwani Nanda,9780071736404.0," McGraw-Hill Education; 2 edition (September 23, 2010)",720.0,$42.76,0
Expert One-on-One Microsoft Access Application Development,Helen Feddema,9780764559044,Wiley,624.0,,Applied Oracle Security: Developing Secure Database and Middleware Environments,,9780071613705.0," McGraw-Hill Education; 1 edition (October 19, 2009)",640.0,$29.99,0
Using Lotus Approach 3.0 for Windows,"Que Corporation,  Gerry M. Litton,  Andrew Bryce. Shafran",9781565291775,Que,699.0,,Managing and Using MySQL (2nd Edition),George Reese,9780596002114.0, O'Reilly Media; Second Edition edition (April 2002),442.0,$39.99,0
Advanced Database Systems / Edition 1,Carlo Zaniolo,9781558604438,Elsevier Science,576.0,$31.02,Friendly Access (Friendly Computer Books),Douglas Hergert,9780679791898.0," Random House Information Group; 1st edition (December 28, 1993)",190.0,,0
"Beginning Power BI with Excel 2013: Self-Service Business Intelligence Using Power Pivot, Power View, Power Query, and Power Map",Dan Clark,9781430264453,Apress,324.0,$31.98,Big Practical Guide to Computer Simulations 2nd Edition,Alexander K Hartmann,9789814571777.0," World Scientific Publishing Company; 2 edition (March 29, 2015)",484.0,$62.00,0
Microsoft Access for Teachers,Jan Ray,9780743938112,Teacher Created Materials,240.0,,Microsoft SQL Server 2000 Weekend Crash Course,Alex Kriegel,9780764548406.0," Wiley; Pap/Cdr edition (October 15, 2001)",408.0,$14.09,0
"Fully Integrated Data Environments: Persistent Programming Languages, Object Stores, and Programming Environments",Malcolm P. Atkinson,9783642640551,Springer Berlin Heidelberg,629.0,$139.00,Cult of Analytics: Driving online strategies using web analytics (Emarketing Essentials),Steve Jackson,9781856176118.0," taylor & francis; 1 edition (June 19, 2009)",288.0,$49.95,0
Digital Interactive TV and Metadata: Future Broadcast Multimedia / Edition 1,"Arthur Lugmayr,  Samuli Niiranen,  Seppo Kalli",9781441919267,Springer New York,258.0,$189.00,Microsoft SQL Server 2012 Internals (Developer Reference),Kalen Delaney,9780735658561.0," Microsoft Press; 1 edition (November 25, 2013)",982.0,$43.25,0
Microsoft Office Access 2003: The Complete Reference,Virginia Anderson,9780072229172,McGraw-Hill Professional Publishing,1024.0,$39.99,"Machine, Meet Human: Designing a Useful Interface",Nathaniel O'Shaughnessey,9781456468484.0," CreateSpace Independent Publishing Platform (December 29, 2010)",170.0,,0
Oracle Designer : A Template for Developing An Enterprise Standards Document,"Mark Kramm,  Kent Graziano",9780130153432,Pearson Education,300.0,,Sybase SQL Server 11 Dba Survival Guide,Ray Rankins,9780672308888.0, Sams Publishing; 2nd edition (May 1996),624.0,,0
SQL Server Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,2940012693976,Vibrant Publishers,,$9.99,Oracle Built-in Packages,"Steven Feuerstein, John Beresniewicz",9781565923751.0," O'Reilly Media; 1 edition (May 11, 1998)",956.0,$3.92,0
Multimedia Databases: An Object-Relational Approach / Edition 1,Lynne Dunkley,9780201788990,Pearson,452.0,$2.47,"Problem-Solving Cases in Microsoft Access and Excel, Fourth Annual Edition",,9781418837068.0," Course Technology; 4 edition (January 18, 2006)",272.0,$3.99,0
Introduction to Constraint Databases / Edition 1,Peter Revesz,9781441931559,Springer New York,394.0,$95.00,Microsoft Dynamics CRM 2011 Reporting and Business Intelligence,,9781849682305.0," Packt Publishing (July 13, 2012)",308.0,,0
Implementing SAP ERP Sales &amp; Distribution / Edition 1,Glynn  Williams,9780071497053,McGraw-Hill Professional Publishing,513.0,$37.50,Complete Idiot's Guide to Access,Paul McFedries,9781567614572.0, Alpha Books (March 1994),300.0,,0
Causal Models and Intelligent Data Management / Edition 1,"Alex Gammerman,  A. Gammerman",9783540663287,Springer Berlin Heidelberg,185.0,,Data Mining for the Masses,Dr. Matthew A North,9780615684376.0," Global Text Project (August 18, 2012)",264.0,,0
"Cooperative Information Systems: 9th International Conference, CoopIS 2001, Trento, Italy, September 5-7, 2001. Proceedings / Edition 1",Carlo Batini,9783540425243,Springer Berlin Heidelberg,461.0,$119.00,Microsoft Access 97: Beginner's Course for Users (PC Crash Course),,9781873005415.0, PC Productions Ltd (November 1998),260.0,,0
Databases and Transaction Processing : An Application-Oriented Approach / Edition 1,"Arthur J. Bernstein,  Michael Kifer,  Arthur Bernstein",9780201708721,Pearson Education,1056.0,$1.99,Ingres User Guide: Visual Programming Tools,Peter Matthews,9780134637204.0, Prentice Hall (July 1991),280.0,,0
Informix On-Line Performance Tuning,Liz Suto,9780131243224,Prentice Hall Professional Technical Reference,176.0,,"PRICAI 2014: Trends in Artificial Intelligence: 13th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2014, Gold Coast, QLD, ... (Lecture Notes in Computer Science)",,9783319135595.0," Springer; 2014 edition (October 28, 2014)",1102.0,$179.00,0
"The Data Bank Society (Routledge Revivals): Organizations, Computers and Social Freedom","Malcolm Warner,  Mike Stone",9780415720939,Taylor & Francis,244.0,$145.00,DB2 UDB for OS/390 Developer's Quick Reference Guide,,9781892559043.0," Mvs Training; 4th edition (March 1, 2000)",512.0,,0
Data Protection And Information Lifecycle Management,Tom Petrocelli,9780131927575,Pearson Technology Group 2,290.0,$49.99,Open Data Structures: An Introduction (Open Paths to Enriched Learning),Pat Morin,9781927356388.0," UBC Press; 31st edition (September 19, 2013)",344.0,,0
Microsoft Access Programming,Namir Clement Shammas,9780830643103,T A B Books,400.0,,Algorithms and Computation,Pat Morin,9783540001423.0," Springer; 2002 edition (December 16, 2002)",656.0,,0
The Sybase SQL Server Survival Guide,"Jim Panttaja,  Mary Panttaja,  Judy Bowman",9780471127451,Wiley,359.0,,Oracle Database 12c DBA Handbook (Oracle Press),Bob Bryla,9780071798785.0," McGraw-Hill Education; 1 edition (June 24, 2015)",704.0,$38.75,0
"SAS-Access Interface to Oracle: Usage and Reference, Version 6","S A S Institute,  Incorporated",9781555445805,SAS Publishing,296.0,,"Design, User Experience, and Usability. Theory, Methods, Tools and Practice: First International Conference, DUXU 2011, Held as Part of HCI ... Part I (Lecture Notes in Computer Science)",,9783642216749.0," Springer; 2011 edition (August 30, 2011)",718.0,$159.00,0
SQL Server 2012 Reporting Services Blueprints,Marlon Ribunal,9781849685085,Packt Publishing,246.0,$49.99,"Digital Forensics and Cyber Crime: Fifth International Conference, ICDF2C 2013, Moscow, Russia, September 26-27, 2013, Revised Selected Papers ... and Telecommunications Engineering)",,9783319142883.0," Springer; 2014 edition (December 23, 2014)",253.0,,0
Problem-Solving Cases in Microsoft Access and Excel / Edition 3,"Joseph A. Brady,  Ellen Monk,  Ellen F. Monk",9780619216979,Cengage Learning,278.0,$1.99,"Advances in Multimedia Information Processing - PCM 2013: 14th Pacific-Rim Conference on Multimedia, Nanjing, China, December 13-16, 2013, Proceedings (Lecture Notes in Computer Science)",,9783319037301.0," Springer; 2013 edition (November 5, 2013)",879.0,$155.00,0
Oracle8i Data Warehousing,"Lilian Hobbs,  Susan Hillson",9781555582050,Elsevier Science,400.0,,Practical Data Migration,,9781906124847.0," BCS; 2 edition (September 1, 2012)",268.0,$49.99,0
Building the Data Warehouse / Edition 4,W. H. Inmon,9780764599446,Wiley,576.0,$43.61,Database Backed Web Sites: The Thinking Person's Guide to Web Publishing,Philip Greenspun,9781562765309.0," Ziff-Davis Press (January 1, 1997)",362.0,,0
SQL/400 Developer&#039;s Guide / Edition 2,"Paul Conte,  Mike Cravitz",9781882419708,29th Street Press/NEWS/400 Books,508.0,$3.83,MCITP Administrator Microsoft SQL Server 2005 Optimization and Maintenance Study Guide: Exam 70-444,"Victor Isakov, Marilyn Miller-White",9780470127452.0," Sybex (July 10, 2007)",647.0,$49.99,0
JDBC API Tutorial and Reference / Edition 3,"Maydene Fisher,  Jon Ellis,  Jonathan Bruce",9780321173843,Addison-Wesley,1280.0,$46.90,Data Wrangling with Python,,9781491948811.0," O'Reilly Media; 1 edition (January 25, 2016)",300.0,$31.14,0
SQLite for Mobile Apps Simplified,Sribatsa Das,2940149802180,Sribatsa Das,122.0,$9.99,"Intelligent Computing in Engineering and Architecture: 13th EG-ICE Workshop 2006, Ascona, Switzerland, June 25-30, 2006, Revised Selected Papers ... / Lecture Notes in Artificial Intelligence)",,9783540462460.0," Springer; 2006 edition (November 14, 2006)",694.0,$169.00,0
Microsoft Office Access 2003: Complete Tutorial / Edition 1,"Pasewark and Pasewark,  Sandra Cable,  Bill Pasewark",9780619183554,Cengage Learning,464.0,$1.99,MySQL (2nd Edition) (Developer's Library),,9780735712126.0," Sams; 2 edition (January 17, 2003)",1248.0,$23.49,0
MDX Reporting and Analytics with SAP NetWeaver BW,Larry Sackett,9781592292493,SAP Press,382.0,,Introducing Dbase 111 - W/B 13 (Byte books),,9780070037779.0," McGraw Hill Higher Education (November 1, 1985)",295.0,,0
A Delicate Balance: Portfolio Analysis and Management for Intelligence Information Dissemination Programs,"Eric Landree,  Richard Silberglitt",9780833049094,RAND Corporation,64.0,$23.00,Oracle and Java Development,Bulusu Lakshman,9780672321177.0," Sams; 1 edition (August 30, 2001)",456.0,,0
Survival Guide for Lotus Notes and Domino Administrators,Mark Elliott,9780137153312,IBM Press,280.0,$33.50,Upgrading to PHP 5,Adam Trachtenberg,9780596006365.0, O'Reilly Media; 1 edition (July 2004),352.0,$29.95,0
Personal Oracle Real Application Clusters: Create Oracle 10g Grid Computing At-Home,Edward Stoever,9780976157380,Rampant Techpress,200.0,,Mining the Web: Transforming Customer Data into Customer Value,Michael J. A. Berry,9780471416098.0," Wiley; 1st edition (February 15, 2002)",352.0,,0
Microsoft Office Access 2007 Introductory / Edition 1,"Linda O'Leary,  Linda I. O'Leary",9780073294551,McGraw-Hill Higher Education,672.0,$19.61,"Learning PHP, MySQL, JavaScript, CSS & HTML5: A Step-by-Step Guide to Creating Dynamic Websites",Robin Nixon,9781491949467.0," O'Reilly Media; 3 edition (June 16, 2014)",786.0,$28.82,0
ACT! 2006 For Dummies,Karen S. Fredricks,9780471774549,Wiley,394.0,$24.99,IBM Ess and IBM DB2 Udb Working Together,,9780738422589.0, Ibm (November 2001),158.0,,0
dBASE IV: A Short Course / Edition 2,Dennis P. Curtin,9780130959287,Prentice Hall Professional Technical Reference,200.0,$5.78,Information Visualization: Human-Centered Issues and Perspectives (Lecture Notes in Computer Science),,9783540709558.0," Springer; 2008 edition (August 27, 2008)",177.0,,0
