ID,Title,Authors,Date,Journal-ref
1629,Sharp analysis of low-rank kernel matrix approximations,Francis Bach,"22 May, 2013","International Conference on Learning Theory (COLT), tats-Unis (2013)"
1630,A Convex Relaxation for Weakly Supervised Classifiers,"Armand Joulin, Francis Bach","27 June, 2012",
1631,LSTM-based Network for Human Gait Stability Prediction in an Intelligent Robotic Rollator,"Georgia Chalvatzaki, Petros Koutras, Jack Hadfield, Xanthi S. Papageorgiou, Costas S. Tzafestas, Petros Maragos","5 March, 2019",
1632,Estimator of Prediction Error Based on Approximate Message Passing for Penalized Linear Regression,Ayaka Sakata,"8 May, 2018",
1633,Expectile Matrix Factorization for Skewed Data Analysis,"Rui Zhu, Di Niu, Linglong Kong, Zongpeng Li","3 March, 2017",
1634,Parameter Selection Algorithm For Continuous Variables,"Peyman Tavallali, Marianne Razavi, Sean Brady","19 January, 2017",
1635,Bayesian Neural Word Embedding,Oren Barkan,"20 February, 2017",
1636,A new approach to content-based file type detection,"M. C. Amirani, M. Toorani, A. A. Beheshti","16 March, 2012","Proceedings of the 13th IEEE Symposium on Computers and Communications (ISCC'08), pp.1103-1108, July 2008"
1637,GURLS: a Least Squares Library for Supervised Learning,"Andrea Tacchetti, Pavan K Mallapragada, Matteo Santoro, Lorenzo Rosasco","5 March, 2013",
1638,Towards multiple kernel principal component analysis for integrative analysis of tumor samples,"Nora K. Speicher, Nico Pfeifer","3 January, 2017","Journal of Integrative Bioinformatics, 14(2), 2017"
1639,Depth and nonlinearity induce implicit exploration for RL,"Justas Dauparas, Ryota Tomioka, Katja Hofmann","29 May, 2018",
1640,Single-Pass PCA of Large High-Dimensional Data,"Wenjian Yu, Yu Gu, Jian Li, Shenghua Liu, Yaohang Li","25 April, 2017",
1641,Modeling Heterogeneity in Mode-Switching Behavior Under a Mobility-on-Demand Transit System: An Interpretable Machine Learning Approach,"Xilei Zhao, Xiang Yan, Pascal Van Hentenryck","7 February, 2019",
1642,Globally Optimal Gradient Descent for a ConvNet with Gaussian Inputs,"Alon Brutzkus, Amir Globerson","25 February, 2017",
1643,Trajectory Clustering and an Application to Airspace Monitoring,"Maxime Gariel, Ashok N. Srivastava, Eric Feron","27 January, 2010",
1644,Bayesian surrogate learning in dynamic simulator-based regression problems,"Xi Chen, Mike Hobson","25 January, 2019",
1645,Monge beats Bayes: Hardness Results for Adversarial Training,"Zac Cranko, Aditya Krishna Menon, Richard Nock, Cheng-Soon Ong, Zhan Shi, Christian Walder","5 February, 2019",
1646,FairVis: Visual Analytics for Discovering Intersectional Bias in Machine Learning,"ngel Alexander Cabrera, Will Epperson, Fred Hohman, Minsuk Kahng, Jamie Morgenstern, Duen Horng Chau","10 April, 2019",
1647,Stochastic Divergence Minimization for Biterm Topic Model,"Zhenghang Cui, Issei Sato, Masashi Sugiyama","30 April, 2017",
1648,Improving GANs Using Optimal Transport,"Tim Salimans, Han Zhang, Alec Radford, Dimitris Metaxas","14 March, 2018",
1649,Sequential Local Learning for Latent Graphical Models,"Sejun Park, Eunho Yang, Jinwoo Shin","15 March, 2017",
1650,AdaNet: Adaptive Structural Learning of Artificial Neural Networks,"Corinna Cortes, Xavi Gonzalvo, Vitaly Kuznetsov, Mehryar Mohri, Scott Yang","27 February, 2017",
1651,A Novel Template-Based Learning Model,"Mohammadreza Abolghasemi-Dahaghani, Farzad Didehvar, Alireza Nowroozi","26 January, 2011",
1652,Learning from Imprecise and Fuzzy Observations: Data Disambiguation through Generalized Loss Minimization,Eyke Hllermeier,"3 May, 2013","International Journal of Approximate Reasoning, 55(7):1519-1534, 2014"
1653,Day-ahead electricity price forecasting with high-dimensional structures: Univariate vs. multivariate modeling frameworks,"Florian Ziel, Rafal Weron","17 May, 2018","Energy Economics, 70 (2018), 396-420"
1654,Caffe: Convolutional Architecture for Fast Feature Embedding,"Yangqing Jia, Evan Shelhamer, Jeff Donahue, Sergey Karayev, Jonathan Long, Ross Girshick, Sergio Guadarrama, Trevor Darrell","20 June, 2014",
1655,A Bandit Approach to Multiple Testing with False Discovery Control,"Kevin Jamieson, Lalit Jain","18 January, 2019",
1656,Random Feature Maps via a Layered Random Projection (LaRP) Framework for Object Classification,"A. G. Chung, M. J. Shafiee, A. Wong","4 February, 2016",
1657,Neural Decoder for Topological Codes using Pseudo-Inverse of Parity Check Matrix,"Chaitanya Chinni, Abhishek Kulkarni, Dheeraj M. Pai, Kaushik Mitra, Pradeep Kiran Sarvepalli","24 January, 2019",
1658,Tensor machines for learning target-specific polynomial features,"Jiyan Yang, Alex Gittens","7 April, 2015",
1659,Two-Stage Hybrid Day-Ahead Solar Forecasting,"Mohana Alanazi, Mohsen Mahoor, Amin Khodaei","27 June, 2017",
1660,CSAL: Self-adaptive Labeling based Clustering Integrating Supervised Learning on Unlabeled Data,"Fangfang Li, Guandong Xu, Longbing Cao","17 February, 2015",
1661,Dynamic Learning of Sequential Choice Bandit Problem under Marketing Fatigue,"Junyu Cao, Wei Sun","19 March, 2019",
1662,Hybrid Clustering based on Content and Connection Structure using Joint Nonnegative Matrix Factorization,"Rundong Du, Barry Drake, Haesun Park","28 March, 2017",
1663,Active Learning Using Uncertainty Information,"Yazhou Yang, Marco Loog","27 February, 2017",
1664,Visualizing textual models with in-text and word-as-pixel highlighting,"Abram Handler, Su Lin Blodgett, Brendan O'Connor","20 June, 2016",
1665,Combining nonparametric spatial context priors with nonparametric shape priors for dendritic spine segmentation in 2-photon microscopy images,"Ertunc Erdil, Ali Ozgur Argunsah, Tolga Tasdizen, Devrim Unay, Mujdat Cetin","17 February, 2019",
1666,Clustering under Local Stability: Bridging the Gap between Worst-Case and Beyond Worst-Case Analysis,"Maria-Florina Balcan, Colin White","19 May, 2017",
1667,ASIC Implementation of Time-Domain Digital Backpropagation with Deep-Learned Chromatic Dispersion Filters,"Christoffer Fougstedt, Christian Hger, Lars Svensson, Henry D. Pfister, Per Larsson-Edefors","19 June, 2018",
1668,Supervised learning with generalized tensor networks,"Ivan Glasser, Nicola Pancotti, J. Ignacio Cirac","15 June, 2018",
1669,ISeeU: Visually interpretable deep learning for mortality prediction inside the ICU,"William Caicedo-Torres, Jairo Gutierrez","23 January, 2019",
1670,Clustering is difficult only when it does not matter,"Amit Daniely, Nati Linial, Michael Saks","22 May, 2012",
1671,Better Computer Go Player with Neural Network and Long-term Prediction,"Yuandong Tian, Yan Zhu","29 February, 2016",
1672,MazeBase: A Sandbox for Learning from Games,"Sainbayar Sukhbaatar, Arthur Szlam, Gabriel Synnaeve, Soumith Chintala, Rob Fergus","7 January, 2016",
1673,Robust And Scalable Learning Of Complex Dataset Topologies Via Elpigraph,"Luca Albergante, Evgeny M. Mirkes, Huidong Chen, Alexis Martin, Louis Faure, Emmanuel Barillot, Luca Pinello, Alexander N. Gorban, Andrei Zinovyev","20 June, 2018",
1674,Approximation Properties of Variational Bayes for Vector Autoregressions,Reza Hajargasht,"1 March, 2019",
1675,A Tribe Competition-Based Genetic Algorithm for Feature Selection in Pattern Classification,"Benteng Ma, Yong Xia","28 April, 2017",
1676,Dense Associative Memory is Robust to Adversarial Inputs,"Dmitry Krotov, John J Hopfield","4 January, 2017","Neural Computation Volume 30, Issue 12, December 2018 p.3151-3167"
1677,Bayesian Posterior Sampling via Stochastic Gradient Fisher Scoring,"Sungjin Ahn, Anoop Korattikara, Max Welling","27 June, 2012",
1678,Hellinger Distance Trees for Imbalanced Streams,"R. J. Lyon, J. M. Brooke, J. D. Knowles, B. W. Stappers","9 May, 2014",
1679,Robot Localization in Floor Plans Using a Room Layout Edge Extraction Network,"Federico Boniardi, Abhinav Valada, Rohit Mohan, Tim Caselitz, Wolfram Burgard","5 March, 2019",
1680,Hyperparameter Optimization: A Spectral Approach,"Elad Hazan, Adam Klivans, Yang Yuan","19 January, 2018",
1681,Impact of Biases in Big Data,"Patrick Glauner, Petko Valtchev, Radu State","2 March, 2018","Proceedings of the 26th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning (ESANN 2018)"
1682,Generative Modeling of Convolutional Neural Networks,"Jifeng Dai, Yang Lu, Ying-Nian Wu","9 April, 2015",
1683,Methods of Hierarchical Clustering,"Fionn Murtagh, Pedro Contreras","30 April, 2011",
1684,Using Machine Learning to Improve Cylindrical Algebraic Decomposition,"Zongyan Huang, Matthew England, David Wilson, James H. Davenport, Lawrence C. Paulson","26 April, 2018",
1685,"SPSD Matrix Approximation vis Column Selection: Theories, Algorithms, and Extensions","Shusen Wang, Luo Luo, Zhihua Zhang","20 May, 2016",
1686,Single-Forward-Step Projective Splitting: Exploiting Cocoercivity,"Patrick R. Johnstone, Jonathan Eckstein","24 February, 2019",
1687,Neural System Identification with Spike-triggered Non-negative Matrix Factorization,"Shanshan Jia, Zhaofei Yu, Arno Onken, Yonghong Tian, Tiejun Huang, Jian K. Liu","31 January, 2019",
1688,Performance Analysis of the Gradient Comparator LMS Algorithm,"Bijit Kumar Das, Mrityunjoy Chakraborty","10 May, 2016",
1689,Nonlinear Inductive Matrix Completion based on One-layer Neural Networks,"Kai Zhong, Zhao Song, Prateek Jain, Inderjit S. Dhillon","26 May, 2018",
1690,Variational Joint Filtering,"Yuan Zhao, Il Memming Park","21 May, 2018",
1691,Impact of Fully Connected Layers on Performance of Convolutional Neural Networks for Image Classification,"S H Shabbeer Basha, Shiv Ram Dubey, Viswanath Pulabaigari, Snehasis Mukherjee","26 March, 2019",
1692,A consistent deterministic regression tree for non-parametric prediction of time series,"Pierre Gaillard, Paul Baudin","8 May, 2014",
1693,Using Visual Analytics to Interpret Predictive Machine Learning Models,"Josua Krause, Adam Perer, Enrico Bertini","21 June, 2016",
1694,Augment-Reinforce-Merge Policy Gradient for Binary Stochastic Policy,"Yunhao Tang, Mingzhang Yin, Mingyuan Zhou","12 March, 2019",
1695,Diverse Embedding Neural Network Language Models,"Kartik Audhkhasi, Abhinav Sethy, Bhuvana Ramabhadran","15 April, 2015",
1696,Opening the black box of deep learning,"Dian Lei, Xiaoxiao Chen, Jianfei Zhao","21 May, 2018",
1697,Spectral Clustering for Divide-and-Conquer Graph Matching,"Vince Lyzinski, Daniel L. Sussman, Donniell E. Fishkind, Henry Pao, Li Chen, Joshua T. Vogelstein, Youngser Park, Carey E. Priebe","12 March, 2015",
1698,Fall of Empires: Breaking Byzantine-tolerant SGD by Inner Product Manipulation,"Cong Xie, Sanmi Koyejo, Indranil Gupta","10 March, 2019",
1699,Towards Bayesian Deep Learning: A Survey,"Hao Wang, Dit-Yan Yeung","7 April, 2016",
1700,Multimodal MRI brain tumor segmentation using random forests with features learned from fully convolutional neural network,"Mohammadreza Soltaninejad, Lei Zhang, Tryphon Lambrou, Nigel Allinson, Xujiong Ye","26 April, 2017",
1701,A Self-Supervised Terrain Roughness Estimator for Off-Road Autonomous Driving,"David Stavens, Sebastian Thrun","27 June, 2012",
1702,Single-Forward-Step Projective Splitting: Exploiting Cocoercivity,"Patrick R. Johnstone, Jonathan Eckstein","24 February, 2019",
1703,On Sampling Random Features From Empirical Leverage Scores: Implementation and Theoretical Guarantees,"Shahin Shahrampour, Soheil Kolouri","19 March, 2019",
1704,Not Just Privacy: Improving Performance of Private Deep Learning in Mobile Cloud,"Ji Wang, Jianguo Zhang, Weidong Bao, Xiaomin Zhu, Bokai Cao, Philip S. Yu","5 January, 2019",
1705,Active Multi-Information Source Bayesian Quadrature,"Alexandra Gessner, Javier Gonzalez, Maren Mahsereci","27 March, 2019",
1706,Multiview Hessian regularized logistic regression for action recognition,"W. Liu, H. Liu, D. Tao, Y. Wang, Ke Lu","2 March, 2014",
1707,Learning flexible representations of stochastic processes on graphs,"Addison Bohannon, Brian Sadler, Radu Balan","13 March, 2018",
1708,DTN: A Learning Rate Scheme with Convergence Rate of $\mathcal{O}(1/t)$ for SGD,"Lam M. Nguyen, Phuong Ha Nguyen, Dzung T. Phan, Jayant R. Kalagnanam, Marten van Dijk","27 February, 2019",
1709,Measuring Emotional Contagion in Social Media,"Emilio Ferrara, Zeyao Yang","19 June, 2015","PloS one, 10(11), e0142390. 2015"
1710,Single Channel Speech Enhancement Using Outlier Detection,"Eunjoon Cho, Bowon Lee, Ronald Schafer, Bernard Widrow","4 May, 2016",
1711,Optimal Algorithms for Continuous Non-monotone Submodular and DR-Submodular Maximization,"Rad Niazadeh, Tim Roughgarden, Joshua R. Wang","23 May, 2018",
1712,Meta-Tracker: Fast and Robust Online Adaptation for Visual Object Trackers,"Eunbyung Park, Alexander C. Berg","19 March, 2018",
1713,Sketching for Sequential Change-Point Detection,"Yang Cao, Andrew Thompson, Meng Wang, Yao Xie","30 April, 2018",
1714,"Integrated Model, Batch and Domain Parallelism in Training Neural Networks","Amir Gholami, Ariful Azad, Peter Jin, Kurt Keutzer, Aydin Buluc","16 May, 2018","30th ACM Symposium on Parallelism in Algorithms and Architectures (SPAA), 2018"
1715,Correlation Clustering and Biclustering with Locally Bounded Errors,"Gregory J. Puleo, Olgica Milenkovic","24 May, 2016",
1716,Multi-agent Reinforcement Learning in Sequential Social Dilemmas,"Joel Z. Leibo, Vinicius Zambaldi, Marc Lanctot, Janusz Marecki, Thore Graepel","9 February, 2017",
1717,Deep Learning Topological Invariants of Band Insulators,"Ning Sun, Jinmin Yi, Pengfei Zhang, Huitao Shen, Hui Zhai","9 June, 2018","Phys. Rev. B 98, 085402 (2018)"
1718,Bayesian Sparse Tucker Models for Dimension Reduction and Tensor Completion,"Qibin Zhao, Liqing Zhang, Andrzej Cichocki","10 May, 2015",
1719,Monge beats Bayes: Hardness Results for Adversarial Training,"Zac Cranko, Aditya Krishna Menon, Richard Nock, Cheng-Soon Ong, Zhan Shi, Christian Walder","5 February, 2019",
1720,"On the Inter-relationships among Drift rate, Forgetting rate, Bias/variance profile and Error","Nayyar A. Zaidi, Geoffrey I. Webb, Francois Petitjean, Germain Forestier","3 February, 2018",
1721,Neural Machine Translation by Jointly Learning to Align and Translate,"Dzmitry Bahdanau, Kyunghyun Cho, Yoshua Bengio","19 May, 2016",
1722,A Generalized Meta-loss function for regression and classification using privileged information,"Amina Asif, Muhammad Dawood, Fayyaz ul Amir Afsar Minhas","25 March, 2019",
1723,Normalized Wasserstein Distance for Mixture Distributions with Applications in Adversarial Learning and Domain Adaptation,"Yogesh Balaji, Rama Chellappa, Soheil Feizi","1 February, 2019",
1724,Simultaneous Low-rank Component and Graph Estimation for High-dimensional Graph Signals: Application to Brain Imaging,"Rui Liu, Hossein Nejati, Seyed Hamid Safavi, Ngai-Man Cheung","8 January, 2017",
1725,Efficient and Parsimonious Agnostic Active Learning,"Tzu-Kuo Huang, Alekh Agarwal, Daniel J. Hsu, John Langford, Robert E. Schapire","7 January, 2016",
1726,World Models,"David Ha, Jrgen Schmidhuber","9 May, 2018",
1727,Why is Differential Evolution Better than Grid Search for Tuning Defect Predictors?,"Wei Fu, Vivek Nair, Tim Menzies","10 March, 2017",
1728,SmartPaste: Learning to Adapt Source Code,"Miltiadis Allamanis, Marc Brockschmidt","22 May, 2017",
1729,Reviving Threshold-Moving: a Simple Plug-in Bagging Ensemble for Binary and Multiclass Imbalanced Data,"Guillem Collell, Drazen Prelec, Kaustubh Patil","20 June, 2017",
1730,Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,"Zhenwen Dai, Mauricio A. lvarez, Neil D. Lawrence","27 May, 2017",
1731,Sherlock: Scalable Fact Learning in Images,"Mohamed Elhoseiny, Scott Cohen, Walter Chang, Brian Price, Ahmed Elgammal","2 April, 2016",
1732,Distance Transform Gradient Density Estimation using the Stationary Phase Approximation,"Karthik S. Gurumoorthy, Anand Rangarajan","5 February, 2013","SIAM J. Math. Anal., Vol. 44, No. 6, pp. 4250-4273, 2013"
1733,Efficient Discovery of Association Rules and Frequent Itemsets through Sampling with Tight Performance Guarantees,"Matteo Riondato, Eli Upfal","22 February, 2013",
1734,Dual Averaging on Compactly-Supported Distributions And Application to No-Regret Learning on a Continuum,Walid Krichene,"29 April, 2015",
1735,Stimulating STDP to Exploit Locality for Lifelong Learning without Catastrophic Forgetting,"Jason M. Allred, Kaushik Roy","8 February, 2019",
1736,Active Markov Information-Theoretic Path Planning for Robotic Environmental Sensing,"Kian Hsiang Low, John M. Dolan, Pradeep Khosla","28 January, 2011",
1737,On the information in spike timing: neural codes derived from polychronous groups,"Zhinus Marzi, Joao Hespanha, Upamanyu Madhow","9 March, 2018",
1738,Rectified Gaussian Scale Mixtures and the Sparse Non-Negative Least Squares Problem,"Alican Nalci, Igor Fedorov, Maher Al-Shoukairi, Thomas T. Liu, Bhaskar D. Rao","27 March, 2018",
1739,Context-Specific Validation of Data-Driven Models,"Somil Bansal, Shromona Ghosh, Alberto Sangiovanni-Vincentelli, Sanjit A. Seshia, Claire J. Tomlin","25 March, 2018",
1740,Inductive Kernel Low-rank Decomposition with Priors: A Generalized Nystrom Method,"Kai Zhang, Liang Lan, Jun Liu, andreas Rauber, Fabian Moerchen","18 June, 2012",
1741,Differentiating the multipoint Expected Improvement for optimal batch design,"Sbastien Marmin, Clment Chevalier, David Ginsbourger","23 May, 2018",
1742,Tractable and Scalable Schatten Quasi-Norm Approximations for Rank Minimization,"Fanhua Shang, Yuanyuan Liu, James Cheng","27 February, 2018",
1743,VISER: Visual Self-Regularization,"Hamid Izadinia, Pierre Garrigues","7 February, 2018",
1744,An Information-Theoretic Framework for Fast and Robust Unsupervised Learning via Neural Population Infomax,"Wentao Huang, Kechen Zhang","10 March, 2017",
1745,A New Homogeneity Inter-Clusters Measure in SemiSupervised Clustering,"Badreddine Meftahi, Ourida Ben Boubaker Saidi","13 April, 2013","journal = {International Journal of Computer Applications}, year = {2013}, volume = {66}, number = {24}, pages = {37-45}, month = {March}, note = {Published by Foundation of Computer Science, New York, USA}"
1746,"Adaptive Skills, Adaptive Partitions (ASAP)","Daniel J. Mankowitz, Timothy A. Mann, Shie Mannor","7 June, 2016",
1747,A Unified View of Localized Kernel Learning,"John Moeller, Sarathkrishna Swaminathan, Suresh Venkatasubramanian","4 March, 2016",
1748,Data generator based on RBF network,Marko Robnik-ikonja,"28 March, 2014",
1749,On Enhancing The Performance Of Nearest Neighbour Classifiers Using Hassanat Distance Metric,"Mouhammd Alkasassbeh, Ghada A. Altarawneh, Ahmad B. A. Hassanat","4 January, 2015",
1750,Generative Neural Machine Translation,"Harshil Shah, David Barber","13 June, 2018",
1751,Mammalian Value Systems,"Gopal P. Sarma, Nick J. Hay","21 January, 2019",Informatica Vol. 41 No. 3 (2017)
1752,Cost-Optimal Learning of Causal Graphs,"Murat Kocaoglu, Alexandros G. Dimakis, Sriram Vishwanath","7 March, 2017",
1753,PReP: Path-Based Relevance from a Probabilistic Perspective in Heterogeneous Information Networks,"Yu Shi, Po-Wei Chan, Honglei Zhuang, Huan Gui, Jiawei Han","20 February, 2019",
1754,On the statistical evaluation of algorithmic's computational experimentation with infeasible solutions,Iago A Carvalho,"31 January, 2019","CARVALHO, Iago A. On the statistical evaluation of algorithmic's computational experimentation with infeasible solutions. Information Processing Letters, 2019, vol. 143, p. 24-27"
1755,Learning with Sets in Multiple Instance Regression Applied to Remote Sensing,Thomas Uriot,"18 March, 2019",
1756,Functional Regularisation for Continual Learning using Gaussian Processes,"Michalis K. Titsias, Jonathan Schwarz, Alexander G. de G. Matthews, Razvan Pascanu, Yee Whye Teh","31 January, 2019",
1757,On Finding the Largest Mean Among Many,"Kevin Jamieson, Matthew Malloy, Robert Nowak, Sebastien Bubeck","17 June, 2013",
1758,Towards Machine Intelligence,Kamil Rocki,"27 March, 2016",
1759,Adversarial Examples in RF Deep Learning: Detection of the Attack and its Physical Robustness,"Silvija Kokalj-Filipovic, Rob Miller","16 February, 2019",
1760,Global Convergence of a Grassmannian Gradient Descent Algorithm for Subspace Estimation,"Dejiao Zhang, Laura Balzano","24 June, 2016",
1761,A Recursive Born Approach to Nonlinear Inverse Scattering,"Ulugbek S. Kamilov, Dehong Liu, Hassan Mansour, Petros T. Boufounos","11 March, 2016",
1762,Parallel and Distributed Thompson Sampling for Large-scale Accelerated Exploration of Chemical Space,"Jos Miguel Hernndez-Lobato, James Requeima, Edward O. Pyzer-Knapp, Aln Aspuru-Guzik","6 June, 2017",
1763,Flexible Prior Distributions for Deep Generative Models,"Yannic Kilcher, Aurelien Lucchi, Thomas Hofmann","7 January, 2018",
1764,Modified online Newton step based on element wise multiplication,"Charnjeet Singh, Anuj Sharma","11 April, 2019",
1765,Convolutional Rectifier Networks as Generalized Tensor Decompositions,"Nadav Cohen, Amnon Shashua","23 May, 2016","Proceedings of The 33rd International Conference on Machine Learning, pp. 955-963, 2016"
1766,Incremental Transductive Learning Approaches to Schistosomiasis Vector Classification,"Terence Fusco, Yaxin Bi, Haiying Wang, Fiona Browne","6 April, 2017",
1767,"Contextualize, Show and Tell: A Neural Visual Storyteller","Diana Gonzalez-Rico, Gibran Fuentes-Pineda","3 June, 2018",
1768,Dictionary learning approach to monitoring of wind turbine drivetrain bearings,"Sergio Martin-del-Campo, Fredrik Sandin, Daniel Strmbergsson","4 February, 2019",
1769,The threshold EM algorithm for parameter learning in bayesian network with incomplete data,"Fradj Ben Lamine, Karim Kalti, Mohamed Ali Mahjoub","7 April, 2012","(IJACSA) International Journal of Advanced Computer Science and Applications, Vol. 2, No. 7, pp 86-90, July 2011"
1770,A Chaotic Dynamical System that Paints,"Tuhin Sahai, George Mathew, Amit Surana","8 April, 2015",
1771,Local reservoir model for choice-based learning,"Makoto Naruse, Eiji Yamamoto, Takashi Nakao, Takuma Akimoto, Hayato Saigo, Kazuya Okamura, Izumi Ojima, Georg Northoff, Hirokazu Hori","12 April, 2018",
1772,Fast Matrix Factorization with Non-Uniform Weights on Missing Data,"Xiangnan He, Jinhui Tang, Xiaoyu Du, Richang Hong, Tongwei Ren, Tat-Seng Chua","7 January, 2019",
1773,Best Arm Identification in Linked Bandits,Anant Gupta,"27 January, 2019",
1774,A Minimum Relative Entropy Principle for Learning and Acting,"Pedro A. Ortega, Daniel A. Braun","10 April, 2010",
1775,"The Concept of the Deep Learning-Based System ""Artificial Dispatcher"" to Power System Control and Dispatch","Nikita Tomin, Victor Kurbatsky, Michael Negnevitsky","7 May, 2018",
1776,Is Extreme Learning Machine Feasible? A Theoretical Assessment (Part II),"Shaobo Lin, Xia Liu, Jian Fang, Zongben Xu","23 January, 2014",
1777,Robust Large Scale Non-negative Matrix Factorization using Proximal Point Algorithm,"Jason Gejie Liu, Shuchin Aeron","8 January, 2014",
1778,Wide Neural Networks of Any Depth Evolve as Linear Models Under Gradient Descent,"Jaehoon Lee, Lechao Xiao, Samuel S. Schoenholz, Yasaman Bahri, Jascha Sohl-Dickstein, Jeffrey Pennington","18 February, 2019",
1779,Neural Variational Inference for Text Processing,"Yishu Miao, Lei Yu, Phil Blunsom","4 June, 2016",
1780,Decentralized Stochastic Optimization and Gossip Algorithms with Compressed Communication,"Anastasia Koloskova, Sebastian U. Stich, Martin Jaggi","1 February, 2019",
1781,High Dimensional Robust Sparse Regression,"Liu Liu, Yanyao Shen, Tianyang Li, Constantine Caramanis","5 February, 2019",
1782,Evolving Ensemble Fuzzy Classifier,"Mahardhika Pratama, Witold Pedrycz, Edwin Lughofer","18 May, 2017",
1783,Simultaneous Perturbation Algorithms for Batch Off-Policy Search,"Raphael Fonteneau, L. A. Prashanth","31 March, 2014",
1784,Regularizing Neural Networks by Penalizing Confident Output Distributions,"Gabriel Pereyra, George Tucker, Jan Chorowski, ?ukasz Kaiser, Geoffrey Hinton","23 January, 2017",
1785,Large Scale Variational Bayesian Inference for Structured Scale Mixture Models,"Young Jun Ko, Matthias Seeger","27 June, 2012",
1786,Uncertainty-Aware Attention for Reliable Interpretation and Prediction,"Jay Heo, Hae Beom Lee, Saehoon Kim, Juho Lee, Kwang Joon Kim, Eunho Yang, Sung Ju Hwang","24 May, 2018",
1787,Transduction with Matrix Completion Using Smoothed Rank Function,"Ashkan Esmaeili, Kayhan Behdin, Mohammad Amin Fakharian, Farokh Marvasti","19 May, 2018",
1788,Cross-Modal Data Programming Enables Rapid Medical Machine Learning,"Jared Dunnmon, Alexander Ratner, Nishith Khandwala, Khaled Saab, Matthew Markert, Hersh Sagreiya, Roger Goldman, Christopher Lee-Messer, Matthew Lungren, Daniel Rubin, Christopher R","26 March, 2019",
1789,On Context-Dependent Clustering of Bandits,"Claudio Gentile, Shuai Li, Purushottam Kar, Alexandros Karatzoglou, Evans Etrue, Giovanni Zappella","27 February, 2017",
1790,A Game of Dice: Machine Learning and the Question Concerning Art,Paul Todorov,"2 April, 2019",
1791,Spectral-graph Based Classifications: Linear Regression for Classification and Normalized Radial Basis Function Network,"Zhenfang Hu, Gang Pan, Zhaohui Wu","13 June, 2017",
1792,Labeler-hot Detection of EEG Epileptic Transients,"Lukasz Czekaj, Wojciech Ziembla, Pawel Jezierski, Pawel Swiniarski, Anna Kolodziejak, Pawel Ogniewski, Pawel Niedbalski, Anna Jezierska, Daniel Wesierski","2 April, 2019",
1793,Declarative Modeling and Bayesian Inference of Dark Matter Halos,Gabriel Kronberger,"2 June, 2013",
1794,Bayesian Learning for Low-Rank matrix reconstruction,"Martin Sundin, Cristian R. Rojas, Magnus Jansson, Saikat Chatterjee","23 January, 2015",
1795,Continuous-variable quantum neural networks,"Nathan Killoran, Thomas R. Bromley, Juan Miguel Arrazola, Maria Schuld, Nicols Quesada, Seth Lloyd","18 June, 2018",
1796,A Deep and Tractable Density Estimator,"Benigno Uria, Iain Murray, Hugo Larochelle","11 January, 2014",
1797,MotifMark: Finding Regulatory Motifs in DNA Sequences,"Hamid Reza Hassanzadeh, Pushkar Kolhe, Charles L. Isbell, May D. Wang","4 May, 2017",
1798,PID Parameters Optimization by Using Genetic Algorithm,"Andri Mirzal, Shinichiro Yoshii, Masashi Furukawa","4 April, 2012","ISTECS Journal, Vol. 8, pp. 34-43, 2006"
1799,The Knowledge Gradient Policy Using A Sparse Additive Belief Model,"Yan Li, Han Liu, Warren Powell","18 March, 2015",
1800,Falling Rule Lists,"Fulton Wang, Cynthia Rudin","1 February, 2015",
1801,Convolutional capsule network for classification of breast cancer histology images,"Tomas Iesmantas, Robertas Alzbutas","23 April, 2018",
1802,Estimating activity cycles with probabilistic methods I. Bayesian Generalised Lomb-Scargle Periodogram with Trend,"N. Olspert, J. Pelt, M. J. Kpyl, J. Lehtinen","13 March, 2018","A&A 615, A111 (2018)"
1803,Generalized Tensor Models for Recurrent Neural Networks,"Valentin Khrulkov, Oleksii Hrinchuk, Ivan Oseledets","30 January, 2019",
1804,Online Inference for Relation Extraction with a Reduced Feature Set,"Maxim Rabinovich, Cdric Archambeau","18 April, 2015",
1805,Evaluating the Search Phase of Neural Architecture Search,"Christian Sciuto, Kaicheng Yu, Martin Jaggi, Claudiu Musat, Mathieu Salzmann","21 February, 2019",
1806,Geometrical complexity of data approximators,"E. M. Mirkes, A. Zinovyev, A. N. Gorban","3 May, 2013","IWANN 2013, Advances in Computation Intelligence, Springer LNCS 7902, pp. 500-509, 2013"
1807,Dynamical Isometry and a Mean Field Theory of LSTMs and GRUs,"Dar Gilboa, Bo Chang, Minmin Chen, Greg Yang, Samuel S. Schoenholz, Ed H. Chi, Jeffrey Pennington","25 January, 2019",
1808,"Machine Learning, Clustering, and Polymorphy","Stephen Jose Hanson, Malcolm Bauer","27 March, 2013",
1809,Investigating echo state networks dynamics by means of recurrence analysis,"Filippo Maria Bianchi, Lorenzo Livi, Cesare Alippi","24 April, 2016",
1810,Bifidelity data-assisted neural networks in nonintrusive reduced-order modeling,"Chuan Lu, Xueyu Zhu","4 February, 2019",
1811,Learning to Cluster Faces on an Affinity Graph,"Lei Yang, Xiaohang Zhan, Dapeng Chen, Junjie Yan, Chen Change Loy, Dahua Lin","4 April, 2019",
