ID_A,ID_B,Flag,Title_A,Title_B,Year_A,Year_B,Authors_A,Authors_B
h1_DY_Cl0hoJ,journals/sigmod/FengJH01,,"Tapes Hold Data, Too: Challenges of Tuples on Tertiary Store. 1993 ACM SIGMOD Intl",Towards Knowledge-Based Digital Libraries,,2001,"MJ Carey, LM Haas, M Livny","L Feng, M Jeusfeld, J Hoppenbrouwers"
1GSbTn376m4J,conf/vldb/VorugantiOU99,,Algebraic K-theory of local number fields: the unramified case,An Adaptive Hybrid Server Architecture for Client Caching ODBMSs,,1999,"M Bokstedt, I Madsen","K Voruganti, M жzsu, R Unrau"
BCulIJ--MXwJ,journals/sigmod/Gal99,,"Opening Doors: Students' Perspectives on Juggling Work, Family, and College.",Semantic Interoperability in Information Services: Experiencing with CoopWARE,2002,1999,"L Matus-Grossman, S Gooden",A Gal
29APzgaC3f4J,conf/vldb/Kiessling02,,Query pre-execution and batching in paradise,Foundations of Preferences in Database Systems,,2002,"Y Yu, D Dewitt",W Kieпling
h13BbrmARE4J,conf/vldb/KonopnickiS95,,Detection and measurement of natural selection,W3QS: A Query System for the World-Wide Web,,1995,MT Clegg,"D Konopnicki, O Shmueli"
V_txOpIqGAcJ,conf/vldb/MarronL01,,"Globalization, institutional evolution and the Australian Federation",On Processing XML in LDAP,,2001,TJ Courchene,"P Marrѓn, G Lausen"
b3BfQ9qwfzAJ,conf/vldb/XinHLW03,,TQM and BPR: symbiosis and a new approach for integration,Star-Cubing: Computing Iceberg Cubes by Top-Down and Bottom-Up Integration,1997,2003,"SM Lee, A Asllani","D Xin, J Han, X Li, B Wah"
dsyfkuOWDkAJ,conf/sigmod/BabcockO03,,"The History of the National Bank of Greece, 1842-1902",Distributed Top-K Monitoring,1902,2003,JA Valaoritis,"B Babcock, C Olston"
J-wCX3qr5ugJ,conf/vldb/VriesDBA99,,From Mentor to Partner: Lessons from a Personal Journey,The Mirror MMDBMS Architecture,1998,1999,"R Hiemstra, RG Brockett","A Vries, M Doorn, H Blanken, P Apers"
A_CuTWh-U2MJ,conf/vldb/BohmMSW01,,Expanding Resources: Benefits to Colleges and Universities,Fast Evaluation Techniques for Complex Similarity Queries,2002,2001,AJ Larrance,"K Bіhm, M Mlivoncic, H Schek, R Weber"
O4VkdxKPElEJ,journals/sigmod/Franklin00a,,Use of hematocrit changes as an indicator of blood loss in adult trauma patients who receive  ,Editor's Notes,1995,2000,KS Oman,M Franklin
MjBWy9cGik4J,journals/sigmod/Snodgrass01,,Automated direct determination of copper in urine and whole blood by Zeeman corrected atomic  ,Chair's Message,,2001,P Dube,
QzCN26Jp988J,conf/vldb/Sterling98,,Sparse Bayesian Learning and the Relevance Vector Machine,The National Medical Knowledge Bank,,1998,ME Tipping,W Sterling
8ChXZdtnVZUJ,conf/vldb/LuoN01,,Thermoremanent magnetization. I. Experiments on single domain grains,Form-Based Proxy Caching for Database-Backed Web Sites,,2001,CWF Everitt,"Q Luo, J Naughton"
Wm-tlogB8yEJ,journals/sigmod/Jannink95,,MediSyn: A Synthetic Streaming Media Service Workload Generator,Implementing Deletion in B+-Trees,,1995,"W Tang, Y Fu, L Cherkasova, A Vahdat",J Jannink
NG9LBxb8CCoJ,journals/sigmod/Wade96,,Duplicate record elimination in large data files,Object Query Standards,1983,1996,"D Bitton, DJ DeWitt",A Wade
w_BgIOBeNOwJ,conf/sigmod/NguyenACP01,,Historical Themes and Activities for Primary Grades.,Monitoring XML Data on the Web,1989,2001,EW Reed,"B Nguyen, S Abiteboul, G Cobena, M Preda"
TNvF8X1XsSEJ,journals/sigmod/GamacheS95,,Adopting Self-Directed Learning in Continuing Professional Education: Physicians and Architects.,Addressing Techniques Used in Database Object Managers O2 and Orion,1994,1995,"GJ Confessore, SJ Confessore","A Gamache, N Sahraoui"
QhLuuWL074EJ,conf/vldb/PellenkoftLK97,,Cranberries for treating urinary tract infections,The Complexity of Transformation-Based Join Enumeration,2000,1997,"RG Jepson, L Mihaljevic, J Craig","A Pellenkoft, C Galindo-Legaria, M Kersten"
-0Lu8VIRYtEJ,conf/vldb/CeriM03,,SinghV (1997) A one-pass algorithm accurately estimating quantiles for disk-resident data,"Constructing and integrating data-centric Web Applications: Methods, Tools, and Techniques",,2003,"K Alsabti, S Ranka",
WvNsp5oCGgkJ,conf/sigmod/Blakeley96,,Complex exponents and log-periodic corrections in frustrated systems,Data Access for the Masses through OLE DB,1996,1996,"H Saleur, D Sornette",J Blakeley
rbP0F4UfMgEJ,conf/vldb/CherniackZ98,,Analysis of intermolecular disulfide bonds and free sulfhydryl groups in hepatitis B surface antigen ,Inferring Function Semantics to Optimize Queries,1997,1998,"CMT Mangold, F Unckell, M Werr, RE Streeck","M Cherniack, S Zdonik"
CPPVsRZ-7xcJ,conf/sigmod/ChenRW02,,A Temporary Increase in theNeutron Component of Cosmic Rays,XCache: a semantic caching system for XML queries,1950,2002,"N Adams, HJJ Braddick","L Chen, E Rundensteiner, S Wang"
T_VioB90ktoJ,conf/vldb/KornackerB95,,TR-98-35,High-Concurrency Locking in R-Trees,1998,1995,MSR Report,"M Kornacker, D Banks"
81jqbF3xMY0J,conf/sigmod/BornhovdAKMPR03,,Impact Testing and Simulation of a Crashworthy Composite Fuselage Section with Energy-Absorbing  ,DBCache: Middle-tier Database Caching for Highly Scalable e-Business Architectures,,2003,"EL Fasanella, KE Jackson","C Bornhіvd, M Altinel, S Krishnamurthy, C Mohan, H Pirahesh, B Reinwald"
-5Enj0qC1ioJ,journals/sigmod/Ozsoyoglu00,,Voice vs. Data: Estimates of Media Usage and Network Traffic,Vice Chair's Message,,2000,AM Noll,
2-LNY3JF23oJ,journals/sigmod/ArenasKKKMM03,,Using Large Data Bases for Interactive Problem Solving,The hyperion project: from data integration to data coordination,,2003,ED Carlson,"M Arenas, V Kantere, A Kementsietsidis, I Kiringa, R Miller, J Mylopoulos"
5bsmOwr6zjIJ,journals/vldb/LiR99,,Using the National Geography Standards to Integrate Children's Social Studies,Fast Joins Using Join Indices,1997,1999,JR Freese,"Z Li, K Ross"
QVlxK0I76fIJ,conf/sigmod/Bernstein96,,City of San Diego Land Guidance System. Design Guidelines/Final Public Review Draft,Repository System Engineering,1992,1996,C Associates,
DR1mDVXzfqwJ,conf/sigmod/CluetDSS98,,Hardware roundup: A look at 98 systems from 17 vendors,Your Mediators Need Data Conversion!,,1998,T Henkel,"S Cluet, C Delobel, J Simщon, K Smaga"
bgE49l3GL5sJ,conf/vldb/WangC03,,An extensible program representation for object-oriented software,Avoiding Ordering and Grouping In Query Processing,1994,2003,"BA Malloy, JD McGregor, A Krishnaswamy, M  ","X Wang, M Cherniack"
QHRUSoTn5QMJ,conf/sigmod/AgichteinGV01,,Standardising and validating high spatial resolution satellite data in the Kalahari rangelands of  ,Snowball: A Prototype System for Extracting Relations from Large Text Collections,,2001,OP Dube,"E Agichtein, L Gravano, J Pavel, V Sokolova, A Voskoboynik"
IbjBb2EeovEJ,journals/vldb/CombiP01,,The on-line detection of engine misfire at low speed using multiple feature fusion with fuzzy  ,HMAP - A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,2002,2001,"S Liu, F Gu, A Ball","C Combi, G Pozzi"
ACEnTRFnTEgJ,conf/vldb/JohnsonS94,,Enacting and deacting roles in agent programming,2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,,1994,"M Dastani, B van Riemsdijk, J Hulstijn, F Dignum,  ","T Johnson, D Shasha"
9X3-wBFUw_EJ,journals/sigmod/JacobS99,,Generative video: A meta video representation,FinTime - A Financial Time Series Benchmark,,1999,RS Jasinschi,"K Jacob, D Shasha"
rSXKRpDU1PwJ,journals/sigmod/Zhang95,,Saul Bellow: An Interview,Application of OODB and SGML Techniques in Text Database: An Electronic Dictionary System,1965,1995,"JJ Enck, S Bellow",J Zhang
swPpkmm8SdYJ,conf/vldb/OzdenBRS94,,Dynamic itemset counting and implication rules for market basket data,A Low-Cost Storage Server for Movie on Demand Databases,1997,1994,"S Brin, R Motwani, JD Ullman, S Tsur","B жzden, A Biliris, R Rastogi, A Silberschatz"
Ytm4aq-pojMJ,journals/vldb/MehtaGPN98,,Isomorphism of complete sets,The OODB Path-Method Generator (PMG) Using Access Weights and Precomputed Access Relevance,,1998,M Dowd,"A Mehta, J Geller, Y Perl, E Neuhold"
kVoIPm4_fSYJ,conf/vldb/SevcikK96,,"23rd, US Pharmacopeial Convention, Rockville",Filter Trees for Managing Spatial Data over a Range of Size Granularities,,1996,US Pharmacopeia,"K Sevcik, N Koudas"
beJRmhvYex8J,conf/vldb/GarofalakisG01,,"Software evolution: past, present and future",Approximate Query Processing: Taming the TeraBytes,,2001,K Bennett,"M Garofalakis, P Gibbons"
la3xEtvdvtQJ,conf/vldb/ChristopheBPV00,,Commitment in Organizations: A Normative View,PicoDMBS: Scaling Down Database Techniques for the Smartcard,1982,2000,Y Wiener,"C Bobineau, L Bouganim, P Pucheral, P Valduriez"
6An9UGypjZQJ,conf/vldb/ZhangL97,,"Geologic map of the Oat Mountain and Canoga Park (north 1/2) quadrangles, Los Angeles County,  ",Dynamic Memory Adjustment for External Mergesort,,1997,TW Dibblee Jr,"W Zhang, P Larson"
TorCz8U0joEJ,conf/sigmod/MatiasVW98,,"Compelled association: Public standing, self-respect, and the dynamic of exclusion",Wavelet-Based Histograms for Selectivity Estimation,,1998,N Rosenblum,"Y Matias, J Vitter, M Wang"
jtqySrdz8lcJ,conf/vldb/LeeWMS02,,"Toward a General Spatial Data Model for an Object-Oriented DBMS, 12th Int",A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,,2002,"F Manola, JA Orenstein","Y Lee, K Whang, Y Moon, I Song"
dglW2yynmcUJ,conf/sigmod/HsuLG00,,Discrimination between different kind of surface defects on compact discs,Image Mining in IRIS: Integrated Retinal Information System,2003,2000,"PF Odgaard, MV Wickerhauser","W Hsu, M Lee, K Goh"
EgCh_nq8eYwJ,journals/tods/BohlenJS00,,Conversational Sales Assistant for Online Shopping,Temporal statement modifiers,,2000,"M Budzikowska, J Chai, S Govindappa, V Horvath, N  ","M Bіhlen, C Jensen, R Snodgrass"
zfqninT7qF8J,conf/vldb/PedersenJD00,,A kinetic study of CVD-WSix processes.* the comparison of WF /SiH  and WF /Si  H  processes,The TreeScape System: Reuse of Pre-Computed Aggregates over Irregular OLAP Hierarchies,,2000,"T Saito, K Oshima, Y Shimogaki, Y Egashira, H  ","T Pedersen, C Jensen, C Dyreson"
WrvO_uy4kVwJ,journals/sigmod/Franklin99a,,Mobility intention and subsequent relocation,Editor's Notes,,1999,E Moore,M Franklin
Z-7DA2t_2BMJ,journals/vldb/AtzeniM00,,Relationship of Success and Expectation to Affect on Goal-Seeking Tasks,Guest Editorial: Databases and the Web,,2000,EA Locke,
url:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi3Fcmd3DRetrieve26db3DPubMed26list_uids3D1280952126dopt3DCitation,journals/sigmod/Aberer02,,Chemical biology of signal transduction.,Book Review Column,2003,2002,DS Lawrence,K Aberer
UQvqFjeNgsUJ,conf/vldb/BasuFP00,,Designing Robust Sample Interfacing Equipment for Infrared Process Analysis,Building Scalable Internet Applications with Oracle8i Server,1997,2000,"WM Doyle, NA Jennings","J Basu, J Fernсndez, O Peschansky"
PznaJPzLd7cJ,journals/vldb/RahmB01,,"Independent Study, Fieldwork, and Peer Teaching.",A survey of approaches to automatic schema matching,1986,2001,PG Friedman,"E Rahm, P Bernstein"
ZmBdBEEcdqEJ,journals/vldb/CatarciSC97,,Q: A Scenario Description Language for Interactive Agents,Graphical Interaction with Heterogeneous Databases,,1997,T Ishida,"T Catarci, G Santucci, J Cardiff"
q7N4DNZnr1EJ,conf/vldb/GallersdorferN95,,Antiplatelet therapy for preventing stroke in patients with nonvalvular atrial fibrillation and no  ,Improving Performance in Replicated Databases through Relaxed Coherency,2000,1995,"O Benavente, R Hart, P Koudstaalâ?¦","R Gallersdіrfer, M Nicola"
mpwObK7WpWcJ,journals/sigmod/ArpinarD00,,andThomasOâ??Hara. 1999. Developmentanduseofagold-standarddatasetforsubjectivity classifications.  ,Provision of Market Services for eCo Compliant Electronic Market Places,,2000,RB JanyceWiebe,"S Arpinar, A Dogac"
I6UI3qWKdAsJ,journals/sigmod/LuoI02,,A framework for opportunistic scheduling in wireless networks,Interviewing During a Tight Job Market,2003,2002,"X Liu, EKP Chong, NB Shroff",
oUxBRmvQV6sJ,journals/sigmod/Liu01b,,"Accuracy, Completeness and Adjustment of the 1973 Burma Censusâ??, seminar paper",Editor's Notes,,2001,M Maung,L Liu
1nA_Y_0Hop8J,conf/vldb/CiliaHB02,,Educational therapy.,Profiling and Internet Connectivity in Automotive Environments,1966,2002,J Hellmuth,"M Cilia, P Hasselmayer, A Buchmann"
lA0mVNQ90pgJ,journals/vldb/SuHHHLWLPLL01,,"VOUSD.Â¢, P.(1949)",An Internet-based negotiation server for e-commerce,,2001,"HE Kay, P Vousden","S Su, C Huang, J Hammer, Y Huang, H Li, L Wang, Y Liu, C Pluempitiwiriyawej, M Lee, H Lam"
fX2cmd-DJykJ,journals/sigmod/CoxEH96,,Report of the Committee on Plant Diseases,3D Geographic Network Displays,,1996,P Neergard,"K Cox, S Eick, T He"
w1fgI2c8kkUJ,conf/sigmod/GarofalakisRRS99,,GPS carrier phase ambiguity resolution over long baselines,"Of Crawlers, Portals, Mice and Men: Is there more to Mining the Web? (Panel)",,1999,"PL Bender, DR Larden","M Garofalakis, S Ramaswamy, R Rastogi, K Shim"
ldXldgF-FDYJ,journals/sigmod/NejdlSS03,,Linking program theory and social science theory,Design issues and challenges for RDF- and schema-based peer-to-peer systems,,2003,LJC Riggin,"W Nejdl, W Siberski, M Sintek"
IXO8f3i-f3QJ,journals/sigmod/Lomet98,,Development of CdZnTe detector systems for space applications,B-tree Page Size When Caching is Considered,2003,1998,I Kuvvetli,D Lomet
EWzSBh-jV3IJ,journals/vldb/OoiHLT96,,Continuous queries over data streams,Index Nesting - An Efficient Approach to Indexing in Object-Oriented Databases,,1996,"J Widom, S Babu","B Ooi, J Han, H Lu, K Tan"
0qvtGkeocmQJ,conf/vldb/SahuguetA99,,The Return on Quality Investment.,Building Light-Weight Wrappers for Legacy Web Data-Sources Using W4F,1994,1999,D Seymour,"A Sahuguet, F Azavant"
rKtupghYat8J,conf/vldb/GarofalakisRS99,,Nonlinear theory of elasticity and the linearized case for a body under initial stress,SPIRIT: Sequential Pattern Mining with Regular Expression Constraints,,1999,MA Biot,"M Garofalakis, R Rastogi, K Shim"
dwKj1Vb1W8QJ,conf/sigmod/BrodskyK95,,Crosscorrelation properties of pseudorandom and related sequences,The LyriC Language: Querying Constraint Objects,,1995,"DV Sarwate, MB Pursley","A Brodsky, Y Kornatzky"
AzQJ6a5VCU8J,journals/vldb/HuangDT99,,"Boron distribution in hot springs, volcanic emanations, marine evaporites and in volcanic and  ",Constant Time Permutation: An Efficient Block Allocation Strategy for Variable-Bit-Rate Continuous Media Data,1986,1999,MG Stamatakis,"Y Huang, J Ding, S Tsao"
IavaznIGSC8J,conf/vldb/AgrawalSX01,,Write-only disk caches,Storage and Querying of E-Commerce Data,1990,2001,"JA Solworth, CU Orji","R Agrawal, A Somani, Y Xu"
Ww30Sub3O9cJ,conf/vldb/GardarinGT96,,The journey beyond life,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,,1996,"MR Sorensen, DR Willmore","G Gardarin, J Gruser, Z Tang"
xD5IcT_o4LAJ,conf/sigmod/MumickP94,,A Logic Framework of Implementing Mass Customization [A],Implementation of Magic-sets in a Relational Database System,2004,1994,"Z Tang, R Chen, X Ji","I Mumick, H Pirahesh"
Urnpu4L7HQcJ,conf/vldb/MignetMAC01,,Teaching teamwork: exploring the use of cooperative learning teams in information systems education,Change-Centric Management of Versions in an XML Warehouse,1996,2001,JW Fellers,"A Marian, S Abiteboul, G Cobena, L Mignet"
Aq43Kb3xYF4J,conf/sigmod/CatarciS01,,"The Component Attenuation Model for Low and Moderate Seismic Regions, Procs. of the 2003 Pacific  ",The Prototype of the DARE System,,2001,"NTK Lam, JL Wilson","T Catarci, G Santucci"
SIBGv4_WPrIJ,conf/vldb/WuFSP00,,Toward a General Modular Systems Theory and Its Application to Interfirm Product Modularity,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,2000,2000,MA Schilling,"L Wu, C Faloutsos, K Sycara, T Payne"
ZQsPyVH7MW4J,conf/sigmod/AcharyaPR99,,"Communism, Conformity, and Civil Liberties",Selectivity Estimation in Spatial Databases,,1999,S Stouffer,"S Acharya, V Poosala, S Ramaswamy"
y41ePeSw6zYJ,conf/sigmod/SarawagiTA98,,A version of the Teacher Observation of Classroom Adaptation for use with preschoolers,Integrating Mining with Relational Database Systems: Alternatives and Implications,,1998,"C Kam, M Greenberg","S Sarawagi, S Thomas, R Agrawal"
1zgqAaZv3NAJ,conf/vldb/ShivakumarGC98,,  and Implementation of Advanced Knowledge Processing in the KDMS KRISYS (Demonstration Description).,Filtering with Approximate Predicates,,1998,"ACMS Anthology, P Edition","N Shivakumar, H Garcia-Molina, C Chekuri"
QJpuEnO0QJUJ,journals/vldb/MedjahedBBNE03,,Gibbs. Concurrency control in groupware systems,Business-to-business interactions: issues and enabling technologies,,2003,"CA Ellis, J Simon","B Medjahed, B Benatallah, A Bouguettaya, A Ngu, A Elmagarmid"
url:http://doi.wiley.com/10.1002/ev.1477,conf/sigmod/BabuGR01,,Mental health program evaluation and needs assessment,SPARTAN: A Model-Based Semantic Compression System for Massive Data Tables,1988,2001,"JA Ciarlo, C Windle","S Babu, M Garofalakis, R Rastogi"
4WPcK4TjZ9MJ,conf/sigmod/GarofalakisG02,,TR-94-09,Wavelet synopses with error guarantees,,2002,MSR Report,"M Garofalakis, P Gibbons"
3cGrRUBStJ8J,conf/sigmod/GravanoGT94,,â??A Simulation Model for Distributed Real-Time Databases â??,The Effectiveness of GlOSS for the Text Database Discovery Problem,,1994,"Ã? Ulusoy, GG Belford","L Gravano, H Garcia-Molina, A Tomasic"
i5mKqKyCsdUJ,conf/sigmod/ColeG94,,"The windows way to Web services, Microsoft's Web services approach may be the easiest but at what  ",Optimization of Dynamic Query Evaluation Plans,,1994,T Yager,"R Cole, G Graefe"
u5IqiSYfNCwJ,journals/vldb/ZezulaSAR98,,Mechanisms for quality of service in Web clusters,Approximate Similarity Retrieval with M-Trees,2001,1998,"V Cardellini, E Casalicchio, M Colajanni, S Tucci","P Zezula, P Savino, G Amato, F Rabitti"
iGOidXTZ6tMJ,conf/sigmod/HanPLJ01,,Geometry scaling of the substrate loss of RF MOSFETs,DNA-Miner: A System Prototype for Mining DNA Sequences,,2001,"LF Tiemeijer, DBM Klaassen","J Han, H Jamil, Y Lu, L Chen, Y Liao, J Pei"
qtiXLjb0b2QJ,conf/sigmod/ProcopiucJAM02,,"W., Myers",A Monte Carlo algorithm for fast projective clustering,,2002,"HN Dunning, J Moore","C Procopiuc, M Jones, P Agarwal, T Murali"
MScVZGOF4iYJ,conf/vldb/HaberIL95,,Is There a Preference-Shaping Effect of Law,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,2002,1995,P Funk,"E Haber, Y Ioannidis, M Livny"
6PJ3Z8GS3CsJ,conf/sigmod/Mohan02,,In their own voices: Women learning about their own development,Tutorial: application servers and associated technologies,1995,2002,C Marienau,
jqjbNiPfFfUJ,conf/vldb/Gupta96,,Five Themes in Geography and the Primary-Grade Learner.,The Changing Landscape of the Software Industry and its Implications for India,1988,1996,"CL Salter, C Riggs-Salter",U Gupta
yotsUgKBK44J,conf/vldb/ShivakumarGC98,,Microsoft Universal Data Access Platform,Filtering with Approximate Predicates,,1998,"JA Blakeley, MJ Pizzo","N Shivakumar, H Garcia-Molina, C Chekuri"
aKdyVybH7o4J,conf/sigmod/LarsonG03,,"Explosion products content of water and soil samples taken on Vieques Island, Puerto Rico. White Oak ",Transparent Mid-Tier Database Caching in SQL Server,,2003,MG Lai,"P Larson, J Goldstein, J Zhou"
x31dEHQ6ScAJ,journals/sigmod/Stacey95,,14â??18 November 1993. The Fifth ACM Conference on Hypertext Proceedings,"Replication: DB2, Oracle, or Sybase?",,1995,"ACM SIGLINK, S SIGIR",D Stacey
i-l5jk0yndYJ,conf/sigmod/ViglasN02,,On (he Expressive Power of Logic Progrumming Languages with SCIS,Rate-based query optimization for streaming information sources,,2002,GM Kupcr,"S Viglas, J Naughton"
O3EBn8zEBEQJ,conf/sigmod/RoySSB00,,Probability fusion for correlated multimedia streams,Efficient and Extensible Algorithms for Multi Query Optimization,2004,2000,"PK Atrey, MS Kankanhalli","P Roy, S Seshadri, S Sudarshan, S Bhobe"
3YjSxkMfaVMJ,conf/sigmod/Team99,,"An Application of the Optical Videodisc to Computer Graphics Laboratory,&quot;",In-Memory Data Management for Consumer Transactions The Times-Ten Approach,,1999,"A Lippman, M Maps",T Team
LFQKjNUYTuYJ,conf/vldb/LudascherMP02,,On the statistics of individual variations of productivity in research laboratories,A Transducer-Based XML Query Processor,,2002,W Shockley,"B Ludфscher, P Mukhopadhyay, Y Papakonstantinou"
gBHMZjdf0IUJ,journals/vldb/StonebrakerALPSSSY96,,Seismic tomographyâ??Determination of high and low velocity zones beneath Greece and surrounding  ,Mariposa: A Wide-Area Distributed Database System,1989,1996,G Drakatos,"M Stonebraker, P Aoki, W Litwin, A Pfeffer, A Sah, J Sidell, C Staelin, A Yu"
SQ02NlE587YJ,journals/vldb/NguSHL01,,"R., and Livny, M. 1996. BIRCH: An efficient data clustering method for very large databases",Combining multi-visual features for efficient indexing in a large image database,,2001,TR Zhang,"A Ngu, Q Sheng, D Huynh, R Lei"
WOgyT-mlYCYJ,journals/sigmod/MotroA03,,"Posted at Hensley Exchange website,(located at www. myfamily. com),&quot;",Report on FQAS 2002: fifth international conference on flexible query answering systems,,2003,J Taylor-Hughes,
y7h0ORpnQ8EJ,conf/sigmod/SeidlK98,,Road Traffic Noiseâ??Nordic Prediction Method,Optimal Multi-Step k-Nearest Neighbor Search,,1998,"H Jonasson, H Nielsen","T Seidl, H Kriegel"
1rwcMOSUGrUJ,conf/vldb/LabrinidisR01,,A Real Options Logic for Initiating Technology Positioning Investments,Update Propagation Strategies for Improving the Quality of Data on the Web,1997,2001,RG McGrath,"A Labrinidis, N Roussopoulos"
_hb7jvkdltcJ,conf/vldb/XieH94,,Special Topic Section on Peer to Peer Data Management,Join Index Hierarchies for Supporting Efficient Navigations in Object-Oriented Databases,,1994,K Aberer,"Z Xie, J Han"
yUYk0uWMfQAJ,conf/sigmod/ShenNSHS03,,Multidatabase interoperability in the Jupiter system,CMVF: A Novel Dimension Reduction Scheme for Efficient Indexing in A Large Image Database,1995,2003,"J Murphy, J Grimson","J Shen, A Ngu, J Shepherd, D Huynh, Q Sheng"
qe96KYu2HvkJ,conf/vldb/ZhangL97,,Disclosure in hippocratic databases,Dynamic Memory Adjustment for External Mergesort,,1997,"K LeFevre, R Agrawal, V Ercegovac, R Ramakrishnan, ","W Zhang, P Larson"
ay3HpanI4QUJ,conf/vldb/JagadishLRSS94,,An Insiderâ??s Look at Homeland Security and Technology,Dalэ: A High Performance Main Memory Storage Manager,,1994,L Ulanoff,"H Jagadish, D Lieuwen, R Rastogi, A Silberschatz, S Sudarshan"
TmR1ONGdkpkJ,conf/vldb/ChaudhuriG99,,"A., McCarthy, J., D.(2003). Shiny Happy People Building Trust? Photos On e-Commerce Web site and  ",Evaluating Top-k Selection Queries,,1999,"J Riegelsberger, M Sasse","S Chaudhuri, L Gravano"
rnFt_--hj10J,conf/sigmod/LivnyRBCDLMW97a,,Microsoft Visual C++ owner's manual version 5.0,DEVise: Integrated Querying and Visual Exploration of Large Datasets (Demo Abstract),1997,1997,B Zaratian,"M Livny, R Ramakrishnan, K Beyer, G Chen, D Donjerkovic, S Lawande, J Myllymaki, R Wenger"
NJEcpeLRZvcJ,journals/sigmod/DongS00,,Advances in Inorganic Chemistry and Radiochemistry,Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,,2000,"G HARBOTTLE, N Sutin","G Dong, J Su"
x35cpEuujxEJ,conf/sigmod/MassariPSC95,,Objectives to Direct the Training of Emergency Medicine Residents in Pediatric Emergency Medicine,QBI: Query By Icons,1993,1995,"JI Singer, GC Hamilton","A Massari, S Pavani, L Saladini, P Chrysanthis"
m3IOf6RNfrsJ,conf/vldb/FlodinR95,,Framework for Mobile Users,Processing Object-Oriented Queries with Invertible Late Bound Functions,,1995,"J Mysore, VVARS Orchestration","S Flodin, T Risch"
jVWhNoPA0CcJ,conf/sigmod/BerensonBGMOO95,,Designing an ultra highly available DBMS,A Critique of ANSI SQL Isolation Levels,,1995,"O Torbjornsen, S Bratsberg","H Berenson, P Bernstein, J Gray, J Melton, E O'Neil, P O'Neil"
3ALYN2sXrmEJ,conf/sigmod/ShanmugasundaramNSR99,,A Sound and Complete Query Evaluation Algorithm for Relational Databases with Null Values,Efficient Concurrency Control for Broadcast Environments,,1999,LY Yuan,"J Shanmugasundaram, A Nithrakashyap, R Sivasankaran, K Ramamritham"
3M6loXLLjPYJ,journals/sigmod/Ozsu02a,,Red water organisms: their occurrence and influence upon marine aquatic animals. With special  ,Chair's Message,,2002,WH Nightingale,
Y5XZDa-_eLkJ,journals/sigmod/KokkotosIPS95,,On user criteria for data model evaluation,On the Issue of Valid Time(s) in Temporal Databases,1976,1995,WC McGee,"S Kokkotos, E Ioannidis, T Panayiotopoulos, C Spyropoulos"
ziXpcCxvcWcJ,conf/vldb/CherniackZ98,,Empathy-based helping: Is it selflessly or selfishly motivated,Inferring Function Semantics to Optimize Queries,1987,1998,"RB Cialdini, M Schaller, D Houlihan, K Arps, J  ","M Cherniack, S Zdonik"
SytEgEp-ZQwJ,conf/vldb/GibsonKR98,,Design for testability-A survey,Clustering Categorical Data: An Approach Based on Dynamical Systems,1983,1998,"TW Williams, KP Parker","D Gibson, J Kleinberg, P Raghavan"
zVEpnkvdHhIJ,journals/vldb/AtzeniM00,,Infrared antennas coupled to lithographic Fresnel zone plate lenses,Guest Editorial: Databases and the Web,,2000,"FJ GonzÃ¡lez, J Alda, B Ilic, GD Boreman",
5urmlImjwyYJ,conf/vldb/CeriFP99,,Marked-union algorithm for load balancing in hypercubic distributed hash tables with heterogeneous  ,"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications",,1999,"J Liu, M Adler","S Ceri, P Fraternali, S Paraboschi"
U9tDRbbUCSYJ,journals/sigmod/Wiegand02,,Building XML web services for the Microsoft. NET platform,Investigating XQuery for Querying Across Database Object Types,2002,2002,S Short,N Wiegand
7mH8843xuMQJ,conf/vldb/VenkataramanZ98,,Combined vitamin B6-magnesium treatment in autism spectrum disorder,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,2002,1998,"C Nye, A Brice","S Venkataraman, T Zhang"
RR7eZMq0fNcJ,journals/vldb/C94b,,The Impact of CASE on IS Professionals' Work and Motivation to Use CASE,"Title, Foreword",,1994,"J Iivari, J Maansaari",
pwr5AgQ-QAIJ,conf/sigmod/JonssonFS98,,Automating the Generation and Sequencing of Test Cases from Larch Specification,Interaction of Query Evaluation and Buffer Management for Information Retrieval,,1998,"VS Alagar, A Celer","B Jѓnsson, M Franklin, D Srivastava"
B6_w4LdvNaoJ,journals/sigmod/WestmannKHM00,,Disturbance rejection in nonlinear systems: examples,The Implementation and Performance of Compressed Databases,,2000,KM Passino,"T Westmann, D Kossmann, S Helmer, G Moerkotte"
imejqZ0ZlAUJ,conf/vldb/SrikantA95,,QoS control versus generous dimensioning,Mining Generalized Association Rules,2005,1995,DM Johnson,"R Srikant, R Agrawal"
