Name_A,Votes_A,Rating_A,Phone_A,Address_A,Zipcode_A,Cuisine_A,Name_B,Votes_B,Rating_B,Phone_B,Address_B,Zipcode_B,Cuisine_B,Gold
Perkins Restaurant & Bakery,8,2.5,(608) 251-7550,"1410 Damon Rd, Madison",53713,American,Perkins Restaurant & Bakery,20,2.5,(608) 251-7550,1410 Damon Rd,53713,American (Traditional),1
Antique Taco,161,3.9,(773) 687-8697,"1360 N. Milwaukee Avenue, Chicago",60622,Taco,Antique Taco,750,4.0,(773) 687-8697,1360 N Milwaukee Ave,60622,Mexican,1
Hong Kong Cafe,144,3.6,(608) 259-1668,"2 S Mills St, Madison",53715,"Asian, Chinese",Hong Kong Cafe,43,3.5,(608) 259-1668,2 S Mills St,53715,Chinese,1
HomeTown Buffet,69,3.2,(608) 244-3632,"1745 Parkside Dr, Madison",53704,American,HomeTown Buffet,22,2.5,(608) 244-3632,1745 Parkside Dr,53704,Buffets,1
Vickery Park,129,3.6,(214) 827-1432,"2810 N Henderson Avenue, Dallas",75206,American,Vickery Park,243,4.0,(214) 827-1432,2810 N Henderson Ave,75206,Bars,1
Toro Sushi,518,4.0,(773) 348-4877,"2546 N. Clark Street, Chicago",60614,"Japanese, Sushi",Toro Sushi,905,4.0,(773) 348-7255,2546 N Clark St,60614,Sushi Bars,1
The Grape,380,3.8,(214) 828-1981,"2808 Greenville Avenue, Dallas",75206,New American,The Grape Restaurant,402,4.0,(214) 828-1981,2808 Greenville Ave,75206,American (New),1
Buona Terra,245,4.2,(773) 289-3800,"2535 N. California Avenue, Chicago",60647,Italian,Buona Terra Ristorante,510,4.5,(773) 289-3800,2535 N California Ave,60647,Italian,1
Gato,25,3.5,(212) 334-6400,"324 Lafayette Street, New York",10012,"Mediterranean, Spanish",Gato,533,4.0,(212) 334-6400,324 Lafayette St,10012,Mediterranean,1
The Mint,213,3.3,(214) 219-6468,"4246 Oak Lawn Avenue, Dallas",75219,"Asian, Desserts, Thai",The Mint,196,4.0,(214) 219-6468,4246 Oak Lawn Ave,75219,Thai,1
GT Fish & Oyster,212,3.9,(312) 929-3501,"531 N. Wells Street, Chicago",60654,"American, Seafood",GT Fish & Oyster,1047,4.0,(312) 929-3501,531 N Wells St,60654,Seafood,1
Village Pizzeria,157,3.8,(323) 465-5566,"131 N Larchmont Blvd, Los Angeles",90004,"Italian, Pizza",Village Pizzeria,993,4.0,(323) 465-5566,131 N Larchmont Blvd,90004,Pizza,1
The Good Fork,211,3.8,(718) 643-6636,"391 Van Brunt Street, Brooklyn",11231,"American, Korean",The Good Fork,290,4.0,(718) 643-6636,391 Van Brunt St,11231,American (New),1
Rose Water,130,3.8,(718) 783-3800,"787 Union Street, Brooklyn",11215,New American,Rose Water Restaurant,422,4.0,(718) 783-3800,787 Union St,11215,American (New),1
Ocean Prime,225,3.3,(214) 965-0440,"2101 Cedar Springs Road, Dallas",75201,"Seafood, Steakhouse",Ocean Prime,289,4.0,(214) 965-0440,2101 Cedar Springs Rd,75201,Seafood,1
Draft House Bar & Restaurant,95,3.5,(608) 848-3158,1010 Enterprise Dr,53593,"American, Burger, Sandwich",Draft House Bar & Restaurant,31,3.5,(608) 848-3158,1010 Enterprise Dr,53593,American (Traditional),1
Laurel Tavern,61,3.6,(608) 233-1043,"2505 Monroe St, Madison",53711,"American, Bar Food",Laurel Tavern,28,3.0,(608) 233-1043,2505 Monroe St,53711,American (Traditional),1
Piggie Pies Pizza & Pasta,141,3.4,(214) 821-6465,"5315 Greenville Avenue, Dallas",75206,Italian,Piggie Pies Pizza & Pasta,150,4.0,(214) 821-6465,5315 Greenville AveSte 120B,75206,Pizza,1
Wirtshaus,39,3.9,(323) 931-9291,"345 N La Brea Ave, Los Angeles",90036,German,Wirtshaus,472,4.0,(323) 931-9291,345 N La Brea Ave,90036,German,1
Bestia,102,4.0,(213) 514-5724,"2121 7th Pl, Los Angeles",90021,Italian,Bestia,2407,4.5,(213) 514-5724,2121 E 7th Pl,90021,Italian,1
Uchi,18,3.3,(214) 855-5454,"2817 Maple Avenue, Dallas",75201,"Japanese, Sushi",Uchi,196,4.5,(214) 855-5454,2817 Maple Ave,75201,Japanese,1
Cemitas Puebla,16,3.0,(312) 455-9200,"817 W. Fulton Market, Chicago",60607,Mexican,Cemitas Puebla,119,4.0,(312) 455-9200,817 W Fulton Market,60607,Mexican,1
Picca Peruvian Cantina,237,4.1,(310) 277-0133,"9575 W Pico Blvd, Los Angeles",90035,Peruvian,Picca,1190,4.0,(310) 277-0133,9575 W Pico Blvd,90035,Peruvian,1
Cento,40,3.4,(608) 284-9378,"122 W Mifflin St, Madison",53703,Italian,Cento,119,4.0,(608) 284-9378,122 W Mifflin St,53703,Italian,1
Super Chix,6,2.7,(972) 788-0660,"14999 Preston Road, Suite 226 D, Dallas, TX",75254,American,Super Chix,137,4.0,(972) 788-0660,14999 Preston RdSte 226,75254,Ice Cream & Frozen Yogurt,1
Chego,174,4.5,(310) 287-0337,"727 North Broadway, Los Angeles",90012,"Asian, Korean",Chego!,987,4.0,(323) 380-8680,727 N BroadwayUnit 117,90012,Asian Fusion,1
Crossroads at House of Blues,31,3.1,(214) 978-2583,"2200 N Lamar Street, Dallas",75202,American,House of Blues,321,3.5,(214) 978-2583,2200 N Lamar St,75202,Music Venues,1
The Free House Pub,77,3.7,(608) 831-5000,1902 Parmenter Street,53562,American,The Free House Pub,75,4.0,(608) 831-5000,1902 Parmenter St,53562,American (New),1
20 Feet Seafood Joint,112,3.8,(972) 707-7442,"1160 Peavy Road, Dallas",75218,Seafood,20 Feet Seafood Joint,280,4.0,(972) 707-7442,1160 Peavy Rd,75218,Seafood,1
Bryan Street Tavern,95,3.9,(214) 821-4447,"4315 Bryan Street, Dallas",75204,"American, Pizza, Pub Food",Bryan Street Tavern,216,4.0,(214) 821-4447,4315 Bryan St,75204,Pizza,1
Taco Bros,7,3.0,(608) 422-5075,"604 University Ave, Madison",53715,"Mexican, California",The Taco Bros,26,4.0,(608) 422-5075,604 E University Ave,53715,Mexican,1
Original Pancake House,295,3.9,(608) 231-3666,"5518 University Ave, Madison",53705,Breakfast,Original Pancake House,98,4.0,(608) 231-3666,5518 University Ave,53705,Breakfast & Brunch,1
The Capital Grille,267,3.5,(214) 303-0500,"500 Crescent Court, Dallas",75201,"Seafood, Steakhouse",The Capital Grille,268,4.5,(214) 303-0500,500 Crescent Ct,75201,Steakhouses,1
Yu Chun Chic Naeng Myun,16,3.4,(213) 382-3815,"3185 W Olympic Blvd, Los Angeles",90006,Korean,Yu Chun Chic Naeng Myun,679,4.0,(213) 382-3815,3185 W Olympic Blvd,90006,Korean,1
Pizzanista!,54,3.3,(213) 627-1430,"2019 E. 7th St., Los Angeles",90021,"Pizza, Vegetarian",Pizzanista!,491,4.0,(213) 627-1430,2019 E 7th St,90021,Pizza,1
Carriage House,70,3.5,(773) 384-9700,"1700 W. Division Street, Chicago",60622,Southern,Carriage House,487,4.0,(773) 384-9700,1700 W Division St,60622,Southern,1
Badger Bowl,6,2.9,(608) 274-6662,"506 E. Badger Rd., Madison",53713,,Badger Bowl,13,3.5,(608) 274-6662,506 E Badger Rd,53713,"Bowling,Locales para eventos,Hoteles",1
Tanoshii Ramen & Bar,66,3.2,(214) 651-6800,"2724 Commerce Street, Dallas",75226,"Japanese, Ramen",Tanoshii Ramen,341,3.0,(214) 651-6800,2724 Commerce St,75226,Ramen,1
Redbird,24,3.4,(213) 788-1191,"114 E 2nd St, Los Angeles",90012,American,Redbird,372,4.0,(213) 788-1191,114 E 2nd St,90012,Cocktail Bars,1
Stanton Social,472,4.0,(212) 995-0099,"99 Stanton Street, New York",10002,"New American, International",The Stanton Social,2149,4.0,(212) 995-0099,99 Stanton St,10002,Tapas/Small Plates,1
Green House Market,12,3.2,(214) 809-5977,"8687 North Central Expressway, Dallas",75225,"Coffee and Tea, Sandwich, Healthy Food",Green House Market,81,4.5,(214) 809-5977,8687 N Central Expy,75225,American (New),1
The Factory Kitchen,33,3.4,(213) 996-6000,"1300 Factory Place # 101, Los Angeles",90013,Italian,The Factory Kitchen,555,4.0,(213) 996-6000,1300 Factory PlSte 101,90013,Italian,1
Seasons 52,40,3.6,(214) 361-5252,"NorthPark Mall, 8687 North Central Expressway, Suite B307, Dallas",75225,New American,Seasons 52,152,4.0,(214) 361-5252,8687 N Central ExpySte  B307,75225,American (New),1
JiST Cafe,7,3.2,(213) 792-2116,"116 Judge John Aiso St., Los Angeles",90012,Breakfast,JiST Cafe,505,4.0,(213) 792-2116,116 Judge John Aiso St,90012,American (New),1
Sweet Maple Cafe,251,3.8,(312) 243-8908,"1339 W. Taylor Street, Chicago",60607,American,Sweet Maple Cafe,537,4.0,(312) 243-8908,1339 W Taylor St,60607,American (Traditional),1
RPM Italian,300,3.7,(312) 222-1888,"52 W. Illinois Street, Chicago",60654,Italian,RPM Italian,1631,4.0,(312) 222-1888,52 W Illinois St,60654,Italian,1
Elbow Room,65,4.2,(214) 828-9488,"3010 Gaston Avenue, Dallas",75226,"American, Pizza",The Elbow Room,126,4.0,(214) 828-9488,3010 Gaston Ave,75226,Dive Bars,1
Boqueria,658,3.7,(212) 255-4160,"53 W 19th Street, New York",10011,"Spanish, Tapas",Boqueria,789,4.0,(212) 255-4160,53 W 19th St,10011,Spanish,1
Marrakesh Restaurant,35,3.3,(608) 238-7111,"5510 University Ave, Madison",53705,"Mediterranean, Middle Eastern, Moroccan",Marrakesh,25,2.5,(608) 238-7111,5510 University Ave,53705,Moroccan,1
Bolsa,786,3.8,(214) 367-9367,"614 W Davis Street, Suite 100, Dallas",75208,New American,Bolsa Mercado,100,4.5,(214) 942-0451,634 W Davis St,75208,Cafes,1
The Standard Pour,53,3.3,(214) 935-1370,"2900 McKinney Avenue, Dallas",75204,American,The Standard Pour,212,3.5,(214) 935-1370,2900 McKinney Ave,75204,Lounges,1
Players Sports Bar & Grill,15,3.2,(608) 244-9722,"2013 Winnebago St, Madison",53704,Bar Food,Players Sports Bar,17,4.5,(608) 244-9722,2013 Winnebago St,53704,Sports Bars,1
Dunlays on Clark,153,3.7,(773) 883-6000,"2600 N. Clark Street, Chicago",60614,American,Dunlays on Clark,360,4.0,(773) 883-6000,2600 N Clark St,60614,Burgers,1
El Carmen,62,4.0,(323) 852-1552,"8138 W 3rd St, Los Angeles",90048,Mexican,El Carmen,689,4.0,(323) 852-1552,8138 W 3rd St,90048,Mexican,1
Yuca Bar & Restaurant,211,3.9,(212) 982-9533,"111 Avenue A, New York",10009,"Cuban, Mexican, Bar Food",Yuca Bar & Restaurant,1214,4.0,(212) 982-9533,111 Avenue A,10009,Latin American,1
Stephan Pyles,429,3.5,(214) 580-7000,"1807 Ross Avenue, Suite 200, Dallas",75201,"New American, Southwestern",Stephan Pyles,410,4.0,(214) 580-7000,1807 Ross Ave,75201,American (New),1
The Smith,125,3.7,(212) 644-2700,"956 2nd Avenue, New York",10022,American,The Smith,909,4.0,(212) 644-2700,956 2nd Ave,10022,American (Traditional),1
Capital Tap Haus,74,3.4,(608) 310-1010,"107 State Street, Madison",53703,"American, Bar Food",Capital Tap Haus,82,3.0,(608) 310-1010,107 State St,53703,Breweries,1
Barbrix,122,3.9,(323) 662-2442,"2442 Hyperion Ave, Los Angeles",90027,California,Barbrix,744,4.0,(323) 662-2442,2442 Hyperion Ave,90027,Wine Bars,1
Siena Tavern,110,3.8,(312) 595-1322,51 W. Kinzie Street,60654,Italian,Siena Tavern,862,4.0,(312) 595-1322,51 W Kinzie St,60654,"Italian,Sportbars,Sportbars,Amerikaans (traditioneel)",1
Bar Siena,12,3.2,(312) 492-7775,"832 W. Randolph Street, Chicago",60607,"Italian, Pizza",Bar Siena,179,4.0,(312) 492-7775,832 W Randolph St,60607,Italian,1
Almondine,68,4.1,(718) 797-5026,"85 Water Street, Brooklyn",11201,French,Almondine Bakery,247,4.0,(718) 797-5026,85 Water St,11201,Bakeries,1
El Cochinito,128,4.0,(323) 668-0737,"3508 W Sunset Blvd, Los Angeles",90026,Cuban,El Cochinito Restaurant,390,4.0,(323) 668-0737,3508 W Sunset Blvd,90026,"Cuban,Bakeries,Seafood,American (New),American (New),Seafood",1
El Cocotero,94,3.4,(212) 206-8930,"228 West 18th Street, New York",10011,"Latin American, Venezualan",El Cocotero,355,4.0,(212) 206-8930,228 W 18th St,10011,Latin American,1
EDO Garden,64,3.3,(608) 226-9828,6309 Monona Dr,53716,"Japanese, Sushi, Teriyaki",Edo Garden Monona,49,3.0,(608) 226-9828,6309 Monona Dr,53716,Japanese,1
Maialino,278,4.0,(212) 777-2410,"Gramercy Park Hotel, 2 Lexington Avenue, New York",10010,Italian,Maialino,904,4.0,(212) 777-2410,2 Lexington Ave,10010,Italian,1
Zankou Chicken,348,3.9,(323) 665-7842,"5065 W Sunset Blvd, Los Angeles",90027,"Fast Food, Armenian",Zankou Chicken - Hollywood,788,3.5,(323) 665-7842,5065 Sunset Blvd,90027,Mediterranean,1
Takara 88,12,3.1,(608) 203-8866,1900 Cayuga St Ste 101,53562,"Japanese, Sushi",Takara 88,12,3.0,(608) 203-8866,1900 Cayuga StSte 101,53562,Japanese,1
Balthazar,4029,3.7,(212) 965-1414,"80 Spring Street, New York",10012,"French, Cafe, Bakery",Balthazar Restaurant,2002,4.0,(212) 965-1414,80 Spring St,10012,French,1
The Purple Pig,1723,4.6,(312) 464-1744,"500 N. Michigan Avenue, Chicago",60611,"Mediterranean, Tapas",The Purple Pig,3619,4.0,(312) 464-1744,500 N Michigan Ave,60611,Tapas/Small Plates,1
The Bristol,306,4.0,(773) 862-5555,"2152 N. Damen Avenue, Chicago",60647,New American,The Bristol,881,4.0,(773) 862-5555,2152 N Damen Ave,60647,American (New),1
Lucia,179,3.9,(214) 948-4998,"408 W Eighth Street, Suite 101, Dallas",75208,Italian,Lucia,238,4.5,(214) 948-4998,408 W 8th St,75208,Italian,1
Hong Kong Station,11,3.0,(608) 661-8288,"1441 Regent St, Madison",53711,Chinese,Hong Kong Station,27,3.5,(608) 661-8288,1441 Regent St,53711,Chinese,1
Las Palmas Mexican Restaurant,133,3.6,(773) 289-4991,"1835 W. North Avenue, Chicago",60622,"Latin American, Mexican",Las Palmas,540,4.0,(773) 289-4991,1835 W North Ave,60622,Mexican,1
Roka Akor,87,3.8,(312) 477-7652,"456 N. Clark Street, Chicago",60654,"Japanese, Steakhouse, Sushi",Roka Akor - Chicago,625,4.0,(312) 477-7652,456 N Clark St,60654,Sushi Bars,1
Sushi Enya,25,3.3,(213) 626-3692,"343 E. 1st Street, Los Angeles",90012,Japanese,Sushi Enya,546,4.5,(213) 626-3692,343 E 1st St,90012,Japanese,1
The Cellar At Beecher's Handmade Cheese,22,3.2,(212) 466-3340,"Beecher's Handmade Cheese, 900 Broadway, New York",10003,American,The Cellar,365,4.0,(212) 466-3340,900 Broadway900 Broadway,10003,Wine Bars,1
The Free Man Cajun Cafe & Lounge,85,3.5,(214) 377-9893,"2626 Commerce Street, Dallas",75226,Cajun,The Free Man,207,3.5,(214) 377-9893,2626 Commerce St,75226,Cajun/Creole,1
Merchant,208,3.5,(608) 259-9799,"121 S Pinckney St, Madison",53703,International,Merchant Madison,293,4.0,(608) 259-9799,121 S Pinckney St,53703,Cocktail Bars,1
Flying Fish,184,3.7,(214) 696-3474,"6126 Luther Lane, Dallas",75225,Seafood,Flying Fish,113,4.0,(214) 696-3474,6126 Luther Ln,75225,Seafood,1
Terrine,15,3.4,(323) 746-5130,"8265 Beverly Blvd, Los Angeles",90048,American,Terrine,306,4.0,(323) 746-5130,8265 Beverly Blvd,90048,French,1
Spitz,118,3.8,(213) 613-0101,"371 E 2nd St, Los Angeles",90012,Middle Eastern,Spitz - Little Tokyo,1206,4.0,(213) 613-0101,371 E 2nd St,90012,Bars,1
La Mestiza,198,3.7,(608) 826-0178,"6644 Odana Rd, Madison",53719,Mexican,La Mestiza,117,4.0,(608) 826-0178,6644 Odana Rd,53719,Mexican,1
Imperial Garden Chinese Restaurant,124,3.5,(608) 238-6445,2039 Allen Blvd,53562,Chinese,Imperial Garden,53,3.0,(608) 238-6445,2039 Allen Blvd,53562,Chinese,1
Local Oak,14,3.0,(214) 946-4625,"409 N Zang Boulevard, Dallas",75208,American,The Local Oak,93,4.0,(214) 946-4625,409 N Zang Blvd,75208,American (Traditional),1
Bridge House Tavern On The River,100,3.8,(312) 644-0283,"32 N. Clark Street, Chicago",60654,"New American, American",Bridge House Tavern,433,4.0,(312) 644-0283,321 N Clark St,60654,American (New),1
Shinsei,196,3.6,(214) 352-0005,"7713 Inwood Road, Dallas",75209,"Japanese, Sushi",Shinsei,167,4.0,(214) 352-0005,7713 Inwood Rd,75209,Asian Fusion,1
Turquoise,138,3.9,(773) 549-3523,"2147 W. Roscoe Street, Chicago",60618,"Mediterranean, Sandwich",Turquoise Restaurant,461,4.0,(773) 549-3523,2147 W Roscoe St,60618,Turkish,1
Taqueria Guadalajara,245,4.0,(608) 250-1824,"1033 S Park St, Madison",53715,Mexican,Taqueria Guadalajara,234,4.0,(608) 250-1824,1033 S Park St,53715,Mexican,1
Pacific Dining Car,97,3.5,(213) 483-6000,"1310 W 6th St, Los Angeles",90017,American,Pacific Dining Car,764,3.5,(213) 483-6000,1310 W 6th St,90017,Steakhouses,1
Black Eyed Pea,68,3.3,(214) 521-4580,3857 Cedar Springs Road,75219,"American, Southern",Black Eyed Pea,80,3.5,(214) 521-4580,3857 Cedar Springs Rd,75219,American (Traditional),1
Tipsy Cow,123,3.6,(608) 287-1455,"102 King St, Madison",53703,"American, Burger",The Tipsy Cow,193,4.0,(608) 287-1455,102 King St,53703,Bars,1
Larchmont Bungalow,74,4.2,(323) 461-1528,"107 N Larchmont Blvd, Los Angeles",90004,American,Larchmont Bungalow,2019,4.0,(323) 461-1528,107 N Larchmont Blvd,90004,Sandwiches,1
Go! Go! Curry,80,3.6,(212) 730-5555,"273 W 38th Street, New York",10018,Japanese,Go! Go! Curry!,1018,4.0,(212) 730-5555,273 W 38th St,10018,Japanese,1
Pizza Lounge,99,3.3,(214) 887-6900,"841 Exposition Avenue, Dallas",75226,"Pizza, Sandwich",Pizza Lounge,207,3.5,(214) 887-6900,841 Exposition Ave,75226,Pizza,1
Sushi Kyoto,103,3.3,(214) 520-9991,"6429 Hillcrest Avenue, Dallas",75205,"Japanese, Sushi",Sushi Kyoto,48,3.5,(214) 520-9991,6429 Hillcrest Ave,75205,Sushi Bars,1
Fair Trade Coffee House,30,3.2,(608) 268-0477,"418 State St, Madison",53703,Coffee and Tea,Fair Trade Coffee,47,3.5,(608) 268-0477,418 State St,53703,Coffee & Tea,1
Tre Kronor,281,3.9,(773) 267-9888,"3258 W. Foster Avenue, Chicago",60625,"Scandinavian, Swedish",Tre Kronor,515,4.0,(773) 267-9888,3258 W Foster Ave,60625,Breakfast & Brunch,1
CBD Provisions - The Joule,71,3.5,(214) 261-4500,"The Joule, 1530 Main Street, Dallas",75201,"New American, Southern, Beverages",CBD Provisions,400,4.0,(214) 261-4500,1530 Main St,75201,Brasseries,1
Bandera,999,4.0,(312) 644-3524,"535 N. Michigan Avenue, Chicago",60611,"American, Southwestern, BBQ",Bandera Restaurant,1171,4.0,(312) 644-3524,535 N Michigan Ave,60611,Jazz & Blues,1
25 Degrees,58,4.4,(312) 943-9700,"736 N. Clark Street, Chicago",60654,"American, Burger",25 Degrees,533,4.0,(312) 943-9700,736 N Clark St,60654,Burgers,1
Baboush,134,3.5,(214) 599-0707,"3636 McKinney Avenue, Suite 160, Dallas",75204,Moroccan,Baboush,250,4.0,(214) 599-0707,3636 Mckinney AveSte 160,75204,Moroccan,1
Wild Salsa,149,3.5,(214) 741-9453,"1800 Main Street, Suite 100, Dallas",75201,Mexican,Wild Salsa,284,3.5,(214) 741-9453,1800 Main StSte 100,75201,Mexican,1
Green Papaya,357,3.6,(214) 521-4811,"3211 Oak Lawn Avenue, Suite B, Dallas",75219,"Asian, Vietnamese, Fusion",Green Papaya,222,3.5,(214) 521-4811,3211 Oak Lawn AveSte B,75219,Vietnamese,1
Nookies,216,3.7,(312) 337-2454,"1746 N. Wells Street, Chicago",60614,American,Nookies,441,4.0,(312) 337-2454,1746 N Wells St,60614,Breakfast & Brunch,1
BCD Tofu House,77,4.3,(212) 967-1900,"5 West 32nd Street, New York",10001,Korean,BCD Tofu House,837,4.0,(212) 967-1900,5W 32nd St,10001,Korean,1
Mr. Brews Taphouse,33,3.2,(608) 824-9600,"610 Junction Rd, Madison",53717,"American, Burger",Mr. Brews Taphouse All American Burgers,70,4.0,(608) 824-9600,610 Junction RdSte 107,53717,Pubs,1
Cookshop,527,3.7,(212) 924-4440,"156 10th Avenue, New York",10011,American,Cookshop,1219,4.0,(212) 924-4440,156 10th Ave,10011,American (New),1
Local Table,13,3.0,(213) 488-2654,"800 S Figueroa St, Los Angeles",90017,,Local Table,696,4.0,(213) 488-2654,800 S Figueroa StSte 103,90017,American (New),1
Taco Stop,23,3.1,(972) 971-4859,"1900 Irving Boulevard, Dallas",75207,"Fast Food, Mexican",Taco Stop,83,4.0,(972) 971-4859,1900 Irving Blvd,75207,Mexican,1
Asian House,11,3.1,(608) 268-0005,"1 Dempsey Rd, Madison",53714,"Asian, Chinese",Asian House,16,3.0,(608) 268-0005,1 Dempsey RdSte 3,53714,Chinese,1
Sundown Saloon,7,2.9,(608) 242-9646,"57 S Stoughton Rd, Madison",53714,"Breakfast, Sandwich",Sundown Saloon,2,3.0,(608) 242-9646,57 S Stoughton Rd,53714,Bars,1
Tuk Tuk,131,4.1,(718) 472-5598,"4906 Vernon Boulevard, Queens, NY",11101,Thai,Tuk Tuk,429,4.0,(718) 472-5597,4906 Vernon Blvd,11101,Thai,1
Beso,263,3.9,(718) 816-8162,11 Schuyler Street,10301,"Spanish, Tapas",Beso,242,4.0,(718) 816-8162,11 Schuyler St,10301,Spanish,1
Cielito Lindo,35,3.6,(213) 687-4391,"23 Olvera St, Los Angeles",90012,"Fast Food, Mexican",Cielito Lindo,383,4.0,(213) 687-4391,E-23 Olvera StSte E,90012,Mexican,1
Burguesa Burger,50,3.8,(214) 748-7376,"710 Fort Worth Avenue, Dallas",75208,Burger,Burguesa Burger,72,4.0,(214) 748-7376,710 Ft. Worth Ave,75208,"Burgers,Burgers",1
The Park,129,4.0,(213) 482-9209,"1400 W Sunset Blvd, Los Angeles",90026,,The Park,528,4.0,(213) 482-9209,1400 Sunset Blvd,90026,American (New),1
Au Cheval,265,4.8,(312) 929-4580,"800 W. Randolph Street, Chicago",60607,"Burger, New American, Diner",Au Cheval,2062,4.0,(312) 929-4580,800 W Randolph S,60607,American (New),1
Good Food,17,3.2,(608) 217-5227,"E Main St & S Pinckney St, Madison",53703,"Sandwich, Vegetarian",Good Food,40,5.0,(608) 217-5227,33 E Main St,53703,Street Vendors,1
Nook Restaurant,144,3.9,(212) 247-5500,"746 9th Avenue, New York",10019,New American,Nook,688,4.0,(212) 247-5500,746 9th Ave,10019,American (New),1
Coal Vines,422,3.6,(214) 855-4999,"2404 Cedar Springs Road, Dallas",75201,"American, Italian, Pizza",Coal Vines,217,3.5,(214) 855-4999,2404 Cedar Springs RdSte 500,75201,Pizza,1
Wako Donkasu,33,3.7,(213) 381-9256,"3377 Wilshire Blvd, Los Angeles",90010,"Japanese, Korean",Wako Donkasu,449,4.0,(213) 381-9256,3377 Wilshire BlvdSte 112,90010,Japanese,1
Westville,270,3.6,(212) 741-7971,"210 W 10th Street, New York",10014,American,Westville,755,4.0,(212) 741-7971,210 W 10th St,10014,Salad,1
Jack the Horse Tavern,184,3.9,(718) 852-5084,"66 Hicks Street, Brooklyn",11201,American,Jack the Horse Tavern,277,4.0,(718) 852-5084,66 Hicks St,11201,American (New),1
Davanti Enoteca,336,4.5,(312) 226-5550,"1359 W. Taylor Street, Chicago",60607,Italian,Davanti Enoteca,937,4.0,(312) 226-5550,1359 W Taylor St,60607,Italian,1
Original Italian Cafe,144,3.7,(214) 651-7000,"115 Field Street, Dallas",75202,"Italian, Pizza",Original Italian Cafe,69,3.5,(214) 651-7000,115 S Field St,75202,Pizza,1
Avec,838,3.9,(312) 377-2002,"615 W. Randolph Street, Chicago",60661,Mediterranean,Avec,1496,4.5,(312) 377-2002,615 W Randolph St,60661,French,1
Luxbar,163,3.6,(312) 642-3400,"18 E. Bellevue Street, Chicago",60611,"American, Burger",Luxbar,556,3.5,(312) 642-3400,18 E Bellevue Pl,60611,American (Traditional),1
Fromagination,60,3.7,(608) 255-2430,"12 S Carroll St, Madison",53703,"American, French, Sandwich",Fromagination,138,4.0,(608) 255-2430,12 S Carroll St,53703,Cheese Shops,1
Diner,319,3.9,(718) 486-3077,"85 Broadway, Brooklyn",11211,"American, Diner",Diner,592,4.0,(718) 486-3077,85 Broadway,11211,American (New),1
Blue Mesa Grill,214,3.4,(214) 378-8686,"7700 W Northwest Hwy, Dallas",75225,Southwestern,Blue Mesa Grill,187,3.5,(214) 378-8686,7700 W NW Hwy,75225,Mexican,1
Lockhart Smokehouse,317,3.4,(214) 944-5521,"400 W Davis Street, Dallas",75208,BBQ,Lockhart Smokehouse,797,4.0,(214) 944-5521,400 W Davis St,75208,Barbeque,1
Red Robin Gourmet Burgers,53,3.4,(608) 301-0435,"2440 E Springs Dr, Madison",53704,"American, Burger, Sandwich",Red Robin Gourmet Burgers,25,3.5,(608) 301-0435,2440 East Springs Drive,53704,Burgers,1
Al Wazir Chicken,73,4.1,(323) 856-0660,6051 Hollywood Blvd,90028,"Mediterranean, Middle Eastern",Al Wazir Chicken,334,4.0,(323) 856-0660,6051 Hollywood Blvd,90028,Middle Eastern,1
Great China,36,3.2,(608) 244-9988,"619 N Sherman Ave, Madison",53704,Chinese,Great China,14,2.5,(608) 244-9988,619 N Sherman Ave,53704,Chinese,1
Public,235,3.7,(212) 343-0918,"210 Elizabeth Street, New York",10012,"Australian, New American",Public,893,4.0,(212) 343-7011,210 Elizabeth St,10012,"American (Traditional),Lounges,American (New),Lounges",1
The Meatball Shop,582,4.4,(212) 982-8895,"84 Stanton Street, New York",10002,"American, Italian, Sandwich",The Meatball Shop,2283,4.0,(212) 982-8895,84 Stanton St,10002,Italian,1
The Great Dane Pub & Brewing Co.,59,3.6,(608) 442-1333,"876 Jupiter Drive, Madison",53718,American,Great Dane Pub & Brewing Co,65,3.5,(608) 442-1333,876 Jupiter Dr,53718,Gastropubs,1
The Publican,842,4.1,(312) 733-9555,"837 W. Fulton Market, Chicago",60607,American,The Publican,2217,4.0,(312) 733-9555,837 W Fulton Market,60607,American (New),1
Rodeo Goat,78,3.5,(214) 741-4628,"1926 Market Center Boulevard, Dallas",75207,"Burger, American",Rodeo Goat,407,4.0,(214) 741-4628,1926 Market Center Blvd,75207,Burgers,1
Caracas Arepa Bar,841,4.0,(212) 529-2314,"93 E 7th Street, New York",10009,"Latin American, Venezualan",Caracas Arepa Bar,2228,4.0,(212) 529-2314,93 1/2 E 7th St,10009,Venezuelan,1
Cafe La Bellitalia,346,4.1,(608) 243-1200,"1026 N Sherman Ave, Madison",53704,"Italian, Pizza",Cafe La Bellitalia,65,4.0,(608) 243-1200,1026 N Sherman Ave,53704,Italian,1
Sushi Box,102,3.8,(608) 232-1432,"2433 University Ave, Madison",53726,"Japanese, Sushi",Sushi Box,46,4.0,(608) 232-1432,2433 University Ave,53726,Sushi Bars,1
Russ & Daughters Cafe,39,4.4,(212) 475-4881,"127 Orchard Street, New York",10002,Jewish,Russ & Daughters Cafe,263,4.0,(212) 475-4881,127 Orchard St,10002,Breakfast & Brunch,1
Freemans,417,3.6,(212) 420-0012,"8 Rivington Street, New York",10002,American,Freemans,1336,4.0,(212) 420-0012,191 Chrystie StSte 2F,10002,Breakfast & Brunch,1
